ìoò^î‘çÜ,ëIéËñº,í¯î‘,èoëñêî,èüóòâÒêî,2íÖâÒêî,3íÖâÒêî,ïΩãœST,ì¶Ç∞,ç∑Çµ,Ç‹Ç≠ÇË,Ç‹Ç≠ÇËç∑Çµ,î≤Ç´,åbÇ‹ÇÍ,ç∑Ç≥ÇÍ,Ç‹Ç≠ÇÁÇÍ,Ç‹Ç≠ÇËç∑Ç≥ÇÍ,ì¶Çµ,ëSëÃïΩãœST
2014,çÇíÀê¥àÍ,1,31,4,10,3,0.15161290322580645,3,0,0,0,1,0,10,9,3,0,0.19036144578313255
2014,çÇíÀê¥àÍ,2,27,2,4,4,0.19148148148148147,0,2,0,0,0,0,0,0,0,18,0.19036144578313255
2014,çÇíÀê¥àÍ,3,28,0,4,1,0.19,0,0,0,0,0,0,0,0,0,0,0.19036144578313255
2014,çÇíÀê¥àÍ,4,29,3,2,3,0.19241379310344828,0,0,1,1,1,0,0,0,0,0,0.19036144578313255
2014,çÇíÀê¥àÍ,5,28,0,3,2,0.20249999999999999,0,0,0,0,0,0,0,0,0,0,0.19036144578313255
2014,çÇíÀê¥àÍ,6,23,0,0,5,0.22434782608695653,0,0,0,0,0,0,0,0,0,0,0.19036144578313255
2538,çÇã¥ìÒòN,1,26,4,6,2,0.2030769230769231,3,0,0,0,1,0,5,8,8,0,0.1930890052356021
2538,çÇã¥ìÒòN,2,36,3,4,5,0.1975,0,3,0,0,0,0,0,0,0,18,0.1930890052356021
2538,çÇã¥ìÒòN,3,34,0,3,14,0.18911764705882353,0,0,0,0,0,0,0,0,0,0,0.1930890052356021
2538,çÇã¥ìÒòN,4,35,1,3,5,0.18914285714285714,0,0,0,1,0,0,0,0,0,0,0.1930890052356021
2538,çÇã¥ìÒòN,5,34,1,3,4,0.19147058823529411,0,0,0,1,0,0,0,0,0,0,0.1930890052356021
2538,çÇã¥ìÒòN,6,26,0,4,3,0.1896153846153846,0,0,0,0,0,0,0,0,0,0,0.1930890052356021
2878,ïxéRçOçK,1,57,22,18,7,0.1743859649122807,20,0,0,0,2,0,8,13,8,0,0.17454873646209387
2878,ïxéRçOçK,2,48,4,14,14,0.16333333333333333,0,2,1,0,1,0,0,0,0,22,0.17454873646209387
2878,ïxéRçOçK,3,48,4,10,11,0.1758333333333333,0,0,2,2,0,0,0,0,0,0,0.17454873646209387
2878,ïxéRçOçK,4,42,6,9,9,0.1738095238095238,0,1,2,2,1,0,0,0,0,0,0.17454873646209387
2878,ïxéRçOçK,5,44,6,7,5,0.16977272727272727,0,1,1,4,0,0,0,0,0,0,0.17454873646209387
2878,ïxéRçOçK,6,38,0,4,7,0.1936842105263158,0,0,0,0,0,0,0,0,0,0,0.17454873646209387
2930,êVó«àÍãK,1,6,2,2,1,0.22166666666666668,2,0,0,0,0,0,1,0,3,0,0.21666666666666667
2930,êVó«àÍãK,2,5,0,1,2,0.22000000000000003,0,0,0,0,0,0,0,0,0,4,0.21666666666666667
2930,êVó«àÍãK,3,4,0,0,1,0.2425,0,0,0,0,0,0,0,0,0,0,0.21666666666666667
2930,êVó«àÍãK,4,5,0,2,0,0.22799999999999998,0,0,0,0,0,0,0,0,0,0,0.21666666666666667
2930,êVó«àÍãK,5,2,0,0,0,0.195,0,0,0,0,0,0,0,0,0,0,0.21666666666666667
2930,êVó«àÍãK,6,2,0,0,2,0.135,0,0,0,0,0,0,0,0,0,0,0.21666666666666667
3022,êºéRè∏àÍ,1,1,0,0,1,0.23,0,0,0,0,0,0,0,1,0,0,0.18333333333333335
3022,êºéRè∏àÍ,2,1,0,0,1,0.06,0,0,0,0,0,0,0,0,0,0,0.18333333333333335
3022,êºéRè∏àÍ,3,2,0,0,0,0.175,0,0,0,0,0,0,0,0,0,0,0.18333333333333335
3022,êºéRè∏àÍ,4,1,0,0,0,0.32,0,0,0,0,0,0,0,0,0,0,0.18333333333333335
3022,êºéRè∏àÍ,5,1,0,0,0,0.14,0,0,0,0,0,0,0,0,0,0,0.18333333333333335
3024,êºìáã`ë•,1,73,39,14,10,0.1543835616438356,38,0,0,0,1,0,7,12,13,0,0.15753205128205128
3024,êºìáã`ë•,2,57,11,16,11,0.1519298245614035,1,6,4,0,0,0,0,0,0,19,0.15753205128205128
3024,êºìáã`ë•,3,48,10,9,5,0.163125,0,3,5,1,1,0,0,0,0,0,0.15753205128205128
3024,êºìáã`ë•,4,38,11,12,3,0.15921052631578947,2,5,3,0,1,0,0,0,0,0,0.15753205128205128
3024,êºìáã`ë•,5,52,9,19,8,0.16442307692307695,3,3,2,0,1,0,0,0,0,0,0.15753205128205128
3024,êºìáã`ë•,6,44,8,18,4,0.15431818181818183,2,1,4,0,1,0,0,0,0,0,0.15753205128205128
3044,éOëÓé¢ém,1,7,3,1,1,0.17142857142857143,3,0,0,0,0,0,2,1,1,0,0.17630434782608695
3044,éOëÓé¢ém,2,8,1,0,1,0.19875,0,1,0,0,0,0,0,0,0,4,0.17630434782608695
3044,éOëÓé¢ém,3,9,0,0,3,0.1622222222222222,0,0,0,0,0,0,0,0,0,0,0.17630434782608695
3044,éOëÓé¢ém,4,9,0,2,3,0.17555555555555558,0,0,0,0,0,0,0,0,0,0,0.17630434782608695
3044,éOëÓé¢ém,5,6,0,0,0,0.16833333333333333,0,0,0,0,0,0,0,0,0,0,0.17630434782608695
3044,éOëÓé¢ém,6,7,0,0,2,0.18142857142857144,0,0,0,0,0,0,0,0,0,0,0.17630434782608695
3054,ñkêÏçKìT,1,32,16,8,2,0.1671875,14,0,0,0,2,0,6,4,4,0,0.16971830985915495
3054,ñkêÏçKìT,2,20,3,4,7,0.17350000000000002,0,2,1,0,0,0,0,0,0,8,0.16971830985915495
3054,ñkêÏçKìT,3,24,3,7,4,0.1691666666666667,0,0,2,1,0,0,0,0,0,0,0.16971830985915495
3054,ñkêÏçKìT,4,25,4,2,4,0.1572,0,0,2,2,0,0,0,0,0,0,0.16971830985915495
3054,ñkêÏçKìT,5,20,1,3,1,0.184,0,0,0,1,0,0,0,0,0,0,0.16971830985915495
3054,ñkêÏçKìT,6,21,1,2,3,0.17190476190476192,0,0,0,1,0,0,0,0,0,0,0.16971830985915495
