ìoò^î‘çÜ,ëIéËñº,í¯î‘,èoëñêî,èüóòâÒêî,2íÖâÒêî,3íÖâÒêî,ïΩãœST,ì¶Ç∞,ç∑Çµ,Ç‹Ç≠ÇË,Ç‹Ç≠ÇËç∑Çµ,î≤Ç´,åbÇ‹ÇÍ,ç∑Ç≥ÇÍ,Ç‹Ç≠ÇÁÇÍ,Ç‹Ç≠ÇËç∑Ç≥ÇÍ,ì¶Çµ,ëSëÃïΩãœST
2014,çÇíÀê¥àÍ,1,39,11,10,7,0.14025641025641025,9,1,0,0,1,0,12,7,6,0,0.16830275229357797
2014,çÇíÀê¥àÍ,2,36,1,5,9,0.16333333333333333,0,0,0,0,0,1,0,0,0,21,0.16830275229357797
2014,çÇíÀê¥àÍ,3,41,9,6,6,0.1473170731707317,0,1,4,2,2,0,0,0,0,0,0.16830275229357797
2014,çÇíÀê¥àÍ,4,34,1,3,5,0.1888235294117647,0,0,1,0,0,0,0,0,0,0,0.16830275229357797
2014,çÇíÀê¥àÍ,5,38,3,0,9,0.18657894736842104,0,0,1,2,0,0,0,0,0,0,0.16830275229357797
2014,çÇíÀê¥àÍ,6,30,0,2,5,0.193,0,0,0,0,0,0,0,0,0,0,0.16830275229357797
2538,çÇã¥ìÒòN,1,24,3,3,6,0.18416666666666667,2,0,0,0,1,0,6,13,2,0,0.19215686274509802
2538,çÇã¥ìÒòN,2,30,4,5,6,0.15266666666666667,0,2,0,0,1,1,0,0,0,18,0.19215686274509802
2538,çÇã¥ìÒòN,3,25,0,4,4,0.21359999999999998,0,0,0,0,0,0,0,0,0,0,0.19215686274509802
2538,çÇã¥ìÒòN,4,26,0,2,5,0.1980769230769231,0,0,0,0,0,0,0,0,0,0,0.19215686274509802
2538,çÇã¥ìÒòN,5,28,0,3,7,0.20249999999999999,0,0,0,0,0,0,0,0,0,0,0.19215686274509802
2538,çÇã¥ìÒòN,6,20,0,1,1,0.21200000000000002,0,0,0,0,0,0,0,0,0,0,0.19215686274509802
2876,óÈñÿçKïv,1,16,5,5,2,0.131875,5,0,0,0,0,0,3,3,4,0,0.16358695652173913
2876,óÈñÿçKïv,2,23,1,1,5,0.17043478260869566,0,1,0,0,0,0,0,0,0,11,0.16358695652173913
2876,óÈñÿçKïv,3,14,2,1,1,0.165,1,0,0,0,1,0,0,0,0,0,0.16358695652173913
2876,óÈñÿçKïv,4,13,2,2,2,0.18461538461538465,2,0,0,0,0,0,0,0,0,0,0.16358695652173913
2876,óÈñÿçKïv,5,16,4,1,2,0.16125,2,1,0,0,0,1,0,0,0,0,0.16358695652173913
2876,óÈñÿçKïv,6,10,0,1,1,0.173,0,0,0,0,0,0,0,0,0,0,0.16358695652173913
2878,ïxéRçOçK,1,39,20,8,6,0.16846153846153847,18,0,0,0,2,0,6,7,6,0,0.18850746268656718
2878,ïxéRçOçK,2,39,1,9,11,0.19897435897435897,0,1,0,0,0,0,0,0,0,18,0.18850746268656718
2878,ïxéRçOçK,3,31,2,4,10,0.20806451612903226,0,2,0,0,0,0,0,0,0,0,0.18850746268656718
2878,ïxéRçOçK,4,30,5,5,7,0.17033333333333334,0,1,2,2,0,0,0,0,0,0,0.18850746268656718
2878,ïxéRçOçK,5,29,3,4,8,0.17103448275862068,0,0,0,3,0,0,0,0,0,0,0.18850746268656718
2878,ïxéRçOçK,6,33,0,1,5,0.21333333333333335,0,0,0,0,0,0,0,0,0,0,0.18850746268656718
2903,éRçËãB,1,22,3,4,3,0.165,3,0,0,0,0,0,1,10,6,0,0.17848314606741572
2903,éRçËãB,2,39,2,13,7,0.1523076923076923,0,2,0,0,0,0,0,0,0,21,0.17848314606741572
2903,éRçËãB,3,34,0,6,7,0.15529411764705883,0,0,0,0,0,0,0,0,0,0,0.17848314606741572
2903,éRçËãB,4,29,2,3,5,0.2006896551724138,0,0,1,0,1,0,0,0,0,0,0.17848314606741572
