ìoò^î‘çÜ,ëIéËñº,í¯î‘,èoëñêî,èüóòâÒêî,2íÖâÒêî,3íÖâÒêî,ïΩãœST,ì¶Ç∞,ç∑Çµ,Ç‹Ç≠ÇË,Ç‹Ç≠ÇËç∑Çµ,î≤Ç´,åbÇ‹ÇÍ,ç∑Ç≥ÇÍ,Ç‹Ç≠ÇÁÇÍ,Ç‹Ç≠ÇËç∑Ç≥ÇÍ,ì¶Çµ,ëSëÃïΩãœST
2014,çÇíÀê¥àÍ,1,36,11,11,6,0.15888888888888889,10,0,0,0,1,0,10,7,4,0,0.1697596153846154
2014,çÇíÀê¥àÍ,2,42,5,7,7,0.1842857142857143,0,4,1,0,0,0,0,0,0,18,0.1697596153846154
2014,çÇíÀê¥àÍ,3,34,4,8,3,0.16588235294117645,0,1,2,0,0,1,0,0,0,0,0.1697596153846154
2014,çÇíÀê¥àÍ,4,33,0,6,8,0.16363636363636364,0,0,0,0,0,0,0,0,0,0,0.1697596153846154
2014,çÇíÀê¥àÍ,5,33,0,3,5,0.16242424242424244,0,0,0,0,0,0,0,0,0,0,0.1697596153846154
2014,çÇíÀê¥àÍ,6,30,1,1,5,0.18166666666666667,0,0,1,0,0,0,0,0,0,0,0.1697596153846154
2538,çÇã¥ìÒòN,1,37,2,10,8,0.16783783783783784,2,0,0,0,0,0,12,13,7,0,0.20218009478672988
2538,çÇã¥ìÒòN,2,37,4,5,6,0.18,0,3,1,0,0,0,0,0,0,17,0.20218009478672988
2538,çÇã¥ìÒòN,3,42,2,9,10,0.21666666666666665,0,1,1,0,0,0,0,0,0,0,0.20218009478672988
2538,çÇã¥ìÒòN,4,39,1,5,10,0.19999999999999998,0,0,0,1,0,0,0,0,0,0,0.20218009478672988
2538,çÇã¥ìÒòN,5,33,0,4,7,0.23454545454545456,0,0,0,0,0,0,0,0,0,0,0.20218009478672988
2538,çÇã¥ìÒòN,6,23,0,0,4,0.22391304347826088,0,0,0,0,0,0,0,0,0,0,0.20218009478672988
2841,ãgìcñ´,1,14,2,7,2,0.16214285714285714,2,0,0,0,0,0,6,2,2,0,0.19263157894736843
2841,ãgìcñ´,2,17,1,4,5,0.1864705882352941,0,0,0,0,1,0,0,0,0,11,0.19263157894736843
2841,ãgìcñ´,3,11,1,1,4,0.18363636363636363,0,0,1,0,0,0,0,0,0,0,0.19263157894736843
2841,ãgìcñ´,4,13,1,2,2,0.19153846153846155,0,0,1,0,0,0,0,0,0,0,0.19263157894736843
2841,ãgìcñ´,5,13,0,1,4,0.21153846153846154,0,0,0,0,0,0,0,0,0,0,0.19263157894736843
2841,ãgìcñ´,6,8,0,1,1,0.2425,0,0,0,0,0,0,0,0,0,0,0.19263157894736843
2844,ìcíÜêLìÒ,1,22,9,5,0,0.18,9,0,0,0,0,0,3,5,5,0,0.1883098591549296
2844,ìcíÜêLìÒ,2,22,2,3,6,0.16727272727272727,0,2,0,0,0,0,0,0,0,12,0.1883098591549296
2844,ìcíÜêLìÒ,3,27,1,1,8,0.19148148148148147,0,1,0,0,0,0,0,0,0,0,0.1883098591549296
2844,ìcíÜêLìÒ,4,27,0,2,8,0.18888888888888888,0,0,0,0,0,0,0,0,0,0,0.1883098591549296
2844,ìcíÜêLìÒ,5,18,0,0,3,0.17777777777777778,0,0,0,0,0,0,0,0,0,0,0.1883098591549296
2844,ìcíÜêLìÒ,6,26,0,2,2,0.21653846153846154,0,0,0,0,0,0,0,0,0,0,0.1883098591549296
2876,óÈñÿçKïv,1,32,11,6,5,0.1309375,11,0,0,0,0,0,5,10,6,0,0.17072916666666668
2876,óÈñÿçKïv,2,42,2,5,11,0.1711904761904762,1,1,0,0,0,0,0,0,0,19,0.17072916666666668
2876,óÈñÿçKïv,3,34,4,4,6,0.16441176470588234,2,0,2,0,0,0,0,0,0,0,0.17072916666666668
2876,óÈñÿçKïv,4,31,0,4,4,0.1767741935483871,0,0,0,0,0,0,0,0,0,0,0.17072916666666668
2876,óÈñÿçKïv,5,32,4,3,2,0.17875,1,2,0,0,1,0,0,0,0,0,0.17072916666666668
2876,óÈñÿçKïv,6,21,2,3,2,0.21952380952380954,2,0,0,0,0,0,0,0,0,0,0.17072916666666668
2878,ïxéRçOçK,1,53,25,13,11,0.1569811320754717,23,0,0,0,2,0,9,8,5,0,0.17496296296296296
2878,ïxéRçOçK,2,48,5,10,15,0.196875,0,4,1,0,0,0,0,0,0,24,0.17496296296296296
2878,ïxéRçOçK,3,46,9,8,11,0.18304347826086956,0,3,0,6,0,0,0,0,0,0,0.17496296296296296
2878,ïxéRçOçK,4,41,7,6,14,0.15878048780487805,0,3,4,0,0,0,0,0,0,0,0.17496296296296296
2878,ïxéRçOçK,5,44,4,7,9,0.16545454545454547,0,1,0,3,0,0,0,0,0,0,0.17496296296296296
2878,ïxéRçOçK,6,38,2,3,8,0.19105263157894736,0,0,1,1,0,0,0,0,0,0,0.17496296296296296
2903,éRçËãB,1,35,15,3,5,0.18857142857142856,15,0,0,0,0,0,3,11,5,0,0.17600961538461538
2903,éRçËãB,2,41,2,10,9,0.17926829268292682,0,1,0,0,0,1,0,0,0,22,0.17600961538461538
2903,éRçËãB,3,37,2,3,12,0.15108108108108106,0,1,0,1,0,0,0,0,0,0,0.17600961538461538
2903,éRçËãB,4,30,2,6,4,0.15566666666666668,0,1,1,0,0,0,0,0,0,0,0.17600961538461538
2903,éRçËãB,5,37,0,5,5,0.18162162162162163,0,0,0,0,0,0,0,0,0,0,0.17600961538461538
2903,éRçËãB,6,28,0,3,5,0.20285714285714285,0,0,0,0,0,0,0,0,0,0,0.17600961538461538
2912,îˆçËìSñÁ,1,24,12,4,1,0.1708333333333333,12,0,0,0,0,0,7,0,3,0,0.18395348837209302
2912,îˆçËìSñÁ,2,32,0,3,3,0.186875,0,0,0,0,0,0,0,0,0,23,0.18395348837209302
2912,îˆçËìSñÁ,3,33,2,2,4,0.1896969696969697,0,0,1,1,0,0,0,0,0,0,0.18395348837209302
2912,îˆçËìSñÁ,4,28,1,2,2,0.18964285714285717,0,0,1,0,0,0,0,0,0,0,0.18395348837209302
2912,îˆçËìSñÁ,5,27,1,0,4,0.17074074074074075,0,1,0,0,0,0,0,0,0,0,0.18395348837209302
2912,îˆçËìSñÁ,6,28,0,1,2,0.19214285714285714,0,0,0,0,0,0,0,0,0,0,0.18395348837209302
2930,êVó«àÍãK,1,36,14,10,4,0.16916666666666666,13,0,0,0,1,0,5,11,5,0,0.19255952380952382
2930,êVó«àÍãK,2,27,2,5,4,0.18555555555555556,1,1,0,0,0,0,0,0,0,9,0.19255952380952382
2930,êVó«àÍãK,3,29,2,5,6,0.17310344827586205,0,1,1,0,0,0,0,0,0,0,0.19255952380952382
2930,êVó«àÍãK,4,27,2,4,8,0.23851851851851855,0,1,1,0,0,0,0,0,0,0,0.19255952380952382
