日付,レース場,レース番号,レース種別,艇番,登録番号,選手名,年齢,支部,体重,級別,全国勝率,全国2連対率,当地勝率,当地2連対率,モーター番号,モーター2連対率,ボート番号,ボート2連対率,天候,風向,風速(m),波高(cm),展示タイム,着順,決まり手,進入,スタートタイミング,レースタイム,平均ST,全体平均ST,1着率,2-3着率,逃し率
2023-09-07,大村,1,予選,1,4241,大串重幸,38,長崎,53,B1,5.38,29.47,5.23,33.85,43,34.0,43,19.05,晴,北,6,5,6.87,2,差し,1,0.22,1.52.8,0.18769230769230769,0.17989071038251367,0.2702702702702703,0.4594594594594595,0.0
2023-09-07,大村,1,予選,2,4303,牧原　崇,40,愛知,52,B1,4.97,26.37,0.0,0.0,33,33.93,63,35.0,晴,北,6,5,6.88,1,差し,2,0.26,1.51.6,0.18333333333333335,0.1912807881773399,0.029411764705882353,0.38235294117647056,0.5882352941176471
2023-09-07,大村,1,予選,3,4792,杉村賢也,33,東京,51,B1,4.98,26.25,0.0,0.0,51,49.02,20,52.94,晴,北,6,5,6.83,4,差し,3,0.31,1.55.2,0.1797058823529412,0.17965714285714288,0.21052631578947367,0.2631578947368421,0.0
2023-09-07,大村,1,予選,4,4725,佐竹太一,36,兵庫,51,B1,5.16,33.33,3.44,11.11,44,34.0,36,27.27,晴,北,6,5,6.83,3,差し,4,0.24,1.54.1,0.17714285714285716,0.19809045226130653,0.0,0.28125,0.0
2023-09-07,大村,1,予選,5,3044,三宅爾士,62,福井,57,B1,4.81,30.59,0.0,0.0,27,31.91,52,43.48,晴,北,6,5,6.95,5,差し,5,0.29,.  .,0.17216216216216215,0.1779207920792079,0.08333333333333333,0.2222222222222222,0.0
2023-09-07,大村,1,予選,6,3571,寺本武司,52,長崎,54,B1,3.61,15.49,3.93,18.85,61,27.78,75,51.02,晴,北,6,5,6.95,6,差し,6,0.39,.  .,0.20535714285714285,0.1755688622754491,0.0,0.2,0.0
2023-09-07,大村,2,予選,1,3548,室田泰史,53,福井,54,B1,5.07,32.35,5.28,33.33,19,65.31,11,21.67,晴,北,5,4,6.83,2,まくり,1,0.26,1.52.7,0.11944444444444444,0.12876595744680852,0.12,0.44,0.0
2023-09-07,大村,2,予選,2,4991,宗行治哉,26,広島,51,B1,5.98,40.2,5.38,35.38,71,27.45,32,35.59,晴,北,5,4,6.89,3,まくり,3,0.46,1.54.5,0.16205882352941176,0.1797969543147208,0.1,0.36666666666666664,0.6333333333333333
2023-09-07,大村,2,予選,3,5033,藤原孝斗,25,愛知,56,B1,4.16,20.97,3.53,11.76,70,32.0,39,44.83,晴,北,5,4,6.95,4,まくり,4,0.34,1.55.3,0.16226415094339622,0.18246268656716416,0.0,0.25925925925925924,0.0
2023-09-07,大村,2,予選,4,3919,村上　純,48,岡山,55,A2,5.27,32.98,5.5,40.48,23,29.09,66,20.0,晴,北,5,4,6.91,5,まくり,2,0.35,.  .,0.1823076923076923,0.1770940170940171,0.0,0.2962962962962963,0.0
2023-09-07,大村,2,予選,5,4948,木場悠介,30,長崎,52,A2,5.14,34.65,5.75,41.48,39,40.74,47,22.92,晴,北,5,4,6.91,1,まくり,5,0.21,1.51.3,0.14771428571428571,0.1537777777777778,0.0,0.3793103448275862,0.0
2023-09-07,大村,2,予選,6,3953,志道吉和,47,福岡,52,B1,4.13,24.1,2.91,0.0,12,34.0,44,24.14,晴,北,5,4,6.9,6,まくり,6,0.31,.  .,0.18578947368421053,0.17843537414965988,0.0,0.1,0.0
2023-09-07,大村,3,予選,1,4520,高倉孝太,36,福井,49,B1,4.89,26.36,5.0,31.58,45,45.28,55,40.48,晴,北,5,4,6.84,3,まくり,1,0.33,1.54.4,0.1814285714285714,0.17744588744588746,0.38461538461538464,0.38461538461538464,0.0
