日付,レース場,レース番号,レース種別,艇番,登録番号,選手名,年齢,支部,体重,級別,全国勝率,全国2連対率,当地勝率,当地2連対率,モーター番号,モーター2連対率,ボート番号,ボート2連対率,天候,風向,風速(m),波高(cm),展示タイム,着順,決まり手,進入,スタートタイミング,レースタイム,平均ST,全体平均ST,1着率,2-3着率,逃し率
2024-11-28,大村,1,予選,1,4553,坪口竜也,35,長崎,51,A2,6.49,47.67,6.39,44.37,76,36.08,15,30.21,曇り,南西,4,3,6.93,1,逃げ,1,0.11,1.54.2,0.1302777777777778,0.15459183673469387,0.125,0.4375,0.0
2024-11-28,大村,1,予選,2,3880,浅見宗孝,51,埼玉,54,B1,5.04,28.43,5.19,28.57,21,44.21,17,31.58,曇り,南西,4,3,6.92,2,逃げ,2,0.1,1.56.8,0.17833333333333334,0.1627601809954751,0.10344827586206896,0.3103448275862069,0.6206896551724138
2024-11-28,大村,1,予選,4,4014,片岡恵里,45,山口,47,B1,5.98,40.66,5.18,41.18,63,21.88,33,30.21,曇り,南西,4,3,6.91,4,逃げ,4,0.06,2.00.8,0.1945945945945946,0.19031674208144797,0.0,0.16666666666666666,0.0
2024-11-28,大村,1,予選,5,4004,山本浩輔,46,長崎,53,B1,4.89,27.88,4.85,27.94,32,48.94,74,31.03,曇り,南西,4,3,6.86,3,逃げ,5,0.07,1.59.4,0.18170731707317073,0.16294685990338162,0.1,0.16666666666666666,0.0
2024-11-28,大村,1,予選,6,5286,坂井滉哉,25,福岡,50,B1,4.26,16.13,1.89,0.0,37,30.85,44,36.17,曇り,南西,4,3,6.95,5,逃げ,6,0.04,.  .,0.14483333333333331,0.15106382978723407,0.0,0.16666666666666666,0.0
2024-11-28,大村,2,予選,1,5086,本村　大,25,長崎,52,B1,4.57,31.25,5.19,32.22,19,24.73,75,32.29,雨,南西,6,5,6.89,1,逃げ,1,0.09,1.50.6,0.15964285714285714,0.16379518072289156,0.0,0.20833333333333334,0.0
2024-11-28,大村,2,予選,2,4241,大串重幸,39,長崎,52,B1,5.51,37.5,5.33,33.89,45,41.05,62,39.58,雨,南西,6,5,7.0,2,逃げ,2,0.07,1.53.0,0.17605263157894738,0.1614814814814815,0.18518518518518517,0.2962962962962963,0.0
2024-11-28,大村,2,予選,3,5332,村松遥輝,20,静岡,54,B1,2.32,2.27,0.0,0.0,11,41.67,26,33.33,雨,南西,6,5,6.93,4,逃げ,3,0.04,1.54.2,0.18,0.16836206896551725,0.05555555555555555,0.25,0.5
2024-11-28,大村,2,予選,4,3647,伊藤雄二,52,埼玉,49,B1,4.07,17.95,0.0,0.0,69,43.3,36,36.08,雨,南西,6,5,7.05,3,逃げ,4,0.06,1.53.8,0.153,0.15791489361702127,0.0,0.47058823529411764,0.0
2024-11-28,大村,2,予選,6,3352,小川晃司,56,福岡,51,B1,4.42,18.63,4.34,12.9,56,30.77,61,37.89,雨,南西,6,5,7.0,5,逃げ,6,0.26,.  .,0.16298507462686568,0.1608133971291866,0.027777777777777776,0.2222222222222222,0.0
