日付,レース場,レース番号,レース種別,艇番,登録番号,選手名,年齢,支部,体重,級別,全国勝率,全国2連対率,当地勝率,当地2連対率,モーター番号,モーター2連対率,ボート番号,ボート2連対率,天候,風向,風速(m),波高(cm),展示タイム,着順,決まり手,進入,スタートタイミング,レースタイム,平均ST,全体平均ST,1着率,2着率,3着率,逃げ率,逃し率,差し率,まくり率,まくり差し率,差され率,まくられ率,まくり差され率
2024-02-22,福岡,1,カタメン１予,1,4398,船岡洋一,37,広島,52,A1,6.66,52.54,6.5,38.89,11,0.0,107,0.0,曇り,北東,4,4,6.86,1,逃げ,1,0.11,1.50.1,0.1374509803921568,0.1441312741312741,0.1794871794871795,0.2564102564102564,0.20512820512820512,0.1794871794871795,0.0,0.0,0.0,0.0,0.38461538461538464,0.28205128205128205,0.15384615384615385
2024-02-22,福岡,1,カタメン１予,2,4803,飯田庄吾,30,福岡,56,B2,4.62,19.05,5.12,30.23,59,0.0,111,0.0,曇り,北東,4,4,6.85,3,逃げ,2,0.17,1.53.0,0.1633333333333333,0.1863529411764705,0.08823529411764706,0.08823529411764706,0.20588235294117646,0.0,0.5882352941176471,0.029411764705882353,0.029411764705882353,0.0,0.0,0.0,0.0
2024-02-22,福岡,1,カタメン１予,3,3501,川上昇平,54,長崎,56,B1,4.76,24.18,5.0,30.38,46,0.0,138,0.0,曇り,北東,4,4,6.81,2,逃げ,3,0.15,1.52.1,0.1558333333333333,0.1546733668341708,0.08108108108108109,0.08108108108108109,0.10810810810810811,0.0,0.0,0.02702702702702703,0.02702702702702703,0.0,0.0,0.0,0.0
2024-02-22,福岡,1,カタメン１予,4,3825,宮嵜隆太,50,福岡,61,B1,3.97,20.97,3.67,19.44,63,0.0,121,0.0,曇り,北東,4,4,6.92,6,逃げ,4,0.09,.  .,0.1167741935483871,0.131,0.0,0.08333333333333333,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-22,福岡,1,カタメン１予,5,5081,篠原飛翔,25,福岡,52,B1,4.6,21.77,5.44,34.93,69,0.0,115,0.0,曇り,北東,4,4,6.85,5,逃げ,5,0.09,.  .,0.1634374999999999,0.1763876651982378,0.058823529411764705,0.0,0.20588235294117646,0.0,0.0,0.0,0.0,0.058823529411764705,0.0,0.0,0.0
2024-02-22,福岡,1,カタメン１予,6,5071,野見山拓,29,福岡,53,B1,5.21,33.33,5.11,33.96,35,0.0,134,0.0,曇り,北東,4,4,6.81,4,逃げ,6,0.1,1.53.6,0.1482142857142857,0.12855,0.0,0.0967741935483871,0.16129032258064516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-22,福岡,2,予選,1,4348,宮崎　奨,38,香川,54,A2,6.41,43.81,6.15,45.45,15,0.0,104,0.0,曇り,北東,3,3,6.89,1,逃げ,1,0.21,1.50.2,0.1378571428571428,0.160593220338983,0.04,0.24,0.24,0.04,0.0,0.0,0.0,0.0,0.28,0.44,0.2
2024-02-22,福岡,2,予選,2,4555,富永大一,34,福岡,54,B1,5.03,30.23,4.58,23.38,12,0.0,108,0.0,曇り,北東,3,3,6.83,3,逃げ,2,0.21,1.53.0,0.1797368421052631,0.1900460829493087,0.13333333333333333,0.13333333333333333,0.1,0.0,0.5666666666666667,0.06666666666666667,0.0,0.0,0.0,0.0,0.0
2024-02-22,福岡,2,予選,3,5008,羽野　諒,27,福岡,53,B1,4.3,18.03,4.67,19.8,19,0.0,133,0.0,曇り,北東,3,3,6.83,2,逃げ,3,0.13,1.51.9,0.1114814814814814,0.1323888888888889,0.0,0.030303030303030304,0.15151515151515152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-22,福岡,2,予選,4,3591,後藤孝義,55,静岡,52,B1,3.8,16.25,4.5,30.0,68,0.0,122,0.0,曇り,北東,3,3,6.89,5,逃げ,4,0.26,.  .,0.1821212121212121,0.1825,0.0,0.06896551724137931,0.2413793103448276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-22,福岡,2,予選,5,5268,山本幸也,23,福岡,56,B2,1.61,1.85,1.33,0.0,54,0.0,152,0.0,曇り,北東,3,3,6.93,6,逃げ,5,0.22,.  .,0.1805263157894737,0.1975555555555555,0.0,0.034482758620689655,0.20689655172413793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-22,福岡,2,予選,6,5158,宮脇遼太,26,福岡,52,B1,4.28,25.81,2.31,5.45,64,0.0,105,0.0,曇り,北東,3,3,6.9,4,逃げ,6,0.19,1.55.4,0.1633333333333333,0.158909952606635,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-22,福岡,3,カタメン３予,1,4864,小川日紀,34,福岡,53,B1,4.74,27.37,4.8,27.12,30,0.0,119,0.0,曇り,北,3,3,6.86,1,逃げ,1,0.15,1.49.6,0.1314814814814815,0.1409,0.4489795918367347,0.2857142857142857,0.16326530612244897,0.3469387755102041,0.0,0.0,0.0,0.0,0.16326530612244897,0.1836734693877551,0.16326530612244897
2024-02-22,福岡,3,カタメン３予,2,4957,竹之内極,28,福岡,57,B1,4.91,27.66,4.84,24.59,65,0.0,112,0.0,曇り,北,3,3,6.78,4,逃げ,2,0.08,1.53.9,0.1720588235294117,0.1588888888888888,0.022727272727272728,0.3181818181818182,0.3409090909090909,0.0,0.4772727272727273,0.022727272727272728,0.0,0.0,0.0,0.0,0.0
2024-02-22,福岡,3,カタメン３予,3,3556,田中信一,51,大阪,55,A1,6.85,46.53,7.62,61.9,33,0.0,135,0.0,曇り,北,3,3,6.85,2,逃げ,3,0.09,1.51.0,0.1266037735849056,0.1360126582278481,0.08108108108108109,0.16216216216216217,0.21621621621621623,0.0,0.0,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.0,0.0,0.0
