レース場,レース番号,レース種別,艇番,登録番号,選手名,年齢,支部,体重,級別,全国勝率,全国2連対率,当地勝率,当地2連対率,モーター番号,モーター2連対率,ボート番号,ボート2連対率,天候,風向,風速(m),波高(cm),展示タイム,着順,決まり手,進入,スタートタイミング,レースタイム,平均ST,全体平均ST,1着率,2-3着率,逃し率
大村,1,予選,2,4685,島村隆幸,33,徳島,52,A1,7.14,50.0,7.13,47.83,22,53.33,53,61.11,晴,南西,1,1,7.04,1,差し,2,0.09,1.50.7,0.13682926829268294,0.129921568627451,0.10526315789473684,0.4473684210526316,0.0
大村,1,予選,3,4932,新開　航,28,福岡,51,A1,6.76,48.84,6.73,42.5,46,50.0,22,44.44,晴,南西,1,1,6.98,3,差し,3,0.08,1.53.7,0.14108108108108108,0.13726235741444867,0.12121212121212122,0.21212121212121213,0.5757575757575758
大村,1,予選,4,3959,坪井康晴,46,静岡,53,A1,6.67,39.39,7.11,35.71,62,42.86,19,30.43,晴,南西,1,1,6.97,2,差し,4,0.09,1.52.6,0.1255263157894737,0.1377551020408163,0.0,0.15625,0.0
大村,1,予選,5,4266,長田頼宗,39,東京,53,A1,7.07,46.34,6.79,33.33,32,42.31,43,30.43,晴,南西,1,1,6.99,5,差し,5,0.13,1.57.0,0.1572093023255814,0.14262357414448668,0.05555555555555555,0.25,0.0
大村,1,予選,6,4445,宮地元輝,37,佐賀,54,A1,7.47,55.28,7.55,58.33,44,31.82,56,33.33,晴,南西,1,1,7.02,4,差し,6,0.14,1.55.4,0.1163888888888889,0.11962962962962963,0.0,0.1875,0.0
大村,2,予選,1,4148,枝尾　賢,42,福岡,51,A1,7.04,51.3,7.79,58.82,55,36.0,48,27.27,晴,南,2,1,7.07,1,逃げ,1,0.07,1.50.7,0.10608695652173913,0.11876447876447876,0.0,0.2222222222222222,0.0
大村,2,予選,2,4502,遠藤エミ,36,滋賀,46,A1,7.24,45.54,7.34,37.5,43,50.0,76,30.77,晴,南,2,1,7.03,3,逃げ,2,0.07,1.53.6,0.13058823529411767,0.14441176470588235,0.1724137931034483,0.3103448275862069,0.0
大村,2,予選,3,4762,藤原啓史,34,岡山,50,A1,7.23,51.33,7.05,51.16,31,30.77,35,33.33,晴,南,2,1,7.02,2,逃げ,3,0.09,1.51.8,0.12704545454545454,0.11814814814814815,0.05714285714285714,0.2571428571428571,0.5428571428571428
大村,2,予選,4,4030,森高一真,46,香川,49,A1,7.29,53.97,7.24,51.35,12,24.0,31,36.36,晴,南,2,1,7.12,5,逃げ,4,0.11,1.55.6,0.1155813953488372,0.13094202898550725,0.0,0.35,0.0
大村,2,予選,5,3854,吉川元浩,51,兵庫,52,A1,7.85,56.03,7.61,57.89,27,50.0,72,26.67,晴,南,2,1,7.06,4,逃げ,5,0.13,1.53.8,0.1397142857142857,0.13554054054054054,0.02564102564102564,0.23076923076923078,0.0
大村,2,予選,6,3946,赤岩善生,48,愛知,55,A1,6.9,49.08,6.27,23.33,59,21.74,24,29.63,晴,南,2,1,7.05,6,逃げ,6,0.22,1.56.4,0.16,0.14908227848101266,0.0,0.1794871794871795,0.0
大村,3,予選,1,4547,中田竜太,36,埼玉,52,A1,6.73,41.38,7.42,50.0,69,43.75,45,41.67,晴,南西,1,1,7.03,1,逃げ,1,0.08,1.50.5,0.1304761904761905,0.13949367088607595,0.0,0.16666666666666666,0.0
大村,3,予選,2,4350,篠崎元志,38,福岡,54,A1,7.32,50.78,7.58,56.6,33,26.09,69,43.75,晴,南西,1,1,7.04,2,逃げ,3,0.13,1.52.5,0.12111111111111111,0.12953125000000001,0.39344262295081966,0.4426229508196721,0.0
大村,3,予選,3,4459,片岡雅裕,38,香川,52,A1,6.52,38.66,6.86,43.24,29,33.33,73,42.86,晴,南西,1,1,7.04,5,逃げ,4,0.11,1.55.5,0.12,0.1274308300395257,0.041666666666666664,0.6458333333333334,0.4583333333333333
大村,3,予選,4,4055,吉田俊彦,46,兵庫,54,A1,6.17,40.5,6.29,35.59,45,21.74,17,26.09,晴,南西,1,1,7.1,4,逃げ,5,0.12,1.55.5,0.15434782608695655,0.14462745098039217,0.09302325581395349,0.3488372093023256,0.0
大村,3,予選,5,3874,山本寛久,48,岡山,52,A1,6.36,44.78,6.8,60.0,20,35.71,25,25.81,晴,南西,1,1,7.07,6,逃げ,6,0.18,1.55.9,0.14872340425531916,0.14584229390681003,0.06976744186046512,0.5348837209302325,0.0
大村,3,予選,6,4044,湯川浩司,44,大阪,53,A1,6.95,46.59,6.8,30.0,49,32.0,11,25.93,晴,南西,1,1,7.06,3,逃げ,2,0.1,1.54.1,0.1506060606060606,0.13573529411764707,0.06976744186046512,0.4186046511627907,0.0
大村,4,予選,1,3942,寺田　祥,45,山口,53,A1,7.01,44.54,7.13,42.11,47,30.43,67,42.31,晴,南,2,1,7.06,1,逃げ,1,0.13,1.52.0,0.15479166666666666,0.15099173553719009,0.0,0.2894736842105263,0.0
大村,4,予選,2,4371,西山貴浩,37,福岡,52,A1,7.35,53.13,7.89,54.35,19,23.08,23,38.46,晴,南,2,1,7.1,2,逃げ,2,0.15,1.53.2,0.14,0.13229323308270677,0.2,0.4,0.0
大村,4,予選,3,4686,丸野一樹,32,滋賀,53,A1,7.1,54.81,6.17,29.17,21,50.0,33,25.0,晴,南,2,1,7.03,6,逃げ,3,0.19,1.56.4,0.14470588235294118,0.15276497695852534,0.1111111111111111,0.5555555555555556,0.7777777777777778
大村,4,予選,4,4028,田村隆信,46,徳島,56,A1,6.57,43.0,7.03,48.65,70,47.06,41,31.58,晴,南,2,1,7.09,4,逃げ,4,0.12,1.55.6,0.1431707317073171,0.13861607142857144,0.2222222222222222,0.5555555555555556,0.0
大村,4,予選,5,4494,河合佑樹,37,静岡,52,A1,7.33,56.21,6.0,25.0,30,45.45,27,46.15,晴,南,2,1,7.02,3,逃げ,5,0.1,1.54.4,0.13872340425531915,0.13800675675675675,0.0,0.1111111111111111,0.0
