日付,レース場,レース番号,レース種別,艇番,登録番号,選手名,年齢,支部,体重,級別,全国勝率,全国2連対率,当地勝率,当地2連対率,モーター番号,モーター2連対率,ボート番号,ボート2連対率,天候,風向,風速(m),波高(cm),展示タイム,着順,決まり手,進入,スタートタイミング,レースタイム,平均ST,全体平均ST,1着率,2着率,3着率,逃げ率,逃し率,差し率,まくり率,まくり差し率,差され率,まくられ率,まくり差され率
2024-03-09,戸田,12,記者選抜戦,6,4219,本岡勝利,42,広島,54,B1,4.13,16.67,2.83,16.67,63,34.33,18,28.26,晴,北西,7,5,7.05,5,まくり,6,0.22,.  .,0.2170967741935484,0.191858407079646,0.1111111111111111,0.3111111111111111,0.24444444444444444,0.0,0.5777777777777777,0.1111111111111111,0.0,0.0,0.0,0.0,0.0
2024-03-09,桐生,1,一般,1,4944,田代達也,32,東京,52,B1,3.29,21.05,4.89,38.89,62,52.78,12,37.04,晴,西,8,7,6.95,1,逃げ,1,0.14,1.14.8,0.1725,0.1611111111111111,0.14,0.16,0.26,0.0,0.0,0.0,0.02,0.12,0.0,0.0,0.0
2024-03-09,桐生,1,一般,2,3567,吉岡　誠,53,山口,56,B1,4.13,22.58,0.0,0.0,47,43.24,56,31.03,晴,西,8,7,7.11,5,逃げ,2,0.17,1.19.2,0.144,0.1592086330935251,0.10256410256410256,0.20512820512820512,0.23076923076923078,0.0,0.0,0.02564102564102564,0.0,0.05128205128205128,0.0,0.0,0.0
2024-03-09,桐生,1,一般,3,3614,谷　勝幸,51,広島,55,B1,4.65,20.95,6.57,57.14,45,35.9,69,33.33,晴,西,8,7,7.04,2,逃げ,3,0.15,1.15.8,0.174,0.1784959349593496,0.05128205128205128,0.1282051282051282,0.20512820512820512,0.0,0.0,0.0,0.0,0.05128205128205128,0.0,0.0,0.0
2024-03-09,桐生,1,一般,4,4495,森晋太郎,36,福岡,55,B1,4.87,28.26,5.0,44.44,63,37.84,43,42.11,晴,西,8,7,7.0,3,逃げ,4,0.11,1.17.3,0.1603448275862069,0.1527748691099476,0.12121212121212122,0.15151515151515152,0.21212121212121213,0.0,0.0,0.0,0.09090909090909091,0.030303030303030304,0.0,0.0,0.0
2024-03-09,桐生,1,一般,5,5304,井田涼介,20,群馬,62,B2,0.0,0.0,0.0,0.0,40,43.9,24,41.38,晴,西,8,7,7.14,6,逃げ,6,0.17,1.20.5,0.18,0.1966666666666666,0.5588235294117647,0.11764705882352941,0.17647058823529413,0.5294117647058824,0.0,0.0,0.0,0.0,0.058823529411764705,0.20588235294117646,0.08823529411764706
2024-03-09,桐生,1,一般,6,4046,谷村啓司,44,福岡,54,B1,4.35,20.45,0.0,0.0,58,51.28,71,37.74,晴,西,8,7,7.02,4,逃げ,5,0.08,1.18.7,0.1618181818181818,0.1901744186046511,0.05263157894736842,0.10526315789473684,0.21052631578947367,0.0,0.6052631578947368,0.05263157894736842,0.0,0.0,0.0,0.0,0.0
2024-03-09,桐生,2,一般,1,5212,西川拓利,25,福岡,57,B1,3.69,15.58,0.0,0.0,16,31.58,64,48.28,晴,西,8,8,7.02,4,まくり,1,0.18,1.16.4,0.1623076923076923,0.1741592920353982,0.02631578947368421,0.23684210526315788,0.2894736842105263,0.0,0.0,0.0,0.02631578947368421,0.0,0.0,0.0,0.0
2024-03-09,桐生,2,一般,2,3445,加藤高史,54,埼玉,54,A2,4.85,22.95,4.98,24.53,59,36.11,17,34.55,晴,西,8,8,7.06,6,まくり,2,0.27,1.19.7,0.1803225806451613,0.1872192513368983,0.10714285714285714,0.21428571428571427,0.25,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0
2024-03-09,桐生,2,一般,3,5234,塚越海斗,25,群馬,53,B1,5.01,27.06,3.11,12.22,49,35.0,70,20.93,晴,西,8,8,7.05,1,まくり,3,0.18,1.14.3,0.178,0.1690232558139535,0.08108108108108109,0.02702702702702703,0.21621621621621623,0.0,0.0,0.0,0.02702702702702703,0.05405405405405406,0.0,0.0,0.0
