レース場,レース番号,レース種別,艇番,登録番号,選手名,年齢,支部,体重,級別,全国勝率,全国2連対率,当地勝率,当地2連対率,モーター番号,モーター2連対率,ボート番号,ボート2連対率,天候,風向,風速(m),波高(cm),展示タイム,着順,決まり手,進入,スタートタイミング,レースタイム,平均ST,全体平均ST,1着率,2-3着率,逃し率
大村,1,一般,1,3501,川上昇平,55,長崎,55,B1,4.13,20.39,5.47,34.51,31,0.0,34,0.0,雨,南西,3,2,7.08,1,逃げ,1,0.13,1.52.9,0.15484848484848485,0.14818627450980393,0.13157894736842105,0.42105263157894735,0.0
大村,1,一般,2,4432,黄金井力,38,埼玉,56,B1,5.99,38.46,5.53,35.29,55,0.0,48,0.0,雨,南西,3,2,7.06,3,逃げ,2,0.17,1.55.2,0.17285714285714285,0.15621890547263684,0.11428571428571428,0.2857142857142857,0.5714285714285714
大村,1,一般,3,4179,広次　修,41,山口,52,B1,5.15,29.35,5.37,36.67,29,0.0,32,0.0,雨,南西,3,2,7.04,4,逃げ,3,0.21,1.56.4,0.14454545454545456,0.1515748031496063,0.06060606060606061,0.15151515151515152,0.0
大村,1,一般,4,4164,岩永節也,42,長崎,53,B1,3.81,18.75,4.01,20.18,14,0.0,54,0.0,雨,南西,3,2,7.09,5,逃げ,4,0.27,.  .,0.1825,0.18095238095238095,0.05555555555555555,0.25,0.0
大村,1,一般,5,4270,岸本雄貴,42,三重,62,B1,4.09,19.1,3.94,23.53,40,0.0,55,0.0,雨,南西,3,2,7.13,6,逃げ,5,0.29,.  .,0.19333333333333333,0.1794,0.0,0.17647058823529413,0.0
大村,1,一般,6,5181,森　智哉,26,岡山,51,B1,4.91,29.63,2.34,5.71,15,0.0,40,0.0,雨,南西,3,2,7.1,2,逃げ,6,0.24,1.54.1,0.1684,0.1653,0.0,0.2962962962962963,0.0
大村,2,一般,1,4771,下寺秀和,31,広島,54,A2,6.55,48.86,5.23,45.45,41,0.0,57,0.0,雨,南西,4,3,7.16,1,逃げ,1,0.09,1.52.0,0.14333333333333334,0.13321888412017166,0.13333333333333333,0.3333333333333333,0.0
大村,2,一般,2,5137,川原　涼,24,愛知,54,B1,4.37,23.46,0.0,0.0,57,0.0,21,0.0,雨,南西,4,3,7.1,6,逃げ,2,0.15,.  .,0.1631578947368421,0.1594054054054054,0.08333333333333333,0.3055555555555556,0.5833333333333334
大村,2,一般,3,4314,青木幸太,40,福岡,51,B1,5.26,35.96,6.2,50.0,34,0.0,11,0.0,雨,南西,4,3,7.04,5,逃げ,3,0.1,.  .,0.126875,0.13959390862944163,0.0,0.4,0.0
大村,2,一般,4,4161,黒柳浩孝,42,愛知,55,A2,6.16,38.73,5.73,45.45,43,0.0,51,0.0,雨,南西,4,3,7.03,2,逃げ,4,0.11,1.55.2,0.15250000000000002,0.1597222222222222,0.02564102564102564,0.2564102564102564,0.0
