ì˙ït,ÉåÅ[ÉXèÍ,ÉåÅ[ÉXî‘çÜ,ÉåÅ[ÉXéÌï ,í¯î‘,ìoò^î‘çÜ,ëIéËñº,îNóÓ,éxïî,ëÃèd,ãâï ,ëSçëèüó¶,ëSçë2òAëŒó¶,ìñínèüó¶,ìñín2òAëŒó¶,ÉÇÅ[É^Å[î‘çÜ,ÉÇÅ[É^Å[2òAëŒó¶,É{Å[Égî‘çÜ,É{Å[Ég2òAëŒó¶,ìVåÛ,ïóå¸,ïóë¨(m),îgçÇ(cm),ìWé¶É^ÉCÉÄ,íÖèá,åàÇ‹ÇËéË,êiì¸,ÉXÉ^Å[ÉgÉ^ÉCÉ~ÉìÉO,ÉåÅ[ÉXÉ^ÉCÉÄ,ïΩãœST,ëSëÃïΩãœST,èüóòâÒêî,èoëñêî,2íÖâÒêî,3íÖâÒêî,ì¶Ç∞,ì¶Çµ,ç∑Çµ,Ç‹Ç≠ÇË,Ç‹Ç≠ÇËç∑Çµ,ç∑Ç≥ÇÍ,Ç‹Ç≠ÇÁÇÍ,Ç‹Ç≠ÇËç∑Ç≥ÇÍ,1íÖó¶,2íÖó¶,3íÖó¶,ì¶Ç∞ó¶,ì¶Çµó¶,ç∑Çµó¶,Ç‹Ç≠ÇËó¶,Ç‹Ç≠ÇËç∑Çµó¶,ç∑Ç≥ÇÍó¶,Ç‹Ç≠ÇÁÇÍó¶,Ç‹Ç≠ÇËç∑Ç≥ÇÍó¶
2023-04-26,ëÂë∫,1,ó\ëI,1,4395,â∫âÕâÎéj,36,ïüâ™,55,B1,5.15,28.57,5.58,35.14,49,34.44,67,39.1,ê∞,êº,3,2,6.89,2,ç∑Çµ,1,0.11,1.56.5,0.1464864864864865,0.1610176991150442,21,37,7,2,20,0,0,0,0,5,2,5,0.5675675675675675,0.1891891891891892,0.05405405405405406,0.5405405405405406,0.0,0.0,0.0,0.0,0.13513513513513514,0.05405405405405406,0.13513513513513514
2023-04-26,ëÂë∫,1,ó\ëI,3,4991,è@çsé°ç∆,25,çLìá,52,B1,4.63,28.95,4.88,28.57,12,34.12,83,40.88,ê∞,êº,3,2,6.87,1,ç∑Çµ,2,0.1,1.54.3,0.1778787878787879,0.189247311827957,4,33,6,6,0,0,0,3,1,0,0,0,0.12121212121212122,0.18181818181818182,0.18181818181818182,0.0,0.0,0.0,0.09090909090909091,0.030303030303030304,0.0,0.0,0.0
2023-04-26,ëÂë∫,1,ó\ëI,4,5167,è¨êÏó≥ëæ,22,çÈã ,54,B1,4.36,22.22,0.0,0.0,43,43.72,81,31.1,ê∞,êº,3,2,6.86,3,ç∑Çµ,3,0.05,1.59.6,0.1455555555555555,0.1528813559322034,2,36,3,9,0,0,0,2,0,0,0,0,0.05555555555555555,0.08333333333333333,0.25,0.0,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.0
2023-04-26,ëÂë∫,1,ó\ëI,6,5277,à‰è„ñ¢ìs,20,ïüâ™,46,B2,1.27,0.0,0.0,0.0,58,36.22,39,39.1,ê∞,êº,3,2,6.84,4,ç∑Çµ,5,0.2,2.02.1,0.1914634146341463,0.1832432432432432,0,41,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.024390243902439025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-04-26,ëÂë∫,2,ó\ëI,1,4890,êŒêÏÅ@ó»,34,éRå˚,53,B1,4.98,32.73,4.74,21.05,29,36.76,25,32.88,ê∞,êº,3,2,6.92,1,ì¶Ç∞,1,0.21,1.49.6,0.16,0.155787037037037,15,27,4,2,14,0,0,0,0,5,4,3,0.5555555555555556,0.14814814814814814,0.07407407407407407,0.5185185185185185,0.0,0.0,0.0,0.0,0.18518518518518517,0.14814814814814814,0.1111111111111111
2023-04-26,ëÂë∫,2,ó\ëI,2,5122,ëäînÅ@„ƒ,21,çÈã ,55,B1,4.24,24.0,6.25,50.0,45,28.9,16,35.03,ê∞,êº,3,2,6.93,2,ì¶Ç∞,2,0.22,1.50.9,0.1594736842105263,0.1645408163265306,2,38,3,7,0,20,0,2,0,0,0,0,0.05263157894736842,0.07894736842105263,0.18421052631578946,0.0,0.5263157894736842,0.0,0.05263157894736842,0.0,0.0,0.0,0.0
2023-04-26,ëÂë∫,2,ó\ëI,3,4879,éRçËìSïΩ,28,ç≤âÍ,53,B1,4.44,24.47,5.18,26.67,48,34.81,85,38.56,ê∞,êº,3,2,6.96,3,ì¶Ç∞,3,0.27,1.52.8,0.1524324324324324,0.1668205128205128,2,37,10,8,0,0,0,2,0,0,0,0,0.05405405405405406,0.2702702702702703,0.21621621621621623,0.0,0.0,0.0,0.05405405405405406,0.0,0.0,0.0,0.0
2023-04-26,ëÂë∫,2,ó\ëI,4,5138,ë∫ñ{ëÂê¨,22,ïüâ™,53,B1,2.72,7.87,1.8,4.35,22,41.07,75,36.54,ê∞,êº,3,2,6.95,6,ì¶Ç∞,4,0.33,.  .,0.1746666666666666,0.1862637362637362,1,30,1,2,0,0,0,1,0,0,0,0,0.03333333333333333,0.03333333333333333,0.06666666666666667,0.0,0.0,0.0,0.03333333333333333,0.0,0.0,0.0,0.0
2023-04-26,ëÂë∫,2,ó\ëI,5,5155,ì‡éRéµäC,26,ïüâ™,44,B1,4.14,24.0,2.5,8.33,54,27.63,14,34.46,ê∞,êº,3,2,6.91,5,ì¶Ç∞,5,0.29,.  .,0.2002702702702702,0.1851173708920187,1,37,4,2,0,0,0,0,1,0,0,0,0.02702702702702703,0.10810810810810811,0.05405405405405406,0.0,0.0,0.0,0.0,0.02702702702702703,0.0,0.0,0.0
2023-04-26,ëÂë∫,2,ó\ëI,6,4693,èºâ∫ó_ém,39,ïüâ™,54,B1,4.42,23.81,3.93,17.78,33,35.36,48,33.54,ê∞,êº,3,2,6.84,4,ì¶Ç∞,6,0.27,1.54.4,0.1748484848484848,0.1718777292576419,0,33,2,2,0,0,0,0,0,0,0,0,0.0,0.06060606060606061,0.06060606060606061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
