日付,レース場,レース番号,レース種別,艇番,登録番号,選手名,年齢,支部,体重,級別,全国勝率,全国2連対率,当地勝率,当地2連対率,モーター番号,モーター2連対率,ボート番号,ボート2連対率,天候,風向,風速(m),波高(cm),展示タイム,着順,決まり手,進入,スタートタイミング,レースタイム,平均ST,全体平均ST,1着率,2-3着率,逃し率
2024-07-21,唐津,1,朝１戦予選,1,4941,孫崎百世,35,滋賀,46,A2,4.92,30.16,4.59,20.69,44,36.21,31,21.95,晴,南,3,3,6.63,2,まくり差し,1,0.2,1.52.7,0.21222222222222223,0.18328358208955225,0.10526315789473684,0.4473684210526316,0.0
2024-07-21,唐津,1,朝１戦予選,2,4200,早川尚人,42,大阪,55,B1,4.5,23.33,4.3,20.0,53,30.14,88,36.47,晴,南,3,3,6.66,4,まくり差し,2,0.17,1.54.8,0.17416666666666666,0.1690625,0.12121212121212122,0.21212121212121213,0.5757575757575758
2024-07-21,唐津,1,朝１戦予選,3,3892,草場康幸,48,佐賀,52,B1,5.71,35.35,5.36,29.17,30,40.35,44,40.96,晴,南,3,3,6.62,1,まくり差し,3,0.14,1.52.1,0.15425,0.1591891891891892,0.0,0.15625,0.0
2024-07-21,唐津,1,朝１戦予選,4,3501,川上昇平,55,長崎,55,B1,3.88,18.1,4.74,22.08,33,36.05,52,35.56,晴,南,3,3,6.72,6,まくり差し,4,0.12,1.57.9,0.1284375,0.14903381642512079,0.05555555555555555,0.25,0.0
2024-07-21,唐津,1,朝１戦予選,5,5143,常盤海心,23,徳島,55,B1,2.5,8.0,2.55,5.0,56,32.73,74,30.0,晴,南,3,3,6.74,3,まくり差し,5,0.07,1.52.9,0.18176470588235294,0.20148148148148148,0.0,0.1875,0.0
2024-07-21,唐津,1,朝１戦予選,6,5330,安河内鈴,20,福岡,52,B1,3.45,10.84,0.0,0.0,34,34.15,65,27.5,晴,南,3,3,6.7,5,まくり差し,6,0.15,1.56.2,0.17376811594202898,0.1700869565217391,0.0,0.2222222222222222,0.0
2024-07-21,唐津,2,モー２ング予,1,3951,石川吉鎬,48,大阪,55,A2,5.8,33.63,5.21,28.57,24,40.45,59,32.18,晴,南西,3,3,6.7,1,逃げ,1,0.16,1.51.4,0.18177777777777776,0.17485596707818932,0.1724137931034483,0.3103448275862069,0.0
2024-07-21,唐津,2,モー２ング予,2,4133,高橋正男,44,兵庫,53,A1,6.22,44.93,0.0,0.0,47,34.31,64,38.82,晴,南西,3,3,6.69,2,逃げ,2,0.15,1.52.5,0.14581395348837212,0.14770114942528734,0.08333333333333333,0.25,0.5277777777777778
2024-07-21,唐津,2,モー２ング予,3,4299,中島浩哉,41,長崎,56,B1,3.75,19.32,3.75,15.09,50,33.76,69,38.55,晴,南西,3,3,6.72,6,逃げ,3,0.25,1.57.2,0.15472222222222223,0.14756613756613757,0.0,0.35,0.0
2024-07-21,唐津,2,モー２ング予,4,4037,別府正幸,45,埼玉,52,B1,4.56,26.23,6.0,50.0,29,38.61,84,21.79,晴,南西,3,3,6.68,3,逃げ,4,0.16,1.54.5,0.18500000000000003,0.17153846153846156,0.025,0.225,0.0
2024-07-21,唐津,2,モー２ング予,5,3627,井上恵一,54,福岡,54,B1,4.31,18.18,4.63,29.17,35,24.62,40,25.76,晴,南西,3,3,6.78,5,逃げ,5,0.17,1.56.2,0.20628571428571427,0.19154589371980676,0.0,0.1794871794871795,0.0
2024-07-21,唐津,2,モー２ング予,6,5218,山田理央,24,香川,46,B1,4.99,25.81,0.0,0.0,65,31.46,36,30.49,晴,南西,3,3,6.73,4,逃げ,6,0.24,1.54.6,0.2181818181818182,0.17103092783505155,0.0,0.16666666666666666,0.0
2024-07-21,唐津,3,３ライズ戦予,1,4645,上村純一,44,群馬,55,A2,6.36,48.6,7.63,62.5,69,30.88,85,25.61,晴,南西,4,4,6.69,3,逃げ,2,0.28,1.54.2,0.13036363636363638,0.13126436781609194,0.4,0.45,0.0
2024-07-21,唐津,3,３ライズ戦予,2,4822,百武　翔,31,佐賀,51,B1,4.86,30.28,4.96,25.25,63,34.1,66,25.88,晴,南西,4,4,6.68,1,逃げ,1,0.28,1.51.3,0.17542857142857143,0.18772727272727274,0.041666666666666664,0.6458333333333334,0.4583333333333333
2024-07-21,唐津,3,３ライズ戦予,3,4437,中田元泰,38,香川,55,A1,6.55,46.73,7.11,57.89,40,31.05,89,29.07,晴,南西,4,4,6.67,2,逃げ,3,0.29,1.52.2,0.1392857142857143,0.15058139534883722,0.09523809523809523,0.35714285714285715,0.0
2024-07-21,唐津,3,３ライズ戦予,4,5287,滝沢織寧,24,埼玉,47,B1,2.74,8.06,0.0,0.0,58,26.96,63,41.76,晴,南西,4,4,6.69,6,逃げ,4,0.39,1.57.3,0.18782608695652175,0.19984375,0.06976744186046512,0.5348837209302325,0.0
2024-07-21,唐津,3,３ライズ戦予,5,5162,松尾怜実,24,福岡,45,B1,4.03,16.67,3.42,9.68,68,27.84,81,33.33,晴,南西,4,4,6.75,5,逃げ,5,0.35,1.55.2,0.19,0.1791566265060241,0.07142857142857142,0.40476190476190477,0.0
2024-07-21,唐津,3,３ライズ戦予,6,5200,筒井美琴,22,福岡,47,B2,2.48,4.84,1.44,0.0,59,35.12,90,57.14,晴,南西,4,4,6.66,4,逃げ,6,0.36,1.55.2,0.20600000000000002,0.20224299065420562,0.0,0.2894736842105263,0.0
2024-07-21,唐津,4,おは４戦予選,1,4965,福岡泉水,26,兵庫,50,B1,4.1,23.08,5.44,22.22,49,37.79,37,38.27,晴,南西,3,3,6.66,1,逃げ,1,0.11,1.50.9,0.166875,0.16892857142857143,0.2,0.4,0.0
2024-07-21,唐津,4,おは４戦予選,2,4364,池永　太,39,福岡,55,A1,7.19,51.68,7.63,60.0,21,29.57,73,33.33,晴,南西,3,3,6.71,2,逃げ,2,0.09,1.52.4,0.13115384615384615,0.14198717948717948,0.1111111111111111,0.5555555555555556,0.7777777777777778
2024-07-21,唐津,4,おは４戦予選,3,4992,廣瀬篤哉,26,滋賀,55,B1,4.19,22.67,1.0,0.0,52,34.86,77,29.21,晴,南西,3,3,6.69,3,逃げ,4,0.14,1.53.4,0.15696969696969695,0.15804232804232804,0.2222222222222222,0.5555555555555556,0.0
2024-07-21,唐津,4,おは４戦予選,4,4982,中村将隆,27,兵庫,52,B1,4.09,16.67,0.0,0.0,42,34.33,60,32.56,晴,南西,3,3,6.7,5,逃げ,3,0.16,1.55.0,0.14473684210526316,0.1641747572815534,0.0,0.1111111111111111,0.0
2024-07-21,唐津,4,おは４戦予選,5,3918,深井利寿,49,滋賀,52,A1,6.71,51.11,7.53,63.16,26,31.75,39,35.71,晴,南西,3,3,6.75,4,逃げ,5,0.14,1.53.8,0.18000000000000002,0.17390510948905108,0.0,0.1111111111111111,0.0
2024-07-21,唐津,4,おは４戦予選,6,4904,松本一毅,29,大阪,52,A2,5.71,38.39,4.97,26.67,60,34.6,41,29.21,晴,南西,3,3,6.72,6,逃げ,6,0.14,1.56.8,0.20666666666666667,0.1632286995515695,0.0,0.2,0.0
2024-07-21,唐津,5,予選特賞Ｂ,1,4568,廣瀬真也,36,東京,51,B1,5.55,34.69,5.24,23.53,23,40.18,87,36.9,雨,西,4,4,6.68,1,逃げ,1,0.12,1.50.5,0.1284375,0.138,0.5384615384615384,0.23076923076923078,0.0
2024-07-21,唐津,5,予選特賞Ｂ,2,4216,星　栄爾,39,静岡,54,B1,5.13,30.56,4.95,34.21,25,27.27,86,23.33,雨,西,4,4,6.73,3,逃げ,2,0.18,1.52.8,0.1821276595744681,0.15960159362549803,0.07142857142857142,0.42857142857142855,0.6428571428571429
2024-07-21,唐津,5,予選特賞Ｂ,3,5143,常盤海心,23,徳島,55,B1,2.5,8.0,2.55,5.0,56,32.73,74,30.0,雨,西,4,4,6.73,6,逃げ,3,0.28,1.57.4,0.22149999999999997,0.20148148148148148,0.0,0.2857142857142857,0.0
2024-07-21,唐津,5,予選特賞Ｂ,4,4450,平高奈菜,37,香川,47,A2,6.26,45.22,5.95,36.84,13,38.57,76,47.37,雨,西,4,4,6.72,4,逃げ,4,0.23,1.53.9,0.155,0.17185022026431718,0.09090909090909091,0.36363636363636365,0.0
2024-07-21,唐津,5,予選特賞Ｂ,5,5075,中島秀治,28,滋賀,54,A1,6.71,54.23,3.56,11.11,11,29.47,75,27.71,雨,西,4,4,6.7,2,逃げ,5,0.19,1.52.2,0.1653658536585366,0.16166077738515902,0.0,0.2222222222222222,0.0
2024-07-21,唐津,5,予選特賞Ｂ,6,3478,嶋田貴支,53,香川,53,B1,4.78,23.26,6.14,47.62,55,31.51,83,45.78,雨,西,4,4,6.65,5,逃げ,6,0.26,1.55.6,0.215,0.18968911917098447,0.0,0.2857142857142857,0.0
2024-07-21,唐津,6,予選,1,3501,川上昇平,55,長崎,55,B1,3.88,18.1,4.74,22.08,33,36.05,52,35.56,晴,北西,1,1,6.73,5,まくり,1,0.14,1.55.7,0.159375,0.14903381642512079,0.5,0.5,0.0
2024-07-21,唐津,6,予選,2,4420,津久井拓,36,群馬,54,A2,5.43,36.36,3.0,11.11,46,35.05,82,35.29,晴,北西,1,1,6.75,6,まくり,2,0.18,1.56.5,0.13488372093023254,0.1455719557195572,0.14285714285714285,0.2857142857142857,0.42857142857142855
2024-07-21,唐津,6,予選,3,5255,藤原仙二,20,滋賀,53,B1,4.96,25.77,0.0,0.0,17,35.16,58,34.09,晴,北西,1,1,6.72,3,まくり,3,0.15,1.53.8,0.14166666666666666,0.16453271028037383,0.0,0.2857142857142857,0.0
2024-07-21,唐津,6,予選,4,4794,和田拓也,34,兵庫,54,A1,6.79,50.64,6.39,48.78,16,38.21,79,42.17,晴,北西,1,1,6.7,1,まくり,4,0.09,1.50.8,0.13527777777777777,0.13846473029045642,0.1111111111111111,0.4444444444444444,0.0
2024-07-21,唐津,6,予選,5,4184,渡邊雄一,38,大阪,51,A2,6.43,51.75,6.86,54.76,28,38.67,68,26.19,晴,北西,1,1,6.79,2,まくり,5,0.04,1.52.0,0.17742857142857144,0.16493273542600898,0.16666666666666666,0.16666666666666666,0.0
2024-07-21,唐津,6,予選,6,4299,中島浩哉,41,長崎,56,B1,3.75,19.32,3.75,15.09,50,33.76,69,38.55,晴,北西,1,1,6.74,4,まくり,6,0.1,1.54.5,0.15514285714285714,0.14756613756613757,0.0,0.3333333333333333,0.0
2024-07-21,唐津,7,予選,1,3627,井上恵一,54,福岡,54,B1,4.31,18.18,4.63,29.17,35,24.62,40,25.76,雨,西,2,2,6.74,1,逃げ,1,0.19,1.51.3,0.18392857142857144,0.19154589371980676,0.42424242424242425,0.3939393939393939,0.0
2024-07-21,唐津,7,予選,2,4437,中田元泰,38,香川,55,A1,6.55,46.73,7.11,57.89,40,31.05,89,29.07,雨,西,2,2,6.71,3,逃げ,2,0.2,1.52.8,0.15347826086956523,0.15058139534883722,0.09803921568627451,0.47058823529411764,0.37254901960784315
2024-07-21,唐津,7,予選,3,4189,川上　剛,43,福岡,55,A1,6.02,45.68,6.9,60.0,20,31.9,43,36.9,雨,西,2,2,6.76,4,逃げ,3,0.16,1.55.1,0.1549090909090909,0.1584684684684685,0.2127659574468085,0.3191489361702128,0.0
2024-07-21,唐津,7,予選,4,4154,森安弘雅,44,香川,54,B1,5.27,33.94,4.2,10.0,64,36.74,35,25.0,雨,西,2,2,6.73,6,逃げ,4,0.18,1.57.5,0.17045454545454544,0.1771923076923077,0.3333333333333333,0.3333333333333333,0.0
2024-07-21,唐津,7,予選,5,3955,眞田英二,47,徳島,52,B1,5.4,38.78,5.65,41.94,61,30.14,46,45.0,雨,西,2,2,6.81,5,逃げ,5,0.14,1.56.4,0.20903225806451614,0.18594202898550727,0.17307692307692307,0.46153846153846156,0.0
2024-07-21,唐津,7,予選,6,4204,柴田大輔,41,福岡,52,B1,3.88,23.53,4.69,22.86,27,37.2,49,32.05,雨,西,2,2,6.68,2,逃げ,6,0.13,1.52.4,0.24192307692307694,0.21929411764705883,0.19047619047619047,0.5,0.0
2024-07-21,唐津,8,予選,1,4037,別府正幸,45,埼玉,52,B1,4.56,26.23,6.0,50.0,29,38.61,84,21.79,晴,西,1,1,6.6,2,まくり差し,1,0.27,1.52.1,0.14333333333333334,0.17153846153846156,0.3684210526315789,0.2631578947368421,0.0
2024-07-21,唐津,8,予選,2,3489,大場　敏,57,静岡,52,A2,5.93,40.5,6.18,45.45,38,30.04,32,28.57,晴,西,1,1,6.66,4,まくり差し,2,0.32,1.54.4,0.15545454545454546,0.15658536585365854,0.1,0.35,0.55
2024-07-21,唐津,8,予選,3,5132,中野希一,25,埼玉,52,B1,4.5,28.38,4.71,28.57,43,40.45,33,31.52,晴,西,1,1,6.73,3,まくり差し,3,0.31,1.53.5,0.151,0.1711801242236025,0.0,0.36363636363636365,0.0
2024-07-21,唐津,8,予選,4,4759,今泉友吾,34,東京,52,A1,6.88,51.18,5.21,31.58,48,40.26,67,40.0,晴,西,1,1,6.62,1,まくり差し,5,0.26,1.50.3,0.1894,0.16488461538461538,0.0,0.47619047619047616,0.0
2024-07-21,唐津,8,予選,5,4995,田邉亮蔵,33,東京,55,B1,3.99,14.63,5.56,33.33,19,38.53,47,38.3,晴,西,1,1,6.65,5,まくり差し,6,0.33,1.55.1,0.20466666666666666,0.19679558011049722,0.0,0.23529411764705882,0.0
2024-07-21,唐津,8,予選,6,4196,田中太一,42,佐賀,52,B1,4.32,24.27,4.98,30.23,51,37.56,42,31.76,晴,西,1,1,6.73,6,まくり差し,4,0.32,1.58.9,0.19466666666666665,0.17545454545454547,0.0,0.23529411764705882,0.0
2024-07-21,唐津,9,予選,1,4450,平高奈菜,37,香川,47,A2,6.26,45.22,5.95,36.84,13,38.57,76,47.37,晴,西,1,1,6.7,2,まくり差し,1,0.13,1.52.0,0.1748,0.17185022026431718,0.53125,0.375,0.0
2024-07-21,唐津,9,予選,2,5218,山田理央,24,香川,46,B1,4.99,25.81,0.0,0.0,65,31.46,36,30.49,晴,西,1,1,6.69,3,まくり差し,2,0.12,1.54.0,0.14763157894736842,0.17103092783505155,0.034482758620689655,0.7241379310344828,0.5862068965517241
2024-07-21,唐津,9,予選,3,4941,孫崎百世,35,滋賀,46,A2,4.92,30.16,4.59,20.69,44,36.21,31,21.95,晴,西,1,1,6.74,1,まくり差し,3,0.06,1.50.4,0.19214285714285714,0.18328358208955225,0.11538461538461539,0.46153846153846156,0.0
2024-07-21,唐津,9,予選,4,4965,福岡泉水,26,兵庫,50,B1,4.1,23.08,5.44,22.22,49,37.79,37,38.27,晴,西,1,1,6.7,4,まくり差し,4,0.39,1.54.9,0.15,0.16892857142857143,0.16666666666666666,0.25,0.0
2024-07-21,唐津,9,予選,5,5003,来田衣織,28,兵庫,47,B1,3.94,18.18,5.19,38.89,37,35.43,34,27.59,晴,西,1,1,6.72,5,まくり差し,5,0.35,1.56.6,0.17240000000000003,0.19379310344827586,0.08333333333333333,0.20833333333333334,0.0
2024-07-21,唐津,9,予選,6,5287,滝沢織寧,24,埼玉,47,B1,2.74,8.06,0.0,0.0,58,26.96,63,41.76,晴,西,1,1,6.71,6,まくり差し,6,0.26,1.57.0,0.20323529411764707,0.19984375,0.047619047619047616,0.2857142857142857,0.0
2024-07-21,若松,1,予選,1,3928,林　恵祐,48,福岡,62,B1,3.93,21.36,4.0,23.66,7,41.43,55,17.14,晴,西,3,3,6.92,1,逃げ,1,0.26,1.53.4,0.15928571428571428,0.17443396226415092,0.11538461538461539,0.34615384615384615,0.0
2024-07-21,若松,1,予選,2,4103,山崎善庸,45,埼玉,53,B1,4.43,26.09,3.86,14.29,27,40.52,23,60.61,晴,西,3,3,6.9,3,逃げ,2,0.24,1.55.6,0.21853658536585369,0.22876237623762377,0.030303030303030304,0.3333333333333333,0.6363636363636364
2024-07-21,若松,1,予選,3,3883,山根大樹,50,広島,57,B2,2.9,7.94,4.78,22.22,46,38.56,17,20.83,晴,西,3,3,6.91,4,逃げ,3,0.19,1.57.0,0.14130434782608695,0.17589147286821707,0.037037037037037035,0.2222222222222222,0.0
2024-07-21,若松,1,予選,4,5351,齊藤　廉,19,福岡,53,B2,1.63,3.13,1.9,0.0,48,36.91,63,29.17,晴,西,3,3,6.92,6,逃げ,6,0.12,.  .,0.11499999999999999,0.18181818181818182,0.0,0.2,0.0
2024-07-21,若松,1,予選,5,4962,畑　竜生,27,三重,52,B1,5.17,32.5,0.0,0.0,22,32.89,74,60.71,晴,西,3,3,6.87,2,逃げ,4,0.14,1.54.5,0.16232558139534883,0.16465753424657537,0.0,0.22580645161290322,0.0
2024-07-21,若松,1,予選,6,4202,浮田圭浩,41,岡山,52,B1,4.62,27.34,3.88,18.75,26,38.36,43,42.86,晴,西,3,3,6.89,5,逃げ,5,0.15,.  .,0.21088235294117647,0.1975478927203065,0.0,0.3333333333333333,0.0
