日付,レース場,レース番号,レース種別,艇番,登録番号,選手名,年齢,支部,体重,級別,全国勝率,全国2連対率,当地勝率,当地2連対率,モーター番号,モーター2連対率,ボート番号,ボート2連対率,天候,風向,風速(m),波高(cm),展示タイム,着順,決まり手,進入,スタートタイミング,レースタイム,平均ST,全体平均ST,1着率,2-3着率,逃し率
2024-09-24,大村,1,予選,1,4251,川崎誠志,41,山口,52,B1,4.41,24.19,4.38,25.0,53,43.75,46,28.57,晴,北西,1,1,6.87,1,逃げ,1,0.16,1.49.4,0.18,0.1990234375,0.1111111111111111,0.4444444444444444,0.0
2024-09-24,大村,1,予選,2,5086,本村　大,25,長崎,53,B1,3.82,23.33,5.05,28.9,56,29.31,28,22.41,晴,北西,1,1,6.88,2,逃げ,2,0.08,1.50.9,0.17857142857142858,0.16175324675324676,0.10344827586206896,0.27586206896551724,0.6206896551724138
2024-09-24,大村,1,予選,3,4695,尾崎雄二,38,長崎,55,B1,5.09,25.89,4.82,26.32,71,37.5,65,45.28,晴,北西,1,1,6.87,3,逃げ,3,0.05,1.52.1,0.17129032258064517,0.1738118811881188,0.0,0.1935483870967742,0.0
2024-09-24,大村,1,予選,4,5236,小宮涼雅,25,岡山,54,B1,2.99,6.25,0.0,0.0,35,30.36,24,31.58,晴,北西,1,1,6.97,6,逃げ,4,0.14,.  .,0.1813157894736842,0.1735323383084577,0.09090909090909091,0.21212121212121213,0.0
2024-09-24,大村,1,予選,5,3477,近藤稔也,54,徳島,52,B1,4.18,22.45,3.82,16.33,19,24.07,18,43.64,晴,北西,1,1,6.93,4,逃げ,5,0.1,1.54.1,0.16971428571428573,0.18407582938388628,0.0,0.20689655172413793,0.0
2024-09-24,大村,1,予選,6,5348,小林甘寧,20,広島,53,B2,1.66,0.0,0.0,0.0,50,29.82,36,26.42,晴,北西,1,1,6.97,5,逃げ,6,0.05,.  .,0.16025,0.16047619047619047,0.0,0.22727272727272727,0.0
2024-09-24,大村,2,予選,1,4425,大井清貴,39,山口,55,B1,3.79,15.07,4.5,26.67,18,45.0,76,29.51,晴,北西,1,1,6.97,1,逃げ,1,0.14,1.49.4,0.1684,0.18121546961325966,0.18518518518518517,0.3333333333333333,0.0
2024-09-24,大村,2,予選,2,3944,山口裕二,45,長崎,53,A2,6.0,41.27,6.16,43.6,44,31.15,48,37.93,晴,北西,1,1,6.95,2,逃げ,2,0.12,1.51.1,0.158974358974359,0.16499999999999998,0.07894736842105263,0.23684210526315788,0.4473684210526316
2024-09-24,大村,2,予選,3,3797,岩井　繁,51,広島,61,B1,4.17,21.43,3.84,17.78,66,24.07,38,35.59,晴,北西,1,1,6.98,5,逃げ,3,0.17,.  .,0.18153846153846154,0.18518828451882843,0.0,0.42105263157894735,0.0
2024-09-24,大村,2,予選,4,4710,福田宗平,34,大阪,52,A1,6.09,41.91,5.51,31.43,47,29.51,43,30.51,晴,北西,1,1,6.92,3,逃げ,4,0.14,1.52.3,0.13787234042553193,0.14531598513011154,0.02631578947368421,0.2631578947368421,0.0
2024-09-24,大村,2,予選,5,5177,松井貫太,28,福岡,50,B1,3.44,12.82,2.33,5.13,67,20.0,70,42.59,晴,北西,1,1,6.92,4,逃げ,5,0.23,1.53.8,0.1843181818181818,0.18122881355932205,0.02702702702702703,0.1891891891891892,0.0
2024-09-24,大村,2,予選,6,3981,今坂晃広,47,静岡,52,B1,4.26,24.56,4.8,10.0,22,55.0,30,22.95,晴,北西,1,1,6.98,6,逃げ,6,0.27,.  .,0.1796,0.16113445378151262,0.0,0.24,0.0
2024-09-24,大村,3,予選,1,4340,土性雅也,40,三重,56,B1,4.35,21.62,4.67,33.33,65,39.62,37,51.72,晴,北西,1,1,6.94,1,逃げ,1,0.17,1.49.6,0.17300000000000001,0.19645631067961164,0.375,0.44642857142857145,0.0
2024-09-24,大村,3,予選,2,4260,中越博紀,40,香川,55,A2,5.5,35.07,5.73,36.36,23,29.63,40,29.31,晴,北西,1,1,6.96,3,逃げ,2,0.15,1.52.9,0.1715217391304348,0.16137323943661971,0.06976744186046512,0.6046511627906976,0.4418604651162791
2024-09-24,大村,3,予選,3,5068,前田　滉,24,愛知,51,A1,6.62,51.4,0.0,0.0,74,14.81,22,40.35,晴,北西,1,1,6.89,2,逃げ,3,0.15,1.50.9,0.13741935483870968,0.15093264248704663,0.09090909090909091,0.38636363636363635,0.0
2024-09-24,大村,3,予選,4,5336,瀬川大地,18,山口,53,B2,1.27,0.0,1.38,0.0,12,36.51,34,26.67,晴,北西,1,1,6.97,6,逃げ,4,0.15,.  .,0.245,0.23046875,0.075,0.55,0.0
2024-09-24,大村,3,予選,5,3843,上之晃弘,48,長崎,54,B1,4.78,28.0,5.0,29.28,29,41.38,56,37.7,晴,北西,1,1,6.93,5,逃げ,5,0.15,.  .,0.15216216216216216,0.16135245901639345,0.07692307692307693,0.3333333333333333,0.0
2024-09-24,大村,3,予選,6,3904,森　貴洋,47,大阪,55,A2,6.07,41.32,7.0,37.5,69,40.68,31,30.0,晴,北西,1,1,6.86,4,逃げ,6,0.17,1.53.6,0.18292682926829268,0.16761316872427987,0.0,0.2702702702702703,0.0
2024-09-24,大村,4,予選,1,4817,渡邉　翼,33,山口,50,A2,6.11,44.63,4.8,25.76,59,25.0,59,33.33,晴,北西,1,1,6.95,3,まくり,1,0.12,1.52.4,0.13340425531914896,0.14048689138576778,0.3333333333333333,0.3333333333333333,0.0
2024-09-24,大村,4,予選,2,4043,桐本康臣,45,三重,53,A1,6.26,44.8,5.5,29.41,72,33.33,68,32.43,晴,北西,1,1,6.95,2,まくり,2,0.16,1.50.8,0.14073170731707318,0.15712598425196853,0.0,0.5,1.0
