日付,レース場,レース番号,レース種別,艇番,登録番号,選手名,年齢,支部,体重,級別,全国勝率,全国2連対率,当地勝率,当地2連対率,モーター番号,モーター2連対率,ボート番号,ボート2連対率,天候,風向,風速(m),波高(cm),展示タイム,着順,決まり手,進入,スタートタイミング,レースタイム,平均ST,全体平均ST,1着率,2着率,3着率,逃げ率,逃し率,差し率,まくり率,まくり差し率,差され率,まくられ率,まくり差され率
2023-04-13,大村,1,予選,1,4498,宮本夏樹,35,長崎,53,A2,6.23,49.12,5.76,40.85,38,38.55,16,33.56,晴,北西,3,2,6.84,1,逃げ,1,0.12,1.48.6,0.1605882352941176,0.1624110671936759,0.34285714285714286,0.2857142857142857,0.14285714285714285,0.2857142857142857,0.0,0.02857142857142857,0.0,0.0,0.2571428571428571,0.11428571428571428,0.14285714285714285
2023-04-13,大村,1,予選,2,3300,川崎智幸,55,岡山,54,A2,6.56,48.87,6.64,51.52,36,34.12,75,36.99,晴,北西,3,2,6.94,3,逃げ,2,0.11,1.51.1,0.1676744186046511,0.1650367647058823,0.02702702702702703,0.21621621621621623,0.16216216216216217,0.0,0.5945945945945946,0.0,0.0,0.0,0.0,0.0,0.0
2023-04-13,大村,1,予選,3,4823,中村桃佳,30,香川,45,A1,6.82,50.0,7.28,59.38,76,34.91,25,32.85,晴,北西,3,2,6.85,4,逃げ,3,0.08,1.51.2,0.1258536585365853,0.1248616600790513,0.17142857142857143,0.2,0.14285714285714285,0.0,0.0,0.0,0.08571428571428572,0.05714285714285714,0.0,0.0,0.0
2023-04-13,大村,1,予選,4,4798,浜先真範,29,広島,52,A2,6.59,48.51,6.57,52.38,46,29.34,66,32.41,晴,北西,3,2,6.9,2,逃げ,4,0.17,1.50.3,0.131,0.1335616438356164,0.03125,0.125,0.1875,0.0,0.0,0.0,0.03125,0.0,0.0,0.0,0.0
2023-04-13,大村,1,予選,5,3944,山口裕二,44,長崎,53,A1,6.46,48.91,6.83,54.66,20,34.73,29,36.36,晴,北西,3,2,6.88,5,逃げ,5,0.14,.  .,0.1876666666666666,0.1747413793103448,0.05714285714285714,0.02857142857142857,0.17142857142857143,0.0,0.0,0.0,0.02857142857142857,0.02857142857142857,0.0,0.0,0.0
2023-04-13,大村,1,予選,6,3999,大瀧明日,43,愛知,46,A2,6.4,44.35,7.45,63.64,45,29.45,63,42.0,晴,北西,3,2,6.88,6,逃げ,6,0.19,.  .,0.1896774193548387,0.1682490272373541,0.0,0.07407407407407407,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-04-13,大村,2,予選,1,4083,福島勇樹,43,東京,54,A2,6.57,51.3,0.0,0.0,23,33.33,21,36.49,晴,北西,2,1,6.92,4,抜き,1,0.09,1.52.2,0.1135897435897435,0.155787037037037,0.10714285714285714,0.2857142857142857,0.25,0.07142857142857142,0.0,0.0,0.0,0.0,0.2857142857142857,0.5,0.03571428571428571
2023-04-13,大村,2,予選,2,4966,田川大貴,25,長崎,54,A2,5.54,35.58,5.66,35.44,57,35.47,84,30.61,晴,北西,2,1,6.92,3,抜き,2,0.01,1.51.3,0.1504545454545454,0.1542372881355932,0.09090909090909091,0.18181818181818182,0.24242424242424243,0.0,0.45454545454545453,0.06060606060606061,0.0,0.0,0.0,0.0,0.0
2023-04-13,大村,2,予選,3,4887,富澤祐作,36,群馬,55,A2,5.73,38.39,5.5,40.0,26,38.07,27,38.62,晴,北西,2,1,6.93,6,抜き,3,0.05,.  .,0.1255555555555555,0.1370319634703196,0.0,0.23333333333333334,0.26666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-04-13,大村,2,予選,4,4427,秦　英悟,37,大阪,51,A2,7.23,55.64,8.25,50.0,12,32.92,57,32.68,晴,北西,2,1,6.92,1,抜き,4,0.02,1.48.9,0.1835294117647058,0.1575117370892018,0.0,0.06060606060606061,0.21212121212121213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-04-13,大村,2,予選,5,4661,中島昂章,31,佐賀,52,A2,5.96,37.21,5.01,29.41,49,35.67,44,39.86,晴,北西,2,1,6.95,5,抜き,5,0.06,.  .,0.2072,0.1826148409893992,0.0,0.12903225806451613,0.16129032258064516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-04-13,大村,2,予選,6,4352,下條雄太,37,長崎,53,A1,7.3,57.45,7.38,58.18,32,32.48,62,44.44,晴,北西,2,1,6.87,2,抜き,6,0.03,1.50.2,0.1303030303030303,0.1132699619771863,0.0,0.045454545454545456,0.13636363636363635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
