レース場,レース番号,レース種別,艇番,登録番号,選手名,年齢,支部,体重,級別,全国勝率,全国2連対率,当地勝率,当地2連対率,モーター番号,モーター2連対率,ボート番号,ボート2連対率,天候,風向,風速(m),波高(cm),展示タイム,着順,決まり手,進入,スタートタイミング,レースタイム,平均ST,全体平均ST,1着率,2-3着率,逃し率
福岡,1,カタメン１一,1,5051,松本純平,29,埼玉,56,A1,6.84,52.87,6.61,56.52,43,31.95,107,36.99,晴,東,1,2,6.74,1,逃げ,1,0.26,1.50.1,0.12946428571428573,0.1534136546184739,0.11764705882352941,0.4411764705882353,0.0
福岡,1,カタメン１一,2,5307,富永夏哉,21,佐賀,49,B1,3.53,17.19,0.0,0.0,69,27.12,124,39.47,晴,東,1,2,6.8,6,逃げ,2,0.27,.  .,0.1709090909090909,0.18348993288590604,0.1,0.3,0.6333333333333333
福岡,1,カタメン１一,3,5303,土井歩夢,21,福岡,52,B1,4.88,26.19,3.1,4.08,33,26.0,131,26.5,晴,東,1,2,6.9,5,逃げ,3,0.19,.  .,0.1392857142857143,0.17335135135135135,0.0,0.1724137931034483,0.0
福岡,1,カタメン１一,4,5131,江藤敦宏,25,福岡,52,B2,3.67,15.07,3.01,8.64,35,32.76,123,36.08,晴,東,1,2,6.81,2,逃げ,4,0.19,1.52.0,0.18727272727272729,0.1752482269503546,0.09375,0.21875,0.0
福岡,1,カタメン１一,5,5292,佐藤右京,23,東京,59,B1,2.45,5.19,0.0,0.0,25,37.71,154,31.13,晴,東,1,2,6.81,4,逃げ,5,0.14,1.53.8,0.19666666666666666,0.21412790697674416,0.0,0.1724137931034483,0.0
福岡,1,カタメン１一,6,5246,楠将太郎,22,埼玉,52,B1,4.71,25.27,0.0,0.0,40,36.84,169,30.46,晴,東,1,2,6.86,3,逃げ,6,0.26,1.53.2,0.2225925925925926,0.17726708074534162,0.0,0.2,0.0
福岡,2,一般,1,5092,篠原晟弥,23,福岡,51,B1,5.19,31.76,5.77,40.59,16,34.84,173,30.28,晴,北東,2,2,6.73,1,逃げ,1,0.18,1.50.2,0.1396774193548387,0.14945812807881773,0.19230769230769232,0.3076923076923077,0.0
福岡,2,一般,2,5229,吉川晴人,21,滋賀,54,B1,4.76,30.89,0.0,0.0,58,34.15,117,34.23,晴,北東,2,2,6.85,3,逃げ,2,0.21,1.53.1,0.17204545454545456,0.16703703703703704,0.05555555555555555,0.2777777777777778,0.5
福岡,2,一般,3,5210,藤井公人,26,福岡,55,B1,5.14,30.83,3.52,15.91,51,37.42,142,30.77,晴,北東,2,2,6.85,6,逃げ,3,0.14,.  .,0.1727659574468085,0.1630705394190871,0.0,0.47058823529411764,0.0
福岡,2,一般,4,5037,田頭虎親,26,香川,52,A1,6.17,42.86,6.67,55.56,15,28.49,159,44.3,晴,北東,2,2,6.8,2,逃げ,4,0.21,1.52.0,0.15044444444444446,0.15574074074074074,0.02857142857142857,0.22857142857142856,0.0
福岡,2,一般,5,5197,中野仁照,23,愛知,53,A2,6.78,50.46,3.92,25.0,27,32.64,109,31.29,晴,北東,2,2,6.82,4,逃げ,5,0.11,1.53.2,0.143,0.1451010101010101,0.029411764705882353,0.20588235294117646,0.0
