ì˙ït,ÉåÅ[ÉXèÍ,ÉåÅ[ÉXî‘çÜ,ÉåÅ[ÉXéÌï ,í¯î‘,ìoò^î‘çÜ,ëIéËñº,îNóÓ,éxïî,ëÃèd,ãâï ,ëSçëèüó¶,ëSçë2òAëŒó¶,ìñínèüó¶,ìñín2òAëŒó¶,ÉÇÅ[É^Å[î‘çÜ,ÉÇÅ[É^Å[2òAëŒó¶,É{Å[Égî‘çÜ,É{Å[Ég2òAëŒó¶,ìVåÛ,ïóå¸,ïóë¨(m),îgçÇ(cm),ìWé¶É^ÉCÉÄ,íÖèá,åàÇ‹ÇËéË,êiì¸,ÉXÉ^Å[ÉgÉ^ÉCÉ~ÉìÉO,ÉåÅ[ÉXÉ^ÉCÉÄ,ïΩãœST,ëSëÃïΩãœST,èüóòâÒêî,èoëñêî,2íÖâÒêî,3íÖâÒêî,ì¶Ç∞,ì¶Çµ,ç∑Çµ,Ç‹Ç≠ÇË,Ç‹Ç≠ÇËç∑Çµ,ç∑Ç≥ÇÍ,Ç‹Ç≠ÇÁÇÍ,Ç‹Ç≠ÇËç∑Ç≥ÇÍ,1íÖó¶,2íÖó¶,3íÖó¶,ì¶Ç∞ó¶,ì¶Çµó¶,ç∑Çµó¶,Ç‹Ç≠ÇËó¶,Ç‹Ç≠ÇËç∑Çµó¶,ç∑Ç≥ÇÍó¶,Ç‹Ç≠ÇÁÇÍó¶,Ç‹Ç≠ÇËç∑Ç≥ÇÍó¶
2024-05-13,é·èº,1,àÍî êÌ,1,3602,âúïΩëÒñÁ,53,ìåãû,53,B1,4.69,25.26,0.0,0.0,34,34.83,22,39.62,ê∞,ñkìå,3,3,6.95,3,î≤Ç´,1,0.09,1.53.5,0.2017142857142857,0.1814084507042253,9.0,35.0,7.0,4.0,9.0,0.0,0.0,0.0,0.0,8.0,8.0,8.0,0.2571428571428571,0.2,0.11428571428571428,0.2571428571428571,0.0,0.0,0.0,0.0,0.22857142857142856,0.22857142857142856,0.22857142857142856
2024-05-13,é·èº,1,àÍî êÌ,2,4635,ïÙèdóÕñÁ,34,â™éR,55,B1,4.49,25.97,4.34,24.14,54,29.0,40,33.33,ê∞,ñkìå,3,3,6.93,1,î≤Ç´,2,0.03,1.51.2,0.1184375,0.1125945945945946,8.0,32.0,8.0,6.0,0.0,18.0,4.0,2.0,0.0,0.0,0.0,0.0,0.25,0.25,0.1875,0.0,0.5625,0.125,0.0625,0.0,0.0,0.0,0.0
2024-05-13,é·èº,1,àÍî êÌ,3,3631,ìcìYçNâÓ,54,í∑çË,53,B1,5.34,35.06,4.73,26.67,45,25.53,60,36.28,ê∞,ñkìå,3,3,6.86,4,î≤Ç´,3,0.07,1.55.0,0.1611538461538461,0.1559440559440559,4.0,26.0,2.0,7.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.15384615384615385,0.07692307692307693,0.2692307692307692,0.0,0.0,0.07692307692307693,0.038461538461538464,0.038461538461538464,0.0,0.0,0.0
2024-05-13,é·èº,1,àÍî êÌ,4,3976,ì‡ìcÅ@å\,47,éRå˚,55,B1,4.55,27.96,3.4,17.14,58,30.34,69,31.63,ê∞,ñkìå,3,3,6.9,2,î≤Ç´,4,0.11,1.52.0,0.1739473684210526,0.1797285067873303,1.0,38.0,8.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.02631578947368421,0.21052631578947367,0.07894736842105263,0.0,0.0,0.0,0.0,0.02631578947368421,0.0,0.0,0.0
2024-05-13,é·èº,1,àÍî êÌ,5,5338,çÅåéëÂãP,23,ïüâ™,52,B2,0.0,0.0,0.0,0.0,23,37.5,34,37.02,ê∞,ñkìå,3,3,6.89,6,î≤Ç´,6,0.24,.  .,0.19,0.235,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-13,é·èº,1,àÍî êÌ,6,4333,ë∫ìcóFñÁ,40,ìøìá,66,B1,3.11,13.16,3.79,29.17,48,39.39,70,26.13,ê∞,ñkìå,3,3,6.95,5,î≤Ç´,5,0.13,.  .,0.20125,0.1748666666666666,0.0,24.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-13,é·èº,2,àÍî êÌ,1,5271,êôéRëæóz,22,ïüâ™,51,B2,2.33,7.25,2.79,12.82,14,22.99,53,21.72,ê∞,ñkìå,3,3,6.9,2,ç∑Çµ,1,0.21,1.52.6,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-13,é·èº,2,àÍî êÌ,2,4273,ç≤ì°Å@àÆ,41,ê√â™,53,B1,5.65,40.35,6.35,47.06,8,27.59,32,26.97,ê∞,ñkìå,3,3,7.03,1,ç∑Çµ,2,0.16,1.51.0,0.1613636363636363,0.165494071146245,4.0,44.0,12.0,7.0,0.0,22.0,2.0,2.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.2727272727272727,0.1590909090909091,0.0,0.5,0.045454545454545456,0.045454545454545456,0.0,0.0,0.0,0.0
2024-05-13,é·èº,2,àÍî êÌ,3,4106,ç‚à‰çNék,44,ç≤âÍ,51,B1,4.35,22.35,4.22,21.95,3,30.61,35,29.38,ê∞,ñkìå,3,3,7.05,6,ç∑Çµ,3,0.17,.  .,0.2029729729729729,0.1966666666666666,5.0,37.0,2.0,7.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.13513513513513514,0.05405405405405406,0.1891891891891892,0.0,0.0,0.02702702702702703,0.10810810810810811,0.0,0.0,0.0,0.0
2024-05-13,é·èº,2,àÍî êÌ,4,3989,åFñ{âpàÍ,45,ç≤âÍ,57,B1,4.07,16.28,3.88,7.14,4,22.09,47,38.71,ê∞,ñkìå,3,3,7.02,3,ç∑Çµ,5,0.23,1.54.1,0.2018518518518518,0.2120903954802259,1.0,27.0,2.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.037037037037037035,0.07407407407407407,0.14814814814814814,0.0,0.0,0.037037037037037035,0.0,0.0,0.0,0.0,0.0
