日付,レース場,レース番号,レース種別,艇番,登録番号,選手名,年齢,支部,体重,級別,全国勝率,全国2連対率,当地勝率,当地2連対率,モーター番号,モーター2連対率,ボート番号,ボート2連対率,天候,風向,風速(m),波高(cm),展示タイム,着順,決まり手,進入,スタートタイミング,レースタイム,平均ST,全体平均ST,勝利回数,出走数,2着回数,3着回数,逃げ,逃し,差し,まくり,まくり差し,差され,まくられ,まくり差され,1着率,2着率,3着率,逃げ率,逃し率,差し率,まくり率,まくり差し率,差され率,まくられ率,まくり差され率
2025-02-07,丸亀,5,予選,2,4383,竹田吉行,39,徳島,51,A2,5.59,37.84,7.33,66.67,34,33.68,39,35.11,曇り,南西,9,9,7.06,4,まくり,2,0.39,1.17.3,0.164390243902439,0.1608713692946058,7,41,13,3,0,17,5,1,0,0,0,0,0.17073170731707318,0.3170731707317073,0.07317073170731707,0.0,0.4146341463414634,0.12195121951219512,0.024390243902439025,0.0,0.0,0.0,0.0
2025-02-07,丸亀,5,予選,3,3841,佐々木和,48,徳島,54,A2,6.03,40.34,6.34,48.28,14,30.11,18,36.24,曇り,南西,9,9,7.01,6,まくり,3,0.27,1.18.8,0.1873170731707317,0.183127962085308,5,41,7,8,1,0,1,0,2,0,0,0,0.12195121951219512,0.17073170731707318,0.1951219512195122,0.024390243902439025,0.0,0.024390243902439025,0.0,0.04878048780487805,0.0,0.0,0.0
2025-02-07,丸亀,5,予選,4,3232,山川美由,58,香川,47,A1,5.69,39.18,5.47,33.03,36,36.26,35,36.96,曇り,南西,9,9,7.0,5,まくり,4,0.13,1.17.3,0.1394736842105263,0.152,12,38,12,5,0,0,1,8,2,0,0,0,0.3157894736842105,0.3157894736842105,0.13157894736842105,0.0,0.0,0.02631578947368421,0.21052631578947367,0.05263157894736842,0.0,0.0,0.0
2025-02-07,丸亀,5,予選,5,4459,片岡雅裕,38,香川,53,A1,6.98,41.67,7.71,59.71,23,44.83,43,34.97,曇り,南西,9,9,6.99,1,まくり,5,0.09,1.14.2,0.1108333333333333,0.1183333333333333,5,36,2,9,0,0,1,2,2,0,0,0,0.1388888888888889,0.05555555555555555,0.25,0.0,0.0,0.027777777777777776,0.05555555555555555,0.05555555555555555,0.0,0.0,0.0
2025-02-07,丸亀,5,予選,6,4643,近江翔吾,31,香川,52,A1,6.36,44.32,6.66,50.68,43,40.24,52,34.27,曇り,南西,9,9,6.98,2,まくり,6,0.11,1.15.2,0.1777419354838709,0.1344495412844036,3,31,1,10,0,0,0,0,3,0,0,0,0.0967741935483871,0.03225806451612903,0.3225806451612903,0.0,0.0,0.0,0.0,0.0967741935483871,0.0,0.0,0.0
2025-02-07,丸亀,6,予選,1,4596,葛原大陽,41,徳島,52,A1,6.2,48.54,6.09,46.43,61,35.11,7,28.26,雨,西,9,9,6.96,1,抜き,1,0.27,1.14.1,0.1460416666666666,0.1512704918032787,28,48,10,2,23,0,0,0,0,7,7,5,0.5833333333333334,0.20833333333333334,0.041666666666666664,0.4791666666666667,0.0,0.0,0.0,0.0,0.14583333333333334,0.14583333333333334,0.10416666666666667
2025-02-07,丸亀,6,予選,2,5172,田村　慶,24,徳島,52,B1,5.24,31.63,3.15,0.0,65,52.81,31,39.47,雨,西,9,9,6.81,5,抜き,2,0.35,1.17.5,0.1783333333333333,0.1783173076923077,7,42,7,8,0,17,4,2,0,0,0,0,0.16666666666666666,0.16666666666666666,0.19047619047619047,0.0,0.40476190476190477,0.09523809523809523,0.047619047619047616,0.0,0.0,0.0,0.0
2025-02-07,丸亀,6,予選,3,3837,秋山広一,49,香川,52,A2,5.52,35.79,6.33,43.06,58,51.09,25,31.34,雨,西,9,9,6.97,6,抜き,3,0.23,1.21.6,0.1485365853658536,0.1492549019607843,6,41,10,7,0,0,0,0,5,0,0,0,0.14634146341463414,0.24390243902439024,0.17073170731707318,0.0,0.0,0.0,0.0,0.12195121951219512,0.0,0.0,0.0
2025-02-07,丸亀,6,予選,4,3743,林　美憲,50,徳島,52,A1,7.21,54.81,7.25,45.83,39,35.87,58,32.58,雨,西,9,9,6.95,2,抜き,4,0.19,1.15.2,0.1351351351351351,0.1438432835820895,13,37,7,10,0,0,2,9,2,0,0,0,0.35135135135135137,0.1891891891891892,0.2702702702702703,0.0,0.0,0.05405405405405406,0.24324324324324326,0.05405405405405406,0.0,0.0,0.0
2025-02-07,丸亀,6,予選,5,4387,平山智加,39,香川,46,A1,6.77,52.29,6.86,50.79,13,41.46,49,30.6,雨,西,9,9,6.92,4,抜き,5,0.15,1.17.5,0.1541666666666666,0.1540310077519379,3,36,6,9,0,0,0,0,3,0,0,0,0.08333333333333333,0.16666666666666666,0.25,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.0
2025-02-07,丸亀,6,予選,6,4260,中越博紀,40,香川,53,A2,5.7,41.38,5.4,36.36,41,42.11,56,40.94,雨,西,9,9,6.85,3,抜き,6,0.11,1.16.9,0.1826829268292683,0.157864768683274,2,41,3,7,0,0,1,0,1,0,0,0,0.04878048780487805,0.07317073170731707,0.17073170731707318,0.0,0.0,0.024390243902439025,0.0,0.024390243902439025,0.0,0.0,0.0
