日付,レース場,レース番号,レース種別,艇番,登録番号,選手名,年齢,支部,体重,級別,全国勝率,全国2連対率,当地勝率,当地2連対率,モーター番号,モーター2連対率,ボート番号,ボート2連対率,天候,風向,風速(m),波高(cm),展示タイム,着順,決まり手,進入,スタートタイミング,レースタイム,平均ST,全体平均ST,1着率,2-3着率,逃し率
2023-06-03,若松,1,一般戦,4,5226,藤田俊祐,21,東京,53,B1,5.24,34.29,0.0,0.0,32,25.44,43,0.0,晴,北東,3,3,6.77,3,逃げ,4,0.01,1.53.6,0.14525000000000002,0.164,0.09302325581395349,0.37209302325581395,0.46511627906976744
2023-06-03,若松,1,一般戦,5,5027,重冨勇哉,26,山口,55,B1,5.01,28.07,3.67,13.33,9,29.51,22,0.0,晴,北東,3,3,6.9,2,逃げ,5,0.04,1.51.3,0.16405405405405407,0.1511111111111111,0.06060606060606061,0.15151515151515152,0.0
2023-06-03,若松,1,一般戦,6,3827,今泉　徹,49,群馬,54,B1,3.56,11.69,0.0,0.0,56,26.36,24,0.0,晴,北東,3,3,6.92,6,逃げ,6,0.17,.  .,0.2004,0.17415300546448087,0.0625,0.4375,0.0
2023-06-03,若松,2,一般戦,1,4243,西村　歩,37,大阪,46,B2,4.83,29.47,0.0,0.0,20,42.52,54,22.22,晴,北東,2,2,6.79,1,逃げ,1,0.19,1.50.3,0.1531578947368421,0.18128,0.058823529411764705,0.38235294117647056,0.0
2023-06-03,若松,2,一般戦,2,3406,中里英夫,54,群馬,52,A2,5.41,35.2,0.0,0.0,43,25.0,42,0.0,晴,北東,2,2,6.88,3,逃げ,2,0.24,1.53.1,0.17069767441860464,0.1639183673469388,0.10344827586206896,0.27586206896551724,0.0
2023-06-03,若松,2,一般戦,3,3855,大熊辰弥,50,香川,54,B1,4.54,16.5,4.61,19.35,50,38.39,23,16.67,晴,北東,2,2,6.77,5,逃げ,3,0.25,.  .,0.1892105263157895,0.19714285714285715,0.425,0.4,0.0
2023-06-03,若松,2,一般戦,4,4271,川崎公靖,41,広島,52,B1,4.3,20.41,4.95,27.27,42,36.29,72,0.0,晴,北東,2,2,6.82,2,逃げ,4,0.21,1.52.2,0.15595744680851065,0.17361702127659576,0.125,0.525,0.45
2023-06-03,若松,2,一般戦,5,4017,向井美鈴,43,山口,45,A2,6.1,43.17,5.3,27.03,7,27.87,13,0.0,晴,北東,2,2,6.83,4,逃げ,5,0.24,1.54.2,0.1807142857142857,0.17907630522088355,0.08695652173913043,0.3695652173913043,0.0
2023-06-03,若松,2,一般戦,6,3878,胡本悟志,45,山口,51,B1,4.11,20.43,5.33,31.76,52,34.4,52,44.44,晴,北東,2,2,6.78,6,逃げ,6,0.28,.  .,0.1888,0.1806451612903226,0.13513513513513514,0.32432432432432434,0.0
2023-06-03,若松,3,一般戦,1,3668,市川　猛,52,広島,52,B1,3.35,15.79,3.63,17.39,39,28.93,21,0.0,晴,北東,2,2,6.94,4,差し,2,0.11,1.54.9,0.1738095238095238,0.1865986394557823,0.058823529411764705,0.29411764705882354,0.0
2023-06-03,若松,3,一般戦,2,4301,関　裕也,40,福岡,52,B1,4.75,26.09,6.06,39.39,10,36.67,31,0.0,晴,北東,2,2,6.87,2,差し,1,0.08,1.52.3,0.1732142857142857,0.16832258064516128,0.02631578947368421,0.13157894736842105,0.0
2023-06-03,若松,3,一般戦,3,4957,竹之内極,27,福岡,56,B1,4.55,28.42,4.98,32.61,29,42.97,65,0.0,晴,北東,2,2,6.82,3,差し,3,0.11,1.53.9,0.17,0.15079787234042555,0.5,0.0,0.0
2023-06-03,若松,3,一般戦,4,4148,枝尾　賢,41,福岡,50,A1,6.73,48.67,7.0,52.76,2,37.19,49,12.5,晴,北東,2,2,6.85,1,差し,4,0.14,1.50.5,0.1304651162790698,0.1399,0.0,0.0,0.4
2023-06-03,若松,3,一般戦,5,3188,日高逸子,61,福岡,45,A2,6.44,47.58,5.84,34.88,14,40.83,56,0.0,晴,北東,2,2,6.85,6,差し,5,0.14,.  .,0.17894736842105263,0.17403100775193797,0.0,0.0,0.0
2023-06-03,若松,3,一般戦,6,3674,岸　恵子,50,徳島,48,A1,5.58,40.22,6.11,52.63,37,29.69,38,0.0,晴,北東,2,2,6.83,5,差し,6,0.11,.  .,0.16655172413793104,0.15263157894736842,1.0,0.0,0.0
2023-06-03,若松,4,一般戦,1,4899,占部一真,31,福岡,52,B1,3.78,20.37,3.5,21.43,28,34.33,41,0.0,晴,北東,2,2,6.85,4,まくり,1,0.17,1.54.1,0.159375,0.15594827586206897,0.0,0.25,0.0
2023-06-03,若松,4,一般戦,2,3319,山崎義明,56,埼玉,53,A2,5.65,35.43,6.13,31.25,31,34.75,40,0.0,晴,北東,2,2,6.91,5,まくり,2,0.17,.  .,0.14489795918367346,0.1442857142857143,0.0,0.25,0.0
2023-06-03,若松,4,一般戦,3,4642,松尾夏海,31,香川,47,B2,5.54,38.46,4.7,30.0,45,40.15,39,0.0,晴,北東,2,2,6.8,1,まくり,3,0.12,1.48.8,0.1619047619047619,0.1535251798561151,0.6129032258064516,0.22580645161290322,0.0
