レース場,レース番号,レース種別,艇番,登録番号,選手名,年齢,支部,体重,級別,全国勝率,全国2連対率,当地勝率,当地2連対率,モーター番号,モーター2連対率,ボート番号,ボート2連対率,天候,風向,風速(m),波高(cm),展示タイム,着順,決まり手,進入,スタートタイミング,レースタイム,平均ST,全体平均ST,1着率,2-3着率,逃し率
大村,1,一般,1,4497,桑原　悠,36,長崎,52,A1,6.72,41.84,7.28,57.23,47,33.33,32,32.31,曇り,西,1,1,6.9,1,逃げ,1,0.07,1.48.6,0.14354166666666665,0.1488695652173913,0.18421052631578946,0.34210526315789475,0.0
大村,1,一般,2,3679,飯島昌弘,51,埼玉,53,A1,6.46,44.86,0.0,0.0,17,41.58,74,38.46,曇り,西,1,1,6.94,3,逃げ,2,0.08,1.51.1,0.16228571428571428,0.15163636363636362,0.11764705882352941,0.29411764705882354,0.5882352941176471
大村,1,一般,3,4075,中野次郎,42,東京,55,A1,6.48,46.6,6.03,21.05,64,25.73,49,32.31,曇り,西,1,1,6.9,2,逃げ,3,0.09,1.50.0,0.1418867924528302,0.13572519083969467,0.08108108108108109,0.1891891891891892,0.0
大村,1,一般,4,3952,中澤和志,47,埼玉,53,A1,7.82,62.26,5.44,33.33,48,44.1,73,35.0,曇り,西,1,1,6.94,5,逃げ,4,0.11,.  .,0.12685714285714286,0.13463414634146342,0.027777777777777776,0.25,0.0
大村,1,一般,5,4500,山田康二,36,佐賀,55,A1,7.24,45.61,7.15,46.34,34,39.06,69,34.01,曇り,西,1,1,6.95,4,逃げ,5,0.13,1.51.8,0.13520833333333335,0.13863970588235294,0.03125,0.25,0.0
大村,1,一般,6,4760,山崎　郡,34,大阪,51,A1,6.81,46.15,8.29,57.14,75,36.76,50,40.82,曇り,西,1,1,6.91,6,逃げ,6,0.08,.  .,0.12636363636363637,0.1332720588235294,0.0,0.25806451612903225,0.0
大村,2,一般,1,5084,末永和也,25,佐賀,52,A1,6.83,45.98,5.87,32.61,38,32.51,28,34.31,曇り,北,1,1,6.85,1,逃げ,1,0.14,1.48.3,0.12543859649122807,0.13799196787148593,0.07142857142857142,0.39285714285714285,0.0
大村,2,一般,2,4601,森野正弘,39,山口,54,A1,6.9,53.1,6.09,41.07,74,42.71,51,42.42,曇り,北,1,1,6.86,4,逃げ,2,0.14,1.52.6,0.13325581395348837,0.14356828193832602,0.09090909090909091,0.24242424242424243,0.5757575757575758
大村,2,一般,3,4547,中田竜太,35,埼玉,52,A1,6.61,37.84,7.82,55.26,41,37.24,68,32.35,曇り,北,1,1,6.87,3,逃げ,3,0.13,1.51.6,0.14227272727272727,0.14256410256410257,0.0,0.2702702702702703,0.0
大村,2,一般,4,4174,赤坂俊輔,41,長崎,51,A1,7.05,53.44,7.03,54.05,15,37.24,22,32.18,曇り,北,1,1,6.91,5,逃げ,4,0.15,.  .,0.15446808510638296,0.14294520547945205,0.029411764705882353,0.2647058823529412,0.0
