レース場,レース番号,レース種別,艇番,登録番号,選手名,年齢,支部,体重,級別,全国勝率,全国2連対率,当地勝率,当地2連対率,モーター番号,モーター2連対率,ボート番号,ボート2連対率,天候,風向,風速(m),波高(cm),展示タイム,着順,決まり手,進入,スタートタイミング,レースタイム,平均ST,全体平均ST,1着率,2-3着率,逃し率
大村,1,予選,1,3773,津留浩一,50,長崎,56,B1,5.07,33.68,4.95,32.99,49,37.87,38,39.77,曇り,南,3,2,7.09,1,抜き,1,0.17,1.51.5,0.12392857142857143,0.1615340909090909,0.125,0.4583333333333333,0.0
大村,1,予選,2,3642,大塚浩二,53,静岡,53,B1,4.34,22.22,0.0,0.0,58,25.45,58,34.12,曇り,南,3,2,7.09,3,抜き,2,0.23,1.55.3,0.1608108108108108,0.1790625,0.047619047619047616,0.3333333333333333,0.47619047619047616
大村,1,予選,3,4632,長尾京志,36,福岡,52,B1,4.69,25.71,4.9,20.0,33,29.24,11,26.59,曇り,南,3,2,7.15,2,抜き,3,0.19,1.52.7,0.17483870967741935,0.1859433962264151,0.0,0.21739130434782608,0.0
大村,1,予選,4,4213,重富伸也,40,長崎,54,B1,4.42,25.0,4.2,19.23,29,40.35,33,27.92,曇り,南,3,2,7.07,4,抜き,4,0.24,1.56.5,0.1790625,0.1801492537313433,0.09090909090909091,0.2727272727272727,0.0
大村,1,予選,5,3660,長谷川親,55,香川,59,B1,4.02,17.07,2.67,11.11,37,28.4,47,42.77,曇り,南,3,2,7.13,5,抜き,5,0.27,.  .,0.1925806451612903,0.18324175824175826,0.0,0.17391304347826086,0.0
大村,1,予選,6,4728,山口　亮,37,東京,54,B1,4.71,28.43,5.33,44.44,15,24.38,16,32.37,曇り,南,3,2,7.12,6,抜き,6,0.26,.  .,0.20454545454545456,0.19018957345971566,0.0,0.23529411764705882,0.0
大村,2,予選,1,4128,川口貴久,45,東京,56,B1,5.16,34.0,4.3,30.0,28,32.75,61,41.82,雨,南西,2,1,7.11,5,まくり,1,0.27,.  .,0.14222222222222222,0.1426775956284153,0.10714285714285714,0.35714285714285715,0.0
大村,2,予選,2,4094,中島真二,43,福岡,53,B1,4.33,20.83,4.07,17.24,66,37.71,68,40.0,雨,南西,2,1,7.01,2,まくり,2,0.26,1.53.4,0.1976315789473684,0.1927222222222222,0.06451612903225806,0.22580645161290322,0.5483870967741935
大村,2,予選,3,4171,榎　幸司,42,長崎,52,A2,6.24,42.31,6.45,44.86,50,27.61,32,31.4,雨,南西,2,1,7.16,3,まくり,3,0.22,1.56.1,0.16547619047619047,0.1701111111111111,0.0,0.3333333333333333,0.0
大村,2,予選,4,5014,梶山涼斗,27,佐賀,51,B1,5.19,28.87,3.53,13.33,46,27.61,66,40.23,雨,南西,2,1,7.06,1,まくり,4,0.09,1.52.6,0.14058823529411765,0.1309004739336493,0.0,0.3225806451612903,0.0
大村,2,予選,5,4429,豊田泰洋,39,広島,59,B1,4.15,16.24,0.0,0.0,41,33.14,63,33.14,雨,南西,2,1,7.15,6,まくり,5,0.23,.  .,0.16772727272727272,0.1677391304347826,0.038461538461538464,0.15384615384615385,0.0
大村,2,予選,6,3748,小黒竜吾,49,埼玉,57,B1,3.68,10.0,3.5,16.67,48,37.57,28,37.36,雨,南西,2,1,7.1,4,まくり,6,0.17,1.58.0,0.17916666666666667,0.16463276836158192,0.0,0.3076923076923077,0.0
大村,3,予選,1,3741,松尾基成,50,福岡,57,B1,4.4,23.0,4.42,21.52,12,24.7,19,29.27,曇り,南西,2,1,7.14,2,差し,1,0.18,1.53.4,0.17933333333333332,0.1825118483412322,0.30357142857142855,0.5,0.0
大村,3,予選,2,5007,近藤雄一,28,東京,53,B1,3.94,20.19,0.0,0.0,68,34.1,24,34.3,曇り,南西,2,1,7.13,1,差し,2,0.1,1.51.8,0.19624999999999998,0.18202764976958524,0.09803921568627451,0.5490196078431373,0.4117647058823529
大村,3,予選,3,4874,池田奈津,31,福岡,51,B1,4.83,32.14,5.04,32.84,34,31.36,15,24.85,曇り,南西,2,1,7.13,5,差し,3,0.07,.  .,0.12612903225806452,0.14202312138728324,0.09615384615384616,0.4807692307692308,0.0
大村,3,予選,4,3873,別府昌樹,48,広島,51,A2,5.7,37.62,4.93,20.0,75,33.33,46,39.88,曇り,南西,2,1,7.13,4,差し,4,0.16,1.56.0,0.15941176470588236,0.15678571428571428,0.11904761904761904,0.40476190476190477,0.0
大村,3,予選,5,3550,都築正治,53,愛知,56,B1,4.94,33.33,5.13,37.74,76,31.4,71,31.58,曇り,南西,2,1,7.08,6,差し,5,0.31,.  .,0.15541666666666668,0.155,0.13636363636363635,0.1590909090909091,0.0
大村,3,予選,6,4096,石橋道友,43,長崎,53,A1,6.66,44.12,7.04,56.1,26,24.85,69,26.86,曇り,南西,2,1,7.05,3,差し,6,0.19,1.54.3,0.12,0.13353211009174312,0.0,0.3023255813953488,0.0
