日付,レース場,レース番号,レース種別,艇番,登録番号,選手名,年齢,支部,体重,級別,全国勝率,全国2連対率,当地勝率,当地2連対率,モーター番号,モーター2連対率,ボート番号,ボート2連対率,天候,風向,風速(m),波高(cm),展示タイム,着順,決まり手,進入,スタートタイミング,レースタイム,平均ST,全体平均ST,勝利回数,出走数,2着回数,3着回数,逃げ,逃し,差し,まくり,まくり差し,差され,まくられ,まくり差され,1着率,2着率,3着率,逃げ率,逃し率,差し率,まくり率,まくり差し率,差され率,まくられ率,まくり差され率
2023-04-27,大村,1,予選,1,5138,村本大成,22,福岡,53,B1,2.72,7.87,1.8,4.35,22,41.07,75,36.54,晴,西,2,1,6.93,2,差し,1,0.1,1.50.7,0.1893333333333333,0.1871428571428571,1,15,1,3,1,0,0,0,0,3,8,2,0.06666666666666667,0.06666666666666667,0.2,0.06666666666666667,0.0,0.0,0.0,0.0,0.2,0.5333333333333333,0.13333333333333333
2023-04-27,大村,1,予選,2,4258,関根彰人,39,埼玉,52,B1,4.65,22.33,0.0,0.0,44,37.5,56,40.65,晴,西,2,1,6.88,1,差し,2,0.18,1.48.6,0.1967567567567567,0.1881862745098039,2,37,8,9,0,21,1,1,0,0,0,0,0.05405405405405406,0.21621621621621623,0.24324324324324326,0.0,0.5675675675675675,0.02702702702702703,0.02702702702702703,0.0,0.0,0.0,0.0
2023-04-27,大村,1,予選,3,4693,松下誉士,39,福岡,54,B1,4.42,23.81,3.93,17.78,33,35.36,48,33.54,晴,西,2,1,6.87,3,差し,3,0.07,1.51.4,0.1566666666666666,0.1722707423580786,1,39,8,6,0,0,1,0,0,0,0,0,0.02564102564102564,0.20512820512820512,0.15384615384615385,0.0,0.0,0.02564102564102564,0.0,0.0,0.0,0.0,0.0
2023-04-27,大村,1,予選,4,5158,宮脇遼太,25,福岡,51,B1,2.79,10.39,2.59,9.8,46,29.38,22,30.82,晴,西,2,1,6.94,5,差し,4,0.13,.  .,0.1229411764705882,0.1358720930232558,4,34,1,2,0,0,0,3,0,0,0,0,0.11764705882352941,0.029411764705882353,0.058823529411764705,0.0,0.0,0.0,0.08823529411764706,0.0,0.0,0.0,0.0
2023-04-27,大村,1,予選,5,5208,屋良龍紀,25,長崎,52,B1,2.01,1.3,1.82,1.75,16,33.72,57,33.95,晴,西,2,1,6.91,6,差し,5,0.08,.  .,0.175,0.1726582278481012,2,54,0,0,0,0,0,1,1,0,0,0,0.037037037037037035,0.0,0.0,0.0,0.0,0.0,0.018518518518518517,0.018518518518518517,0.0,0.0,0.0
2023-04-27,大村,1,予選,6,5222,津田陸翔,22,広島,52,B1,3.2,7.14,1.29,0.0,15,39.43,44,38.22,晴,西,2,1,6.84,4,差し,6,0.12,1.51.5,0.1787179487179487,0.1810837438423645,0,117,3,16,0,0,0,0,0,0,0,0,0.0,0.02564102564102564,0.13675213675213677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-04-27,大村,2,予選,1,4367,山口修路,37,福岡,52,B1,4.84,29.03,4.68,27.69,66,34.66,40,32.72,晴,西,1,1,6.85,1,逃げ,1,0.23,1.48.7,0.1955555555555555,0.2090196078431372,13,27,7,2,12,0,0,0,0,5,5,3,0.48148148148148145,0.25925925925925924,0.07407407407407407,0.4444444444444444,0.0,0.0,0.0,0.0,0.18518518518518517,0.18518518518518517,0.1111111111111111
2023-04-27,大村,2,予選,2,3928,林　恵祐,47,福岡,60,B1,5.08,29.69,4.1,22.45,59,41.81,24,31.13,晴,西,1,1,6.93,2,逃げ,2,0.26,1.50.3,0.1828571428571428,0.1739607843137255,4,49,8,12,0,29,3,1,0,0,0,0,0.08163265306122448,0.16326530612244897,0.24489795918367346,0.0,0.5918367346938775,0.061224489795918366,0.02040816326530612,0.0,0.0,0.0,0.0
2023-04-27,大村,2,予選,3,4890,石川　諒,34,山口,53,B1,4.98,32.73,4.74,21.05,29,36.76,25,32.88,晴,西,1,1,6.91,3,逃げ,3,0.23,1.52.4,0.1563636363636363,0.155906976744186,3,33,9,7,0,0,0,3,0,0,0,0,0.09090909090909091,0.2727272727272727,0.21212121212121213,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0
2023-04-27,大村,2,予選,4,3815,森岡満郎,47,岡山,57,B1,4.42,22.37,5.58,29.17,39,34.86,12,38.1,晴,西,1,1,6.92,5,逃げ,4,0.19,.  .,0.1509090909090909,0.1459574468085106,3,33,5,4,0,0,0,1,1,0,0,0,0.09090909090909091,0.15151515151515152,0.12121212121212122,0.0,0.0,0.0,0.030303030303030304,0.030303030303030304,0.0,0.0,0.0
