日付,レース場,レース番号,レース種別,艇番,登録番号,選手名,年齢,支部,体重,級別,全国勝率,全国2連対率,当地勝率,当地2連対率,モーター番号,モーター2連対率,ボート番号,ボート2連対率,天候,風向,風速(m),波高(cm),展示タイム,着順,決まり手,進入,スタートタイミング,レースタイム,平均ST,全体平均ST,勝利回数,出走数,2着回数,3着回数,逃げ,逃し,差し,まくり,まくり差し,差され,まくられ,まくり差され,1着率,2着率,3着率,逃げ率,逃し率,差し率,まくり率,まくり差し率,差され率,まくられ率,まくり差され率
2024-01-12,大村,1,シリーズ予選,1,3744,徳増秀樹,49,静岡,54,A1,6.55,47.26,0.0,0.0,71,30.07,74,40.14,曇り,無風,0,1,6.82,5,まくり差し,1,0.22,.  .,0.13375,0.1305423728813559,59,72,3,4,56,0,0,0,0,2,2,7,0.8194444444444444,0.041666666666666664,0.05555555555555555,0.7777777777777778,0.0,0.0,0.0,0.0,0.027777777777777776,0.027777777777777776,0.09722222222222222
2024-01-12,大村,1,シリーズ予選,2,4590,渡邉優美,31,福岡,49,A1,7.05,53.66,7.16,56.82,63,28.29,21,44.85,曇り,無風,0,1,6.85,2,まくり差し,4,0.13,1.49.6,0.1402222222222222,0.13088,10,45,14,7,0,27,7,3,0,0,0,0,0.2222222222222222,0.3111111111111111,0.15555555555555556,0.0,0.6,0.15555555555555556,0.06666666666666667,0.0,0.0,0.0,0.0
2024-01-12,大村,1,シリーズ予選,3,4914,吉田裕平,27,愛知,52,A1,6.8,47.47,7.41,62.16,32,46.21,40,38.62,曇り,無風,0,1,6.92,6,まくり差し,5,0.13,.  .,0.1538235294117647,0.1400930232558139,13,34,7,5,0,0,2,1,8,0,0,0,0.38235294117647056,0.20588235294117646,0.14705882352941177,0.0,0.0,0.058823529411764705,0.029411764705882353,0.23529411764705882,0.0,0.0,0.0
2024-01-12,大村,1,シリーズ予選,4,3623,深川真二,49,佐賀,50,A1,6.88,52.94,7.46,55.41,49,33.55,31,47.71,曇り,無風,0,1,6.83,4,まくり差し,2,0.19,1.51.8,0.1466666666666666,0.1473977695167286,5,36,11,5,1,0,2,1,1,0,0,0,0.1388888888888889,0.3055555555555556,0.1388888888888889,0.027777777777777776,0.0,0.05555555555555555,0.027777777777777776,0.027777777777777776,0.0,0.0,0.0
2024-01-12,大村,1,シリーズ予選,5,4013,中島孝平,44,福井,51,A1,7.02,43.59,6.78,36.51,59,29.37,48,32.67,曇り,無風,0,1,6.92,3,まくり差し,6,0.18,1.50.9,0.1226190476190476,0.1287017543859649,7,42,9,8,0,0,0,3,4,0,0,0,0.16666666666666666,0.21428571428571427,0.19047619047619047,0.0,0.0,0.0,0.07142857142857142,0.09523809523809523,0.0,0.0,0.0
2024-01-12,大村,1,シリーズ予選,6,4362,土屋智則,38,群馬,53,A1,6.73,42.62,7.88,37.5,47,31.51,17,38.51,曇り,無風,0,1,6.85,1,まくり差し,3,0.12,1.48.3,0.151,0.1311363636363636,5,40,6,8,0,0,3,0,0,0,0,0,0.125,0.15,0.2,0.0,0.0,0.075,0.0,0.0,0.0,0.0,0.0
2024-01-12,大村,2,シリーズ予選,1,4337,平本真之,39,愛知,55,A1,6.89,38.6,7.05,40.54,23,34.03,65,34.56,曇り,無風,0,1,6.88,1,逃げ,1,0.09,1.47.6,0.1271929824561403,0.1339694656488549,45,57,7,2,40,0,0,0,0,6,4,1,0.7894736842105263,0.12280701754385964,0.03508771929824561,0.7017543859649122,0.0,0.0,0.0,0.0,0.10526315789473684,0.07017543859649122,0.017543859649122806
2024-01-12,大村,2,シリーズ予選,2,4907,小池修平,28,大阪,52,A1,7.74,62.5,7.18,55.0,14,32.64,69,34.31,曇り,無風,0,1,6.83,4,逃げ,2,0.21,1.51.5,0.1385365853658536,0.1376987447698744,13,41,11,4,2,22,3,4,0,0,0,0,0.3170731707317073,0.2682926829268293,0.0975609756097561,0.04878048780487805,0.5365853658536586,0.07317073170731707,0.0975609756097561,0.0,0.0,0.0,0.0
2024-01-12,大村,2,シリーズ予選,3,5121,定松勇樹,22,佐賀,52,A1,7.53,63.43,6.33,48.48,12,31.54,28,36.69,曇り,無風,0,1,6.84,2,逃げ,3,0.06,1.48.4,0.1297560975609756,0.1463529411764706,15,41,11,5,0,0,1,8,6,0,0,0,0.36585365853658536,0.2682926829268293,0.12195121951219512,0.0,0.0,0.024390243902439025,0.1951219512195122,0.14634146341463414,0.0,0.0,0.0
2024-01-12,大村,2,シリーズ予選,4,4418,茅原悠紀,36,岡山,55,A1,8.17,56.36,7.56,55.56,29,30.28,59,35.76,曇り,無風,0,1,6.88,3,逃げ,4,0.12,1.50.7,0.1072972972972973,0.1252830188679245,8,37,11,12,0,0,3,3,1,0,0,0,0.21621621621621623,0.2972972972972973,0.32432432432432434,0.0,0.0,0.08108108108108109,0.08108108108108109,0.02702702702702703,0.0,0.0,0.0
2024-01-12,大村,2,シリーズ予選,5,4502,遠藤エミ,35,滋賀,44,A1,6.78,44.88,7.62,45.95,50,30.2,50,38.73,曇り,無風,0,1,6.94,5,逃げ,5,0.17,.  .,0.1497142857142857,0.14488,0,35,2,9,0,0,0,0,0,0,0,0,0.0,0.05714285714285714,0.2571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
