レース場,レース番号,レース種別,艇番,登録番号,選手名,年齢,支部,体重,級別,全国勝率,全国2連対率,当地勝率,当地2連対率,モーター番号,モーター2連対率,ボート番号,ボート2連対率,天候,風向,風速(m),波高(cm),展示タイム,着順,決まり手,進入,スタートタイミング,レースタイム,平均ST,全体平均ST,1着率,2-3着率,逃し率
大村,1,一般,1,3290,倉谷和信,61,大阪,55,B1,4.6,22.86,0.0,0.0,25,27.16,38,32.94,晴,南西,1,1,6.94,2,差し,1,0.15,1.50.0,0.15833333333333333,0.178125,0.11764705882352941,0.4411764705882353,0.0
大村,1,一般,2,3892,草場康幸,48,佐賀,53,B1,5.59,29.55,4.65,22.81,75,38.82,35,25.3,晴,南西,1,1,6.91,1,差し,2,0.15,1.49.1,0.16457142857142856,0.156775956284153,0.1,0.3,0.6333333333333333
大村,1,一般,3,5183,中野孝二,25,三重,54,B1,3.98,20.0,4.4,20.0,72,42.86,25,24.44,晴,南西,1,1,6.87,4,差し,3,0.11,1.52.9,0.16956521739130434,0.17492063492063492,0.0,0.1724137931034483,0.0
大村,1,一般,4,3501,川上昇平,55,長崎,54,B1,3.91,19.75,5.51,35.97,64,29.76,11,28.24,晴,南西,1,1,6.91,6,差し,4,0.19,.  .,0.12628571428571428,0.14447115384615386,0.09375,0.21875,0.0
大村,1,一般,5,3964,宮地博士,45,長崎,54,B1,4.06,16.25,4.17,19.42,68,38.1,60,29.07,晴,南西,1,1,6.84,3,差し,5,0.19,1.51.6,0.21526315789473682,0.19353773584905662,0.0,0.1724137931034483,0.0
大村,1,一般,6,4902,山川雄大,31,兵庫,52,B1,4.6,26.67,5.11,36.84,53,46.99,12,27.38,晴,南西,1,1,6.83,5,差し,6,0.21,.  .,0.1681081081081081,0.16692946058091288,0.0,0.2,0.0
大村,2,一般,1,3284,渡邊伸太,57,佐賀,54,B1,5.31,33.05,5.96,36.17,41,32.5,27,28.24,晴,南西,1,1,6.87,1,逃げ,1,0.15,1.49.3,0.1602777777777778,0.18482758620689657,0.19230769230769232,0.3076923076923077,0.0
大村,2,一般,2,5138,村本大成,24,福岡,53,B1,3.03,9.68,2.35,7.69,35,23.75,26,36.05,晴,南西,1,1,6.89,2,逃げ,2,0.21,1.50.3,0.17,0.16648,0.05555555555555555,0.2777777777777778,0.5
大村,2,一般,3,5198,奥村明日,22,福岡,44,B1,4.22,19.12,2.87,6.67,23,38.1,41,29.41,晴,南西,1,1,6.86,4,逃げ,3,0.19,1.52.4,0.1702857142857143,0.18461956521739128,0.0,0.47058823529411764,0.0
大村,2,一般,4,5335,森　陽多,19,長崎,47,B2,2.08,5.13,2.24,8.11,32,51.76,67,38.67,晴,南西,1,1,6.76,6,逃げ,4,0.21,.  .,0.17909090909090908,0.19822222222222222,0.02857142857142857,0.22857142857142856,0.0
大村,2,一般,5,3976,内田　圭,47,山口,54,B1,4.02,23.53,3.15,18.52,17,40.23,32,33.33,晴,南西,1,1,6.9,5,逃げ,5,0.09,.  .,0.1717142857142857,0.17421052631578948,0.029411764705882353,0.20588235294117646,0.0
大村,2,一般,6,4228,吉田慎二,41,愛知,60,A2,5.72,42.39,6.12,47.06,52,42.17,73,29.27,晴,南西,1,1,6.75,3,逃げ,6,0.11,1.50.8,0.1786046511627907,0.16453125,0.0,0.2608695652173913,0.0
