日付,レース場,レース番号,レース種別,艇番,登録番号,選手名,年齢,支部,体重,級別,全国勝率,全国2連対率,当地勝率,当地2連対率,モーター番号,モーター2連対率,ボート番号,ボート2連対率,天候,風向,風速(m),波高(cm),展示タイム,着順,決まり手,進入,スタートタイミング,レースタイム,平均ST,全体平均ST,勝利回数,出走数,2着回数,3着回数,逃げ,逃し,差し,まくり,まくり差し,差され,まくられ,まくり差され,1着率,2着率,3着率,逃げ率,逃し率,差し率,まくり率,まくり差し率,差され率,まくられ率,まくり差され率
2023-08-27,唐津,1,朝１戦一般,1,4661,中島昂章,31,佐賀,52,A2,5.58,33.57,5.27,28.26,48,0.0,34,27.1,晴,南西,1,1,6.81,1,逃げ,1,0.14,1.51.0,0.1517647058823529,0.1886092715231788,23,51,12,7,20,0,0,0,0,12,6,6,0.45098039215686275,0.23529411764705882,0.13725490196078433,0.39215686274509803,0.0,0.0,0.0,0.0,0.23529411764705882,0.11764705882352941,0.11764705882352941
2023-08-27,唐津,1,朝１戦一般,3,4406,幸野史明,38,福岡,50,B1,5.19,32.23,4.47,15.79,25,0.0,76,43.24,晴,南西,1,1,6.84,2,逃げ,3,0.11,1.51.9,0.1620454545454545,0.1685537190082644,3,44,8,8,0,0,0,0,2,0,0,0,0.06818181818181818,0.18181818181818182,0.18181818181818182,0.0,0.0,0.0,0.0,0.045454545454545456,0.0,0.0,0.0
2023-08-27,唐津,1,朝１戦一般,4,4520,高倉孝太,36,福井,50,B1,5.1,28.32,0.0,0.0,54,0.0,42,37.96,晴,南西,1,1,6.89,3,逃げ,4,0.17,1.54.8,0.1826190476190476,0.1779653679653679,4,42,6,6,0,0,0,3,1,0,0,0,0.09523809523809523,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.07142857142857142,0.023809523809523808,0.0,0.0,0.0
2023-08-27,唐津,1,朝１戦一般,5,4078,渡辺史之,44,群馬,51,B1,3.62,15.74,3.38,25.0,35,0.0,88,40.86,晴,南西,1,1,6.94,5,逃げ,5,0.13,1.58.9,0.1863157894736842,0.1895708154506437,1,38,0,7,0,0,0,0,0,0,0,0,0.02631578947368421,0.0,0.18421052631578946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-08-27,唐津,1,朝１戦一般,6,5239,上野俊樹,23,福岡,49,B2,2.21,0.0,2.17,0.0,50,0.0,59,42.59,晴,南西,1,1,6.89,4,逃げ,6,0.07,1.55.3,0.1933333333333333,0.1938571428571428,0,42,1,0,0,0,0,0,0,0,0,0,0.0,0.023809523809523808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-08-27,唐津,2,モー２ング一,1,3838,伊藤啓三,48,埼玉,53,A2,6.09,44.25,6.47,36.84,55,0.0,78,36.36,晴,北,1,1,6.89,3,まくり,1,0.07,1.54.8,0.1205882352941176,0.1306538461538461,36,51,9,3,32,0,0,0,0,2,7,5,0.7058823529411765,0.17647058823529413,0.058823529411764705,0.6274509803921569,0.0,0.0,0.0,0.0,0.0392156862745098,0.13725490196078433,0.09803921568627451
2023-08-27,唐津,2,モー２ング一,2,4236,松村　敏,39,福岡,54,A1,7.08,54.61,6.93,55.56,49,0.0,50,31.86,晴,北,1,1,6.87,2,まくり,2,0.13,1.52.7,0.1165217391304347,0.1274137931034482,14,46,11,10,1,20,6,5,2,0,0,0,0.30434782608695654,0.2391304347826087,0.21739130434782608,0.021739130434782608,0.43478260869565216,0.13043478260869565,0.10869565217391304,0.043478260869565216,0.0,0.0,0.0
2023-08-27,唐津,2,モー２ング一,3,3912,川原正明,49,福井,51,B1,5.44,35.63,5.52,36.96,52,0.0,62,25.88,晴,北,1,1,6.81,1,まくり,3,0.09,1.51.3,0.1505555555555555,0.1474885844748858,8,36,5,3,0,0,2,5,1,0,0,0,0.2222222222222222,0.1388888888888889,0.08333333333333333,0.0,0.0,0.05555555555555555,0.1388888888888889,0.027777777777777776,0.0,0.0,0.0
2023-08-27,唐津,2,モー２ング一,4,3752,宇土泰就,52,福岡,53,B1,5.35,31.13,5.12,35.0,43,0.0,56,36.54,晴,北,1,1,6.82,4,まくり,4,0.15,1.56.5,0.1623255813953488,0.1761603375527426,4,43,5,10,0,0,0,1,2,0,0,0,0.09302325581395349,0.11627906976744186,0.23255813953488372,0.0,0.0,0.0,0.023255813953488372,0.046511627906976744,0.0,0.0,0.0
2023-08-27,唐津,2,モー２ング一,5,5284,嘉手苅徹,24,福岡,53,B2,1.2,0.0,0.0,0.0,20,0.0,72,24.55,晴,北,1,1,6.86,6,まくり,6,0.21,1.58.5,0.2235714285714285,0.2097727272727272,0,14,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-08-27,唐津,2,モー２ング一,6,5268,山本幸也,22,福岡,56,B2,1.51,0.0,1.33,0.0,23,0.0,51,31.78,晴,北,1,1,6.9,5,まくり,5,0.14,1.57.3,0.2114666666666666,0.1988235294117647,0,75,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-08-27,唐津,3,３ライズ戦一,1,4230,濱崎直矢,40,埼玉,55,A1,6.69,50.54,5.89,44.44,32,0.0,64,45.37,晴,北,2,2,6.85,1,逃げ,1,0.05,1.51.5,0.1207692307692307,0.1371120689655172,44,52,5,1,42,0,0,0,0,5,0,3,0.8461538461538461,0.09615384615384616,0.019230769230769232,0.8076923076923077,0.0,0.0,0.0,0.0,0.09615384615384616,0.0,0.057692307692307696
2023-08-27,唐津,3,３ライズ戦一,2,4119,泥谷一毅,42,大阪,56,B1,5.31,33.08,0.0,0.0,22,0.0,45,40.2,晴,北,2,2,6.91,5,逃げ,2,0.04,1.56.0,0.1402439024390244,0.1491631799163179,11,41,9,11,0,15,5,4,0,0,0,0,0.2682926829268293,0.21951219512195122,0.2682926829268293,0.0,0.36585365853658536,0.12195121951219512,0.0975609756097561,0.0,0.0,0.0,0.0
2023-08-27,唐津,3,３ライズ戦一,3,3983,須藤博倫,45,埼玉,52,A2,6.01,41.41,7.57,57.14,13,0.0,85,21.98,晴,北,2,2,6.89,3,逃げ,3,0.1,1.54.4,0.1258695652173913,0.1374999999999999,10,46,10,8,0,0,4,4,1,0,0,0,0.21739130434782608,0.21739130434782608,0.17391304347826086,0.0,0.0,0.08695652173913043,0.08695652173913043,0.021739130434782608,0.0,0.0,0.0
