日付,レース場,レース番号,レース種別,艇番,登録番号,選手名_x,年齢,支部,体重,級別,全国勝率,全国2連対率,当地勝率,当地2連対率,モーター番号,モーター2連対率,ボート番号,ボート2連対率,天候,風向,風速(m),波高(cm),展示タイム,着順,決まり手,進入,スタートタイミング,レースタイム,選手名_y,出走数,勝利回数,2着回数,3着回数,平均ST,逃げ,差し,まくり,まくり差し,抜き,恵まれ,差され,まくられ,まくり差され,逃し,全体平均ST,1着率,2着率,3着率,逃げ率,逃し率,差し率,まくり率,まくり差し率,差され率,まくられ率,まくり差され率
2021-03-20,大村,1,予選,1,4408,仁科さや,35,長崎,48,B2,4.2,22.86,4.11,21.05,36,40.7,29,35.71,曇り,東,2,1,6.94,6,まくり,1,0.44,.  .,仁科さやか,11,6,0,1,0.2072727272727273,6,0,0,0,0,0,0,4,1,0,0.2105263157894736,0.5454545454545454,0.0,0.09090909090909091,0.5454545454545454,0.0,0.0,0.0,0.0,0.0,0.36363636363636365,0.09090909090909091
2021-03-20,大村,1,予選,2,3207,田村美和,55,東京,52,B2,3.49,14.04,0.0,0.0,26,33.54,51,32.16,曇り,東,2,1,6.92,2,まくり,2,0.38,1.52.3,田村美和,24,1,9,2,0.1841666666666666,0,1,0,0,0,0,0,0,0,8,0.1978195488721804,0.041666666666666664,0.375,0.08333333333333333,0.0,0.3333333333333333,0.041666666666666664,0.0,0.0,0.0,0.0,0.0
2021-03-20,大村,1,予選,3,3551,藤田美代,49,福岡,45,B1,4.35,18.68,4.0,20.0,35,34.57,73,33.92,曇り,東,2,1,6.88,5,まくり,3,0.34,.  .,藤田美代,36,2,4,6,0.1883333333333333,0,2,0,0,0,0,0,0,0,0,0.1936571428571428,0.05555555555555555,0.1111111111111111,0.16666666666666666,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.0
2021-03-20,大村,1,予選,4,5003,来田衣織,24,兵庫,48,B1,4.19,22.58,3.48,19.05,75,50.0,17,38.55,曇り,東,2,1,6.94,1,まくり,4,0.21,1.49.5,来田衣織,46,8,4,3,0.1621739130434782,0,0,4,2,2,0,0,0,0,0,0.1717004048582996,0.17391304347826086,0.08695652173913043,0.06521739130434782,0.0,0.0,0.0,0.08695652173913043,0.043478260869565216,0.0,0.0,0.0
2021-03-20,大村,1,予選,5,3486,渋田治代,54,福岡,51,B1,4.48,24.42,0.0,0.0,27,37.5,43,41.14,曇り,東,2,1,7.03,4,まくり,5,0.35,1.54.4,渋田治代,29,1,1,4,0.2382758620689655,0,0,0,1,0,0,0,0,0,0,0.194054054054054,0.034482758620689655,0.034482758620689655,0.13793103448275862,0.0,0.0,0.0,0.0,0.034482758620689655,0.0,0.0,0.0
2021-03-20,大村,1,予選,6,5129,山口真喜,24,長崎,49,B2,2.15,2.78,2.86,14.29,48,36.21,13,33.53,曇り,東,2,1,6.98,3,まくり,6,0.25,1.53.5,山口真喜子,61,0,0,3,0.1693442622950819,0,0,0,0,0,0,0,0,0,0,0.1760909090909091,0.0,0.0,0.04918032786885246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-20,大村,2,予選,1,4224,大橋栄里,39,福岡,46,B1,4.91,31.63,4.63,37.5,68,32.78,39,33.72,曇り,南東,1,1,6.96,1,逃げ,1,0.04,1.50.1,大橋栄里佳,25,10,3,0,0.1939999999999999,9,0,0,0,1,0,4,5,3,0,0.1946153846153846,0.4,0.12,0.0,0.36,0.0,0.0,0.0,0.0,0.16,0.2,0.12
2021-03-20,大村,2,予選,2,4923,末武里奈,28,山口,48,B2,2.58,5.56,0.0,0.0,52,33.33,27,35.33,曇り,南東,1,1,7.0,2,逃げ,2,0.11,1.52.5,末武里奈子,16,0,3,1,0.149375,0,0,0,0,0,0,0,0,0,10,0.1811827956989247,0.0,0.1875,0.0625,0.0,0.625,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-20,大村,2,予選,3,3604,武藤綾子,50,福岡,48,B1,4.03,18.87,4.65,19.57,67,31.17,68,38.29,曇り,南東,1,1,7.0,3,逃げ,3,0.11,1.53.8,武藤綾子,39,1,5,7,0.2102564102564102,0,0,1,0,0,0,0,0,0,0,0.1933333333333333,0.02564102564102564,0.1282051282051282,0.1794871794871795,0.0,0.0,0.0,0.02564102564102564,0.0,0.0,0.0,0.0
2021-03-20,大村,2,予選,4,3334,角ひとみ,52,広島,45,A2,5.24,35.42,6.1,30.0,61,37.14,67,40.12,曇り,南東,1,1,6.95,4,逃げ,4,0.31,1.56.0,角ひとみ,49,0,15,13,0.21,0,0,0,0,0,0,0,0,0,0,0.2075974025974025,0.0,0.30612244897959184,0.2653061224489796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
