レース場,レース番号,レース種別,艇番,登録番号,選手名,年齢,支部,体重,級別,全国勝率,全国2連対率,当地勝率,当地2連対率,モーター番号,モーター2連対率,ボート番号,ボート2連対率,天候,風向,風速(m),波高(cm),展示タイム,着順,決まり手,進入,スタートタイミング,レースタイム,平均ST,全体平均ST,1着率,2-3着率,逃し率
多摩川,2,予選,4,3535,渡　修平,52,兵庫,51,B1,3.89,21.35,4.45,21.21,32,46.67,50,28.57,曇り,北,1,2,6.68,5,差し,4,0.12,.  .,0.1776923076923077,0.19025806451612903,0.08695652173913043,0.21739130434782608,0.0
多摩川,2,予選,5,3569,増田　進,53,東京,53,B1,4.47,24.59,3.38,11.76,72,39.42,28,26.67,曇り,北,1,2,6.76,4,差し,5,0.15,1.52.7,0.1885,0.18630705394190872,0.10526315789473684,0.3157894736842105,0.0
多摩川,2,予選,6,4639,雑賀勇貴,33,大阪,53,B1,4.6,25.0,4.68,28.0,65,33.94,33,40.82,曇り,北,1,2,6.66,6,差し,6,0.12,.  .,0.19666666666666668,0.17957446808510638,0.0,0.05555555555555555,0.0
多摩川,3,予選,1,4252,松下哲也,41,福岡,52,B1,5.19,33.96,3.5,14.29,52,38.46,47,27.72,曇り,北東,2,2,6.78,1,逃げ,1,0.17,1.50.4,0.15962962962962965,0.16671957671957674,0.0,0.0,0.0
多摩川,3,予選,2,3973,崎　利仁,48,群馬,53,B1,4.19,19.17,4.02,23.91,42,40.19,55,27.88,曇り,北東,2,2,6.78,6,逃げ,2,0.19,.  .,0.1751219512195122,0.19836363636363635,0.0,0.42857142857142855,0.0
多摩川,3,予選,3,4436,渋谷明憲,38,大阪,52,A2,6.34,50.41,6.35,43.48,26,38.83,84,35.35,曇り,北東,2,2,6.82,5,逃げ,3,0.18,.  .,0.14791666666666667,0.15584615384615386,0.0,0.3333333333333333,0.4444444444444444
多摩川,3,予選,4,5285,若林　麗,25,東京,52,B2,2.01,2.22,1.11,0.0,63,37.96,39,35.35,曇り,北東,2,2,6.8,3,逃げ,4,0.13,1.52.1,0.18270833333333333,0.19681564245810054,0.0,0.42857142857142855,0.0
多摩川,3,予選,5,3656,伯母芳恒,50,東京,57,B1,5.16,32.95,5.33,31.58,67,38.78,31,39.39,曇り,北東,2,2,6.75,2,逃げ,5,0.14,1.50.9,0.14424242424242423,0.15458937198067632,0.0,0.3,0.0
多摩川,3,予選,6,4832,権藤俊光,37,大阪,51,A1,6.76,51.85,5.56,36.0,56,32.26,75,28.28,曇り,北東,2,2,6.82,4,逃げ,6,0.13,1.52.4,0.13818181818181818,0.12809302325581395,0.0,0.14285714285714285,0.0
多摩川,4,予選,1,3075,中村裕将,62,埼玉,53,B1,4.45,25.81,5.44,33.33,39,25.0,53,38.14,曇り,北東,2,2,6.85,3,差し,1,0.11,1.52.9,0.14551724137931032,0.1576842105263158,0.0,0.0,0.0
多摩川,4,予選,2,4706,三浦洋次,35,愛知,49,A2,5.67,38.1,6.19,48.39,16,43.52,23,32.65,曇り,北東,2,2,6.68,2,差し,2,0.22,1.51.2,0.1765,0.16615384615384615,0.4,0.4,0.0
多摩川,4,予選,3,4748,渡邉雄朗,38,東京,52,A1,6.83,53.33,6.46,50.0,69,21.43,57,25.25,曇り,北東,2,2,6.67,5,差し,3,0.16,.  .,0.13916666666666666,0.14578014184397162,0.09090909090909091,0.38636363636363635,0.5454545454545454
多摩川,4,予選,4,4470,平田健之,37,三重,53,A2,6.24,48.09,6.07,37.29,74,39.18,51,29.29,曇り,北東,2,2,6.69,1,差し,4,0.16,1.49.2,0.16191489361702127,0.15696850393700787,0.125,0.2,0.0
多摩川,4,予選,5,5315,浅井　翼,23,埼玉,50,B2,1.52,0.0,1.73,0.0,31,24.73,79,19.4,曇り,北東,2,2,6.74,6,差し,5,0.18,.  .,0.18675,0.19122950819672133,0.11764705882352941,0.29411764705882354,0.0
多摩川,4,予選,6,4407,鹿島敏弘,38,群馬,57,B1,4.4,21.3,4.15,22.5,17,29.29,69,20.19,曇り,北東,2,2,6.72,4,差し,6,0.21,1.53.7,0.20027777777777778,0.18088353413654618,0.02702702702702703,0.1891891891891892,0.0
多摩川,5,予選,1,4306,畔柳俊吾,40,愛知,51,B1,5.18,28.81,5.49,34.29,49,32.11,26,25.71,曇り,北東,4,2,6.82,1,逃げ,1,0.19,1.49.5,0.19,0.19037234042553192,0.0,0.14814814814814814,0.0
多摩川,5,予選,2,4560,庄司樹良,33,東京,55,B1,5.18,29.81,5.48,39.39,29,35.48,43,36.19,曇り,北東,4,2,6.8,3,逃げ,2,0.12,1.51.9,0.13038461538461538,0.1546242774566474,0.41379310344827586,0.20689655172413793,0.0
多摩川,5,予選,3,4953,尾上雅也,29,埼玉,53,A1,6.02,47.06,5.97,39.47,44,32.04,35,34.65,曇り,北東,4,2,6.75,2,逃げ,3,0.15,1.51.2,0.16790697674418603,0.15895522388059702,0.02857142857142857,0.37142857142857144,0.6
多摩川,5,予選,4,4779,伊倉　光,38,東京,51,B1,4.11,19.1,4.82,32.35,61,35.0,76,27.08,曇り,北東,4,2,6.77,5,逃げ,4,0.13,.  .,0.16228571428571428,0.15011363636363637,0.030303030303030304,0.42424242424242425,0.0
多摩川,5,予選,5,4120,柘植政浩,43,滋賀,52,A2,5.96,42.06,6.94,61.11,38,41.49,56,33.98,曇り,北東,4,2,6.77,6,逃げ,5,0.32,.  .,0.15615384615384614,0.150546875,0.03333333333333333,0.3,0.0
多摩川,5,予選,6,4215,吉島祥之,40,愛知,53,A2,5.97,42.0,5.4,36.17,58,39.0,66,33.33,曇り,北東,4,2,6.85,4,逃げ,6,0.18,1.53.3,0.1954761904761905,0.17152027027027028,0.08823529411764706,0.14705882352941177,0.0
多摩川,6,予選,1,3717,立間充宏,49,岡山,56,A2,6.23,47.96,5.44,44.44,23,34.0,85,37.86,曇り,北,2,2,6.77,1,逃げ,1,0.11,1.49.7,0.13333333333333333,0.1423404255319149,0.0,0.1,0.0
多摩川,6,予選,2,4871,菊池宏志,32,山口,54,B1,4.68,23.68,0.0,0.0,47,26.67,36,34.62,曇り,北,2,2,6.7,4,逃げ,2,0.12,1.52.7,0.19285714285714287,0.16700980392156864,0.5961538461538461,0.25,0.0
多摩川,6,予選,3,4639,雑賀勇貴,33,大阪,53,B1,4.6,25.0,4.68,28.0,65,33.94,33,40.82,曇り,北,2,2,6.72,3,逃げ,3,0.09,1.52.6,0.1738095238095238,0.17957446808510638,0.06976744186046512,0.46511627906976744,0.6744186046511628
