日付,レース場,レース番号,レース種別,艇番,登録番号,選手名_x,年齢,支部,体重,級別,全国勝率,全国2連対率,当地勝率,当地2連対率,モーター番号,モーター2連対率,ボート番号,ボート2連対率,天候,風向,風速(m),波高(cm),展示タイム,着順,決まり手,進入,スタートタイミング,レースタイム,選手名_y,出走数,勝利回数,2着回数,3着回数,平均ST,逃げ,差し,まくり,まくり差し,抜き,恵まれ,差され,まくられ,まくり差され,逃し,全体平均ST,1着率,2着率,3着率,逃げ率,逃し率,差し率,まくり率,まくり差し率,差され率,まくられ率,まくり差され率
2022-01-09,尼崎,3,一般,1,4712,冨好祐真,31,兵庫,54,B1,3.52,14.63,4.6,22.69,41,36.6,42,19.55,晴,南西,1,0,6.85,4,まくり,1,0.38,1.53.3,冨好祐真,32.0,6.0,8.0,4.0,0.2021875,5.0,0.0,0.0,0.0,1.0,0.0,5.0,12.0,4.0,0.0,0.195,0.1875,0.25,0.125,0.15625,0.0,0.0,0.0,0.0,0.15625,0.375,0.125
2022-01-09,尼崎,3,一般,2,4668,楠本晃嗣,37,福岡,51,B1,3.61,14.06,0.0,0.0,52,31.37,23,22.07,晴,南西,1,0,6.84,3,まくり,2,0.41,1.52.3,楠本晃嗣,28.0,2.0,2.0,5.0,0.1946428571428571,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.1859602649006622,0.07142857142857142,0.07142857142857142,0.17857142857142858,0.0,0.6071428571428571,0.0,0.07142857142857142,0.0,0.0,0.0,0.0
2022-01-09,尼崎,3,一般,3,5116,金子七海,21,福井,47,B2,2.18,2.99,2.12,6.06,54,35.1,62,34.53,晴,南西,1,0,6.89,5,まくり,3,0.36,1.55.2,金子七海,10.0,0.0,1.0,1.0,0.184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1980864197530864,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-09,尼崎,3,一般,4,5107,松本真広,22,福岡,50,B1,2.41,2.5,0.0,0.0,38,48.7,22,34.72,晴,南西,1,0,6.82,6,まくり,6,0.08,1.55.8,松本真広,13.0,0.0,2.0,1.0,0.193076923076923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1668862275449102,0.0,0.15384615384615385,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-09,尼崎,3,一般,5,4656,大崎　翔,34,兵庫,56,B1,5.04,30.85,5.01,32.79,10,26.03,52,27.78,晴,南西,1,0,6.92,1,まくり,4,0.12,1.49.2,大崎翔,47.0,1.0,4.0,6.0,0.1542553191489361,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1491153846153846,0.02127659574468085,0.0851063829787234,0.1276595744680851,0.0,0.0,0.02127659574468085,0.0,0.0,0.0,0.0,0.0
2022-01-09,尼崎,3,一般,6,4332,村上彰一,38,福岡,57,A2,5.57,34.15,4.46,16.67,3,28.0,35,34.92,晴,南西,1,0,6.89,2,まくり,5,0.07,1.50.0,村上彰一,26.0,0.0,2.0,6.0,0.1526923076923077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1603191489361702,0.0,0.07692307692307693,0.23076923076923078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-09,尼崎,4,一般,1,3593,横井光弘,53,長崎,56,B1,3.89,10.67,3.96,11.11,1,32.68,59,31.03,晴,南西,2,0,6.87,1,逃げ,1,0.08,1.49.1,横井光弘,20.0,2.0,4.0,4.0,0.182,1.0,0.0,0.0,0.0,1.0,0.0,7.0,3.0,5.0,0.0,0.1832530120481927,0.1,0.2,0.2,0.05,0.0,0.0,0.0,0.0,0.35,0.15,0.25
2022-01-09,尼崎,4,一般,2,4246,喜多那由,39,静岡,50,B1,4.67,24.18,2.6,0.0,22,29.93,50,28.48,晴,南西,2,0,6.89,3,逃げ,2,0.19,1.52.8,喜多那由夏,34.0,1.0,7.0,5.0,0.1991176470588235,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.1871590909090908,0.029411764705882353,0.20588235294117646,0.14705882352941177,0.0,0.5588235294117647,0.029411764705882353,0.0,0.0,0.0,0.0,0.0
2022-01-09,尼崎,4,一般,3,4457,神田達也,36,愛知,51,B1,4.22,23.19,2.63,0.0,30,43.87,34,33.33,晴,南西,2,0,6.81,6,逃げ,3,0.15,1.55.9,神田達也,28.0,4.0,1.0,4.0,0.1842857142857143,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2031746031746031,0.14285714285714285,0.03571428571428571,0.14285714285714285,0.0,0.0,0.0,0.03571428571428571,0.07142857142857142,0.0,0.0,0.0
2022-01-09,尼崎,4,一般,4,5016,宮田龍馬,23,兵庫,52,B1,5.33,28.89,4.02,18.87,24,36.6,45,31.33,晴,南西,2,0,6.84,2,逃げ,5,0.13,1.49.7,宮田龍馬,36.0,1.0,4.0,15.0,0.1722222222222222,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1522978723404255,0.027777777777777776,0.1111111111111111,0.4166666666666667,0.0,0.0,0.0,0.027777777777777776,0.0,0.0,0.0,0.0
