日付,レース場,レース番号,レース種別,艇番,登録番号,選手名_x,年齢,支部,体重,級別,全国勝率,全国2連対率,当地勝率,当地2連対率,モーター番号,モーター2連対率,ボート番号,ボート2連対率,天候,風向,風速(m),波高(cm),展示タイム,着順,決まり手,進入,スタートタイミング,レースタイム,選手名_y,出走数,勝利回数,2着回数,3着回数,平均ST,逃げ,差し,まくり,まくり差し,抜き,恵まれ,差され,まくられ,まくり差され,逃し,全体平均ST,1着率,2着率,3着率,逃げ率,逃し率,差し率,まくり率,まくり差し率,差され率,まくられ率,まくり差され率
2021-07-30,大村,1,予選,1,4705,吉川勇作,32,長崎,54,B1,3.95,24.69,4.81,28.67,22,60.0,25,47.06,晴,西,3,2,7.08,1,逃げ,1,0.19,1.53.4,吉川勇作,21.0,9.0,3.0,2.0,0.1795238095238095,9.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,5.0,0.0,0.1597058823529411,0.42857142857142855,0.14285714285714285,0.09523809523809523,0.42857142857142855,0.0,0.0,0.0,0.0,0.047619047619047616,0.19047619047619047,0.23809523809523808
2021-07-30,大村,1,予選,2,4054,福嶋智之,43,岡山,53,B1,4.42,24.59,4.0,14.29,35,50.0,41,13.64,晴,西,3,2,7.03,6,逃げ,2,0.16,.  .,福嶋智之,43.0,6.0,11.0,13.0,0.1406976744186046,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.1489451476793248,0.13953488372093023,0.2558139534883721,0.3023255813953488,0.0,0.6744186046511628,0.11627906976744186,0.023255813953488372,0.0,0.0,0.0,0.0
2021-07-30,大村,1,予選,3,4661,中島昂章,29,佐賀,52,B1,4.95,24.27,4.61,18.42,47,26.67,53,31.25,晴,西,3,2,7.09,3,逃げ,3,0.12,1.55.2,中島昂章,33.0,2.0,6.0,10.0,0.2148484848484848,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.222020725388601,0.06060606060606061,0.18181818181818182,0.30303030303030304,0.0,0.0,0.030303030303030304,0.030303030303030304,0.0,0.0,0.0,0.0
2021-07-30,大村,1,予選,4,3974,深山祐二,44,佐賀,52,B1,4.42,27.1,4.53,22.5,55,13.33,26,20.0,晴,西,3,2,7.06,2,逃げ,4,0.15,1.54.0,深山祐二,35.0,4.0,3.0,6.0,0.1582857142857142,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1594527363184079,0.11428571428571428,0.08571428571428572,0.17142857142857143,0.0,0.0,0.0,0.05714285714285714,0.05714285714285714,0.0,0.0,0.0
2021-07-30,大村,1,予選,5,3430,角浜　修,53,広島,54,B1,5.16,34.48,4.7,18.18,38,37.5,44,11.76,晴,西,3,2,7.1,5,逃げ,5,0.14,.  .,角浜修,41.0,1.0,3.0,4.0,0.1770731707317073,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1675,0.024390243902439025,0.07317073170731707,0.0975609756097561,0.0,0.0,0.0,0.024390243902439025,0.0,0.0,0.0,0.0
2021-07-30,大村,1,予選,6,3789,和田敏彦,49,福岡,48,B2,3.42,17.39,3.04,12.0,46,18.75,50,38.89,晴,西,3,2,7.09,4,逃げ,6,0.26,1.55.9,和田敏彦,22.0,1.0,1.0,0.0,0.2077272727272727,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.207984496124031,0.045454545454545456,0.045454545454545456,0.0,0.0,0.0,0.045454545454545456,0.0,0.0,0.0,0.0,0.0
2021-07-30,大村,2,予選,1,4112,大久保信,41,佐賀,53,B1,4.54,23.68,5.44,32.47,44,35.29,15,47.06,晴,西,2,1,7.05,1,逃げ,1,0.14,1.52.2,大久保信一郎,36.0,22.0,9.0,3.0,0.1525,21.0,0.0,0.0,0.0,1.0,0.0,6.0,5.0,3.0,0.0,0.1893103448275862,0.6111111111111112,0.25,0.08333333333333333,0.5833333333333334,0.0,0.0,0.0,0.0,0.16666666666666666,0.1388888888888889,0.08333333333333333
2021-07-30,大村,2,予選,2,4566,塩田北斗,33,福岡,54,A1,6.75,50.86,6.56,44.44,51,20.0,30,31.25,晴,西,2,1,7.04,5,逃げ,2,0.26,.  .,塩田北斗,46.0,13.0,18.0,4.0,0.1641304347826087,0.0,6.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,27.0,0.1535018050541516,0.2826086956521739,0.391304347826087,0.08695652173913043,0.0,0.5869565217391305,0.13043478260869565,0.06521739130434782,0.021739130434782608,0.0,0.0,0.0
2021-07-30,大村,2,予選,3,4649,和田操拓,37,滋賀,51,A2,6.04,45.0,5.32,36.84,45,33.33,19,50.0,晴,西,2,1,7.03,3,逃げ,3,0.18,1.54.8,和田操拓,46.0,10.0,9.0,14.0,0.1378260869565217,0.0,0.0,1.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.13884,0.21739130434782608,0.1956521739130435,0.30434782608695654,0.0,0.0,0.0,0.021739130434782608,0.15217391304347827,0.0,0.0,0.0
2021-07-30,大村,2,予選,4,5073,上原健次,25,福岡,53,B1,3.12,8.14,2.3,0.0,53,33.33,75,47.06,晴,西,2,1,6.99,6,逃げ,4,0.28,.  .,上原健次郎,41.0,1.0,7.0,9.0,0.2031707317073171,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1851595744680851,0.024390243902439025,0.17073170731707318,0.21951219512195122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
