レース場,レース番号,レース種別,艇番,登録番号,選手名,モーター番号,ボート番号,天候,風向,風速(m),波高(cm),展示タイム,着順,決まり手,進入,スタートタイミング,レースタイム
大村,1,一般,1,4693,松下誉士,24,28,曇り,南,2,1,6.93,01,逃げ,1,0.10,1.50.6
大村,1,一般,2,4633,森智也,19,57,曇り,南,2,1,6.99,02,逃げ,2,0.14,1.51.5
大村,1,一般,4,4368,山口隆史,58,82,曇り,南,2,1,7.04,03,逃げ,3,0.18,1.52.4
大村,1,一般,6,3600,玄馬徹,47,86,曇り,南,2,1,7.00,04,逃げ,5,0.27,1.53.5
大村,1,一般,5,3906,飯山晃三,30,38,曇り,南,2,1,6.96,05,逃げ,4,0.27,.  .
大村,1,一般,3,4317,木村紗友希,54,33,曇り,南,2,1,7.04,06,逃げ,6,0.25,.  .
大村,2,一般,1,3910,松下知幸,38,36,曇り,南東,1,1,6.94,01,逃げ,1,0.24,1.50.0
大村,2,一般,2,4855,江頭賢太,33,43,曇り,南東,1,1,7.01,02,逃げ,2,0.23,1.51.7
大村,2,一般,4,3499,市川哲也,78,85,曇り,南東,1,1,7.04,03,逃げ,4,0.24,1.53.3
大村,2,一般,5,3284,渡邊伸太郎,59,50,曇り,南東,1,1,6.97,04,逃げ,5,0.25,1.54.3
大村,2,一般,3,4423,坂口貴彦,32,41,曇り,南東,1,1,6.94,05,逃げ,3,0.25,.  .
大村,2,一般,6,5233,村田佳奈子,36,81,曇り,南東,1,1,6.88,06,逃げ,6,0.24,.  .
大村,3,一般,1,4835,橋本明,46,32,曇り,東,1,1,6.97,01,逃げ,1,0.19,1.50.4
大村,3,一般,5,4555,富永大一,41,83,曇り,東,1,1,6.93,02,逃げ,5,0.18,1.51.7
大村,3,一般,4,4907,小池修平,50,65,曇り,東,1,1,6.94,03,逃げ,4,0.17,1.52.3
大村,3,一般,3,3527,中嶋誠一郎,43,47,曇り,東,1,1,6.96,04,逃げ,3,0.20,1.52.6
大村,3,一般,2,4348,宮崎奨,26,46,曇り,東,1,1,6.93,05,逃げ,2,0.22,.  .
大村,3,一般,6,5210,藤井公人,48,79,曇り,東,1,1,6.94,06,逃げ,6,0.22,.  .
大村,4,一般,2,4244,鈴木成美,60,54,曇り,南,1,1,6.91,01,まくり,2,0.09,1.50.5
大村,4,一般,4,3289,高橋淳美,29,13,曇り,南,1,1,6.99,02,まくり,4,0.14,1.51.4
大村,4,一般,6,4590,渡邉優美,57,48,曇り,南,1,1,6.90,03,まくり,6,0.10,1.52.7
大村,4,一般,1,5192,中尾優香,20,12,曇り,南,1,1,6.94,04,まくり,1,0.18,1.54.4
大村,4,一般,3,5203,神里琴音,70,30,曇り,南,1,1,6.90,05,まくり,3,0.13,.  .
大村,4,一般,5,3604,武藤綾子,49,45,曇り,南,1,1,6.99,06,まくり,5,0.12,.  .
大村,5,一般,1,4311,岡村仁,56,74,曇り,無風,0,1,6.94,01,逃げ,1,0.12,1.49.8
大村,5,一般,2,4654,篠田優也,52,51,曇り,無風,0,1,6.91,02,逃げ,3,0.12,1.51.3
大村,5,一般,5,3151,落合敬一,22,68,曇り,無風,0,1,6.93,03,逃げ,2,0.11,1.52.2
大村,5,一般,4,4674,池田剛規,65,11,曇り,無風,0,1,6.99,04,逃げ,5,0.21,1.54.1
大村,5,一般,3,3949,今出晋二,28,18,曇り,無風,0,1,6.96,05,逃げ,4,0.12,.  .
大村,5,一般,6,4357,田中和也,51,55,曇り,無風,0,1,6.86,06,逃げ,6,0.16,.  .
大村,6,一般,5,3919,村上純,18,70,雨,無風,0,1,6.96,01,差し,2,0.09,1.50.1
大村,6,一般,2,3550,都築正治,15,60,雨,無風,0,1,6.89,02,差し,3,0.09,1.52.0
大村,6,一般,6,4189,川上剛,45,16,雨,無風,0,1,6.93,03,差し,4,0.11,1.53.6
大村,6,一般,4,4374,永田義紘,63,37,雨,無風,0,1,6.99,04,差し,6,0.14,1.54.4
大村,6,一般,1,3957,大谷直弘,68,34,雨,無風,0,1,6.97,05,差し,1,0.06,.  .
大村,6,一般,3,3722,西村秀樹,61,52,雨,無風,0,1,6.95,06,差し,5,0.14,.  .
大村,7,一般,1,4287,今井貴士,31,75,雨,南,1,1,6.96,01,逃げ,1,0.20,1.50.2
大村,7,一般,4,3442,宮武英司,21,73,雨,南,1,1,6.94,02,逃げ,4,0.20,1.52.2
大村,7,一般,6,3809,吉田光,55,84,雨,南,1,1,6.99,03,逃げ,6,0.23,1.53.7
大村,7,一般,2,3895,堀本裕也,11,23,雨,南,1,1,6.96,04,逃げ,2,0.21,1.54.3
大村,7,一般,3,4588,田中京介,16,59,雨,南,1,1,7.06,05,逃げ,3,0.16,.  .
大村,7,一般,5,4406,幸野史明,25,78,雨,南,1,1,6.94,06,逃げ,5,0.23,.  .
大村,8,一般,1,4027,松江秀徳,76,67,雨,南,1,1,6.94,01,逃げ,1,0.03,1.51.0
大村,8,一般,3,3986,沖島広和,44,22,雨,南,1,1,6.93,02,逃げ,2,0.08,1.51.7
大村,8,一般,4,5055,眞鳥章太,23,40,雨,南,1,1,7.04,03,逃げ,5,0.16,1.53.7
大村,8,一般,5,3933,山地正樹,69,20,雨,南,1,1,7.00,04,逃げ,3,0.09,1.54.7
大村,8,一般,2,4368,山口隆史,58,82,雨,南,1,1,7.03,05,逃げ,4,0.18,.  .
大村,8,一般,6,4669,井上茂,75,69,雨,南,1,1,7.03,06,逃げ,6,0.35,.  .
大村,9,準優勝戦,1,4907,小池修平,50,65,雨,北,1,1,6.92,01,逃げ,1,0.15,1.49.4
大村,9,準優勝戦,2,4311,岡村仁,56,74,雨,北,1,1,6.94,02,逃げ,2,0.22,1.49.6
大村,9,準優勝戦,4,4590,渡邉優美,57,48,雨,北,1,1,6.93,03,逃げ,4,0.22,1.51.8
大村,9,準優勝戦,6,3910,松下知幸,38,36,雨,北,1,1,6.98,04,逃げ,6,0.30,1.53.0
大村,9,準優勝戦,3,3284,渡邊伸太郎,59,50,雨,北,1,1,6.95,05,逃げ,3,0.25,.  .
大村,9,準優勝戦,5,4317,木村紗友希,54,33,雨,北,1,1,6.98,06,逃げ,5,0.35,.  .
大村,10,準優勝戦,1,4189,川上剛,45,16,雨,無風,0,1,6.89,01,逃げ,1,0.10,1.50.0
大村,10,準優勝戦,3,3499,市川哲也,78,85,雨,無風,0,1,6.98,02,逃げ,3,0.06,1.50.9
大村,10,準優勝戦,2,4287,今井貴士,31,75,雨,無風,0,1,6.96,03,逃げ,2,0.07,1.51.6
大村,10,準優勝戦,4,3527,中嶋誠一郎,43,47,雨,無風,0,1,6.96,04,逃げ,4,0.11,1.52.3
