レース場,レース番号,レース種別,艇番,登録番号,選手名,モーター番号,ボート番号,天候,風向,風速(m),波高(cm),展示タイム,着順,決まり手,進入,スタートタイミング,レースタイム
大村,1,一般,2,4875,大塚康雅,58,71,晴,南西,2,1,6.88,01,差し,2,0.13,1.48.4
大村,1,一般,1,3934,鋤柄貴俊,65,22,晴,南西,2,1,6.89,02,差し,1,0.13,1.50.5
大村,1,一般,6,5269,山口晃朋,18,40,晴,南西,2,1,6.80,03,差し,6,0.14,1.51.5
大村,1,一般,5,3212,亀本勇樹,39,29,晴,南西,2,1,6.86,04,差し,5,0.16,1.52.6
大村,1,一般,4,3284,渡邊伸太郎,41,27,晴,南西,2,1,6.81,05,差し,4,0.13,.  .
大村,1,一般,3,5192,中尾優香,40,34,晴,南西,2,1,6.86,06,差し,3,0.17,.  .
大村,2,一般,4,3159,江口晃生,29,66,晴,南西,1,1,7.01,01,差し,2,0.12,1.48.2
大村,2,一般,1,3892,草場康幸,75,35,晴,南西,1,1,6.91,02,差し,1,0.08,1.50.4
大村,2,一般,2,4844,村上奈穂,63,45,晴,南西,1,1,6.92,03,差し,4,0.21,1.51.5
大村,2,一般,5,3964,宮地博士,68,60,晴,南西,1,1,6.88,04,差し,5,0.18,1.52.0
大村,2,一般,3,3809,吉田光,55,76,晴,南西,1,1,6.92,05,差し,3,0.17,.  .
大村,2,一般,6,5138,村本大成,35,26,晴,南西,1,1,6.91,06,差し,6,0.19,.  .
大村,3,一般,1,3501,川上昇平,64,11,晴,北東,3,2,6.80,01,逃げ,1,0.15,1.49.0
大村,3,一般,6,5129,山口真喜子,27,69,晴,北東,3,2,6.82,02,逃げ,6,0.12,1.49.8
大村,3,一般,2,4156,浜野孝志,19,15,晴,北東,3,2,6.84,03,逃げ,2,0.16,1.51.5
大村,3,一般,4,3708,岡部貴司,50,48,晴,北東,3,2,6.86,04,逃げ,4,0.13,1.51.8
大村,3,一般,3,4417,服部剛,46,49,晴,北東,3,2,6.80,05,逃げ,3,0.14,.  .
大村,3,一般,5,4347,魚谷香織,11,75,晴,北東,3,2,6.79,06,逃げ,5,0.13,.  .
大村,4,一般,1,4057,松井賢治,30,18,晴,北東,1,1,6.89,01,逃げ,1,0.11,1.48.7
大村,4,一般,5,4073,大橋純一郎,51,24,晴,北東,1,1,6.88,02,逃げ,5,0.11,1.50.0
大村,4,一般,2,4346,前田健太郎,62,16,晴,北東,1,1,6.88,03,逃げ,2,0.10,1.51.6
大村,4,一般,3,4853,前原哉,13,62,晴,北東,1,1,6.76,04,逃げ,3,0.14,1.52.3
大村,4,一般,4,3757,畑和宏,71,58,晴,北東,1,1,6.85,05,逃げ,4,0.12,.  .
大村,4,一般,6,4594,谷川祐一,70,68,晴,北東,1,1,6.90,06,逃げ,6,0.16,.  .
大村,5,一般,1,4228,吉田慎二郎,52,73,晴,東,2,1,6.71,01,逃げ,1,0.14,1.48.6
大村,5,一般,2,3653,品川賢次,56,59,晴,東,2,1,6.87,02,逃げ,2,0.21,1.50.0
大村,5,一般,5,4530,小野生奈,20,53,晴,東,2,1,6.82,03,逃げ,5,0.06,1.51.0
大村,5,一般,6,5183,中野孝二,72,25,晴,東,2,1,6.87,04,逃げ,6,0.07,1.52.8
大村,5,一般,4,3976,内田圭,17,32,晴,東,2,1,6.88,05,逃げ,4,0.14,.  .
大村,5,一般,3,4575,戸塚邦好,22,51,晴,東,2,1,6.77,06,逃げ,3,0.14,.  .
大村,6,一般,1,4015,前野竜一,74,57,晴,東,2,1,6.82,01,逃げ,1,0.13,1.47.1
大村,6,一般,3,4638,小林遼太,36,61,晴,東,2,1,6.76,02,逃げ,3,0.16,1.49.5
大村,6,一般,5,4239,竹田辰也,21,43,晴,東,2,1,6.86,03,逃げ,5,0.10,1.50.8
大村,6,一般,4,3212,亀本勇樹,39,29,晴,東,2,1,6.86,04,逃げ,4,0.07,1.52.6
大村,6,一般,6,4213,重富伸也,73,39,晴,東,2,1,6.82,05,逃げ,6,0.10,.  .
大村,6,一般,2,5198,奥村明日香,23,41,晴,東,2,1,6.83,06,逃げ,2,0.19,.  .
大村,7,一般,3,4463,三苫晃幸,16,33,晴,東,2,1,6.85,01,まくり差し,3,0.04,1.49.9
大村,7,一般,2,3550,都築正治,38,54,晴,東,2,1,6.84,02,まくり差し,2,0.01,1.50.8
大村,7,一般,1,3800,牧宏次,24,14,晴,東,2,1,6.83,03,まくり差し,1,0.08,1.51.7
大村,7,一般,4,3290,倉谷和信,25,38,晴,東,2,1,6.92,04,まくり差し,4,0.03,1.52.3
大村,7,一般,6,3606,川北浩貴,49,46,晴,東,2,1,6.86,05,まくり差し,6,0.19,.  .
大村,7,一般,5,3796,長野道臣,67,19,晴,東,2,1,6.82,06,まくり差し,5,0.01,.  .
大村,8,一般,1,4066,東本勝利,54,13,晴,南東,1,1,6.81,01,逃げ,1,0.13,1.47.7
大村,8,一般,6,5335,森陽多,32,67,晴,南東,1,1,6.77,02,逃げ,6,0.02,1.49.9
大村,8,一般,2,4902,山川雄大,53,12,晴,南東,1,1,6.82,03,逃げ,2,0.24,1.51.8
大村,8,一般,3,4782,浜崎準也,34,20,晴,南東,1,1,6.76,04,逃げ,3,0.22,1.52.7
大村,8,一般,4,3501,川上昇平,64,11,晴,南東,1,1,6.84,05,逃げ,4,0.08,.  .
大村,8,一般,5,4904,松本一毅,31,52,晴,南東,1,1,6.82,06,逃げ,5,0.13,.  .
大村,9,準優勝戦,1,5129,山口真喜子,27,69,晴,東,1,1,6.88,01,逃げ,1,0.07,1.47.5
大村,9,準優勝戦,5,3809,吉田光,55,76,晴,東,1,1,6.88,02,逃げ,3,0.00,1.49.2
大村,9,準優勝戦,2,4228,吉田慎二郎,52,73,晴,東,1,1,6.75,03,逃げ,4,0.03,1.50.0
大村,9,準優勝戦,4,4530,小野生奈,20,53,晴,東,1,1,6.83,04,逃げ,5,0.08,1.52.3
大村,9,準優勝戦,6,3934,鋤柄貴俊,65,22,晴,東,1,1,6.91,05,逃げ,6,0.05,.  .
大村,9,準優勝戦,3,4594,谷川祐一,70,68,晴,東,1,1,6.89,06,逃げ,2,0.06,.  .
大村,10,準優勝戦,3,5269,山口晃朋,18,40,晴,南東,1,1,6.77,01,まくり,3,0.06,1.47.7
大村,10,準優勝戦,6,4015,前野竜一,74,57,晴,南東,1,1,6.87,02,まくり,6,0.12,1.48.8
大村,10,準優勝戦,2,4347,魚谷香織,11,75,晴,南東,1,1,6.81,03,まくり,2,0.18,1.50.4
大村,10,準優勝戦,4,4575,戸塚邦好,22,51,晴,南東,1,1,6.84,04,まくり,4,0.11,1.50.5
大村,10,準優勝戦,1,3159,江口晃生,29,66,晴,南東,1,1,6.83,05,まくり,1,0.15,.  .
大村,10,準優勝戦,5,4057,松井賢治,30,18,晴,南東,1,1,6.87,06,まくり,5,0.12,.  .
大村,11,準優勝戦,1,4239,竹田辰也,21,43,晴,南東,1,1,6.81,01,逃げ,1,0.12,1.47.2
大村,11,準優勝戦,2,4066,東本勝利,54,13,晴,南東,1,1,6.86,02,逃げ,2,0.13,1.48.8
大村,11,準優勝戦,3,3284,渡邊伸太郎,41,27,晴,南東,1,1,6.86,03,逃げ,3,0.16,1.49.7
大村,11,準優勝戦,4,4073,大橋純一郎,51,24,晴,南東,1,1,6.89,04,逃げ,4,0.13,1.50.8
大村,11,準優勝戦,6,3892,草場康幸,75,35,晴,南東,1,1,6.89,05,逃げ,6,0.21,.  .
大村,11,準優勝戦,5,3800,牧宏次,24,14,晴,南東,1,1,6.84,06,逃げ,5,0.22,.  .
大村,12,一般,1,4782,浜崎準也,34,20,晴,南東,1,1,6.78,01,逃げ,1,0.14,1.47.5
大村,12,一般,4,3796,長野道臣,67,19,晴,南東,1,1,6.83,02,逃げ,4,0.13,1.49.5
大村,12,一般,6,4463,三苫晃幸,16,33,晴,南東,1,1,6.86,03,逃げ,6,0.19,1.50.8
大村,12,一般,3,3757,畑和宏,71,58,晴,南東,1,1,6.85,04,逃げ,3,0.21,1.52.0
大村,12,一般,2,4638,小林遼太,36,61,晴,南東,1,1,6.77,05,逃げ,2,0.23,.  .
大村,12,一般,5,3653,品川賢次,56,59,晴,南東,1,1,6.84,06,逃げ,5,0.18,.  .
福岡,1,カタメン１予,1,5112,砂長知輝,56,172,晴,北東,3,3,6.81,01,逃げ,1,0.11,1.50.1
福岡,1,カタメン１予,3,5086,本村大,72,113,晴,北東,3,3,6.82,02,逃げ,3,0.17,1.51.5
福岡,1,カタメン１予,2,5249,三木晴斗,71,118,晴,北東,3,3,6.76,03,逃げ,2,0.16,1.52.6
福岡,1,カタメン１予,4,5292,佐藤右京,25,154,晴,北東,3,3,6.77,04,逃げ,4,0.23,1.53.5
福岡,1,カタメン１予,5,5307,富永夏哉人,69,124,晴,北東,3,3,6.82,05,逃げ,5,0.27,.  .
福岡,1,カタメン１予,6,5311,小林京平,14,139,晴,北東,3,3,6.79,06,逃げ,6,0.23,.  .
福岡,2,予選,3,5092,篠原晟弥,16,173,晴,東,3,3,6.76,01,まくり差し,3,0.16,1.58.3
福岡,2,予選,4,5125,高井雄基,41,168,晴,東,3,3,6.84,02,まくり差し,4,0.28,2.02.2
福岡,2,予選,2,5197,中野仁照,27,109,晴,東,3,3,6.75,03,まくり差し,2,0.07,2.04.9
福岡,2,予選,1,5131,江藤敦宏,35,123,晴,東,3,3,6.73,04,まくり差し,1,0.15,2.08.9
福岡,2,予選,6,5328,井上慧人,53,163,晴,東,3,3,6.84,05,まくり差し,6,0.21,.  .
福岡,3,カタメン３予,2,5246,楠将太郎,40,169,晴,東,3,3,6.81,01,差し,2,0.11,1.49.8
福岡,3,カタメン３予,3,5217,藤原碧生,50,111,晴,東,3,3,6.77,02,差し,3,0.12,1.51.2
福岡,3,カタメン３予,1,5061,中村駿平,26,166,晴,東,3,3,6.77,03,差し,1,0.11,1.53.0
