レース場,レース番号,レース種別,天候,風向,風速(m),波高(cm),決まり手,着順,艇番,登録番号,選手名,モーター,ボート,展示タイム,進入,スタートタイミング,レースタイム
芦屋,1,サンライズＶ,晴,東,5,5,まくり差し,01,5,5053,山口広樹,2,45,6.82,5,0.14,1.49.5
芦屋,1,サンライズＶ,晴,東,5,5,まくり差し,02,4,4731,間野兼礼,31,66,6.81,4,0.12,1.50.8
芦屋,1,サンライズＶ,晴,東,5,5,まくり差し,03,3,5011,高木圭大,33,18,6.74,3,0.25,1.53.1
芦屋,1,サンライズＶ,晴,東,5,5,まくり差し,04,6,3334,角ひとみ,38,33,6.80,6,0.18,1.54.4
芦屋,1,サンライズＶ,晴,東,5,5,まくり差し,05,1,4292,麻生慎介,55,54,6.82,1,0.19,.  .
芦屋,1,サンライズＶ,晴,東,5,5,まくり差し,06,2,3825,宮嵜隆太郎,29,30,6.82,2,0.28,.  .
芦屋,2,サンライズＷ,晴,南,4,4,まくり,01,4,4535,北山康介,20,32,6.83,4,0.14,1.48.4
芦屋,2,サンライズＷ,晴,南,4,4,まくり,02,5,5278,田中駿兵,9,59,6.79,5,0.19,1.48.9
芦屋,2,サンライズＷ,晴,南,4,4,まくり,03,1,3161,古場輝義,7,48,6.82,1,0.18,1.51.1
芦屋,2,サンライズＷ,晴,南,4,4,まくり,04,6,3656,伯母芳恒,32,55,6.86,6,0.31,1.52.0
芦屋,2,サンライズＷ,晴,南,4,4,まくり,05,3,4744,伊藤玲奈,36,11,6.87,3,0.21,.  .
芦屋,2,サンライズＷ,晴,南,4,4,まくり,06,2,3928,林恵祐,3,68,6.87,2,0.29,.  .
芦屋,3,サンライズＸ,晴,南,3,3,抜き,01,1,4000,松本博昭,44,39,6.81,1,0.14,1.49.4
芦屋,3,サンライズＸ,晴,南,3,3,抜き,02,5,2878,富山弘幸,47,57,6.86,4,0.06,1.50.4
芦屋,3,サンライズＸ,晴,南,3,3,抜き,03,2,3871,池田紫乃,43,26,6.86,2,0.15,1.51.9
芦屋,3,サンライズＸ,晴,南,3,3,抜き,04,3,3737,上平真二,18,20,6.86,3,0.13,1.52.4
芦屋,3,サンライズＸ,晴,南,3,3,抜き,05,6,4866,橋本英一,59,65,6.84,5,0.05,.  .
芦屋,3,サンライズＸ,晴,南,3,3,抜き,06,4,4764,小池礼乃,57,14,6.82,6,0.06,.  .
芦屋,4,サンライズＹ,晴,南西,4,4,逃げ,01,1,4357,田中和也,35,21,6.88,1,0.06,1.49.5
芦屋,4,サンライズＹ,晴,南西,4,4,逃げ,02,5,5057,上田紗奈,56,64,6.81,5,0.08,1.50.9
芦屋,4,サンライズＹ,晴,南西,4,4,逃げ,03,4,4232,笠雅雄,49,27,6.82,4,0.08,1.52.2
芦屋,4,サンライズＹ,晴,南西,4,4,逃げ,04,2,4057,松井賢治,5,34,6.85,2,0.07,1.53.2
芦屋,4,サンライズＹ,晴,南西,4,4,逃げ,05,3,4247,齊藤優,54,62,6.78,3,0.09,.  .
芦屋,4,サンライズＹ,晴,南西,4,4,逃げ,06,6,5106,山崎祥,23,51,6.90,6,0.22,.  .
芦屋,5,サンライズＺ,晴,南,4,4,逃げ,01,1,4759,今泉友吾,28,16,6.88,1,0.14,1.58.2
芦屋,5,サンライズＺ,晴,南,4,4,逃げ,02,2,4389,伊藤喜智,27,60,6.92,2,0.22,2.02.2
芦屋,5,サンライズＺ,晴,南,4,4,逃げ,03,6,3783,瓜生正義,19,63,6.88,4,0.14,2.04.2
芦屋,5,サンライズＺ,晴,南,4,4,逃げ,04,4,4567,上村慎太郎,53,67,6.86,3,0.16,2.06.9
芦屋,5,サンライズＺ,晴,南,4,4,逃げ,05,3,4373,若狭奈美子,45,70,6.85,5,0.09,.  .
芦屋,6,一般,晴,南西,4,4,逃げ,01,1,5047,國分将太郎,50,17,6.80,1,0.10,1.54.3
芦屋,6,一般,晴,南西,4,4,逃げ,02,2,4067,永井源,39,47,6.77,2,0.21,1.58.5
芦屋,6,一般,晴,南西,4,4,逃げ,03,6,4477,篠崎仁志,21,15,6.81,6,0.16,2.01.1
芦屋,6,一般,晴,南西,4,4,逃げ,04,4,5278,田中駿兵,9,59,6.83,4,0.19,2.04.4
芦屋,6,一般,晴,南西,4,4,逃げ,05,3,5053,山口広樹,2,45,6.86,3,0.21,.  .
芦屋,7,一般,晴,南,5,5,まくり差し,01,3,4158,木場雄二郎,40,50,6.89,3,0.15,1.49.5
芦屋,7,一般,晴,南,5,5,まくり差し,02,1,4179,広次修,10,28,6.89,1,0.20,1.50.9
芦屋,7,一般,晴,南,5,5,まくり差し,03,4,4744,伊藤玲奈,36,11,6.94,4,0.27,1.51.7
芦屋,7,一般,晴,南,5,5,まくり差し,04,2,4731,間野兼礼,31,66,6.95,2,0.21,1.52.8
芦屋,7,一般,晴,南,5,5,まくり差し,05,5,3825,宮嵜隆太郎,29,30,6.89,5,0.19,.  .
芦屋,7,一般,晴,南,5,5,まくり差し,06,6,5324,畑田希咲,12,31,6.93,6,0.31,.  .
芦屋,8,一般,晴,南,5,5,差し,01,2,4278,藤岡俊介,1,25,6.85,2,0.14,1.48.8
芦屋,8,一般,晴,南,5,5,差し,02,1,4046,谷村啓司,37,37,6.80,1,0.17,1.50.5
芦屋,8,一般,晴,南,5,5,差し,03,4,3663,木山和幸,58,53,6.89,4,0.13,1.51.5
芦屋,8,一般,晴,南,5,5,差し,04,3,3656,伯母芳恒,32,55,6.87,3,0.12,1.53.1
芦屋,8,一般,晴,南,5,5,差し,05,6,4709,岡村将也,60,41,6.89,6,0.16,.  .
芦屋,8,一般,晴,南,5,5,差し,06,5,3871,池田紫乃,43,26,6.85,5,0.13,.  .
芦屋,9,一般,晴,南,4,4,抜き,01,4,4472,尾嶋一広,26,44,6.78,4,0.12,1.48.7
芦屋,9,一般,晴,南,4,4,抜き,02,1,4096,石橋道友,22,13,6.80,1,0.13,1.50.0
芦屋,9,一般,晴,南,4,4,抜き,03,2,4243,西村歩,48,19,6.82,2,0.11,1.51.4
芦屋,9,一般,晴,南,4,4,抜き,04,6,4232,笠雅雄,49,27,6.78,6,0.13,1.52.5
芦屋,9,一般,晴,南,4,4,抜き,05,5,4866,橋本英一,59,65,6.82,5,0.12,.  .
芦屋,9,一般,晴,南,4,4,抜き,06,3,4389,伊藤喜智,27,60,6.87,3,0.16,.  .
芦屋,10,準優勝戦,晴,南西,4,4,逃げ,01,1,4535,北山康介,20,32,6.87,1,0.09,1.48.7
芦屋,10,準優勝戦,晴,南西,4,4,逃げ,02,2,4179,広次修,10,28,6.81,2,0.08,1.50.7
芦屋,10,準優勝戦,晴,南西,4,4,逃げ,03,3,5047,國分将太郎,50,17,6.83,4,0.09,1.51.8
芦屋,10,準優勝戦,晴,南西,4,4,逃げ,04,6,4247,齊藤優,54,62,6.82,6,0.16,1.52.8
芦屋,10,準優勝戦,晴,南西,4,4,逃げ,05,4,4357,田中和也,35,21,6.87,3,0.05,.  .
芦屋,10,準優勝戦,晴,南西,4,4,逃げ,06,5,3334,角ひとみ,38,33,6.88,5,0.13,.  .
芦屋,11,準優勝戦,晴,南,4,4,逃げ,01,1,4477,篠崎仁志,21,15,6.88,1,0.15,1.49.3
芦屋,11,準優勝戦,晴,南,4,4,逃げ,02,2,4759,今泉友吾,28,16,6.86,2,0.19,1.50.6
芦屋,11,準優勝戦,晴,南,4,4,逃げ,03,5,3161,古場輝義,7,48,6.93,5,0.21,1.50.7
