レース場,レース番号,レース種別,艇番,登録番号,選手名,モーター番号,ボート番号,天候,風向,風速(m),波高(cm),展示タイム,着順,決まり手,進入,スタートタイミング,レースタイム
下関,1,予選,2,4068,幸田智裕,41,15,雨,東,3,3,6.85,01,差し,2,0.13,1.50.5
下関,1,予選,6,3975,小野寺智洋,29,23,雨,東,3,3,6.70,02,差し,6,0.02,1.52.3
下関,1,予選,4,4635,峰重力也,31,65,雨,東,3,3,6.79,03,差し,4,0.08,1.53.4
下関,1,予選,1,4314,青木幸太郎,14,24,雨,東,3,3,6.78,04,差し,1,0.12,1.54.6
下関,1,予選,5,4226,村田浩司,19,62,雨,東,3,3,6.69,05,差し,5,0.03,.  .
下関,1,予選,3,5224,西岡顕心,71,30,雨,東,3,3,6.78,06,差し,3,0.08,.  .
下関,2,予選,6,5298,水谷理人,33,73,雨,東,4,4,6.83,01,差し,6,0.16,1.50.1
下関,2,予選,1,2930,新良一規,65,19,雨,東,4,4,6.83,02,差し,1,0.15,1.52.9
下関,2,予選,5,3306,武田正紀,55,44,雨,東,4,4,6.73,03,差し,5,0.16,1.53.2
下関,2,予選,3,4672,守屋大地,51,48,雨,東,4,4,6.75,04,差し,3,0.21,1.53.4
下関,2,予選,2,4864,小川日紀太,40,14,雨,東,4,4,6.79,05,差し,2,0.13,.  .
下関,2,予選,4,4890,石川諒,42,51,雨,東,4,4,6.81,06,差し,4,0.07,.  .
下関,3,予選,2,4684,楠原翔太,28,22,雨,東,3,3,6.89,01,差し,2,0.07,1.51.0
下関,3,予選,1,3561,池田真治,54,63,雨,東,3,3,6.83,02,差し,1,0.10,1.52.4
下関,3,予選,3,3838,伊藤啓三,60,27,雨,東,3,3,6.87,03,差し,3,0.11,1.53.6
下関,3,予選,6,4396,大田直弥,64,20,雨,東,3,3,6.88,04,差し,5,0.16,1.54.6
下関,3,予選,5,4271,川崎公靖,45,56,雨,東,3,3,6.85,05,差し,4,0.11,.  .
下関,3,予選,4,5244,黒田剛,23,32,雨,東,3,3,6.83,06,差し,6,0.11,.  .
下関,4,予選,1,4557,松尾光広,49,69,雨,東,4,4,6.92,01,逃げ,1,0.17,1.49.8
下関,4,予選,3,5076,石原光,25,70,雨,東,4,4,6.80,02,逃げ,3,0.17,1.50.6
下関,4,予選,6,4171,榎幸司,15,55,雨,東,4,4,6.85,03,逃げ,6,0.21,1.53.5
下関,4,予選,2,3837,秋山広一,22,45,雨,東,4,4,6.93,04,逃げ,2,0.13,1.54.7
下関,4,予選,5,4982,中村将隆,59,17,雨,東,4,4,6.87,05,逃げ,5,0.23,.  .
下関,4,予選,4,4343,村岡賢,39,66,雨,東,4,4,6.89,06,逃げ,4,0.24,.  .
下関,5,シーモ戦,2,4472,尾嶋一広,27,49,曇り,東,5,5,6.78,01,恵まれ,2,0.01,1.50.9
下関,5,シーモ戦,5,3436,柏野幸二,69,54,曇り,東,5,5,6.86,02,恵まれ,5,0.16,1.53.0
下関,5,シーモ戦,4,4226,村田浩司,19,62,曇り,東,5,5,6.72,03,恵まれ,4,0.04,1.54.9
下関,5,シーモ戦,6,5268,山本幸也,50,53,曇り,東,5,5,6.89,04,恵まれ,6,0.26,1.57.4
下関,6,予選,3,5087,佐藤航,56,39,曇り,東,5,5,6.83,01,まくり差し,3,0.15,1.50.6
下関,6,予選,1,3372,加藤雅之,70,64,曇り,東,5,5,6.84,02,まくり差し,1,0.18,1.51.4
下関,6,予選,6,3711,江本真治,35,57,曇り,東,5,5,6.94,03,まくり差し,6,0.18,1.53.1
下関,6,予選,4,5092,篠原晟弥,44,72,曇り,東,5,5,6.86,04,まくり差し,4,0.11,1.53.4
下関,6,予選,2,4948,木場悠介,62,59,曇り,東,5,5,6.95,05,まくり差し,2,0.28,.  .
下関,6,予選,5,3883,山根大樹,63,34,曇り,東,5,5,6.89,06,まくり差し,5,0.19,.  .
下関,7,ふく～る特賞,4,3811,石田章央,68,47,曇り,東,3,3,6.86,01,抜き,4,0.18,1.50.1
下関,7,ふく～る特賞,2,3734,宮田政勝,30,29,曇り,東,3,3,6.87,02,抜き,2,0.21,1.51.0
下関,7,ふく～る特賞,1,4009,小林一樹,34,61,曇り,東,3,3,6.90,03,抜き,1,0.16,1.52.3
下関,7,ふく～る特賞,5,4424,松尾昂明,11,42,曇り,東,3,3,6.86,04,抜き,5,0.21,1.54.5
下関,7,ふく～る特賞,3,4271,川崎公靖,45,56,曇り,東,3,3,6.88,05,抜き,3,0.15,.  .
下関,7,ふく～る特賞,6,4890,石川諒,42,51,曇り,東,3,3,6.91,06,抜き,6,0.12,.  .
下関,8,予選,2,3663,木山和幸,47,46,曇り,南東,4,4,6.80,01,差し,2,0.15,1.50.6
下関,8,予選,1,4583,古田祐貴,20,41,曇り,南東,4,4,6.81,02,差し,1,0.15,1.52.2
下関,8,予選,3,2930,新良一規,65,19,曇り,南東,4,4,6.87,03,差し,3,0.14,1.54.0
下関,8,予選,5,5224,西岡顕心,71,30,曇り,南東,4,4,6.88,04,差し,5,0.09,1.54.6
下関,8,予選,4,4073,大橋純一郎,13,21,曇り,南東,4,4,6.83,05,差し,4,0.13,.  .
下関,8,予選,6,5244,黒田剛,23,32,曇り,南東,4,4,6.81,06,差し,6,0.13,.  .
下関,9,予選,1,4966,田川大貴,66,67,雨,東,3,3,6.82,01,逃げ,1,0.10,1.51.1
下関,9,予選,3,4314,青木幸太郎,14,24,雨,東,3,3,6.84,02,逃げ,3,0.12,1.52.2
下関,9,予選,4,4263,武重雄介,24,58,雨,東,3,3,6.87,03,逃げ,4,0.14,1.53.4
下関,9,予選,6,4236,松村敏,32,28,雨,東,3,3,6.81,04,逃げ,5,0.14,1.54.6
下関,9,予選,2,5076,石原光,25,70,雨,東,3,3,6.80,05,逃げ,2,0.11,.  .
下関,9,予選,5,3561,池田真治,54,63,雨,東,3,3,6.86,06,逃げ,6,0.28,.  .
下関,10,予選特賞,1,3436,柏野幸二,69,54,雨,東,4,4,6.82,01,逃げ,1,0.14,1.50.9
下関,10,予選特賞,3,3711,江本真治,35,57,雨,東,4,4,6.86,02,逃げ,3,0.08,1.52.0
下関,10,予選特賞,2,3306,武田正紀,55,44,雨,東,4,4,6.79,03,逃げ,2,0.16,1.53.1
下関,10,予選特賞,4,4982,中村将隆,59,17,雨,東,4,4,6.77,04,逃げ,4,0.12,1.53.9
下関,10,予選特賞,5,4068,幸田智裕,41,15,雨,東,4,4,6.88,05,逃げ,5,0.15,.  .
下関,10,予選特賞,6,3838,伊藤啓三,60,27,雨,東,4,4,6.85,06,逃げ,6,0.16,.  .
下関,11,予選特選,1,4424,松尾昂明,11,42,雨,東,4,4,6.84,01,逃げ,1,0.26,1.51.3
下関,11,予選特選,6,3837,秋山広一,22,45,雨,東,4,4,6.79,02,逃げ,6,0.06,1.52.0
下関,11,予選特選,5,5092,篠原晟弥,44,72,雨,東,4,4,6.74,03,逃げ,5,0.11,1.53.0
下関,11,予選特選,3,4396,大田直弥,64,20,雨,東,4,4,6.82,04,逃げ,3,0.22,1.53.7
下関,11,予選特選,2,3975,小野寺智洋,29,23,雨,東,4,4,6.77,05,逃げ,2,0.24,.  .
下関,11,予選特選,4,3319,山崎義明,58,16,雨,東,4,4,6.78,06,逃げ,4,0.16,.  .
下関,12,シーボー特選,3,4583,古田祐貴,20,41,雨,東,4,4,6.81,01,まくり,3,0.03,2.00.7
下関,12,シーボー特選,6,3811,石田章央,68,47,雨,東,4,4,6.87,02,まくり,6,0.08,2.04.0
下関,12,シーボー特選,4,4948,木場悠介,62,59,雨,東,4,4,6.81,03,まくり,4,0.09,2.06.9
下関,12,シーボー特選,2,4343,村岡賢,39,66,雨,東,4,4,6.85,04,まくり,2,0.15,2.10.1
下関,12,シーボー特選,1,4472,尾嶋一広,27,49,雨,東,4,4,6.77,05,まくり,1,0.15,.  .
徳山,1,モーニング予,2,4014,片岡恵里,49,14,曇り,南東,5,5,7.00,01,抜き,2,0.17,1.52.4
徳山,1,モーニング予,1,4373,若狭奈美子,28,33,曇り,南東,5,5,7.02,02,抜き,1,0.15,1.53.7
徳山,1,モーニング予,4,5231,寺田空詩,35,49,曇り,南東,5,5,7.01,03,抜き,4,0.18,1.54.7
徳山,1,モーニング予,3,4282,黄金井裕子,50,40,曇り,南東,5,5,7.09,04,抜き,3,0.17,1.57.2
徳山,1,モーニング予,6,5155,内山七海,69,51,曇り,南東,5,5,7.03,05,抜き,6,0.29,.  .
徳山,1,モーニング予,5,3470,新田芳美,20,18,曇り,南東,5,5,7.07,06,抜き,5,0.27,.  .
徳山,2,モーニング予,1,4611,今井美亜,22,53,曇り,南東,5,5,7.05,01,逃げ,1,0.04,1.52.0
徳山,2,モーニング予,4,4372,原田佑実,42,73,曇り,南東,5,5,7.02,02,逃げ,4,0.14,1.52.8
徳山,2,モーニング予,2,4994,山本梨菜,43,13,曇り,南東,5,5,7.01,03,逃げ,2,0.17,1.55.3
徳山,2,モーニング予,6,4275,菅野はやか,63,16,曇り,南東,5,5,7.00,04,逃げ,6,0.17,1.56.3
徳山,2,モーニング予,3,4300,加藤綾,21,28,曇り,南東,5,5,7.03,05,逃げ,3,0.10,.  .
徳山,2,モーニング予,5,5213,湯淺紀香,18,17,曇り,南東,5,5,7.02,06,逃げ,5,0.12,.  .
徳山,3,モーニング予,4,5056,西岡成美,36,69,曇り,南東,7,7,6.99,01,まくり,4,0.11,1.52.3
徳山,3,モーニング予,6,4286,平田さやか,12,54,曇り,南東,7,7,6.96,02,まくり,6,0.15,1.53.9
徳山,3,モーニング予,1,3999,大瀧明日香,31,42,曇り,南東,7,7,7.04,03,まくり,1,0.16,1.56.0
徳山,3,モーニング予,2,5144,中尾彩香,25,24,曇り,南東,7,7,7.08,04,まくり,2,0.24,1.56.7
徳山,3,モーニング予,5,5173,谷口佳蓮,46,52,曇り,南東,7,7,7.02,05,まくり,5,0.11,.  .
徳山,3,モーニング予,3,4534,坂咲友理,41,41,曇り,南東,7,7,7.07,06,まくり,3,0.14,.  .
徳山,4,モーニング予,1,3611,岩崎芳美,26,21,曇り,南,6,6,7.02,01,逃げ,1,0.14,1.52.0
徳山,4,モーニング予,2,4447,深川麻奈美,32,46,曇り,南,6,6,7.06,02,逃げ,2,0.20,1.53.3
徳山,4,モーニング予,5,5079,大石真央,29,45,曇り,南,6,6,7.08,03,逃げ,5,0.20,1.54.7
徳山,4,モーニング予,4,4891,寺島美里,23,76,曇り,南,6,6,7.06,04,逃げ,4,0.22,1.54.9
徳山,4,モーニング予,3,5123,福山恵里奈,33,61,曇り,南,6,6,7.06,05,逃げ,3,0.22,.  .
徳山,4,モーニング予,6,3871,池田紫乃,24,44,曇り,南,6,6,7.11,06,逃げ,6,0.22,.  .
徳山,5,グランプリ特,1,4289,落合直子,54,66,曇り,南,6,6,7.07,01,逃げ,1,0.17,1.52.3
徳山,5,グランプリ特,2,4373,若狭奈美子,28,33,曇り,南,6,6,7.07,02,逃げ,2,0.18,1.53.7
徳山,5,グランプリ特,3,4464,山下友貴,48,55,曇り,南,6,6,7.05,03,逃げ,3,0.21,1.54.7
徳山,5,グランプリ特,4,4530,小野生奈,64,31,曇り,南,6,6,7.05,04,逃げ,4,0.18,1.55.7
徳山,5,グランプリ特,5,4224,大橋栄里佳,27,36,曇り,南,6,6,7.09,05,逃げ,5,0.26,.  .
徳山,5,グランプリ特,6,5013,山下夏鈴,56,48,曇り,南,6,6,6.98,06,逃げ,6,0.21,.  .
徳山,6,予選,6,4240,今井裕梨,39,75,曇り,南,6,6,6.99,01,まくり,6,0.06,1.51.9
徳山,6,予選,4,5163,清水愛海,13,26,曇り,南,6,6,7.13,02,まくり,4,0.21,1.53.5
徳山,6,予選,2,3334,角ひとみ,74,11,曇り,南,6,6,7.06,03,まくり,2,0.17,1.55.3
徳山,6,予選,5,4282,黄金井裕子,50,40,曇り,南,6,6,7.17,04,まくり,5,0.18,1.56.9
徳山,6,予選,3,4098,赤澤文香,47,59,曇り,南,6,6,7.12,05,まくり,3,0.17,.  .
徳山,6,予選,1,5184,飯塚響,75,43,曇り,南,6,6,7.11,06,まくり,1,0.27,.  .
徳山,7,予選,1,3470,新田芳美,20,18,曇り,南,8,8,7.12,01,逃げ,1,0.11,1.53.5
徳山,7,予選,4,4738,清埜翔子,51,23,曇り,南,8,8,7.09,02,逃げ,4,0.15,1.54.7
徳山,7,予選,2,5146,野田彩加,30,39,曇り,南,8,8,7.08,03,逃げ,2,0.19,1.56.2
徳山,7,予選,6,3900,香川素子,58,19,曇り,南,8,8,7.07,04,逃げ,6,0.24,1.57.0
徳山,7,予選,5,5144,中尾彩香,25,24,曇り,南,8,8,7.10,05,逃げ,5,0.22,.  .
徳山,7,予選,3,4519,清水沙樹,52,63,曇り,南,8,8,7.03,06,逃げ,3,0.12,.  .
徳山,8,特賞,1,4014,片岡恵里,49,14,曇り,南,8,8,7.11,01,逃げ,1,0.06,1.53.5
徳山,8,特賞,2,4190,長嶋万記,53,64,曇り,南,8,8,7.14,02,逃げ,2,0.07,1.54.4
徳山,8,特賞,3,5052,赤井星璃菜,45,70,曇り,南,8,8,7.18,03,逃げ,3,0.02,1.55.8
徳山,8,特賞,6,5056,西岡成美,36,69,曇り,南,8,8,7.09,04,逃げ,6,0.12,1.56.1
徳山,8,特賞,4,5117,冨名腰桃奈,34,77,曇り,南,8,8,7.12,05,逃げ,4,0.03,.  .
徳山,8,特賞,5,4400,加藤奈月,40,72,曇り,南,8,8,7.25,06,逃げ,5,0.13,.  .
徳山,9,予選,1,5173,谷口佳蓮,46,52,雨,南東,8,8,7.11,01,逃げ,1,0.16,1.52.8
徳山,9,予選,2,5079,大石真央,29,45,雨,南東,8,8,7.09,02,逃げ,2,0.17,1.55.1
徳山,9,予選,5,4433,川野芽唯,37,30,雨,南東,8,8,7.06,03,逃げ,5,0.32,1.55.9
徳山,9,予選,3,4224,大橋栄里佳,27,36,雨,南東,8,8,7.07,04,逃げ,3,0.20,1.55.9
徳山,9,予選,4,4300,加藤綾,21,28,雨,南東,8,8,7.08,05,逃げ,4,0.29,.  .
徳山,9,予選,6,5231,寺田空詩,35,49,雨,南東,8,8,6.99,06,逃げ,6,0.37,.  .
徳山,10,予選,1,4071,古賀千晶,44,47,雨,南,9,9,7.17,01,逃げ,1,0.21,1.53.4
徳山,10,予選,2,4286,平田さやか,12,54,雨,南,9,9,7.09,02,逃げ,2,0.17,1.54.7
徳山,10,予選,3,5218,山田理央,38,56,雨,南,9,9,7.09,03,逃げ,3,0.21,1.55.8
徳山,10,予選,6,4530,小野生奈,64,31,雨,南,9,9,7.11,04,逃げ,6,0.13,1.56.7
徳山,10,予選,4,3871,池田紫乃,24,44,雨,南,9,9,7.16,05,逃げ,4,0.23,.  .
徳山,10,予選,5,5184,飯塚響,75,43,雨,南,9,9,7.09,06,逃げ,5,0.32,.  .
徳山,11,予選,2,4289,落合直子,54,66,曇り,南,8,8,7.13,01,差し,2,0.12,1.52.9
徳山,11,予選,1,4994,山本梨菜,43,13,曇り,南,8,8,7.21,02,差し,1,0.07,1.54.7
徳山,11,予選,4,4447,深川麻奈美,32,46,曇り,南,8,8,7.16,03,差し,4,0.15,1.55.9
徳山,11,予選,5,4045,佐々木裕美,19,20,曇り,南,8,8,7.10,04,差し,5,0.15,1.57.0
徳山,11,予選,3,5155,内山七海,69,51,曇り,南,8,8,7.13,05,差し,3,0.12,.  .
徳山,11,予選,6,4519,清水沙樹,52,63,曇り,南,8,8,7.16,06,差し,6,0.18,.  .
徳山,12,ドリーム戦,3,3999,大瀧明日香,31,42,曇り,南,10,10,7.05,01,まくり,3,0.18,1.54.8
徳山,12,ドリーム戦,2,3611,岩崎芳美,26,21,曇り,南,10,10,7.09,02,まくり,2,0.26,1.57.3
徳山,12,ドリーム戦,1,4190,長嶋万記,53,64,曇り,南,10,10,7.18,03,まくり,1,0.19,1.57.5
徳山,12,ドリーム戦,4,4240,今井裕梨,39,75,曇り,南,10,10,7.03,04,まくり,4,0.15,1.58.0
徳山,12,ドリーム戦,5,4372,原田佑実,42,73,曇り,南,10,10,7.12,05,まくり,5,0.15,.  .
徳山,12,ドリーム戦,6,4738,清埜翔子,51,23,曇り,南,10,10,7.09,06,まくり,6,0.16,.  .
児島,1,朝得ガァ～コ,3,5189,藤原早菜,45,52,曇り,南,4,3,6.75,01,まくり差し,3,0.20,1.48.6
児島,1,朝得ガァ～コ,1,3731,高濱芳久,61,36,曇り,南,4,3,6.77,02,まくり差し,1,0.21,1.51.6
児島,1,朝得ガァ～コ,4,3697,勝野竜司,27,35,曇り,南,4,3,6.89,03,まくり差し,4,0.18,1.53.8
児島,1,朝得ガァ～コ,2,4200,早川尚人,62,34,曇り,南,4,3,6.80,04,まくり差し,2,0.20,1.54.4
児島,1,朝得ガァ～コ,5,3843,上之晃弘,36,14,曇り,南,4,3,6.81,05,まくり差し,5,0.15,.  .
児島,1,朝得ガァ～コ,6,5159,笠間憲哉,56,17,曇り,南,4,3,6.84,06,まくり差し,6,0.20,.  .
児島,2,予選,3,3280,垣内清美,13,20,曇り,南,4,3,6.68,01,まくり,3,0.17,1.50.4
児島,2,予選,4,3339,泉具巳,66,43,曇り,南,4,3,6.74,02,まくり,4,0.20,1.51.8
児島,2,予選,1,4126,吉本玲緒,32,71,曇り,南,4,3,6.77,03,まくり,1,0.11,1.53.6
児島,2,予選,2,4164,岩永節也,70,29,曇り,南,4,3,6.72,04,まくり,2,0.18,1.54.3
児島,2,予選,5,3682,切田潤二,43,41,曇り,南,4,3,6.72,05,まくり,5,0.26,.  .
児島,2,予選,6,5310,土屋蘭,29,63,曇り,南,4,3,6.75,06,まくり,6,0.38,.  .
児島,3,予選,1,4248,岡本大,49,32,曇り,南,2,3,6.85,01,逃げ,1,0.09,1.50.0
児島,3,予選,6,4084,杉山正樹,60,70,曇り,南,2,3,6.81,02,逃げ,6,0.13,1.50.7
児島,3,予選,4,4625,渡邊裕貴,44,53,曇り,南,2,3,6.75,03,逃げ,4,0.14,1.52.0
児島,3,予選,2,4325,新出浩司,69,21,曇り,南,2,3,6.87,04,逃げ,2,0.08,1.53.7
児島,3,予選,5,3357,福島陽子,48,25,曇り,南,2,3,6.82,05,逃げ,5,0.13,.  .
児島,3,予選,3,3668,市川猛,11,39,曇り,南,2,3,6.83,06,逃げ,3,0.09,.  .
児島,4,コジマだ４っ,4,4069,山本修一,24,72,曇り,南,4,3,6.81,01,恵まれ,4,0.04,1.50.0
児島,4,コジマだ４っ,2,4640,山ノ内雅人,52,59,曇り,南,4,3,6.75,02,恵まれ,2,0.05,1.51.2
児島,4,コジマだ４っ,3,4817,渡邉翼,35,54,曇り,南,4,3,6.72,03,恵まれ,3,0.03,1.51.5
児島,4,コジマだ４っ,5,4076,杉田篤光,34,26,曇り,南,4,3,6.84,04,恵まれ,5,0.04,1.53.7
児島,4,コジマだ４っ,6,4924,中北涼,41,37,曇り,南,4,3,6.75,05,恵まれ,6,0.07,.  .
児島,5,日替艇食戦,2,5027,重冨勇哉,67,55,曇り,南,2,3,6.72,01,差し,2,0.03,1.49.4
児島,5,日替艇食戦,1,4121,富永修一,51,11,曇り,南,2,3,6.83,02,差し,1,0.00,1.50.7
児島,5,日替艇食戦,4,4811,向井田佑紀,33,38,曇り,南,2,3,6.73,03,差し,4,0.12,1.51.9
児島,5,日替艇食戦,3,3233,小畑実成,25,50,曇り,南,2,3,6.75,04,差し,3,0.09,1.52.3
児島,5,日替艇食戦,6,3349,吉田一郎,65,44,曇り,南,2,3,6.79,05,差し,5,0.17,.  .
児島,5,日替艇食戦,5,5248,本田愛,17,49,曇り,南,2,3,6.72,06,差し,6,0.36,.  .
児島,6,昼得クラリス,1,4133,高橋正男,15,57,曇り,南,3,3,6.78,01,逃げ,1,0.11,1.48.6
児島,6,昼得クラリス,2,3905,天野友和,40,74,曇り,南,3,3,6.76,02,逃げ,2,0.12,1.50.2
児島,6,昼得クラリス,3,3655,本橋克洋,38,31,曇り,南,3,3,6.76,03,逃げ,3,0.13,1.51.2
児島,6,昼得クラリス,4,3757,畑和宏,68,73,曇り,南,3,3,6.77,04,逃げ,4,0.15,1.52.5
児島,6,昼得クラリス,5,5109,川崎智稔,58,24,曇り,南,3,3,6.75,05,逃げ,5,0.16,.  .
児島,6,昼得クラリス,6,4088,野田祥子,57,65,曇り,南,3,3,6.78,06,逃げ,6,0.29,.  .
児島,7,予選,1,3843,上之晃弘,36,14,曇り,南,2,3,6.77,01,逃げ,1,0.09,1.49.1
児島,7,予選,3,4625,渡邊裕貴,44,53,曇り,南,2,3,6.80,02,逃げ,3,0.13,1.50.6
児島,7,予選,2,4736,高倉和士,18,62,曇り,南,2,3,6.73,03,逃げ,2,0.10,1.51.2
児島,7,予選,5,4514,上條嘉嗣,37,47,曇り,南,2,3,6.80,04,逃げ,5,0.18,1.51.2
児島,7,予選,4,4161,黒柳浩孝,55,64,曇り,南,2,3,6.77,05,逃げ,4,0.15,.  .
児島,7,予選,6,3280,垣内清美,13,20,曇り,南,2,3,6.78,06,逃げ,6,0.16,.  .
児島,8,予選,1,3339,泉具巳,66,43,曇り,南,2,3,6.79,01,逃げ,1,0.22,1.48.7
児島,8,予選,3,4209,藤田竜弘,39,46,曇り,南,2,3,6.81,02,逃げ,3,0.16,1.50.1
児島,8,予選,4,3773,津留浩一郎,23,58,曇り,南,2,3,6.68,03,逃げ,4,0.20,1.51.5
児島,8,予選,5,3536,一色雅昭,42,61,曇り,南,2,3,6.80,04,逃げ,6,0.23,1.52.7
児島,8,予選,2,4089,妹尾忠幸,26,33,曇り,南,2,3,6.82,05,逃げ,2,0.19,.  .
児島,8,予選,6,5141,大澤風葵,71,30,曇り,南,2,3,6.76,06,逃げ,5,0.17,.  .
児島,9,予選特賞,5,4126,吉本玲緒,32,71,曇り,南,1,1,6.75,01,抜き,5,0.14,1.50.2
児島,9,予選特賞,1,3233,小畑実成,25,50,曇り,南,1,1,6.80,02,抜き,1,0.17,1.51.2
児島,9,予選特賞,2,4924,中北涼,41,37,曇り,南,1,1,6.74,03,抜き,2,0.22,1.51.8
児島,9,予選特賞,6,4731,間野兼礼,46,45,曇り,南,1,1,6.73,04,抜き,6,0.08,1.52.4
児島,9,予選特賞,3,3475,橋本久和,64,13,曇り,南,1,1,6.87,05,抜き,3,0.30,.  .
児島,9,予選特賞,4,4200,早川尚人,62,34,曇り,南,1,1,6.81,06,抜き,4,0.22,.  .
児島,10,予選特賞,5,5189,藤原早菜,45,52,曇り,南東,1,1,6.74,01,抜き,5,0.11,1.48.4
児島,10,予選特賞,1,4811,向井田佑紀,33,38,曇り,南東,1,1,6.80,02,抜き,1,0.02,1.50.2
児島,10,予選特賞,2,4207,松下一也,72,15,曇り,南東,1,1,6.75,03,抜き,2,0.12,1.51.5
児島,10,予選特賞,3,4325,新出浩司,69,21,曇り,南東,1,1,6.81,04,抜き,3,0.06,1.52.7
児島,10,予選特賞,4,4640,山ノ内雅人,52,59,曇り,南東,1,1,6.82,05,抜き,4,0.11,.  .
児島,10,予選特賞,6,3655,本橋克洋,38,31,曇り,南東,1,1,6.90,06,抜き,6,0.13,.  .
児島,11,予選特選,1,4514,上條嘉嗣,37,47,曇り,南,2,1,6.83,01,逃げ,1,0.24,1.49.6
児島,11,予選特選,4,3905,天野友和,40,74,曇り,南,2,1,6.77,02,逃げ,4,0.22,1.50.2
児島,11,予選特選,6,4817,渡邉翼,35,54,曇り,南,2,1,6.86,03,逃げ,6,0.16,1.51.7
児島,11,予選特選,5,4121,富永修一,51,11,曇り,南,2,1,6.86,04,逃げ,5,0.16,1.52.7
児島,11,予選特選,3,4248,岡本大,49,32,曇り,南,2,1,6.91,05,逃げ,3,0.28,.  .
児島,11,予選特選,2,3731,高濱芳久,61,36,曇り,南,2,1,6.82,06,逃げ,2,0.30,.  .
児島,12,トーター選抜,1,4069,山本修一,24,72,曇り,南,1,1,6.78,01,逃げ,1,0.19,1.48.2
児島,12,トーター選抜,6,4736,高倉和士,18,62,曇り,南,1,1,6.82,02,逃げ,6,0.14,1.49.9
