レース場,レース番号,レース種別,艇番,登録番号,選手名,モーター番号,ボート番号,天候,風向,風速(m),波高(cm),展示タイム,着順,決まり手,進入,スタートタイミング,レースタイム
大村,1,予選,1,3627,井上恵一,72,57,晴,北西,2,1,6.90,01,逃げ,1,0.17,1.49.9
大村,1,予選,2,5110,杉山喜一,39,67,晴,北西,2,1,6.95,02,逃げ,2,0.12,1.50.5
大村,1,予選,3,3692,竹腰正樹,11,41,晴,北西,2,1,6.94,03,逃げ,3,0.13,1.53.0
大村,1,予選,6,4705,吉川勇作,54,55,晴,北西,2,1,6.92,04,逃げ,6,0.25,1.53.4
大村,1,予選,5,5211,高井駿弥,71,59,晴,北西,2,1,6.95,05,逃げ,5,0.25,.  .
大村,1,予選,4,5244,黒田剛,26,60,晴,北西,2,1,6.86,06,逃げ,4,0.15,.  .
大村,2,予選,1,5104,山田丈,40,38,曇り,北西,2,1,6.85,01,逃げ,1,0.16,1.49.2
大村,2,予選,5,4706,三浦洋次朗,33,54,曇り,北西,2,1,6.90,02,逃げ,4,0.12,1.50.8
大村,2,予選,4,4966,田川大貴,69,64,曇り,北西,2,1,6.88,03,逃げ,5,0.14,1.52.3
大村,2,予選,3,4104,木下陽介,20,29,曇り,北西,2,1,6.84,04,逃げ,3,0.11,1.52.9
大村,2,予選,2,3814,金子貴志,23,24,曇り,北西,2,1,6.89,05,逃げ,2,0.13,.  .
大村,2,予選,6,5271,杉山太陽,24,50,曇り,北西,2,1,6.91,06,逃げ,6,0.21,.  .
大村,3,予選,5,3833,中辻博訓,50,48,曇り,西,3,2,6.94,01,まくり差し,5,0.11,1.48.7
大村,3,予選,3,4256,渡辺浩司,53,71,曇り,西,3,2,6.91,02,まくり差し,3,0.09,1.50.5
大村,3,予選,4,4875,大塚康雅,19,66,曇り,西,3,2,6.84,03,まくり差し,4,0.11,1.51.9
大村,3,予選,1,3851,森田昭彦,60,47,曇り,西,3,2,6.91,04,まくり差し,1,0.18,1.52.8
大村,3,予選,6,4876,梅木敬太,68,20,曇り,西,3,2,6.90,05,まくり差し,6,0.14,.  .
大村,3,予選,2,3757,畑和宏,34,69,曇り,西,3,2,6.91,06,まくり差し,2,0.13,.  .
大村,4,予選,2,3613,角谷健吾,49,16,曇り,北,2,1,6.86,01,まくり,2,0.16,1.48.9
大村,4,予選,4,3554,仲口博崇,21,30,曇り,北,2,1,6.82,02,まくり,4,0.23,1.50.2
大村,4,予選,3,4259,真庭明志,61,51,曇り,北,2,1,6.89,03,まくり,3,0.20,1.51.3
大村,4,予選,5,5008,羽野諒,30,44,曇り,北,2,1,6.89,04,まくり,5,0.27,1.52.6
大村,4,予選,6,4270,岸本雄貴,51,70,曇り,北,2,1,6.92,05,まくり,6,0.25,.  .
大村,4,予選,1,5223,森清友翔,31,73,曇り,北,2,1,6.86,06,まくり,1,0.27,.  .
大村,5,予選,3,4366,前沢丈史,43,18,晴,北,3,2,6.82,01,まくり差し,3,0.11,1.49.4
大村,5,予選,2,3692,竹腰正樹,11,41,晴,北,3,2,6.86,02,まくり差し,2,0.15,1.51.6
大村,5,予選,5,4603,谷川将太,36,43,晴,北,3,2,6.81,03,まくり差し,5,0.17,1.52.8
大村,5,予選,4,4505,島田賢人,48,22,晴,北,3,2,6.77,04,まくり差し,4,0.12,1.54.0
大村,5,予選,6,3670,古澤信二,41,52,晴,北,3,2,6.82,05,まくり差し,6,0.28,.  .
大村,5,予選,1,4432,黄金井力良,63,56,晴,北,3,2,6.83,06,まくり差し,1,0.15,.  .
大村,6,予選,2,4544,松田大志郎,59,12,晴,北,3,2,6.83,01,まくり,2,0.15,1.48.5
大村,6,予選,6,5110,杉山喜一,39,67,晴,北,3,2,6.88,02,まくり,5,0.26,1.49.6
大村,6,予選,3,4575,戸塚邦好,15,63,晴,北,3,2,6.82,03,まくり,3,0.11,1.52.0
大村,6,予選,1,4156,浜野孝志,66,28,晴,北,3,2,6.84,04,まくり,1,0.23,1.53.0
大村,6,予選,4,4735,角山雄哉,55,33,晴,北,3,2,6.80,05,まくり,4,0.20,.  .
大村,6,予選,5,5271,杉山太陽,24,50,晴,北,3,2,6.88,06,まくり,6,0.17,.  .
大村,7,予選,1,4581,吉村誠,17,49,晴,北東,4,3,6.81,01,逃げ,1,0.08,1.48.9
大村,7,予選,3,4055,吉田俊彦,32,46,晴,北東,4,3,6.88,02,逃げ,3,0.09,1.51.0
大村,7,予選,2,5048,眞鳥康太,73,76,晴,北東,4,3,6.83,03,逃げ,2,0.13,1.52.1
大村,7,予選,4,3713,伊藤誠二,13,61,晴,北東,4,3,6.87,04,逃げ,4,0.06,1.52.9
大村,7,予選,6,5244,黒田剛,26,60,晴,北東,4,3,6.84,05,逃げ,6,0.16,.  .
大村,7,予選,5,5104,山田丈,40,38,晴,北東,4,3,6.80,06,逃げ,5,0.08,.  .
大村,8,予選,2,4523,中村辰也,45,36,晴,北,3,2,6.75,01,差し,2,0.14,1.48.4
大村,8,予選,1,4485,楠原正剛,46,11,晴,北,3,2,6.83,02,差し,1,0.16,1.49.8
大村,8,予選,5,4003,表憲一,28,74,晴,北,3,2,6.85,03,差し,5,0.23,1.52.3
大村,8,予選,4,3627,井上恵一,72,57,晴,北,3,2,6.83,04,差し,4,0.25,1.53.3
大村,8,予選,3,4073,大橋純一郎,52,72,晴,北,3,2,6.92,05,差し,3,0.15,.  .
大村,8,予選,6,4875,大塚康雅,19,66,晴,北,3,2,6.72,06,差し,6,0.19,.  .
大村,9,予選特選,1,5015,高橋竜矢,44,13,晴,北東,4,3,6.79,01,逃げ,1,0.08,1.47.0
大村,9,予選特選,4,4261,岡祐臣,29,62,晴,北東,4,3,6.80,02,逃げ,4,0.10,1.49.6
大村,9,予選特選,3,4966,田川大貴,69,64,晴,北東,4,3,6.82,03,逃げ,3,0.11,1.50.2
大村,9,予選特選,5,4551,三川昂暁,16,58,晴,北東,4,3,6.82,04,逃げ,5,0.08,1.51.4
大村,9,予選特選,6,4159,向後龍一,27,45,晴,北東,4,3,6.83,05,逃げ,6,0.13,.  .
