レース場,レース番号,レース種別,天候,風向,風速(m),波高(cm),決まり手,着順,艇番,登録番号,選手名,モーター,ボート,展示タイム,進入,スタートタイミング,レースタイム
大村,1,一般,晴,北西,2,1,逃げ,01,1,4890,石川諒,61,74,6.86,1,0.23,1.49.7
大村,1,一般,晴,北西,2,1,逃げ,02,5,4474,渡辺崇,71,65,6.90,5,0.17,1.50.9
大村,1,一般,晴,北西,2,1,逃げ,03,3,4466,南佑典,17,32,6.88,3,0.16,1.52.4
大村,1,一般,晴,北西,2,1,逃げ,04,4,4281,大澤大夢,45,40,6.85,4,0.19,1.53.7
大村,1,一般,晴,北西,2,1,逃げ,05,2,5131,江藤敦宏,62,61,6.88,2,0.22,.  .
大村,1,一般,晴,北西,2,1,逃げ,06,6,5208,屋良龍紀,54,18,6.95,6,0.17,.  .
大村,2,一般,晴,北西,2,1,逃げ,01,1,3812,山崎聖司,56,23,6.89,1,0.02,1.49.9
大村,2,一般,晴,北西,2,1,逃げ,02,2,4985,井本昌也,70,15,6.91,2,0.04,1.51.1
大村,2,一般,晴,北西,2,1,逃げ,03,4,5008,羽野諒,34,21,6.86,4,0.16,1.52.8
大村,2,一般,晴,北西,2,1,逃げ,04,3,4782,浜崎準也,69,56,6.90,3,0.07,1.53.4
大村,2,一般,晴,北西,2,1,逃げ,05,5,4390,松本弓雄,21,70,6.89,5,0.12,.  .
大村,2,一般,晴,北西,2,1,逃げ,06,6,5143,常盤海心,28,64,6.90,6,0.27,.  .
大村,3,一般,晴,北西,2,1,まくり,01,4,4934,佐々木翔斗,32,63,6.89,4,0.18,1.50.2
大村,3,一般,晴,北西,2,1,まくり,02,6,4969,町田洸希,26,12,6.82,6,0.19,1.50.9
大村,3,一般,晴,北西,2,1,まくり,03,2,4142,平野和明,25,41,6.84,2,0.23,1.52.7
大村,3,一般,晴,北西,2,1,まくり,04,3,3997,北村征嗣,50,62,6.86,3,0.23,1.54.7
大村,3,一般,晴,北西,2,1,まくり,05,5,5005,石田貴洋,41,45,6.88,5,0.18,.  .
大村,3,一般,晴,北西,2,1,まくり,06,1,5210,藤井公人,39,20,6.86,1,0.17,.  .
大村,4,一般,晴,北西,3,2,逃げ,01,1,4523,中村辰也,73,71,6.86,1,0.19,1.49.7
大村,4,一般,晴,北西,3,2,逃げ,02,4,4457,神田達也,66,43,6.94,4,0.26,1.51.1
大村,4,一般,晴,北西,3,2,逃げ,03,6,4397,西村拓也,18,25,6.79,6,0.17,1.51.8
大村,4,一般,晴,北西,3,2,逃げ,04,3,4080,山崎哲司,11,38,6.86,3,0.14,1.53.6
大村,4,一般,晴,北西,3,2,逃げ,05,5,4108,吉村正明,36,44,6.92,5,0.16,.  .
大村,4,一般,晴,北西,3,2,逃げ,06,2,5083,柳瀬幹太,51,49,6.90,2,0.17,.  .
大村,5,一般,晴,北西,3,2,逃げ,01,1,4377,濱本優一,65,48,6.96,1,0.10,1.49.0
大村,5,一般,晴,北西,3,2,逃げ,02,3,4084,杉山正樹,14,11,6.89,3,0.08,1.50.7
大村,5,一般,晴,北西,3,2,逃げ,03,2,5004,河野主樹,43,27,6.89,2,0.10,1.52.3
大村,5,一般,晴,北西,3,2,逃げ,04,6,4835,橋本明,52,69,6.96,6,0.19,1.53.0
大村,5,一般,晴,北西,3,2,逃げ,05,4,4461,安田吉宏,22,30,6.93,4,0.19,.  .
大村,5,一般,晴,北西,3,2,逃げ,06,5,4375,照屋厚仁,37,50,6.88,5,0.19,.  .
大村,6,一般,晴,北西,2,1,逃げ,01,1,4118,宇佐見淳,38,19,6.92,1,0.16,1.49.3
大村,6,一般,晴,北西,2,1,逃げ,02,4,4460,後藤翔之,48,31,6.91,4,0.17,1.50.5
大村,6,一般,晴,北西,2,1,逃げ,03,6,4090,中村尊,19,73,6.91,6,0.15,1.51.1
大村,6,一般,晴,北西,2,1,逃げ,04,3,5010,宇留田翔平,23,60,6.91,3,0.16,1.53.5
大村,6,一般,晴,北西,2,1,逃げ,05,2,5071,野見山拓己,33,29,6.84,2,0.28,.  .
大村,6,一般,晴,北西,2,1,逃げ,06,5,5286,坂井滉哉,49,46,6.90,5,0.29,.  .
