レース場,レース番号,レース種別,艇番,登録番号,選手名,モーター番号,ボート番号,天候,風向,風速(m),波高(cm),展示タイム,着順,決まり手,進入,スタートタイミング,レースタイム
大村,1,シリーズ予選,6,4362,土屋智則,47,17,曇り,無風,0,1,6.85,01,まくり差し,3,0.12,1.48.3
大村,1,シリーズ予選,2,4590,渡邉優美,63,21,曇り,無風,0,1,6.85,02,まくり差し,4,0.13,1.49.6
大村,1,シリーズ予選,5,4013,中島孝平,59,48,曇り,無風,0,1,6.92,03,まくり差し,6,0.18,1.50.9
大村,1,シリーズ予選,4,3623,深川真二,49,31,曇り,無風,0,1,6.83,04,まくり差し,2,0.19,1.51.8
大村,1,シリーズ予選,1,3744,徳増秀樹,71,74,曇り,無風,0,1,6.82,05,まくり差し,1,0.22,.  .
大村,1,シリーズ予選,3,4914,吉田裕平,32,40,曇り,無風,0,1,6.92,06,まくり差し,5,0.13,.  .
大村,2,シリーズ予選,1,4337,平本真之,23,65,曇り,無風,0,1,6.88,01,逃げ,1,0.09,1.47.6
大村,2,シリーズ予選,3,5121,定松勇樹,12,28,曇り,無風,0,1,6.84,02,逃げ,3,0.06,1.48.4
大村,2,シリーズ予選,4,4418,茅原悠紀,29,59,曇り,無風,0,1,6.88,03,逃げ,4,0.12,1.50.7
大村,2,シリーズ予選,2,4907,小池修平,14,69,曇り,無風,0,1,6.83,04,逃げ,2,0.21,1.51.5
大村,2,シリーズ予選,5,4502,遠藤エミ,50,50,曇り,無風,0,1,6.94,05,逃げ,5,0.17,.  .
大村,2,シリーズ予選,6,4932,新開航,66,23,曇り,無風,0,1,6.85,06,逃げ,6,0.24,.  .
大村,3,シリーズ予選,4,4024,井口佳典,76,56,曇り,南,1,1,6.81,01,まくり差し,4,0.13,1.48.1
大村,3,シリーズ予選,6,3960,菊地孝平,48,15,曇り,南,1,1,6.90,02,まくり差し,6,0.09,1.49.0
大村,3,シリーズ予選,1,4787,椎名豊,21,63,曇り,南,1,1,6.86,03,まくり差し,1,0.13,1.50.4
大村,3,シリーズ予選,2,4848,仲谷颯仁,75,70,曇り,南,1,1,6.91,04,まくり差し,2,0.20,1.51.3
大村,3,シリーズ予選,5,3941,池田浩二,33,22,曇り,南,1,1,6.90,05,まくり差し,5,0.11,.  .
大村,3,シリーズ予選,3,3388,今垣光太郎,38,27,曇り,南,1,1,6.94,06,まくり差し,3,0.11,.  .
大村,4,シリーズ予選,1,3946,赤岩善生,52,16,曇り,南,1,1,6.97,01,逃げ,1,0.08,1.48.2
大村,4,シリーズ予選,2,5015,高橋竜矢,20,58,曇り,南,1,1,6.89,02,逃げ,2,0.11,1.48.7
大村,4,シリーズ予選,5,4168,石野貴之,34,20,曇り,南,1,1,6.92,03,逃げ,5,0.12,1.51.0
大村,4,シリーズ予選,6,4504,前田将太,15,72,曇り,南,1,1,6.86,04,逃げ,6,0.08,1.51.6
大村,4,シリーズ予選,3,4190,長嶋万記,69,55,曇り,南,1,1,6.88,05,逃げ,3,0.13,.  .
大村,4,シリーズ予選,4,4939,宮之原輝紀,28,41,曇り,南,1,1,6.90,06,逃げ,4,0.17,.  .
大村,5,シリーズ予選,3,4500,山田康二,73,25,曇り,西,1,1,6.96,01,まくり差し,3,0.09,1.48.0
大村,5,シリーズ予選,1,3623,深川真二,49,31,曇り,西,1,1,6.90,02,まくり差し,1,0.14,1.48.7
大村,5,シリーズ予選,5,4482,守屋美穂,51,38,曇り,西,1,1,6.81,03,まくり差し,5,0.11,1.49.6
大村,5,シリーズ予選,2,4914,吉田裕平,32,40,曇り,西,1,1,6.90,04,まくり差し,2,0.10,1.51.2
