レース場,レース番号,レース種別,天候,風向,風速(m),波高(cm),決まり手,着順,艇番,登録番号,選手名,モーター,ボート,展示タイム,進入,スタートタイミング,レースタイム
福岡,1,カタメン１予,雨,東,3,3,逃げ,01,1,4590,渡邉優美,68,168,6.92,1,0.21,1.50.1
福岡,1,カタメン１予,雨,東,3,3,逃げ,02,2,5118,野田なづき,34,104,6.97,2,0.23,1.53.2
福岡,1,カタメン１予,雨,東,3,3,逃げ,03,5,5079,大石真央,39,157,6.99,5,0.19,1.54.7
福岡,1,カタメン１予,雨,東,3,3,逃げ,04,3,5254,羽田妃希,54,126,6.99,3,0.23,1.56.1
福岡,1,カタメン１予,雨,東,3,3,逃げ,05,4,5200,筒井美琴,53,173,6.98,4,0.35,.  .
福岡,1,カタメン１予,雨,東,3,3,逃げ,06,6,5327,西田和加,29,143,6.94,6,0.34,.  .
福岡,2,予選,曇り,南,3,3,逃げ,01,1,5227,川原愛未,15,107,6.85,1,0.17,1.55.3
福岡,2,予選,曇り,南,3,3,逃げ,02,5,4947,間庭菜摘,26,158,6.90,5,0.19,1.58.8
福岡,2,予選,曇り,南,3,3,逃げ,03,2,4501,樋口由加里,23,105,6.94,2,0.19,2.01.4
福岡,2,予選,曇り,南,3,3,逃げ,04,3,4286,平田さやか,57,153,6.85,3,0.22,2.03.8
福岡,2,予選,曇り,南,3,3,逃げ,05,6,5326,三嶌さらら,56,147,6.87,6,0.23,.  .
福岡,3,カタメン３予,曇り,南,3,3,抜き,01,3,3232,山川美由紀,74,149,6.81,3,0.17,1.50.0
福岡,3,カタメン３予,曇り,南,3,3,抜き,02,4,5264,登みひ果,33,171,6.99,4,0.16,1.51.3
福岡,3,カタメン３予,曇り,南,3,3,抜き,03,1,5069,山崎小葉音,69,172,6.84,1,0.07,1.53.8
福岡,3,カタメン３予,曇り,南,3,3,抜き,04,2,4773,中川りな,61,151,6.81,2,0.18,1.55.3
福岡,3,カタメン３予,曇り,南,3,3,抜き,05,6,4987,島倉都,43,131,6.98,5,0.19,.  .
福岡,3,カタメン３予,曇り,南,3,3,抜き,06,5,5334,樫葉新心,27,156,6.96,6,0.30,.  .
福岡,4,予選,雨,南,2,2,まくり差し,01,5,4387,平山智加,52,163,6.89,5,0.21,1.49.3
福岡,4,予選,雨,南,2,2,まくり差し,02,1,4936,戸敷晃美,42,101,6.86,1,0.26,1.50.3
福岡,4,予選,雨,南,2,2,まくり差し,03,3,3994,茶谷桜,75,145,6.91,3,0.19,1.52.5
福岡,4,予選,雨,南,2,2,まくり差し,04,4,3604,武藤綾子,11,166,6.92,4,0.16,1.54.9
福岡,4,予選,雨,南,2,2,まくり差し,05,2,4853,前原哉,47,154,6.89,2,0.19,.  .
福岡,4,予選,雨,南,2,2,まくり差し,06,6,5335,森陽多,62,144,6.92,6,0.33,.  .
福岡,5,予選,雨,南西,3,3,逃げ,01,1,5203,神里琴音,67,139,6.91,1,0.16,1.49.5
福岡,5,予選,雨,南西,3,3,逃げ,02,2,4482,守屋美穂,60,134,6.88,2,0.18,1.50.9
福岡,5,予選,雨,南西,3,3,逃げ,03,4,4447,深川麻奈美,40,169,6.84,4,0.20,1.53.0
福岡,5,予選,雨,南西,3,3,逃げ,04,5,5193,米丸乃絵,14,102,6.87,5,0.15,1.53.9
福岡,5,予選,雨,南西,3,3,逃げ,05,3,4994,山本梨菜,38,109,6.87,3,0.17,.  .
福岡,5,予選,雨,南西,3,3,逃げ,06,6,5254,羽田妃希,54,126,6.88,6,0.12,.  .
福岡,6,予選,曇り,南,2,2,まくり,01,2,4961,西橋奈未,50,111,6.85,2,0.08,1.49.1
福岡,6,予選,曇り,南,2,2,まくり,02,3,4738,清埜翔子,44,162,6.85,3,0.06,1.50.9
福岡,6,予選,曇り,南,2,2,まくり,03,4,3579,中里優子,48,108,6.96,4,0.13,1.53.9
福岡,6,予選,曇り,南,2,2,まくり,04,6,5192,中尾優香,63,116,6.98,5,0.08,1.54.6
福岡,6,予選,曇り,南,2,2,まくり,05,5,5326,三嶌さらら,56,147,6.95,6,0.09,.  .
福岡,6,予選,曇り,南,2,2,まくり,06,1,5164,森田梨湖,59,170,6.97,1,0.27,.  .
福岡,7,予選,曇り,南東,3,3,逃げ,01,1,5205,刑部亜里紗,46,123,6.83,1,0.10,1.50.1
福岡,7,予選,曇り,南東,3,3,逃げ,02,2,3188,日高逸子,22,138,6.89,2,0.11,1.52.7
福岡,7,予選,曇り,南東,3,3,逃げ,03,3,4208,三浦永理,37,140,6.93,3,0.15,1.53.4
福岡,7,予選,曇り,南東,3,3,逃げ,04,4,5069,山崎小葉音,69,172,6.91,4,0.22,1.55.2
福岡,7,予選,曇り,南東,3,3,逃げ,05,6,4224,大橋栄里佳,64,103,6.92,6,0.21,.  .
福岡,7,予選,曇り,南東,3,3,逃げ,06,5,5250,嶋田有里,49,118,6.98,5,0.17,.  .
福岡,8,予選,曇り,東,3,3,逃げ,01,1,4843,深尾巴恵,41,161,6.79,1,0.23,1.51.2
福岡,8,予選,曇り,東,3,3,逃げ,02,2,4286,平田さやか,57,153,6.88,2,0.26,1.53.5
福岡,8,予選,曇り,東,3,3,逃げ,03,3,5163,清水愛海,24,165,6.85,3,0.30,1.54.6
福岡,8,予選,曇り,東,3,3,逃げ,04,6,5281,井上遥妃,21,106,6.87,6,0.23,1.55.2
福岡,8,予選,曇り,東,3,3,逃げ,05,4,4853,前原哉,47,154,6.89,4,0.27,.  .
