レース場,レース番号,レース種別,艇番,登録番号,選手名,モーター番号,ボート番号,天候,風向,風速(m),波高(cm),展示タイム,着順,決まり手,進入,スタートタイミング,レースタイム
大村,1,予選,1,5048,眞鳥康太,63,63,晴,西,3,2,6.91,01,逃げ,1,0.08,1.50.6
大村,1,予選,2,5142,常住蓮,45,56,晴,西,3,2,6.91,02,逃げ,2,0.04,1.51.8
大村,1,予選,3,3848,川上聡介,19,71,晴,西,3,2,7.00,03,逃げ,3,0.08,1.53.7
大村,1,予選,5,4394,永嶋裕一,40,67,晴,西,3,2,6.96,04,逃げ,5,0.05,1.55.3
大村,1,予選,6,5219,森口和紀,73,49,晴,西,3,2,7.00,05,逃げ,6,0.07,.  .
大村,1,予選,4,5083,柳瀬幹太,49,30,晴,西,3,2,6.94,06,逃げ,4,0.21,.  .
大村,2,予選,1,3283,窪田好弘,57,31,晴,南西,4,3,6.95,01,逃げ,1,0.13,1.50.7
大村,2,予選,5,4112,大久保信一郎,56,53,晴,南西,4,3,6.92,02,逃げ,5,0.13,1.51.9
大村,2,予選,3,4094,中島真二,62,24,晴,南西,4,3,6.97,03,逃げ,3,0.21,1.54.2
大村,2,予選,6,3901,松田憲幸,32,68,晴,南西,4,3,7.06,04,逃げ,6,0.16,1.55.6
大村,2,予選,4,3151,落合敬一,72,76,晴,南西,4,3,6.97,05,逃げ,4,0.11,.  .
大村,2,予選,2,4023,柴田友和,26,32,晴,南西,4,3,6.97,06,逃げ,2,0.11,.  .
大村,3,予選,1,3761,山本光雄,30,59,晴,西,3,2,7.05,01,逃げ,1,0.13,1.51.0
大村,3,予選,6,4174,赤坂俊輔,50,50,晴,西,3,2,7.00,02,逃げ,5,0.19,1.52.1
大村,3,予選,4,4180,上野秀和,47,54,晴,西,3,2,7.00,03,逃げ,4,0.20,1.54.4
大村,3,予選,3,3930,岸本隆,37,20,晴,西,3,2,7.04,04,逃げ,3,0.13,1.56.0
大村,3,予選,2,3722,西村秀樹,41,38,晴,西,3,2,6.97,05,逃げ,2,0.12,.  .
大村,3,予選,5,5210,藤井公人,51,21,晴,西,3,2,6.98,06,逃げ,6,0.18,.  .
大村,4,予選,5,4148,枝尾賢,55,13,晴,西,4,3,6.96,01,まくり,5,0.18,1.50.0
大村,4,予選,6,4445,宮地元輝,64,69,晴,西,4,3,6.98,02,まくり,6,0.14,1.52.6
大村,4,予選,4,4803,飯田庄吾,21,72,晴,西,4,3,7.01,03,まくり,4,0.22,1.53.4
大村,4,予選,1,3879,中村格,17,58,晴,西,4,3,7.03,04,まくり,1,0.13,1.53.5
大村,4,予選,2,4092,岡部大輔,25,47,晴,西,4,3,6.95,05,まくり,2,0.12,.  .
大村,4,予選,3,3734,宮田政勝,35,37,晴,西,4,3,7.07,06,まくり,3,0.40,.  .
大村,5,予選,1,3558,山本浩次,69,12,晴,南西,4,3,6.95,01,逃げ,1,0.09,1.50.7
大村,5,予選,6,4016,西川新太郎,29,19,晴,南西,4,3,6.97,02,逃げ,5,0.18,1.51.6
大村,5,予選,3,5083,柳瀬幹太,49,30,晴,南西,4,3,6.96,03,逃げ,2,0.12,1.52.9
大村,5,予選,5,4402,乙藤智史,70,27,晴,南西,4,3,6.96,04,逃げ,4,0.17,1.54.1
大村,5,予選,4,3297,藤丸光一,36,62,晴,南西,4,3,7.03,05,逃げ,3,0.15,.  .
大村,6,予選,1,3892,草場康幸,13,35,晴,南西,2,1,6.98,01,逃げ,1,0.16,1.50.9
大村,6,予選,3,4566,塩田北斗,16,25,晴,南西,2,1,6.95,02,逃げ,3,0.15,1.51.9
大村,6,予選,2,3303,渡辺豊,33,57,晴,南西,2,1,7.02,03,逃げ,2,0.22,1.54.1
大村,6,予選,5,3620,信濃由行,28,43,晴,南西,2,1,7.03,04,逃げ,5,0.19,1.54.9
大村,6,予選,6,4023,柴田友和,26,32,晴,南西,2,1,6.94,05,逃げ,6,0.16,.  .
大村,6,予選,4,4277,金田大輔,11,16,晴,南西,2,1,6.90,06,逃げ,4,0.18,.  .
大村,7,予選,1,4713,白神優,44,15,晴,南,2,1,6.98,01,逃げ,1,0.15,1.50.0
大村,7,予選,3,3151,落合敬一,72,76,晴,南,2,1,6.93,02,逃げ,3,0.04,1.50.9
大村,7,予選,4,4297,山田哲也,34,11,晴,南,2,1,6.96,03,逃げ,4,0.07,1.52.4
大村,7,予選,2,4394,永嶋裕一,40,67,晴,南,2,1,7.07,04,逃げ,2,0.05,1.54.2
大村,7,予選,5,4299,中島浩哉,38,51,晴,南,2,1,7.01,05,逃げ,5,0.08,.  .
大村,7,予選,6,5210,藤井公人,51,21,晴,南,2,1,6.97,06,逃げ,6,0.08,.  .
大村,8,予選,1,4064,原田篤志,39,40,晴,南,3,2,6.93,01,逃げ,1,0.15,1.48.8
大村,8,予選,6,4430,永田秀二,68,48,晴,南,3,2,6.92,02,逃げ,6,0.11,1.50.5
大村,8,予選,2,3982,福田理,65,23,晴,南,3,2,6.90,03,逃げ,2,0.21,1.51.6
大村,8,予選,5,4121,富永修一,59,55,晴,南,3,2,6.95,04,逃げ,5,0.16,1.53.1
大村,8,予選,4,3722,西村秀樹,41,38,晴,南,3,2,7.01,05,逃げ,4,0.13,.  .
大村,8,予選,3,5048,眞鳥康太,63,63,晴,南,3,2,6.98,06,逃げ,3,0.23,.  .
大村,9,予選特賞,1,4092,岡部大輔,25,47,晴,西,2,1,6.91,01,逃げ,1,0.26,1.49.9
大村,9,予選特賞,2,4180,上野秀和,47,54,晴,西,2,1,6.92,02,逃げ,3,0.25,1.51.3
大村,9,予選特賞,5,3297,藤丸光一,36,62,晴,西,2,1,6.90,03,逃げ,2,0.37,1.52.5
大村,9,予選特賞,6,4451,松崎祐太郎,53,64,晴,西,2,1,6.93,04,逃げ,6,0.18,1.53.0
大村,9,予選特賞,3,4985,井本昌也,76,75,晴,西,2,1,6.94,05,逃げ,4,0.25,.  .
大村,9,予選特賞,4,3283,窪田好弘,57,31,晴,西,2,1,6.89,06,逃げ,5,0.19,.  .
大村,10,予選特賞,1,4148,枝尾賢,55,13,晴,西,3,2,6.83,01,逃げ,1,0.12,1.48.9
大村,10,予選特賞,5,4652,酒見峻介,66,17,晴,西,3,2,6.84,02,逃げ,5,0.08,1.51.2
大村,10,予選特賞,2,4277,金田大輔,11,16,晴,西,3,2,6.87,03,逃げ,2,0.14,1.52.7
