レース場,レース番号,レース種別,艇番,登録番号,選手名,モーター番号,ボート番号,天候,風向,風速(m),波高(cm),展示タイム,着順,決まり手,進入,スタートタイミング,レースタイム
唐津,1,朝１戦予選,1,3849,中岡正彦,59,38,晴,南,5,5,6.62,01,逃げ,1,0.19,1.50.0
唐津,1,朝１戦予選,5,4116,川田正人,61,67,晴,南,5,5,6.65,02,逃げ,4,0.18,1.51.5
唐津,1,朝１戦予選,6,4705,吉川勇作,66,79,晴,南,5,5,6.72,03,逃げ,5,0.25,1.53.8
唐津,1,朝１戦予選,3,4393,田中孝明,25,75,晴,南,5,5,6.68,04,逃げ,3,0.22,1.55.1
唐津,1,朝１戦予選,2,4900,中田夕貴,56,46,晴,南,5,5,6.62,05,逃げ,2,0.19,1.57.1
唐津,1,朝１戦予選,4,5195,北村寧々,46,45,晴,南,5,5,6.63,06,逃げ,6,0.21,1.59.7
唐津,2,モー２ング予,1,3615,横田茂,52,68,晴,南,6,6,6.61,01,逃げ,1,0.22,1.51.8
唐津,2,モー２ング予,5,3459,中野和裕,35,60,晴,南,6,6,6.61,02,逃げ,5,0.36,1.52.2
唐津,2,モー２ング予,2,4580,長谷川雅和,16,88,晴,南,6,6,6.65,03,逃げ,2,0.24,1.54.0
唐津,2,モー２ング予,4,4924,中北涼,37,55,晴,南,6,6,6.59,04,逃げ,4,0.22,1.54.9
唐津,2,モー２ング予,6,4251,川崎誠志,34,40,晴,南,6,6,6.66,05,逃げ,6,0.26,1.56.2
唐津,2,モー２ング予,3,4841,高橋悠花,63,81,晴,南,6,6,6.60,06,逃げ,3,0.26,1.57.9
唐津,3,３ライズ戦予,3,4522,古澤光紀,36,77,晴,南,6,6,6.57,01,まくり差し,3,0.14,1.50.8
唐津,3,３ライズ戦予,4,4247,齊藤優,69,39,晴,南,6,6,6.64,02,まくり差し,4,0.07,1.51.4
唐津,3,３ライズ戦予,1,4441,末永由楽,42,90,晴,南,6,6,6.51,03,まくり差し,1,0.19,1.54.1
唐津,3,３ライズ戦予,5,4400,加藤奈月,18,89,晴,南,6,6,6.66,04,まくり差し,5,0.05,1.55.2
唐津,3,３ライズ戦予,2,4551,三川昂暁,62,56,晴,南,6,6,6.54,05,まくり差し,2,0.25,2.00.8
唐津,4,おは４戦予選,4,4685,島村隆幸,58,59,晴,南,8,8,6.66,01,まくり差し,4,0.20,1.51.4
唐津,4,おは４戦予選,1,4782,浜崎準也,47,31,晴,南,8,8,6.58,02,まくり差し,1,0.21,1.52.7
唐津,4,おは４戦予選,3,3574,大神康司,64,87,晴,南,8,8,6.60,03,まくり差し,3,0.24,1.53.2
唐津,4,おは４戦予選,5,4396,大田直弥,19,85,晴,南,8,8,6.58,04,まくり差し,5,0.27,1.53.7
唐津,4,おは４戦予選,6,4204,柴田大輔,68,65,晴,南,8,8,6.60,05,まくり差し,6,0.29,1.54.9
唐津,4,おは４戦予選,2,5086,本村大,30,49,晴,南,8,8,6.55,06,まくり差し,2,0.23,1.57.8
唐津,5,予選特賞Ｂ,4,4879,山崎鉄平,51,50,晴,南,7,7,6.59,01,まくり,4,0.07,1.50.3
唐津,5,予選特賞Ｂ,3,4839,四宮与寛,70,70,晴,南,7,7,6.66,02,まくり,3,0.39,1.53.0
唐津,5,予選特賞Ｂ,5,4709,岡村将也,20,63,晴,南,7,7,6.57,03,まくり,5,0.11,1.53.4
唐津,5,予選特賞Ｂ,2,4514,上條嘉嗣,54,41,晴,南,7,7,6.60,04,まくり,2,0.19,1.55.3
唐津,5,予選特賞Ｂ,1,3025,山口哲治,49,84,晴,南,7,7,6.56,05,まくり,1,0.19,1.56.2
唐津,5,予選特賞Ｂ,6,5195,北村寧々,46,45,晴,南,7,7,6.57,06,まくり,6,0.02,1.58.3
唐津,6,予選,1,3211,北川敏弘,26,57,晴,南,8,8,6.69,01,逃げ,1,0.24,1.52.6
唐津,6,予選,6,4393,田中孝明,25,75,晴,南,8,8,6.73,02,逃げ,6,0.28,1.54.5
唐津,6,予選,5,3961,谷村一哉,27,71,晴,南,8,8,6.66,03,逃げ,5,0.24,1.54.8
唐津,6,予選,4,3845,中谷朋子,15,72,晴,南,8,8,6.66,04,逃げ,4,0.26,1.55.5
