レース場,レース番号,レース種別,艇番,登録番号,選手名,モーター番号,ボート番号,天候,風向,風速(m),波高(cm),展示タイム,着順,決まり手,進入,スタートタイミング,レースタイム
福岡,1,一般,1,4122,安東幸治,12,138,晴,南,1,2,6.82,01,逃げ,1,0.22,1.50.2
福岡,1,一般,4,5009,大賀龍之介,19,139,晴,南,1,2,6.88,02,逃げ,4,0.22,1.52.2
福岡,1,一般,3,3730,塩崎優司,45,142,晴,南,1,2,6.92,03,逃げ,3,0.23,1.53.2
福岡,1,一般,2,3578,塩田雄一,21,115,晴,南,1,2,6.89,04,逃げ,2,0.23,1.54.2
福岡,1,一般,5,5303,土井歩夢,26,105,晴,南,1,2,6.87,05,逃げ,5,0.24,.  .
福岡,1,一般,6,5284,嘉手苅徹哉,55,135,晴,南,1,2,6.86,06,逃げ,6,0.18,.  .
福岡,2,一般,4,3605,中村守成,75,107,晴,南,2,2,6.88,01,まくり,4,0.12,1.50.1
福岡,2,一般,5,4769,馬場剛,36,121,晴,南,2,2,6.94,02,まくり,5,0.08,1.51.2
福岡,2,一般,2,4241,大串重幸,37,155,晴,南,2,2,6.87,03,まくり,2,0.24,1.53.2
福岡,2,一般,6,5308,藤森拓海,40,141,晴,南,2,2,6.99,04,まくり,6,0.22,1.54.6
福岡,2,一般,1,3808,秋田健太郎,25,127,晴,南,2,2,6.98,05,まくり,1,0.31,.  .
福岡,2,一般,3,4404,岸蔭亮,39,154,晴,南,2,2,6.92,06,まくり,3,0.19,.  .
福岡,3,一般,1,3508,久富政弘,66,133,晴,南,2,2,6.90,01,逃げ,1,0.19,1.50.2
福岡,3,一般,2,4106,坂井康嗣,27,151,晴,南,2,2,6.94,02,逃げ,2,0.26,1.52.2
福岡,3,一般,3,3304,烏野賢太,18,136,晴,南,2,2,6.91,03,逃げ,3,0.26,1.53.1
福岡,3,一般,6,4355,小川広大,15,113,晴,南,2,2,6.91,04,逃げ,6,0.20,1.54.6
福岡,3,一般,5,3660,長谷川親王,17,156,晴,南,2,2,6.92,05,逃げ,5,0.22,.  .
福岡,3,一般,4,4270,岸本雄貴,61,120,晴,南,2,2,6.95,06,逃げ,4,0.24,.  .
福岡,4,一般,5,3773,津留浩一郎,28,163,晴,南東,3,3,6.83,01,まくり差し,5,0.18,1.50.4
福岡,4,一般,6,4383,竹田吉行,72,124,晴,南東,3,3,6.90,02,まくり差し,6,0.32,1.51.5
福岡,4,一般,2,3842,星野太郎,53,112,晴,南東,3,3,6.87,03,まくり差し,2,0.24,1.53.0
福岡,4,一般,3,4146,柳橋宏紀,58,147,晴,南東,3,3,6.90,04,まくり差し,3,0.22,1.54.0
福岡,4,一般,4,4090,中村尊,62,164,晴,南東,3,3,6.88,05,まくり差し,4,0.16,.  .
