レース場,レース番号,レース種別,艇番,登録番号,選手名,モーター番号,ボート番号,天候,風向,風速(m),波高(cm),展示タイム,着順,決まり手,進入,スタートタイミング,レースタイム
唐津,1,朝１戦一般,1,4027,松江秀徳,26,57,晴,南西,3,3,6.65,01,逃げ,1,0.11,1.49.0
唐津,1,朝１戦一般,3,5124,上瀧絢也,29,48,晴,南西,3,3,6.72,02,逃げ,3,0.15,1.50.6
唐津,1,朝１戦一般,6,4778,堤啓輔,19,53,晴,南西,3,3,6.74,03,逃げ,6,0.16,1.51.9
唐津,1,朝１戦一般,5,3459,中野和裕,53,77,晴,南西,3,3,6.61,04,逃げ,5,0.15,1.52.2
唐津,1,朝１戦一般,4,5155,内山七海,14,51,晴,南西,3,3,6.68,05,逃げ,4,0.14,1.52.5
唐津,1,朝１戦一般,2,4765,野田部宏子,25,55,晴,南西,3,3,6.67,06,逃げ,2,0.13,1.57.0
唐津,2,モー２ング一,2,4500,山田康二,58,95,晴,南西,3,3,6.74,01,差し,2,0.12,1.47.7
唐津,2,モー２ング一,1,4092,岡部大輔,61,33,晴,南西,3,3,6.70,02,差し,1,0.08,1.49.6
唐津,2,モー２ング一,4,4981,牧山敦也,30,47,晴,南西,3,3,6.76,03,差し,4,0.15,1.51.3
唐津,2,モー２ング一,3,5014,梶山涼斗,56,75,晴,南西,3,3,6.70,04,差し,3,0.12,1.52.0
唐津,2,モー２ング一,5,3989,熊本英一,51,42,晴,南西,3,3,6.72,05,差し,5,0.21,1.52.1
唐津,2,モー２ング一,6,5214,田中宏典,48,46,晴,南西,3,3,6.80,06,差し,6,0.21,1.54.9
唐津,3,３ライズ戦一,1,5121,定松勇樹,63,90,晴,南西,2,2,6.60,01,逃げ,1,0.23,1.47.9
唐津,3,３ライズ戦一,3,4006,小野勇作,47,89,晴,南西,2,2,6.69,02,逃げ,3,0.18,1.49.5
唐津,3,３ライズ戦一,2,3224,栗山繁洋,39,36,晴,南西,2,2,6.71,03,逃げ,2,0.16,1.50.2
唐津,3,３ライズ戦一,4,3998,冨成謙児,50,35,晴,南西,2,2,6.68,04,逃げ,4,0.22,1.51.8
唐津,3,３ライズ戦一,6,5203,神里琴音,20,45,晴,南西,2,2,6.63,05,逃げ,6,0.13,1.52.4
唐津,3,３ライズ戦一,5,3211,北川敏弘,66,68,晴,南西,2,2,6.69,06,逃げ,5,0.16,1.52.7
唐津,4,おは４戦一般,6,4718,北川太一,60,70,晴,無風,0,0,6.65,01,抜き,6,0.10,1.52.6
唐津,4,おは４戦一般,4,3307,上瀧和則,44,79,晴,無風,0,0,6.69,02,抜き,2,0.16,1.56.6
唐津,4,おは４戦一般,5,4661,中島昂章,70,85,晴,無風,0,0,6.73,03,抜き,5,0.11,2.01.4
唐津,4,おは４戦一般,2,4879,山崎鉄平,35,34,晴,無風,0,0,6.73,04,抜き,3,0.14,2.04.8
唐津,4,おは４戦一般,1,3508,久富政弘,12,81,晴,無風,0,0,6.73,05,抜き,1,0.18,2.08.2
唐津,5,一般,1,3974,深山祐二,69,32,晴,北,3,3,6.73,01,逃げ,1,0.10,1.49.4
唐津,5,一般,3,5155,内山七海,14,51,晴,北,3,3,6.76,02,逃げ,3,0.18,1.50.0
唐津,5,一般,4,3617,竹田広樹,67,88,晴,北,3,3,6.76,03,逃げ,4,0.21,1.52.3
唐津,5,一般,5,4112,大久保信一郎,43,54,晴,北,3,3,6.84,04,逃げ,5,0.28,1.53.3
唐津,5,一般,2,3809,吉田光,45,43,晴,北,3,3,6.75,05,逃げ,2,0.15,1.55.0
唐津,5,一般,6,5270,小玉啓太,52,56,晴,北,3,3,6.76,06,逃げ,6,0.46,1.56.1
唐津,6,一般,1,4778,堤啓輔,19,53,晴,北,3,3,6.80,01,逃げ,1,0.05,1.49.5
唐津,6,一般,3,5026,安河内健,46,52,晴,北,3,3,6.77,02,逃げ,3,0.07,1.50.3
唐津,6,一般,5,4765,野田部宏子,25,55,晴,北,3,3,6.75,03,逃げ,5,0.09,1.53.3
唐津,6,一般,6,4445,宮地元輝,65,87,晴,北,3,3,6.61,04,逃げ,6,0.11,1.54.4
唐津,6,一般,2,4981,牧山敦也,30,47,晴,北,3,3,6.80,05,逃げ,2,0.11,1.55.0
唐津,6,一般,4,5214,田中宏典,48,46,晴,北,3,3,6.82,06,逃げ,4,0.18,1.55.6
唐津,7,一般,1,3989,熊本英一,51,42,晴,北,3,3,6.82,01,逃げ,1,0.13,1.49.2
唐津,7,一般,2,3459,中野和裕,53,77,晴,北,3,3,6.77,02,逃げ,2,0.17,1.49.8
唐津,7,一般,6,4196,田中太一郎,32,41,晴,北,3,3,6.80,03,逃げ,5,0.27,1.51.7
唐津,7,一般,4,3224,栗山繁洋,39,36,晴,北,3,3,6.84,04,逃げ,4,0.15,1.52.8
唐津,7,一般,3,5203,神里琴音,20,45,晴,北,3,3,6.74,05,逃げ,3,0.19,1.54.1
唐津,7,一般,5,5277,井上未都,17,73,晴,北,3,3,6.76,06,逃げ,6,0.13,1.55.2
唐津,8,一般,3,5193,米丸乃絵,42,83,晴,北,4,4,6.89,01,まくり,3,0.10,1.48.1
唐津,8,一般,6,4994,山本梨菜,21,65,晴,北,4,4,6.81,02,まくり,6,0.12,1.50.3
唐津,8,一般,2,5118,野田なづき,16,91,晴,北,4,4,6.91,03,まくり,2,0.13,1.51.6
唐津,8,一般,4,5014,梶山涼斗,56,75,晴,北,4,4,6.78,04,まくり,4,0.11,1.52.4
唐津,8,一般,5,4552,杉山勝匡,33,78,晴,北,4,4,6.79,05,まくり,5,0.08,1.55.5
唐津,8,一般,1,3211,北川敏弘,66,68,晴,北,4,4,6.84,06,まくり,1,0.14,1.58.9
唐津,9,一般,3,3617,竹田広樹,67,88,晴,北,3,3,6.79,01,まくり,4,0.11,1.48.6
唐津,9,一般,4,3508,久富政弘,12,81,晴,北,3,3,6.86,02,まくり,5,0.18,1.50.1
唐津,9,一般,1,3998,冨成謙児,50,35,晴,北,3,3,6.76,03,まくり,1,0.08,1.50.8
唐津,9,一般,6,3623,深川真二,36,74,晴,北,3,3,6.79,04,まくり,2,0.20,1.50.8
唐津,9,一般,5,4879,山崎鉄平,35,34,晴,北,3,3,6.81,05,まくり,6,0.21,1.51.6
唐津,9,一般,2,5124,上瀧絢也,29,48,晴,北,3,3,6.72,06,まくり,3,0.15,1.55.1
唐津,10,選抜戦,1,4718,北川太一,60,70,晴,北,3,3,6.67,01,逃げ,1,0.08,1.47.8
唐津,10,選抜戦,5,4500,山田康二,58,95,晴,北,3,3,6.85,02,逃げ,4,0.20,1.49.4
唐津,10,選抜戦,3,3974,深山祐二,69,32,晴,北,3,3,6.83,03,逃げ,3,0.11,1.50.4
唐津,10,選抜戦,4,4027,松江秀徳,26,57,晴,北,3,3,6.88,04,逃げ,5,0.18,1.52.5
唐津,10,選抜戦,2,3307,上瀧和則,44,79,晴,北,3,3,6.82,05,逃げ,2,0.17,1.54.2
唐津,10,選抜戦,6,5026,安河内健,46,52,晴,北,3,3,6.81,06,逃げ,6,0.19,1.58.0
唐津,11,順位決定戦,1,4445,宮地元輝,65,87,晴,北西,3,3,6.80,01,逃げ,1,0.03,1.46.9
唐津,11,順位決定戦,2,4661,中島昂章,70,85,晴,北西,3,3,6.78,02,逃げ,2,0.03,1.48.8
唐津,11,順位決定戦,4,4092,岡部大輔,61,33,晴,北西,3,3,6.86,03,逃げ,6,0.10,1.50.5
唐津,11,順位決定戦,5,5121,定松勇樹,63,90,晴,北西,3,3,6.80,04,逃げ,4,0.09,1.51.7
唐津,11,順位決定戦,3,4112,大久保信一郎,43,54,晴,北西,3,3,6.82,05,逃げ,3,0.21,1.51.9
唐津,11,順位決定戦,6,3809,吉田光,45,43,晴,北西,3,3,6.86,06,逃げ,5,0.11,1.53.8
唐津,12,優勝戦,1,4320,峰竜太,15,69,晴,北,3,3,6.77,01,逃げ,1,0.07,1.46.7
唐津,12,優勝戦,5,5142,常住蓮,59,50,晴,北,3,3,6.75,02,逃げ,5,0.10,1.48.5
