レース場,レース番号,レース種別,艇番,登録番号,選手名,モーター番号,ボート番号,天候,風向,風速(m),波高(cm),展示タイム,着順,決まり手,進入,スタートタイミング,レースタイム
大村,1,予選,1,3571,寺本武司,41,71,晴,北西,3,2,7.01,01,逃げ,1,0.17,1.51.4
大村,1,予選,4,4355,小川広大,79,72,晴,北西,3,2,6.99,02,逃げ,5,0.28,1.53.0
大村,1,予選,3,4632,長尾京志郎,13,26,晴,北西,3,2,7.03,03,逃げ,3,0.31,1.55.1
大村,1,予選,6,3025,山口哲治,12,60,晴,北西,3,2,6.99,04,逃げ,4,0.45,1.55.8
大村,1,予選,5,4440,萩原知哉,27,62,晴,北西,3,2,7.03,05,逃げ,6,0.32,.  .
大村,1,予選,2,4733,赤井睦,34,59,晴,北西,3,2,6.96,06,逃げ,2,0.22,.  .
大村,2,予選,3,3747,國崎良春,76,46,晴,北西,3,2,6.99,01,抜き,3,0.08,1.50.8
大村,2,予選,1,3361,岡部浩,25,15,晴,北西,3,2,7.04,02,抜き,1,0.06,1.52.1
大村,2,予選,5,4174,赤坂俊輔,22,13,晴,北西,3,2,6.99,03,抜き,4,0.14,1.53.5
大村,2,予選,4,4954,内山峻輔,44,18,晴,北西,3,2,6.99,04,抜き,5,0.25,1.55.0
大村,2,予選,2,4367,山口修路,35,17,晴,北西,3,2,6.96,05,抜き,2,0.12,.  .
大村,2,予選,6,5128,坪井爽佑,39,24,晴,北西,3,2,6.98,06,抜き,6,0.12,.  .
大村,3,予選,1,3741,松尾基成,38,65,晴,北西,3,2,7.01,01,逃げ,1,0.19,1.51.2
大村,3,予選,5,4709,岡村将也,21,56,晴,北西,3,2,6.98,02,逃げ,5,0.15,1.53.2
大村,3,予選,4,3499,市川哲也,43,63,晴,北西,3,2,7.03,03,逃げ,4,0.14,1.54.4
大村,3,予選,2,4496,内堀学,37,70,晴,北西,3,2,7.01,04,逃げ,2,0.23,1.55.5
大村,3,予選,6,3514,山一鉄也,74,11,晴,北西,3,2,7.01,05,逃げ,6,0.18,.  .
大村,3,予選,3,3522,長溝一生,72,55,晴,北西,3,2,7.01,06,逃げ,3,0.17,.  .
大村,4,予選,1,3742,宮地秀祈,24,49,晴,北西,2,1,7.03,01,逃げ,1,0.16,1.51.3
大村,4,予選,3,4437,中田元泰,23,51,晴,北西,2,1,7.08,02,逃げ,3,0.19,1.52.0
大村,4,予選,2,3551,藤田美代,14,23,晴,北西,2,1,6.94,03,逃げ,2,0.18,1.53.9
大村,4,予選,4,4140,梶野学志,19,48,晴,北西,2,1,7.08,04,逃げ,4,0.20,1.54.0
大村,4,予選,5,3928,林恵祐,71,54,晴,北西,2,1,7.08,05,逃げ,5,0.21,.  .
大村,4,予選,6,4552,杉山勝匡,17,20,晴,北西,2,1,7.00,06,逃げ,6,0.16,.  .
大村,5,予選,2,3303,渡辺豊,77,57,晴,北西,2,1,7.00,01,差し,2,0.21,1.50.6
大村,5,予選,3,3984,坂口周,36,68,晴,北西,2,1,6.97,02,差し,3,0.18,1.52.1
大村,5,予選,1,4272,大場広孝,78,47,晴,北西,2,1,7.00,03,差し,1,0.29,1.53.3
大村,5,予選,4,4632,長尾京志郎,13,26,晴,北西,2,1,7.06,04,差し,4,0.25,1.55.1
大村,5,予選,5,4551,三川昂暁,11,66,晴,北西,2,1,7.05,05,差し,5,0.25,.  .
大村,5,予選,6,3470,新田芳美,30,53,晴,北西,2,1,7.03,06,差し,6,0.26,.  .
大村,6,予選,1,4043,桐本康臣,32,61,晴,北西,2,1,7.04,01,逃げ,1,0.11,1.50.8
大村,6,予選,4,3743,林美憲,29,21,晴,北西,2,1,6.96,02,逃げ,4,0.16,1.51.8
大村,6,予選,5,3505,山田竜一,20,16,晴,北西,2,1,7.03,03,逃げ,5,0.15,1.52.9
大村,6,予選,2,4555,富永大一,81,50,晴,北西,2,1,6.98,04,逃げ,2,0.21,1.55.1
大村,6,予選,3,3025,山口哲治,12,60,晴,北西,2,1,7.04,05,逃げ,3,0.22,.  .
大村,7,予選,1,3522,長溝一生,72,55,晴,北西,3,2,6.98,01,逃げ,1,0.21,1.52.2
大村,7,予選,3,4381,田路朋史,18,69,晴,北西,3,2,6.92,02,逃げ,3,0.28,1.53.1
大村,7,予選,2,4355,小川広大,79,72,晴,北西,3,2,6.96,03,逃げ,2,0.30,1.54.3
大村,7,予選,5,3361,岡部浩,25,15,晴,北西,3,2,6.97,04,逃げ,5,0.26,1.54.9
大村,7,予選,6,5203,神里琴音,26,45,晴,北西,3,2,6.94,05,逃げ,6,0.26,.  .
大村,7,予選,4,4070,中村亮太,73,12,晴,北西,3,2,6.92,06,逃げ,4,0.21,.  .
