レース場,レース番号,レース種別,天候,風向,風速(m),波高(cm),決まり手,着順,艇番,登録番号,選手名,モーター,ボート,展示タイム,進入,スタートタイミング,レースタイム
江戸川,2,予選,曇り,南西,4,5,差し,06,5,5158,宮脇遼太,29,10,6.96,5,0.24,.  .
江戸川,3,予選,晴,南,4,5,逃げ,01,1,3508,久富政弘,22,71,6.86,1,0.13,1.54.0
江戸川,3,予選,晴,南,4,5,逃げ,02,6,3929,杢野誓良,19,53,6.86,6,0.10,1.55.5
江戸川,3,予選,晴,南,4,5,逃げ,03,5,4485,楠原正剛,34,25,6.96,5,0.16,1.56.9
江戸川,3,予選,晴,南,4,5,逃げ,04,2,4245,高橋直哉,15,62,6.94,2,0.15,1.57.1
江戸川,3,予選,晴,南,4,5,逃げ,05,3,4895,門間雄大,49,19,6.90,3,0.14,.  .
江戸川,3,予選,晴,南,4,5,逃げ,06,4,4735,角山雄哉,38,41,6.94,4,0.11,.  .
江戸川,4,予選,晴,南,5,5,差し,01,4,4064,原田篤志,31,20,6.92,4,0.20,1.54.5
江戸川,4,予選,晴,南,5,5,差し,02,6,4231,鈴木裕隆,18,47,6.88,6,0.19,1.55.8
江戸川,4,予選,晴,南,5,5,差し,03,5,4875,大塚康雅,57,58,6.94,5,0.17,1.57.9
江戸川,4,予選,晴,南,5,5,差し,04,1,5082,一色凌雅,70,39,6.99,1,0.21,1.58.1
江戸川,4,予選,晴,南,5,5,差し,05,3,5269,山口晃朋,17,27,6.97,3,0.24,.  .
江戸川,4,予選,晴,南,5,5,差し,06,2,5132,中野希一,20,14,6.92,2,0.19,.  .
江戸川,5,予選,晴,南,7,5,まくり,01,3,4295,小坂尚哉,36,50,6.97,3,0.14,1.53.9
江戸川,5,予選,晴,南,7,5,まくり,02,2,5109,川崎智稔,60,61,6.94,2,0.17,1.55.7
江戸川,5,予選,晴,南,7,5,まくり,03,1,3975,小野寺智洋,47,69,6.92,1,0.09,1.57.9
江戸川,5,予選,晴,南,7,5,まくり,04,6,4319,三宅潤,50,34,6.98,6,0.17,1.58.6
江戸川,5,予選,晴,南,7,5,まくり,05,5,4358,松本庸平,23,57,6.98,5,0.16,.  .
江戸川,5,予選,晴,南,7,5,まくり,06,4,5290,坂本一真,13,45,7.02,4,0.12,.  .
江戸川,6,予選,晴,南,8,10,抜き,01,2,4366,前沢丈史,27,21,7.03,2,0.15,1.54.4
江戸川,6,予選,晴,南,8,10,抜き,02,3,4509,平見真彦,65,68,7.10,3,0.16,1.56.2
江戸川,6,予選,晴,南,8,10,抜き,03,6,5303,土井歩夢,12,28,7.01,6,0.22,1.58.4
江戸川,6,予選,晴,南,8,10,抜き,04,1,5158,宮脇遼太,29,10,6.94,1,0.25,1.59.6
江戸川,6,予選,晴,南,8,10,抜き,05,4,4956,齊藤大将,24,18,7.08,4,0.28,.  .
江戸川,6,予選,晴,南,8,10,抜き,06,5,5087,佐藤航,37,52,7.02,5,0.25,.  .
江戸川,7,予選,晴,南西,8,15,差し,01,4,4079,出畑孝典,30,36,7.00,4,0.43,1.57.5
江戸川,7,予選,晴,南西,8,15,差し,02,5,5232,樅山拓馬,45,40,7.04,5,0.19,1.59.6
江戸川,7,予選,晴,南西,8,15,差し,03,3,3503,堂原洋史,71,54,7.05,3,0.19,2.00.8
江戸川,7,予選,晴,南西,8,15,差し,04,1,4735,角山雄哉,38,41,7.06,1,0.31,2.01.4
江戸川,7,予選,晴,南西,8,15,差し,05,2,4513,河野真也,64,22,6.94,2,0.25,.  .
江戸川,7,予選,晴,南西,8,15,差し,06,6,4277,金田大輔,10,66,7.17,6,0.26,.  .
江戸川,8,予選,晴,南,10,20,逃げ,01,1,4630,岩永雅人,53,65,7.24,1,0.13,1.17.8
江戸川,8,予選,晴,南,10,20,逃げ,02,2,4231,鈴木裕隆,18,47,7.09,2,0.06,1.19.2
江戸川,8,予選,晴,南,10,20,逃げ,03,3,4615,板倉敦史,66,70,7.18,3,0.05,1.20.9
江戸川,8,予選,晴,南,10,20,逃げ,04,6,4475,末永祐輝,39,23,7.13,6,0.16,1.21.6
江戸川,8,予選,晴,南,10,20,逃げ,05,5,4197,渥美卓郎,43,30,7.29,5,0.24,.  .
江戸川,8,予選,晴,南,10,20,逃げ,06,4,4245,高橋直哉,15,62,7.23,4,0.02,.  .
江戸川,9,予選特賞,晴,南,9,20,逃げ,01,1,4230,濱崎直矢,62,26,7.11,1,0.15,1.17.8
江戸川,9,予選特賞,晴,南,9,20,逃げ,02,3,5298,水谷理人,14,55,7.09,3,0.14,1.18.8
江戸川,9,予選特賞,晴,南,9,20,逃げ,03,5,5132,中野希一,20,14,7.27,5,0.18,1.20.0
江戸川,9,予選特賞,晴,南,9,20,逃げ,04,2,4979,中野夢斗,67,16,7.16,2,0.19,1.20.1
江戸川,9,予選特賞,晴,南,9,20,逃げ,05,4,3929,杢野誓良,19,53,7.26,4,0.14,.  .
江戸川,9,予選特賞,晴,南,9,20,逃げ,06,6,4295,小坂尚哉,36,50,7.21,6,0.17,.  .
江戸川,10,予選特賞,晴,南,9,20,差し,01,4,3401,上田隆章,21,12,7.16,4,0.27,1.19.9
江戸川,10,予選特賞,晴,南,9,20,差し,02,2,4485,楠原正剛,34,25,7.02,2,0.18,1.20.3
江戸川,10,予選特賞,晴,南,9,20,差し,03,3,4358,松本庸平,23,57,7.61,3,0.23,1.20.4
江戸川,10,予選特賞,晴,南,9,20,差し,04,1,5087,佐藤航,37,52,7.15,1,0.24,1.21.2
江戸川,10,予選特賞,晴,南,9,20,差し,05,5,4360,庄司孝輔,68,63,7.08,5,0.53,.  .
江戸川,10,予選特賞,晴,南,9,20,差し,06,6,5269,山口晃朋,17,27,7.20,6,0.25,.  .
戸田,1,予選,晴,無風,0,0,抜き,01,4,4766,石井孝之,31,47,6.78,4,0.05,1.49.5
戸田,1,予選,晴,無風,0,0,抜き,02,6,4439,近藤友宝,57,49,6.99,6,0.04,1.51.5
戸田,1,予選,晴,無風,0,0,抜き,03,5,5083,柳瀬幹太,24,19,6.99,5,0.13,1.53.6
戸田,1,予選,晴,無風,0,0,抜き,04,3,4399,松本晶恵,22,59,6.82,3,0.14,1.54.4
戸田,1,予選,晴,無風,0,0,抜き,05,1,5007,近藤雄一郎,18,76,6.84,1,0.21,.  .
戸田,1,予選,晴,無風,0,0,抜き,06,2,3564,桑原啓,2,54,6.74,2,0.13,.  .
戸田,2,予選,晴,無風,0,0,まくり,01,2,3202,三品隆浩,36,68,6.77,3,0.25,1.51.1
戸田,2,予選,晴,無風,0,0,まくり,02,6,3576,白水勝也,49,35,6.87,6,0.24,1.52.3
戸田,2,予選,晴,無風,0,0,まくり,03,5,3161,古場輝義,16,61,6.89,2,0.26,1.53.5
戸田,2,予選,晴,無風,0,0,まくり,04,1,4195,前川守嗣,42,25,6.79,1,0.25,1.54.4
戸田,2,予選,晴,無風,0,0,まくり,05,4,5175,島崎丈一朗,45,37,6.81,5,0.29,.  .
戸田,2,予選,晴,無風,0,0,まくり,06,3,3442,宮武英司,19,13,6.85,4,0.28,.  .
戸田,3,予選,晴,無風,0,0,まくり,01,3,4063,市橋卓士,14,44,6.79,3,0.09,1.50.3
戸田,3,予選,晴,無風,0,0,まくり,02,4,5278,田中駿兵,34,39,6.84,4,0.13,1.51.1
戸田,3,予選,晴,無風,0,0,まくり,03,2,4103,山崎善庸,40,17,6.73,2,0.19,1.53.5
戸田,3,予選,晴,無風,0,0,まくり,04,1,4244,鈴木成美,53,32,6.73,1,0.21,1.54.6
戸田,3,予選,晴,無風,0,0,まくり,05,5,3105,内山文典,47,52,6.93,5,0.21,.  .
戸田,3,予選,晴,無風,0,0,まくり,06,6,5103,芝田京介,52,70,6.87,6,0.14,.  .
戸田,4,予選,晴,南東,1,1,逃げ,01,1,3881,浦上拓也,56,50,6.80,1,0.13,1.51.2
戸田,4,予選,晴,南東,1,1,逃げ,02,5,3717,立間充宏,38,40,6.87,5,0.24,1.52.8
戸田,4,予選,晴,南東,1,1,逃げ,03,4,5000,岡本翔太郎,11,38,6.77,4,0.14,1.54.2
戸田,4,予選,晴,南東,1,1,逃げ,04,2,4240,今井裕梨,9,46,6.72,2,0.30,1.55.8
戸田,4,予選,晴,南東,1,1,逃げ,05,6,3427,大賀広幸,5,43,6.93,6,0.22,.  .
戸田,4,予選,晴,南東,1,1,逃げ,06,3,4283,石井裕美,55,48,6.85,3,0.27,.  .
戸田,5,ウインウイン,晴,南西,1,1,まくり差し,01,3,4817,渡邉翼,46,45,6.78,3,0.09,1.50.7
戸田,5,ウインウイン,晴,南西,1,1,まくり差し,02,2,3647,伊藤雄二,8,58,6.74,2,0.06,1.52.7
戸田,5,ウインウイン,晴,南西,1,1,まくり差し,03,1,4015,前野竜一,44,72,6.75,1,0.09,1.52.9
戸田,5,ウインウイン,晴,南西,1,1,まくり差し,04,4,3188,日高逸子,41,27,6.80,4,0.08,1.54.4
戸田,5,ウインウイン,晴,南西,1,1,まくり差し,05,6,5102,原田雄次,64,33,6.88,6,0.07,.  .
戸田,5,ウインウイン,晴,南西,1,1,まくり差し,06,5,5007,近藤雄一郎,18,76,6.90,5,0.08,.  .
戸田,6,予選,晴,南西,3,2,逃げ,01,1,4625,渡邊裕貴,13,63,6.76,1,0.14,1.50.0
戸田,6,予選,晴,南西,3,2,逃げ,02,4,4195,前川守嗣,42,25,6.83,4,0.13,1.52.7
戸田,6,予選,晴,南西,3,2,逃げ,03,2,3679,飯島昌弘,21,42,6.77,2,0.20,1.54.0
戸田,6,予選,晴,南西,3,2,逃げ,04,6,5184,飯塚響,7,69,6.85,6,0.04,1.55.5
戸田,6,予選,晴,南西,3,2,逃げ,05,5,3564,桑原啓,2,54,6.92,5,0.13,.  .
戸田,6,予選,晴,南西,3,2,逃げ,06,3,4680,後藤美翼,20,16,6.86,3,0.22,.  .
戸田,7,ウインウイン,晴,南東,4,3,逃げ,01,1,4627,藤原菜希,15,55,6.68,1,0.09,1.58.7
戸田,7,ウインウイン,晴,南東,4,3,逃げ,02,4,4399,松本晶恵,22,59,6.82,4,0.09,2.01.9
戸田,7,ウインウイン,晴,南東,4,3,逃げ,03,5,3202,三品隆浩,36,68,6.86,5,0.09,2.04.1
戸田,7,ウインウイン,晴,南東,4,3,逃げ,04,2,4918,川島拓郎,63,28,6.82,2,0.17,2.07.1
戸田,7,ウインウイン,晴,南東,4,3,逃げ,05,6,5278,田中駿兵,34,39,6.87,6,0.05,.  .
戸田,8,予選,晴,南東,3,3,抜き,01,3,3576,白水勝也,49,35,6.85,3,0.21,1.51.1
戸田,8,予選,晴,南東,3,3,抜き,02,1,5083,柳瀬幹太,24,19,6.83,1,0.22,1.53.2
戸田,8,予選,晴,南東,3,3,抜き,03,5,3746,岡瀬正人,29,66,6.77,5,0.29,1.53.7
戸田,8,予選,晴,南東,3,3,抜き,04,4,4283,石井裕美,55,48,6.72,4,0.25,1.55.3
戸田,8,予選,晴,南東,3,3,抜き,05,2,4244,鈴木成美,53,32,6.76,2,0.18,.  .
戸田,8,予選,晴,南東,3,3,抜き,06,6,3350,藤本佳史,27,30,6.79,6,0.29,.  .
戸田,9,戸田特賞,晴,南西,3,3,逃げ,01,1,4766,石井孝之,31,47,6.68,1,0.17,1.49.9
戸田,9,戸田特賞,晴,南西,3,3,逃げ,02,2,4015,前野竜一,44,72,6.84,2,0.18,1.51.5
戸田,9,戸田特賞,晴,南西,3,3,逃げ,03,3,5175,島崎丈一朗,45,37,6.85,3,0.19,1.52.5
戸田,9,戸田特賞,晴,南西,3,3,逃げ,04,6,4063,市橋卓士,14,44,6.89,6,0.29,1.54.4
戸田,9,戸田特賞,晴,南西,3,3,逃げ,05,5,3881,浦上拓也,56,50,6.92,5,0.19,.  .
戸田,9,戸田特賞,晴,南西,3,3,逃げ,06,4,4420,津久井拓也,30,75,6.86,4,0.21,.  .
戸田,10,戸田特賞,晴,南東,3,2,まくり,01,2,3717,立間充宏,38,40,6.93,2,0.14,1.51.0
戸田,10,戸田特賞,晴,南東,3,2,まくり,02,1,3161,古場輝義,16,61,6.86,1,0.27,1.51.6
戸田,10,戸田特賞,晴,南東,3,2,まくり,03,4,3105,内山文典,47,52,6.96,4,0.20,1.53.6
戸田,10,戸田特賞,晴,南東,3,2,まくり,04,5,3902,蜷川哲平,6,51,6.83,5,0.16,1.54.2
戸田,10,戸田特賞,晴,南東,3,2,まくり,05,6,3647,伊藤雄二,8,58,6.90,6,0.12,.  .
戸田,10,戸田特賞,晴,南東,3,2,まくり,06,3,4439,近藤友宝,57,49,6.95,3,0.16,.  .
戸田,11,戸田特選,晴,南,4,3,まくり,01,4,4627,藤原菜希,15,55,6.81,4,0.07,1.49.9
戸田,11,戸田特選,晴,南,4,3,まくり,02,5,4131,原豊土,12,12,6.87,5,0.07,1.51.6
戸田,11,戸田特選,晴,南,4,3,まくり,03,3,4103,山崎善庸,40,17,6.85,3,0.22,1.53.7
戸田,11,戸田特選,晴,南,4,3,まくり,04,1,4680,後藤美翼,20,16,6.79,1,0.20,1.55.5
戸田,11,戸田特選,晴,南,4,3,まくり,05,6,4240,今井裕梨,9,46,6.88,6,0.08,.  .
戸田,11,戸田特選,晴,南,4,3,まくり,06,2,5102,原田雄次,64,33,6.87,2,0.21,.  .
戸田,12,記者選抜戦,晴,南東,4,4,まくり差し,01,5,3679,飯島昌弘,21,42,6.84,5,0.15,1.49.9
戸田,12,記者選抜戦,晴,南東,4,4,まくり差し,02,4,5257,西丸侑太朗,54,14,6.87,4,0.12,1.50.8
戸田,12,記者選抜戦,晴,南東,4,4,まくり差し,03,2,3350,藤本佳史,27,30,6.90,2,0.22,1.53.6
戸田,12,記者選抜戦,晴,南東,4,4,まくり差し,04,1,3188,日高逸子,41,27,6.79,1,0.21,1.55.0
戸田,12,記者選抜戦,晴,南東,4,4,まくり差し,05,6,3442,宮武英司,19,13,6.82,6,0.29,.  .
戸田,12,記者選抜戦,晴,南東,4,4,まくり差し,06,3,5000,岡本翔太郎,11,38,6.86,3,0.18,.  .
桐生,1,予選,晴,東,3,2,まくり,01,3,4681,太田潮,47,67,6.77,3,0.25,1.52.0
桐生,1,予選,晴,東,3,2,まくり,02,1,3419,栗原謙治,63,20,6.88,1,0.26,1.53.1
桐生,1,予選,晴,東,3,2,まくり,03,4,4092,岡部大輔,16,15,6.86,4,0.27,1.54.9
桐生,1,予選,晴,東,3,2,まくり,04,6,4948,木場悠介,34,60,6.74,6,0.22,1.55.8
桐生,1,予選,晴,東,3,2,まくり,05,2,5276,大島隆乃介,48,27,6.83,2,0.30,1.56.6
桐生,1,予選,晴,東,3,2,まくり,06,5,4204,柴田大輔,67,22,6.90,5,0.27,1.56.6
桐生,2,予選,晴,東,3,2,逃げ,01,2,3947,寺本昇平,32,37,6.84,1,0.21,1.51.7
桐生,2,予選,晴,東,3,2,逃げ,02,5,4514,上條嘉嗣,62,68,6.75,4,0.20,1.53.2
桐生,2,予選,晴,東,3,2,逃げ,03,1,4740,齋藤達希,17,30,6.83,2,0.32,1.54.6
桐生,2,予選,晴,東,3,2,逃げ,04,3,3911,鈴木猛,14,55,6.82,3,0.17,1.55.3
桐生,2,予選,晴,東,3,2,逃げ,05,6,4415,下出卓矢,38,50,6.77,6,0.18,1.57.0
桐生,2,予選,晴,東,3,2,逃げ,06,4,5292,佐藤右京,11,31,6.95,5,0.20,1.58.4
桐生,3,予選,晴,東,3,2,まくり,01,3,4641,磯村匠,46,44,6.72,3,0.21,1.52.0
桐生,3,予選,晴,東,3,2,まくり,02,6,4470,平田健之佑,60,75,6.82,5,0.24,1.53.5
桐生,3,予選,晴,東,3,2,まくり,03,4,4663,籾山佳岳,29,63,6.88,4,0.19,1.55.3
桐生,3,予選,晴,東,3,2,まくり,04,5,3362,間嶋仁志,49,56,6.93,2,0.40,1.56.8
桐生,3,予選,晴,東,3,2,まくり,05,2,5253,藤井太雅,45,74,6.77,6,0.22,1.57.6
桐生,3,予選,晴,東,3,2,まくり,06,1,3776,横井健太,19,32,6.81,1,0.30,1.58.6
桐生,4,予選,晴,東,3,2,まくり,01,4,5197,中野仁照,71,29,6.80,4,0.04,1.51.4
桐生,4,予選,晴,東,3,2,まくり,02,1,4081,樋口範政,64,51,6.76,1,0.11,1.52.8
桐生,4,予選,晴,東,3,2,まくり,03,6,4718,北川太一,27,54,6.76,6,0.16,1.54.0
桐生,4,予選,晴,東,3,2,まくり,04,3,4376,藤田靖弘,55,48,6.77,3,0.10,1.56.4
桐生,4,予選,晴,東,3,2,まくり,05,2,4273,佐藤旭,50,35,6.76,2,0.15,1.57.6
桐生,4,予選,晴,東,3,2,まくり,06,5,3843,上之晃弘,13,70,6.82,5,0.17,1.59.3
