レース場,レース番号,レース種別,天候,風向,風速(m),波高(cm),決まり手,着順,艇番,登録番号,選手名,モーター,ボート,展示タイム,進入,スタートタイミング,レースタイム
丸亀,1,予選,晴,南西,2,2,逃げ,01,1,4776,竹田和哉,34,49,6.77,1,0.14,1.53.5
丸亀,1,予選,晴,南西,2,2,逃げ,02,5,4342,谷野錬志,49,18,6.87,5,0.15,1.56.4
丸亀,1,予選,晴,南西,2,2,逃げ,03,4,3942,寺田祥,39,15,6.81,4,0.19,1.58.1
丸亀,1,予選,晴,南西,2,2,逃げ,04,6,4415,下出卓矢,30,20,6.68,6,0.17,2.01.1
丸亀,1,予選,晴,南西,2,2,逃げ,05,2,4762,藤原啓史朗,12,38,6.71,2,0.13,2.04.9
丸亀,2,予選,曇り,南西,1,1,逃げ,01,1,4939,宮之原輝紀,40,59,6.72,1,0.20,1.56.1
丸亀,2,予選,曇り,南西,1,1,逃げ,02,2,4292,麻生慎介,48,54,6.83,2,0.22,1.58.9
丸亀,2,予選,曇り,南西,1,1,逃げ,03,4,4547,中田竜太,46,36,6.91,4,0.14,2.01.1
丸亀,2,予選,曇り,南西,1,1,逃げ,04,5,3959,坪井康晴,64,39,6.77,5,0.12,2.03.7
丸亀,2,予選,曇り,南西,1,1,逃げ,05,3,4686,丸野一樹,59,28,6.77,3,0.22,2.06.2
丸亀,3,予選,晴,南西,2,2,逃げ,01,1,4174,赤坂俊輔,25,48,6.79,1,0.04,1.49.3
丸亀,3,予選,晴,南西,2,2,逃げ,02,6,3960,菊地孝平,1,11,6.74,3,0.15,1.50.0
丸亀,3,予選,晴,南西,2,2,逃げ,03,2,3978,齊藤仁,7,58,6.79,4,0.16,1.51.8
丸亀,3,予選,晴,南西,2,2,逃げ,04,5,4847,佐藤隆太郎,33,66,6.77,2,0.11,1.52.0
丸亀,3,予選,晴,南西,2,2,逃げ,05,3,4295,小坂尚哉,14,3,6.74,5,0.19,1.52.6
丸亀,3,予選,晴,南西,2,2,逃げ,06,4,4344,新田雄史,26,19,6.83,6,0.17,1.54.6
丸亀,4,予選,晴,南,2,2,差し,01,2,4166,吉田拡郎,57,31,6.82,2,0.11,1.49.5
丸亀,4,予選,晴,南,2,2,差し,02,1,4075,中野次郎,11,10,6.83,1,0.08,1.50.6
丸亀,4,予選,晴,南,2,2,差し,03,5,5084,末永和也,66,12,6.85,5,0.14,1.51.2
丸亀,4,予選,晴,南,2,2,差し,04,6,4030,森高一真,4,35,6.88,6,0.12,1.52.5
丸亀,4,予選,晴,南,2,2,差し,05,4,4357,田中和也,36,37,6.79,4,0.13,1.52.9
丸亀,4,予選,晴,南,2,2,差し,06,3,4446,和田兼輔,61,34,6.73,3,0.12,1.54.7
丸亀,5,予選,晴,南,2,2,逃げ,01,1,4824,松井洪弥,8,51,6.77,1,0.07,1.49.1
丸亀,5,予選,晴,南,2,2,逃げ,02,2,4682,大上卓人,5,14,6.76,2,0.11,1.50.5
丸亀,5,予選,晴,南,2,2,逃げ,03,5,4337,平本真之,45,56,6.82,5,0.08,1.50.5
丸亀,5,予選,晴,南,2,2,逃げ,04,3,3721,守田俊介,58,13,6.89,3,0.05,1.52.0
丸亀,5,予選,晴,南,2,2,逃げ,05,6,4643,近江翔吾,2,63,6.76,6,0.14,1.53.1
丸亀,5,予選,晴,南,2,2,逃げ,06,4,3590,濱野谷憲吾,10,41,6.81,4,0.08,1.55.3
丸亀,6,予選,晴,南,2,2,まくり,01,3,4914,吉田裕平,31,60,6.82,3,0.07,1.48.8
丸亀,6,予選,晴,南,2,2,まくり,02,1,4734,安河内将,43,29,6.80,1,0.07,1.51.2
丸亀,6,予選,晴,南,2,2,まくり,03,2,4266,長田頼宗,47,53,6.78,2,0.08,1.52.5
丸亀,6,予選,晴,南,2,2,まくり,04,5,4459,片岡雅裕,3,62,6.87,5,0.04,1.54.3
丸亀,6,予選,晴,南,2,2,まくり,05,6,4061,萩原秀人,50,25,6.92,6,0.11,1.57.4
丸亀,6,予選,晴,南,2,2,まくり,06,4,4342,谷野錬志,49,18,6.78,4,0.04,2.03.1
丸亀,7,予選,晴,南,2,2,まくり,01,5,4352,下條雄太郎,15,55,6.85,4,0.04,1.49.2
丸亀,7,予選,晴,南,2,2,まくり,02,2,3959,坪井康晴,64,39,6.78,2,0.10,1.49.9
丸亀,7,予選,晴,南,2,2,まくり,03,1,3942,寺田祥,39,15,6.74,1,0.17,1.51.4
丸亀,7,予選,晴,南,2,2,まくり,04,6,3997,北村征嗣,41,1,6.78,5,0.05,1.51.7
丸亀,7,予選,晴,南,2,2,まくり,05,4,4932,新開航,60,65,6.77,3,0.09,1.54.7
丸亀,8,予選,晴,南東,1,1,逃げ,01,1,4573,佐藤翼,9,33,6.76,1,0.11,1.48.1
丸亀,8,予選,晴,南東,1,1,逃げ,02,2,3960,菊地孝平,1,11,6.74,2,0.08,1.50.1
