レース場,レース番号,レース種別,艇番,登録番号,選手名,モーター番号,ボート番号,天候,風向,風速(m),波高(cm),展示タイム,着順,決まり手,進入,スタートタイミング,レースタイム
浜名湖,9,一般,3,5334,樫葉新心,1,60,晴,南,4,2,6.73,04,差し,3,0.18,1.55.8
浜名湖,9,一般,5,5171,清水未唯,51,50,晴,南,4,2,6.77,05,差し,5,0.22,.  .
浜名湖,9,一般,4,5305,伊藤栞,41,48,晴,南,4,2,6.74,06,差し,4,0.20,.  .
浜名湖,10,選抜戦,3,4642,松尾夏海,66,41,晴,南,4,2,6.68,01,まくり差し,3,0.19,1.50.1
浜名湖,10,選抜戦,1,4843,深尾巴恵,28,45,晴,南,4,2,6.70,02,まくり差し,1,0.27,1.52.5
浜名湖,10,選抜戦,6,3334,角ひとみ,6,35,晴,南,4,2,6.69,03,まくり差し,5,0.16,1.54.6
浜名湖,10,選抜戦,5,4891,寺島美里,8,29,晴,南,4,2,6.71,04,まくり差し,4,0.11,1.55.5
浜名湖,10,選抜戦,4,5291,三嶌こころ,12,64,晴,南,4,2,6.72,05,まくり差し,6,0.16,.  .
浜名湖,10,選抜戦,2,4473,藤堂里香,34,76,晴,南,4,2,6.65,06,まくり差し,2,0.24,.  .
浜名湖,11,選抜戦,5,4183,宇野弥生,18,69,晴,南,3,2,6.68,01,まくり,5,0.15,1.50.7
浜名湖,11,選抜戦,6,4478,櫻本あゆみ,53,27,晴,南,3,2,6.64,02,まくり,6,0.19,1.52.0
浜名湖,11,選抜戦,2,4689,豊田結,31,75,晴,南,3,2,6.70,03,まくり,2,0.24,1.54.4
浜名湖,11,選抜戦,3,5140,吉田彩乃,44,36,晴,南,3,2,6.70,04,まくり,3,0.23,1.54.9
浜名湖,11,選抜戦,4,3474,松瀬弘美,16,28,晴,南,3,2,6.71,05,まくり,4,0.33,.  .
浜名湖,11,選抜戦,1,3999,大瀧明日香,14,39,晴,南,3,2,6.67,06,まくり,1,0.16,.  .
浜名湖,12,優勝戦,1,4373,若狭奈美子,36,52,晴,南,3,2,6.72,01,逃げ,1,0.12,1.50.0
浜名湖,12,優勝戦,2,4611,今井美亜,54,46,晴,南,3,2,6.71,02,逃げ,2,0.16,1.51.5
浜名湖,12,優勝戦,3,4289,落合直子,30,22,晴,南,3,2,6.65,03,逃げ,3,0.21,1.52.7
浜名湖,12,優勝戦,4,4117,廣中智紗衣,32,54,晴,南,3,2,6.71,04,逃げ,4,0.17,1.53.8
浜名湖,12,優勝戦,6,5193,米丸乃絵,13,31,晴,南,3,2,6.63,05,逃げ,6,0.20,.  .
浜名湖,12,優勝戦,5,4464,山下友貴,2,73,晴,南,3,2,6.68,06,逃げ,5,0.15,.  .
多摩川,1,一般,5,5256,中山翔太,56,71,晴,北東,1,2,6.74,01,まくり差し,5,0.06,1.49.8
多摩川,1,一般,4,4960,黒野元基,20,37,晴,北東,1,2,6.82,02,まくり差し,4,0.07,1.50.8
多摩川,1,一般,6,5066,鈴木孝明,48,75,晴,北東,1,2,6.83,03,まくり差し,6,0.21,1.53.0
多摩川,1,一般,2,4984,森下愛梨,57,44,晴,北東,1,2,6.80,04,まくり差し,2,0.12,1.53.9
多摩川,1,一般,1,5075,中島秀治,55,28,晴,北東,1,2,6.76,05,まくり差し,1,0.15,.  .
多摩川,1,一般,3,5216,長谷川晴哉,12,54,晴,北東,1,2,6.82,06,まくり差し,3,0.16,.  .
多摩川,2,一般,1,5010,宇留田翔平,42,34,晴,南東,3,2,6.78,01,逃げ,1,0.06,1.50.4
多摩川,2,一般,2,5038,金田智博,66,42,晴,南東,3,2,6.74,02,逃げ,2,0.08,1.51.8
多摩川,2,一般,3,5220,青木蓮,41,32,晴,南東,3,2,6.76,03,逃げ,3,0.09,1.54.0
多摩川,2,一般,5,4989,石原翼,14,30,晴,南東,3,2,6.78,04,逃げ,5,0.07,1.54.2
多摩川,2,一般,4,5229,吉川晴人,16,25,晴,南東,3,2,6.75,05,逃げ,4,0.11,.  .
多摩川,2,一般,6,5137,川原涼,26,21,晴,南東,3,2,6.77,06,逃げ,6,0.05,.  .
多摩川,3,一般,1,5002,上田健太,25,29,晴,東,4,2,6.78,01,逃げ,1,0.08,1.50.2
多摩川,3,一般,2,5004,河野主樹,22,82,晴,東,4,2,6.82,02,逃げ,2,0.07,1.51.6
多摩川,3,一般,5,5042,畑田汰一,45,65,晴,東,4,2,6.84,03,逃げ,5,0.01,1.53.4
多摩川,3,一般,4,5226,藤田俊祐,36,59,晴,東,4,2,6.80,04,逃げ,4,0.06,1.54.1
多摩川,3,一般,6,5279,石渡翔一郎,62,66,晴,東,4,2,6.85,05,逃げ,6,0.04,.  .
多摩川,3,一般,3,5091,為本智也,29,51,晴,東,4,2,6.84,06,逃げ,3,0.08,.  .
多摩川,4,一般,4,5132,中野希一,64,80,晴,東,4,2,6.77,01,抜き,4,0.03,1.50.3
多摩川,4,一般,5,5197,中野仁照,11,57,晴,東,4,2,6.83,02,抜き,5,0.01,1.51.7
多摩川,4,一般,1,5115,香川颯太,68,70,晴,東,4,2,6.69,03,抜き,1,0.11,1.52.9
多摩川,4,一般,6,5005,石田貴洋,30,47,晴,東,4,2,6.78,04,抜き,6,0.12,1.53.2
多摩川,4,一般,2,5213,湯淺紀香,44,56,晴,東,4,2,6.79,05,抜き,2,0.13,.  .
多摩川,4,一般,3,5069,山崎小葉音,69,72,晴,東,4,2,6.76,06,抜き,3,0.12,.  .
多摩川,5,一般,1,5087,佐藤航,18,33,晴,南東,5,2,6.82,01,逃げ,1,0.09,1.49.8
多摩川,5,一般,2,5256,中山翔太,56,71,晴,南東,5,2,6.75,02,逃げ,2,0.12,1.51.8
多摩川,5,一般,3,4967,中村魁生,70,61,晴,南東,5,2,6.82,03,逃げ,3,0.15,1.52.8
多摩川,5,一般,4,5036,福田翔吾,28,39,晴,南東,5,2,6.86,04,逃げ,4,0.21,1.55.7
多摩川,5,一般,6,5216,長谷川晴哉,12,54,晴,南東,5,2,6.86,05,逃げ,6,0.21,.  .
多摩川,5,一般,5,5357,田中瀬里奈,37,63,晴,南東,5,2,6.79,06,逃げ,5,0.29,.  .
多摩川,6,一般,4,5075,中島秀治,55,28,晴,南東,3,2,6.83,01,抜き,4,0.19,1.50.7
多摩川,6,一般,1,4960,黒野元基,20,37,晴,南東,3,2,6.88,02,抜き,1,0.17,1.51.7
多摩川,6,一般,3,5137,川原涼,26,21,晴,南東,3,2,6.89,03,抜き,3,0.17,1.53.8
多摩川,6,一般,2,5066,鈴木孝明,48,75,晴,南東,3,2,6.87,04,抜き,2,0.17,1.54.3
多摩川,6,一般,5,5038,金田智博,66,42,晴,南東,3,2,6.91,05,抜き,5,0.22,.  .
多摩川,6,一般,6,5220,青木蓮,41,32,晴,南東,3,2,6.88,06,抜き,6,0.19,.  .
多摩川,7,一般,1,5226,藤田俊祐,36,59,晴,南東,5,3,6.84,01,逃げ,1,0.11,1.50.8
多摩川,7,一般,3,5229,吉川晴人,16,25,晴,南東,5,3,6.84,02,逃げ,3,0.11,1.51.6
多摩川,7,一般,5,4984,森下愛梨,57,44,晴,南東,5,3,6.86,03,逃げ,5,0.18,1.53.4
多摩川,7,一般,4,5010,宇留田翔平,42,34,晴,南東,5,3,6.87,04,逃げ,4,0.11,1.54.5
多摩川,7,一般,2,5042,畑田汰一,45,65,晴,南東,5,3,6.89,05,逃げ,2,0.18,.  .
多摩川,7,一般,6,5091,為本智也,29,51,晴,南東,5,3,6.90,06,逃げ,6,0.28,.  .
多摩川,8,一般,1,5132,中野希一,64,80,晴,東,4,3,6.88,01,逃げ,1,0.11,1.50.2
多摩川,8,一般,2,4989,石原翼,14,30,晴,東,4,3,6.85,02,逃げ,2,0.09,1.52.3
多摩川,8,一般,6,5005,石田貴洋,30,47,晴,東,4,3,6.87,03,逃げ,6,0.12,1.53.0
多摩川,8,一般,4,5115,香川颯太,68,70,晴,東,4,3,6.82,04,逃げ,4,0.09,1.53.9
多摩川,8,一般,5,5004,河野主樹,22,82,晴,東,4,3,6.86,05,逃げ,5,0.15,.  .
多摩川,8,一般,3,5279,石渡翔一郎,62,66,晴,東,4,3,6.92,06,逃げ,3,0.08,.  .
多摩川,9,一般,1,4967,中村魁生,70,61,晴,南東,5,3,6.81,01,逃げ,1,0.15,1.49.6
多摩川,9,一般,2,5197,中野仁照,11,57,晴,南東,5,3,6.82,02,逃げ,2,0.16,1.51.6
多摩川,9,一般,6,5213,湯淺紀香,44,56,晴,南東,5,3,6.79,03,逃げ,5,0.15,1.53.0
多摩川,9,一般,3,5036,福田翔吾,28,39,晴,南東,5,3,6.87,04,逃げ,3,0.18,1.55.6
多摩川,9,一般,4,5357,田中瀬里奈,37,63,晴,南東,5,3,6.82,05,逃げ,4,0.23,.  .
多摩川,10,準優勝戦,1,5034,若林義人,38,52,晴,南東,3,3,6.73,01,逃げ,1,0.11,1.49.1
多摩川,10,準優勝戦,4,4856,豊田健士郎,54,35,晴,南東,3,3,6.73,02,逃げ,4,0.13,1.50.9
多摩川,10,準優勝戦,6,5185,加藤優弥,31,68,晴,南東,3,3,6.82,03,逃げ,6,0.18,1.52.7
多摩川,10,準優勝戦,2,5068,前田滉,59,69,晴,南東,3,3,6.69,04,逃げ,2,0.19,1.54.2
多摩川,10,準優勝戦,3,4983,前田篤哉,49,58,晴,南東,3,3,6.73,05,逃げ,3,0.17,.  .
多摩川,10,準優勝戦,5,5088,高憧四季,17,22,晴,南東,3,3,6.71,06,逃げ,5,0.09,.  .
多摩川,11,準優勝戦,1,5017,澤田尚也,67,85,晴,南東,3,2,6.69,01,逃げ,1,0.18,1.49.1
多摩川,11,準優勝戦,5,4962,畑竜生,53,46,晴,南東,3,2,6.71,02,逃げ,4,0.24,1.50.3
多摩川,11,準優勝戦,2,5205,刑部亜里紗,51,31,晴,南東,3,2,6.66,03,逃げ,2,0.42,1.51.0
多摩川,11,準優勝戦,6,5002,上田健太,25,29,晴,南東,3,2,6.85,04,逃げ,5,0.26,1.52.7
