レース場,レース番号,レース種別,天候,風向,風速(m),波高(cm),決まり手,着順,艇番,登録番号,選手名,モーター,ボート,展示タイム,進入,スタートタイミング,レースタイム
唐津,1,朝１戦一般,晴,南,2,2,逃げ,01,1,4757,山田祐也,27,41,6.80,1,0.09,1.47.3
唐津,1,朝１戦一般,晴,南,2,2,逃げ,02,4,4979,中野夢斗,32,46,6.85,3,0.11,1.49.4
唐津,1,朝１戦一般,晴,南,2,2,逃げ,03,5,4373,若狭奈美子,69,70,6.75,4,0.04,1.51.0
唐津,1,朝１戦一般,晴,南,2,2,逃げ,04,2,4304,藤崎小百合,67,76,6.73,2,0.08,1.51.3
唐津,1,朝１戦一般,晴,南,2,2,逃げ,05,6,5335,森陽多,55,53,6.78,5,0.13,1.53.1
唐津,1,朝１戦一般,晴,南,2,2,逃げ,06,3,5268,山本幸也,38,39,6.85,6,0.14,1.54.0
唐津,2,モー２ング一,晴,南西,2,2,逃げ,01,1,4290,稲田浩二,60,32,6.76,1,0.27,1.49.5
唐津,2,モー２ング一,晴,南西,2,2,逃げ,02,2,4529,嶋義信,35,86,6.79,2,0.17,1.50.7
唐津,2,モー２ング一,晴,南西,2,2,逃げ,03,6,5270,小玉啓太,11,56,6.75,6,0.15,1.52.2
唐津,2,モー２ング一,晴,南西,2,2,逃げ,04,4,4489,岩川仁士,68,73,6.75,4,0.19,1.53.1
唐津,2,モー２ング一,晴,南西,2,2,逃げ,05,3,4603,谷川将太,49,60,6.82,3,0.18,1.53.9
唐津,2,モー２ング一,晴,南西,2,2,逃げ,06,5,5308,藤森拓海,36,47,6.82,5,0.26,1.53.9
唐津,3,３ライズ戦一,晴,南西,2,2,逃げ,01,1,4352,下條雄太郎,39,83,6.69,1,0.06,1.48.4
唐津,3,３ライズ戦一,晴,南西,2,2,逃げ,02,3,3721,守田俊介,52,34,6.87,3,0.21,1.50.2
唐津,3,３ライズ戦一,晴,南西,2,2,逃げ,03,5,4272,大場広孝,31,55,6.73,5,0.13,1.51.8
唐津,3,３ライズ戦一,晴,南西,2,2,逃げ,04,6,3156,金子良昭,45,74,6.78,6,0.16,1.54.3
唐津,3,３ライズ戦一,晴,南西,2,2,逃げ,05,4,4023,柴田友和,70,79,6.75,4,0.15,1.55.8
唐津,3,３ライズ戦一,晴,南西,2,2,逃げ,06,2,5117,冨名腰桃奈,37,40,6.76,2,0.16,1.56.7
唐津,4,おは４戦一般,晴,南西,3,3,まくり差し,01,5,4500,山田康二,62,45,6.72,5,0.11,1.48.4
唐津,4,おは４戦一般,晴,南西,3,3,まくり差し,02,3,4403,木下大將,24,38,6.78,3,0.17,1.49.2
唐津,4,おは４戦一般,晴,南西,3,3,まくり差し,03,4,3385,渡邉睦広,34,61,6.73,4,0.13,1.52.1
唐津,4,おは４戦一般,晴,南西,3,3,まくり差し,04,6,4752,西尾亮輔,12,72,6.70,6,0.13,1.52.8
唐津,4,おは４戦一般,晴,南西,3,3,まくり差し,05,2,3967,鈴木茂高,22,64,6.82,2,0.39,1.54.4
唐津,4,おは４戦一般,晴,南西,3,3,まくり差し,06,1,4665,加藤啓太,40,89,6.70,1,0.21,1.55.9
唐津,5,一般,晴,南西,3,3,まくり差し,01,3,5087,佐藤航,53,80,6.73,3,0.11,1.48.2
唐津,5,一般,晴,南西,3,3,まくり差し,02,6,4953,尾上雅也,56,37,6.69,6,0.17,1.49.6
唐津,5,一般,晴,南西,3,3,まくり差し,03,2,4373,若狭奈美子,69,70,6.68,2,0.10,1.51.2
唐津,5,一般,晴,南西,3,3,まくり差し,04,4,4845,前田紗希,21,36,6.77,4,0.13,1.51.7
唐津,5,一般,晴,南西,3,3,まくり差し,05,1,4304,藤崎小百合,67,76,6.73,1,0.19,1.52.1
唐津,5,一般,晴,南西,3,3,まくり差し,06,5,3054,北川幸典,59,57,6.78,5,0.19,1.56.5
唐津,6,一般,晴,南西,1,1,逃げ,01,1,3544,豊田訓靖,16,51,6.79,1,0.19,1.49.6
唐津,6,一般,晴,南西,1,1,逃げ,02,4,4336,松田竜馬,20,87,6.75,4,0.18,1.50.7
唐津,6,一般,晴,南西,1,1,逃げ,03,3,3484,芝田浩治,66,42,6.71,3,0.19,1.51.3
唐津,6,一般,晴,南西,1,1,逃げ,04,5,4375,照屋厚仁,30,66,6.77,5,0.17,1.52.3
唐津,6,一般,晴,南西,1,1,逃げ,05,6,4256,渡辺浩司,33,77,6.74,6,0.16,1.54.2
唐津,6,一般,晴,南西,1,1,逃げ,06,2,5270,小玉啓太,11,56,6.76,2,0.21,2.03.2
唐津,7,一般,晴,北西,1,1,恵まれ,01,4,4794,和田拓也,26,69,6.74,4,0.07,1.49.6
唐津,7,一般,晴,北西,1,1,恵まれ,02,5,4292,麻生慎介,61,78,6.81,5,0.06,1.50.1
唐津,7,一般,晴,北西,1,1,恵まれ,03,6,3557,太田和美,58,84,6.78,6,0.06,1.52.5
唐津,8,一般,晴,北,3,3,差し,01,2,4272,大場広孝,31,55,6.94,2,0.09,1.49.7
唐津,8,一般,晴,北,3,3,差し,02,1,4023,柴田友和,70,79,6.93,1,0.07,1.51.1
唐津,8,一般,晴,北,3,3,差し,03,6,4518,大須賀友,57,58,6.85,6,0.19,1.52.2
唐津,8,一般,晴,北,3,3,差し,04,3,4665,加藤啓太,40,89,6.90,3,0.12,1.52.6
唐津,8,一般,晴,北,3,3,差し,05,5,4515,藤田浩人,63,85,6.84,5,0.18,1.54.3
唐津,8,一般,晴,北,3,3,差し,06,4,5335,森陽多,55,53,6.89,4,0.22,1.55.0
唐津,9,一般,晴,北東,2,2,抜き,01,1,3054,北川幸典,59,57,6.79,1,0.08,1.50.4
唐津,9,一般,晴,北東,2,2,抜き,02,2,3161,古場輝義,48,44,6.82,2,0.05,1.50.8
唐津,9,一般,晴,北東,2,2,抜き,03,4,4290,稲田浩二,60,32,6.82,4,0.01,1.51.6
唐津,9,一般,晴,北東,2,2,抜き,04,3,4845,前田紗希,21,36,6.78,3,0.03,1.52.5
唐津,9,一般,晴,北東,2,2,抜き,05,5,4403,木下大將,24,38,6.80,5,0.05,1.54.4
唐津,9,一般,晴,北東,2,2,抜き,06,6,4977,馬野耀,50,90,6.78,6,0.08,1.56.0
唐津,10,準優勝戦,晴,北,3,3,まくり差し,01,5,4757,山田祐也,27,41,6.94,5,0.18,1.48.4
唐津,10,準優勝戦,晴,北,3,3,まくり差し,02,6,5087,佐藤航,53,80,6.87,6,0.21,1.50.5
唐津,10,準優勝戦,晴,北,3,3,まくり差し,03,1,4256,渡辺浩司,33,77,6.84,1,0.07,1.51.3
