レース場,レース番号,レース種別,天候,風向,風速(m),波高(cm),着順,艇番,登録番号,選手名,モーター,ボート,展示タイム,進入,スタートタイミング,レースタイム
江戸川,4,予選,曇り,南,5,5,05,2,4850,野 中 一 平,55,11,6.79,2,0.05,
江戸川,4,予選,曇り,南,5,5,06,4,5301,岩 下 巧 斗,66,13,6.77,4,0.19,
江戸川,5,予選,曇り,南西,4,10,01,1,3690,河 合 三 弘,29,54,6.87,1,0.14,1.54.5
江戸川,5,予選,曇り,南西,4,10,02,3,4877,鈴 谷 一 平,45,64,6.79,3,0.07,1.56.2
江戸川,5,予選,曇り,南西,4,10,03,2,4786,佐 藤 博 亮,46,56,6.84,2,0.07,1.58.4
江戸川,5,予選,曇り,南西,4,10,04,5,3602,奥 平 拓 也,69,62,6.85,5,0.13,1.59.5
江戸川,5,予選,曇り,南西,4,10,05,4,4327,加 藤 翔,62,12,6.79,4,0.08,
江戸川,5,予選,曇り,南西,4,10,06,6,5157,市 川 健 太,17,60,6.74,6,0.12,
江戸川,6,予選,曇り,南,5,10,01,3,5065,伊久間 陽 優,36,41,6.92,3,0.12,1.54.7
江戸川,6,予選,曇り,南,5,10,02,6,5047,國 分 将太郎,30,10,6.79,6,0.13,1.55.8
江戸川,6,予選,曇り,南,5,10,03,1,3807,岡 部 哲,28,47,7.08,1,0.13,1.57.4
江戸川,6,予選,曇り,南,5,10,04,5,4761,山 田 晃 大,10,20,6.91,5,0.11,1.58.9
江戸川,6,予選,曇り,南,5,10,05,4,5210,藤 井 公 人,71,61,6.69,4,0.13,
江戸川,6,予選,曇り,南,5,10,06,2,4619,伏 田 裕 隆,58,14,6.91,2,0.22,
江戸川,7,予選,曇り,南,4,10,01,1,5115,香 川 颯 太,26,38,6.78,1,0.12,1.55.5
江戸川,7,予選,曇り,南,4,10,02,4,4457,神 田 達 也,65,68,6.97,4,0.28,1.56.6
江戸川,7,予選,曇り,南,4,10,03,2,5039,倉 田 茂 将,35,23,6.99,2,0.17,1.56.8
江戸川,7,予選,曇り,南,4,10,04,3,3105,内 山 文 典,57,40,6.86,3,0.23,1.58.5
江戸川,7,予選,曇り,南,4,10,05,5,4808,松 尾 拓,40,15,7.09,5,0.63,
江戸川,7,予選,曇り,南,4,10,06,6,5341,山 道 諄 也,49,51,6.81,6,0.26,
江戸川,8,予選,曇り,南西,4,15,01,1,3869,井 芹 大 志,53,29,6.95,1,0.06,1.54.5
江戸川,8,予選,曇り,南西,4,15,02,6,3740,大 澤 普 司,24,53,7.17,6,0.04,1.55.3
江戸川,8,予選,曇り,南西,4,15,03,5,4363,大 野 芳 顕,13,59,6.91,5,0.03,1.56.7
江戸川,8,予選,曇り,南西,4,15,04,3,3313,本 吉 正 樹,51,69,7.10,3,0.07,1.58.2
江戸川,8,予選,曇り,南西,4,15,05,2,4865,立 具 敬 司,15,57,6.83,2,0.14,
江戸川,8,予選,曇り,南西,4,15,06,4,4623,中 北 将 史,60,30,6.93,4,0.03,
江戸川,9,予選特賞,晴,南,4,15,01,1,4295,小 坂 尚 哉,18,16,6.92,1,0.08,1.53.1
江戸川,9,予選特賞,晴,南,4,15,02,3,3796,長 野 道 臣,68,26,6.83,3,0.08,1.55.3
江戸川,9,予選特賞,晴,南,4,15,03,5,4786,佐 藤 博 亮,46,56,6.90,5,0.11,1.55.5
江戸川,9,予選特賞,晴,南,4,15,04,2,5008,羽 野 諒,23,66,6.84,2,0.18,1.57.4
江戸川,9,予選特賞,晴,南,4,15,05,6,5301,岩 下 巧 斗,66,13,6.96,6,0.27,
江戸川,9,予選特賞,晴,南,4,15,06,4,4529,嶋 義 信,43,17,7.02,4,0.14,
江戸川,10,予選特賞,曇り,北,8,10,01,4,4761,山 田 晃 大,10,20,6.87,4,0.18,1.55.4
江戸川,10,予選特賞,曇り,北,8,10,02,3,4610,佐 藤 大 佑,12,58,6.84,3,0.26,1.57.5
江戸川,10,予選特賞,曇り,北,8,10,03,2,4568,廣 瀬 真 也,61,21,6.80,2,0.25,1.58.0
江戸川,10,予選特賞,曇り,北,8,10,04,1,5034,若 林 義 人,22,43,6.86,1,0.27,1.59.7
江戸川,10,予選特賞,曇り,北,8,10,05,5,4327,加 藤 翔,62,12,6.77,5,0.37,
江戸川,10,予選特賞,曇り,北,8,10,06,6,3482,金 子 猛 志,70,32,7.08,6,0.47,
