日付,レース場,レース番号,舟券種,組合せ,払戻金
2023-04-05,大村,1,単勝,1,130
2023-04-05,大村,1,複勝,1,100
2023-04-05,大村,1,複勝,3,120
2023-04-05,大村,1,２連単,1-3,320
2023-04-05,大村,1,２連複,1-3,250
2023-04-05,大村,1,拡連複,1-3,120
2023-04-05,大村,1,３連単,1-3-4,600
2023-04-05,大村,1,３連複,1-3-4,380
2023-04-05,大村,2,単勝,4,550
2023-04-05,大村,2,複勝,4,100
2023-04-05,大村,2,複勝,1,110
2023-04-05,大村,2,２連単,4-1,840
2023-04-05,大村,2,２連複,1-4,440
2023-04-05,大村,2,拡連複,1-4,240
2023-04-05,大村,2,３連単,4-1-6,6220
2023-04-05,大村,2,３連複,1-4-6,1150
2023-04-05,大村,3,単勝,2,270
2023-04-05,大村,3,複勝,2,270
2023-04-05,大村,3,複勝,1,160
2023-04-05,大村,3,２連単,2-1,840
2023-04-05,大村,3,２連複,1-2,250
2023-04-05,大村,3,拡連複,1-2,130
2023-04-05,大村,3,３連単,2-1-3,2320
2023-04-05,大村,3,３連複,1-2-3,530
2023-04-05,大村,4,単勝,1,160
2023-04-05,大村,4,複勝,1,190
2023-04-05,大村,4,複勝,2,190
2023-04-05,大村,4,２連単,1-2,770
2023-04-05,大村,4,２連複,1-2,640
2023-04-05,大村,4,拡連複,1-2,230
2023-04-05,大村,4,３連単,1-2-6,6650
2023-04-05,大村,4,３連複,1-2-6,3200
2023-04-05,大村,5,単勝,1,240
2023-04-05,大村,5,複勝,1,100
2023-04-05,大村,5,複勝,2,190
2023-04-05,大村,5,２連単,1-2,340
2023-04-05,大村,5,２連複,1-2,350
2023-04-05,大村,5,拡連複,1-2,200
2023-04-05,大村,5,３連単,1-2-4,1770
2023-04-05,大村,5,３連複,1-2-4,740
2023-04-05,大村,6,単勝,1,100
2023-04-05,大村,6,複勝,1,140
2023-04-05,大村,6,複勝,2,470
2023-04-05,大村,6,２連単,1-2,390
2023-04-05,大村,6,２連複,1-2,370
2023-04-05,大村,6,拡連複,1-2,140
2023-04-05,大村,6,３連単,1-2-5,800
2023-04-05,大村,6,３連複,1-2-5,190
2023-04-05,大村,7,単勝,1,140
2023-04-05,大村,7,複勝,1,100
