日付,レース場,レース番号,舟券種,組合せ,払戻金
2024-10-16,福岡,1,単勝,1,100
2024-10-16,福岡,1,複勝,1,100
2024-10-16,福岡,1,複勝,2,110
2024-10-16,福岡,1,２連単,1-2,170
2024-10-16,福岡,1,２連複,1-2,170
2024-10-16,福岡,1,拡連複,1-2,120
2024-10-16,福岡,1,３連単,1-2-4,590
2024-10-16,福岡,1,３連複,1-2-4,320
2024-10-16,福岡,2,単勝,1,140
2024-10-16,福岡,2,複勝,1,110
2024-10-16,福岡,2,複勝,3,310
2024-10-16,福岡,2,２連単,1-3,480
2024-10-16,福岡,2,２連複,1-3,710
2024-10-16,福岡,2,拡連複,1-3,240
2024-10-16,福岡,2,３連単,1-3-2,1590
2024-10-16,福岡,2,３連複,1-2-3,620
2024-10-16,福岡,3,単勝,2,320
2024-10-16,福岡,3,複勝,2,170
2024-10-16,福岡,3,複勝,3,120
2024-10-16,福岡,3,２連単,2-3,1030
2024-10-16,福岡,3,２連複,2-3,370
2024-10-16,福岡,3,拡連複,2-3,160
2024-10-16,福岡,3,３連単,2-3-4,2830
2024-10-16,福岡,3,３連複,2-3-4,760
2024-10-16,福岡,4,単勝,1,440
2024-10-16,福岡,4,複勝,1,160
2024-10-16,福岡,4,複勝,2,500
2024-10-16,福岡,4,２連単,1-2,2100
2024-10-16,福岡,4,２連複,1-2,750
2024-10-16,福岡,4,拡連複,1-2,960
2024-10-16,福岡,4,３連単,1-2-3,6540
2024-10-16,福岡,4,３連複,1-2-3,1190
2024-10-16,福岡,5,単勝,2,580
2024-10-16,福岡,5,複勝,2,110
2024-10-16,福岡,5,複勝,1,100
2024-10-16,福岡,5,２連単,2-1,900
2024-10-16,福岡,5,２連複,1-2,210
2024-10-16,福岡,5,拡連複,1-2,110
2024-10-16,福岡,5,３連単,2-1-4,6220
2024-10-16,福岡,5,３連複,1-2-4,1000
2024-10-16,福岡,6,単勝,1,100
2024-10-16,福岡,6,複勝,1,100
2024-10-16,福岡,6,複勝,5,100
2024-10-16,福岡,6,２連単,1-5,340
2024-10-16,福岡,6,２連複,1-5,200
2024-10-16,福岡,6,拡連複,1-5,120
2024-10-16,福岡,6,３連単,1-5-3,950
2024-10-16,福岡,6,３連複,1-3-5,490
2024-10-16,福岡,7,単勝,1,100
2024-10-16,福岡,7,複勝,1,100
2024-10-16,福岡,7,複勝,5,150
2024-10-16,福岡,7,２連単,1-5,300
2024-10-16,福岡,7,２連複,1-5,300
2024-10-16,福岡,7,拡連複,1-5,130
2024-10-16,福岡,7,３連単,1-5-4,980
2024-10-16,福岡,7,３連複,1-4-5,470
2024-10-16,福岡,8,単勝,1,250
2024-10-16,福岡,8,複勝,1,160
2024-10-16,福岡,8,複勝,2,160
2024-10-16,福岡,8,２連単,1-2,350
2024-10-16,福岡,8,２連複,1-2,250
2024-10-16,福岡,8,拡連複,1-2,180
2024-10-16,福岡,8,３連単,1-2-5,1560
2024-10-16,福岡,8,３連複,1-2-5,610
2024-10-16,福岡,9,単勝,1,120
2024-10-16,福岡,9,複勝,1,100
2024-10-16,福岡,9,複勝,4,570
2024-10-16,福岡,9,２連単,1-4,4280
2024-10-16,福岡,9,２連複,1-4,3460
2024-10-16,福岡,9,拡連複,1-4,640
2024-10-16,福岡,9,３連単,1-4-6,12710
2024-10-16,福岡,9,３連複,1-4-6,2210
2024-10-16,福岡,10,単勝,3,1300
2024-10-16,福岡,10,複勝,3,100
2024-10-16,福岡,10,複勝,1,100
2024-10-16,福岡,10,２連単,3-1,1720
2024-10-16,福岡,10,２連複,1-3,330
2024-10-16,福岡,10,拡連複,1-3,110
2024-10-16,福岡,10,３連単,3-1-2,5570
2024-10-16,福岡,10,３連複,1-2-3,200
2024-10-16,福岡,11,単勝,3,1270
2024-10-16,福岡,11,複勝,3,300
2024-10-16,福岡,11,複勝,1,100
2024-10-16,福岡,11,２連単,3-1,1980
2024-10-16,福岡,11,２連複,1-3,380
2024-10-16,福岡,11,拡連複,1-3,250
2024-10-16,福岡,11,３連単,3-1-4,4730
2024-10-16,福岡,11,３連複,1-3-4,550
2024-10-16,福岡,12,単勝,1,190
2024-10-16,福岡,12,複勝,1,100
2024-10-16,福岡,12,複勝,2,100
2024-10-16,福岡,12,２連単,1-2,150
2024-10-16,福岡,12,２連複,1-2,130
2024-10-16,福岡,12,拡連複,1-2,100
2024-10-16,福岡,12,３連単,1-2-4,490
2024-10-16,福岡,12,３連複,1-2-4,290
2024-10-16,芦屋,1,単勝,2,1090
2024-10-16,芦屋,1,複勝,2,680
2024-10-16,芦屋,1,複勝,3,600
2024-10-16,芦屋,1,２連単,2-3,4070
2024-10-16,芦屋,1,２連複,2-3,1760
2024-10-16,芦屋,1,拡連複,2-3,360
2024-10-16,芦屋,1,３連単,2-3-4,15530
2024-10-16,芦屋,1,３連複,2-3-4,3890
2024-10-16,芦屋,2,単勝,6,720
2024-10-16,芦屋,2,複勝,6,560
2024-10-16,芦屋,2,複勝,2,460
2024-10-16,芦屋,2,２連単,6-2,8200
2024-10-16,芦屋,2,２連複,2-6,4870
2024-10-16,芦屋,2,拡連複,2-6,630
2024-10-16,芦屋,2,３連単,6-2-3,65220
2024-10-16,芦屋,2,３連複,2-3-6,4550
2024-10-16,芦屋,3,単勝,3,330
2024-10-16,芦屋,3,複勝,3,100
2024-10-16,芦屋,3,複勝,1,100
2024-10-16,芦屋,3,２連単,3-1,600
