日付,レース場,レース番号,舟券種,組合せ,払戻金
2022-12-02,福岡,1,単勝,1,150
2022-12-02,福岡,1,複勝,1,110
2022-12-02,福岡,1,複勝,3,110
2022-12-02,福岡,1,２連単,1-3,440
2022-12-02,福岡,1,２連複,1-3,380
2022-12-02,福岡,1,拡連複,1-3,150
2022-12-02,福岡,1,３連単,1-3-2,1600
2022-12-02,福岡,1,３連複,1-2-3,740
2022-12-02,福岡,2,単勝,1,360
2022-12-02,福岡,2,複勝,1,240
2022-12-02,福岡,2,複勝,5,590
2022-12-02,福岡,2,２連単,1-5,1780
2022-12-02,福岡,2,２連複,1-5,800
2022-12-02,福岡,2,拡連複,1-5,260
2022-12-02,福岡,2,３連単,1-5-2,3120
2022-12-02,福岡,2,３連複,1-2-5,330
2022-12-02,福岡,3,単勝,1,130
2022-12-02,福岡,3,複勝,1,110
2022-12-02,福岡,3,複勝,5,170
2022-12-02,福岡,3,２連単,1-5,540
2022-12-02,福岡,3,２連複,1-5,540
2022-12-02,福岡,3,拡連複,1-5,210
2022-12-02,福岡,3,３連単,1-5-3,2770
2022-12-02,福岡,3,３連複,1-3-5,930
2022-12-02,福岡,4,単勝,1,510
2022-12-02,福岡,4,複勝,1,110
2022-12-02,福岡,4,複勝,2,480
2022-12-02,福岡,4,２連単,1-2,800
2022-12-02,福岡,4,２連複,1-2,730
2022-12-02,福岡,4,拡連複,1-2,600
2022-12-02,福岡,4,３連単,1-2-4,3370
2022-12-02,福岡,4,３連複,1-2-4,1730
2022-12-02,福岡,5,単勝,4,1950
2022-12-02,福岡,5,複勝,4,520
2022-12-02,福岡,5,複勝,2,240
2022-12-02,福岡,5,２連単,4-2,8680
2022-12-02,福岡,5,２連複,2-4,2810
2022-12-02,福岡,5,拡連複,2-4,350
2022-12-02,福岡,5,３連単,4-2-6,18600
2022-12-02,福岡,5,３連複,2-4-6,1220
2022-12-02,福岡,6,単勝,1,190
2022-12-02,福岡,6,複勝,1,130
2022-12-02,福岡,6,複勝,4,430
2022-12-02,福岡,6,２連単,1-4,1230
2022-12-02,福岡,6,２連複,1-4,1230
2022-12-02,福岡,6,拡連複,1-4,200
2022-12-02,福岡,6,３連単,1-4-2,3520
2022-12-02,福岡,6,３連複,1-2-4,540
2022-12-02,福岡,7,単勝,5,1290
2022-12-02,福岡,7,複勝,5,560
2022-12-02,福岡,7,複勝,3,140
2022-12-02,福岡,7,２連単,5-3,7180
2022-12-02,福岡,7,２連複,3-5,1460
2022-12-02,福岡,7,拡連複,3-5,370
2022-12-02,福岡,7,３連単,5-3-1,25860
2022-12-02,福岡,7,３連複,1-3-5,750
2022-12-02,福岡,8,単勝,1,130
2022-12-02,福岡,8,複勝,1,100
2022-12-02,福岡,8,複勝,2,120
2022-12-02,福岡,8,２連単,1-2,180
2022-12-02,福岡,8,２連複,1-2,160
2022-12-02,福岡,8,拡連複,1-2,140
2022-12-02,福岡,8,３連単,1-2-3,380
2022-12-02,福岡,8,３連複,1-2-3,280
2022-12-02,福岡,9,単勝,2,640
2022-12-02,福岡,9,複勝,2,190
2022-12-02,福岡,9,複勝,1,300
2022-12-02,福岡,9,２連単,2-1,2960
2022-12-02,福岡,9,２連複,1-2,1010
2022-12-02,福岡,9,拡連複,1-2,200
2022-12-02,福岡,9,３連単,2-1-3,4510
2022-12-02,福岡,9,３連複,1-2-3,360
2022-12-02,福岡,10,単勝,1,130
2022-12-02,福岡,10,複勝,1,150
2022-12-02,福岡,10,複勝,3,160
2022-12-02,福岡,10,２連単,1-3,680
2022-12-02,福岡,10,２連複,1-3,550
2022-12-02,福岡,10,拡連複,1-3,310
2022-12-02,福岡,10,３連単,1-3-4,5260
2022-12-02,福岡,10,３連複,1-3-4,4130
2022-12-02,福岡,11,単勝,5,370
2022-12-02,福岡,11,複勝,5,170
2022-12-02,福岡,11,複勝,1,100
2022-12-02,福岡,11,２連単,5-1,1950
2022-12-02,福岡,11,２連複,1-5,440
2022-12-02,福岡,11,拡連複,1-5,210
2022-12-02,福岡,11,３連単,5-1-2,9370
2022-12-02,福岡,11,３連複,1-2-5,640
2022-12-02,福岡,12,単勝,1,100
2022-12-02,福岡,12,複勝,1,100
2022-12-02,福岡,12,複勝,4,330
2022-12-02,福岡,12,２連単,1-4,440
2022-12-02,福岡,12,２連複,1-4,450
2022-12-02,福岡,12,拡連複,1-4,170
2022-12-02,福岡,12,３連単,1-4-2,1440
2022-12-02,福岡,12,３連複,1-2-4,450
2022-12-02,芦屋,1,単勝,1,100
2022-12-02,芦屋,1,複勝,1,100
2022-12-02,芦屋,1,複勝,2,210
2022-12-02,芦屋,1,２連単,1-2,220
2022-12-02,芦屋,1,２連複,1-2,330
2022-12-02,芦屋,1,拡連複,1-2,140
2022-12-02,芦屋,1,３連単,1-2-6,880
2022-12-02,芦屋,1,３連複,1-2-6,450
2022-12-02,芦屋,2,単勝,4,310
2022-12-02,芦屋,2,複勝,4,170
2022-12-02,芦屋,2,複勝,6,590
2022-12-02,芦屋,2,２連単,4-6,2030
2022-12-02,芦屋,2,２連複,4-6,1380
2022-12-02,芦屋,2,拡連複,4-6,270
2022-12-02,芦屋,2,３連単,4-6-1,3330
2022-12-02,芦屋,2,３連複,1-4-6,320
2022-12-02,芦屋,3,単勝,5,920
2022-12-02,芦屋,3,複勝,5,280
2022-12-02,芦屋,3,複勝,3,190
2022-12-02,芦屋,3,２連単,5-3,6970
2022-12-02,芦屋,3,２連複,3-5,2480
2022-12-02,芦屋,3,拡連複,3-5,470
2022-12-02,芦屋,3,３連単,5-3-4,41690
2022-12-02,芦屋,3,３連複,3-4-5,4150
2022-12-02,芦屋,4,単勝,1,200
2022-12-02,芦屋,4,複勝,1,100
2022-12-02,芦屋,4,複勝,3,100
2022-12-02,芦屋,4,２連単,1-3,280
2022-12-02,芦屋,4,２連複,1-3,140
2022-12-02,芦屋,4,拡連複,1-3,100
2022-12-02,芦屋,4,３連単,1-3-5,950
2022-12-02,芦屋,4,３連複,1-3-5,260
2022-12-02,芦屋,5,単勝,3,160
2022-12-02,芦屋,5,複勝,3,190
2022-12-02,芦屋,5,複勝,4,470
2022-12-02,芦屋,5,２連単,3-4,930
2022-12-02,芦屋,5,２連複,3-4,970
2022-12-02,芦屋,5,拡連複,3-4,200
2022-12-02,芦屋,5,３連単,3-4-6,2740
2022-12-02,芦屋,5,３連複,3-4-6,1340
2022-12-02,芦屋,6,単勝,4,320
2022-12-02,芦屋,6,複勝,4,180
2022-12-02,芦屋,6,複勝,2,150
2022-12-02,芦屋,6,２連単,4-2,1120
2022-12-02,芦屋,6,２連複,2-4,360
2022-12-02,芦屋,6,拡連複,2-4,170
2022-12-02,芦屋,6,３連単,4-2-3,7370
2022-12-02,芦屋,6,３連複,2-3-4,940
2022-12-02,芦屋,7,単勝,1,190
2022-12-02,芦屋,7,複勝,1,110
2022-12-02,芦屋,7,複勝,2,120
2022-12-02,芦屋,7,２連単,1-2,240
2022-12-02,芦屋,7,２連複,1-2,200
2022-12-02,芦屋,7,拡連複,1-2,110
2022-12-02,芦屋,7,３連単,1-2-3,380
2022-12-02,芦屋,7,３連複,1-2-3,190
