日付,レース場,レース番号,舟券種,組合せ,払戻金
2023-09-08,大村,1,単勝,1,150
2023-09-08,大村,1,複勝,1,160
2023-09-08,大村,1,複勝,2,280
2023-09-08,大村,1,２連単,1-2,620
2023-09-08,大村,1,２連複,1-2,480
2023-09-08,大村,1,拡連複,1-2,250
2023-09-08,大村,1,３連単,1-2-3,1550
2023-09-08,大村,1,３連複,1-2-3,530
2023-09-08,大村,2,単勝,2,500
2023-09-08,大村,2,複勝,2,350
2023-09-08,大村,2,複勝,3,140
2023-09-08,大村,2,２連単,2-3,1080
2023-09-08,大村,2,２連複,2-3,530
2023-09-08,大村,2,拡連複,2-3,250
2023-09-08,大村,2,３連単,2-3-1,3340
2023-09-08,大村,2,３連複,1-2-3,410
2023-09-08,大村,3,単勝,1,250
2023-09-08,大村,3,複勝,1,500
2023-09-08,大村,3,複勝,5,300
2023-09-08,大村,3,２連単,1-5,1690
2023-09-08,大村,3,２連複,1-5,710
2023-09-08,大村,3,拡連複,1-5,210
2023-09-08,大村,3,３連単,1-5-4,5150
2023-09-08,大村,3,３連複,1-4-5,1360
2023-09-08,大村,4,単勝,3,370
2023-09-08,大村,4,複勝,3,420
2023-09-08,大村,4,複勝,2,420
2023-09-08,大村,4,２連単,3-2,5890
2023-09-08,大村,4,２連複,2-3,3910
2023-09-08,大村,4,拡連複,2-3,890
2023-09-08,大村,4,３連単,3-2-5,30040
2023-09-08,大村,4,３連複,2-3-5,12330
2023-09-08,大村,5,単勝,2,270
2023-09-08,大村,5,複勝,2,360
2023-09-08,大村,5,複勝,4,2700
2023-09-08,大村,5,２連単,2-4,4590
2023-09-08,大村,5,２連複,2-4,2500
2023-09-08,大村,5,拡連複,2-4,420
2023-09-08,大村,5,３連単,2-4-3,12640
2023-09-08,大村,5,３連複,2-3-4,1590
2023-09-08,大村,6,単勝,1,130
2023-09-08,大村,6,複勝,1,150
2023-09-08,大村,6,複勝,2,460
2023-09-08,大村,6,２連単,1-2,830
2023-09-08,大村,6,２連複,1-2,360
2023-09-08,大村,6,拡連複,1-2,360
2023-09-08,大村,6,３連単,1-2-5,3670
2023-09-08,大村,6,３連複,1-2-5,1880
2023-09-08,大村,7,単勝,1,130
2023-09-08,大村,7,複勝,1,230
2023-09-08,大村,7,複勝,2,250
2023-09-08,大村,7,２連単,1-2,380
2023-09-08,大村,7,２連複,1-2,390
2023-09-08,大村,7,拡連複,1-2,110
2023-09-08,大村,7,３連単,1-2-4,750
2023-09-08,大村,7,３連複,1-2-4,290
2023-09-08,大村,8,単勝,5,160
2023-09-08,大村,8,複勝,5,190
2023-09-08,大村,8,複勝,2,240
2023-09-08,大村,8,２連単,5-2,1190
2023-09-08,大村,8,２連複,2-5,600
2023-09-08,大村,8,拡連複,2-5,290
2023-09-08,大村,8,３連単,5-2-6,3290
2023-09-08,大村,8,３連複,2-5-6,980
2023-09-08,大村,9,単勝,1,120
