日付,レース場,レース番号,舟券種,組合せ,払戻金
2024-04-27,大村,1,単勝,1,210
2024-04-27,大村,1,複勝,1,120
2024-04-27,大村,1,複勝,2,110
2024-04-27,大村,1,２連単,1-2,520
2024-04-27,大村,1,２連複,1-2,320
2024-04-27,大村,1,拡連複,1-2,190
2024-04-27,大村,1,３連単,1-2-6,2210
2024-04-27,大村,1,３連複,1-2-6,600
2024-04-27,大村,2,単勝,6,1350
2024-04-27,大村,2,複勝,6,210
2024-04-27,大村,2,複勝,4,180
2024-04-27,大村,2,２連単,6-4,1440
2024-04-27,大村,2,２連複,4-6,720
2024-04-27,大村,2,拡連複,4-6,270
2024-04-27,大村,2,３連単,6-4-5,6920
2024-04-27,大村,2,３連複,4-5-6,1520
2024-04-27,大村,3,単勝,1,310
2024-04-27,大村,3,複勝,1,220
2024-04-27,大村,3,複勝,6,690
2024-04-27,大村,3,２連単,1-6,3580
2024-04-27,大村,3,２連複,1-6,1660
2024-04-27,大村,3,拡連複,1-6,530
2024-04-27,大村,3,３連単,1-6-2,23770
2024-04-27,大村,3,３連複,1-2-6,5250
2024-04-27,大村,4,単勝,1,180
2024-04-27,大村,4,複勝,1,100
2024-04-27,大村,4,複勝,3,240
2024-04-27,大村,4,２連単,1-3,720
2024-04-27,大村,4,２連複,1-3,330
2024-04-27,大村,4,拡連複,1-3,260
2024-04-27,大村,4,３連単,1-3-4,1290
2024-04-27,大村,4,３連複,1-3-4,360
2024-04-27,大村,5,単勝,1,160
2024-04-27,大村,5,複勝,1,140
2024-04-27,大村,5,複勝,2,280
2024-04-27,大村,5,２連単,1-2,840
2024-04-27,大村,5,２連複,1-2,530
2024-04-27,大村,5,拡連複,1-2,240
2024-04-27,大村,5,３連単,1-2-6,2130
2024-04-27,大村,5,３連複,1-2-6,580
2024-04-27,大村,6,単勝,1,120
2024-04-27,大村,6,複勝,1,100
2024-04-27,大村,6,複勝,2,100
2024-04-27,大村,6,２連単,1-2,210
2024-04-27,大村,6,２連複,1-2,190
2024-04-27,大村,6,拡連複,1-2,160
2024-04-27,大村,6,３連単,1-2-6,1280
2024-04-27,大村,6,３連複,1-2-6,600
2024-04-27,大村,7,単勝,4,390
2024-04-27,大村,7,複勝,4,190
2024-04-27,大村,7,複勝,3,140
2024-04-27,大村,7,２連単,4-3,910
2024-04-27,大村,7,２連複,3-4,600
2024-04-27,大村,7,拡連複,3-4,170
2024-04-27,大村,7,３連単,4-3-1,2030
2024-04-27,大村,7,３連複,1-3-4,230
2024-04-27,大村,8,単勝,1,140
2024-04-27,大村,8,複勝,1,100
2024-04-27,大村,8,複勝,3,100
2024-04-27,大村,8,２連単,1-3,210
2024-04-27,大村,8,２連複,1-3,140
2024-04-27,大村,8,拡連複,1-3,110
2024-04-27,大村,8,３連単,1-3-4,820
2024-04-27,大村,8,３連複,1-3-4,440
2024-04-27,大村,9,単勝,1,110
2024-04-27,大村,9,複勝,1,100
2024-04-27,大村,9,複勝,3,150
2024-04-27,大村,9,２連単,1-3,200
