レース場,レース番号,レース種別,艇番,登録番号,選手名,年齢,支部,体重,級別,全国勝率,全国2連対率,当地勝率,当地2連対率,モーター番号,モーター2連対率,ボート番号,ボート2連対率
大村,1,一般,1,4693,松下誉士,38,福岡,54,B1,4.31,23.47,3.94,19.44,24,33.58,28,28.47
大村,1,一般,2,4633,森　智也,33,兵庫,51,B1,5.35,33.94,5.36,30.95,19,33.58,57,31.91
大村,1,一般,3,4317,木村紗友,38,静岡,47,B1,3.59,21.31,0.00,0.00,54,27.69,33,27.27
大村,1,一般,4,4368,山口隆史,37,福岡,53,B1,4.49,20.87,5.30,33.93,58,38.67,82,23.08
大村,1,一般,5,3906,飯山晃三,45,長崎,58,B1,5.04,35.29,5.39,37.23,30,29.14,38,22.58
大村,1,一般,6,3600,玄馬　徹,53,岡山,51,B1,3.90,17.24,4.64,23.40,47,32.54,86,38.21
大村,2,一般,1,3910,松下知幸,49,香川,52,B1,4.20,21.84,4.20,10.00,38,38.41,36,28.35
大村,2,一般,2,4855,江頭賢太,27,長崎,54,B1,3.62,21.62,4.33,23.66,33,34.48,43,27.42
大村,2,一般,3,4423,坂口貴彦,33,岡山,54,B1,4.62,29.00,4.58,29.03,32,34.09,41,35.56
大村,2,一般,4,3499,市川哲也,54,広島,51,A1,6.17,44.96,7.19,61.11,78,29.79,85,38.84
大村,2,一般,5,3284,渡邊伸太,55,佐賀,53,A2,4.77,21.31,6.46,43.68,59,41.96,50,25.76
大村,2,一般,6,5233,村田佳奈,24,大阪,44,B2,1.87,0.00,1.38,0.00,36,37.24,81,32.12
大村,3,一般,1,4835,橋本　明,34,広島,54,B1,5.62,33.33,5.06,33.33,46,29.79,32,23.91
大村,3,一般,2,4348,宮崎　奨,37,香川,55,A2,5.74,39.52,5.84,40.91,26,37.33,46,39.84
大村,3,一般,3,3527,中嶋誠一,52,長崎,52,A2,5.70,39.06,5.65,35.12,43,41.89,47,30.16
大村,3,一般,4,4907,小池修平,27,大阪,54,A1,6.78,51.30,6.79,52.63,50,42.18,65,21.14
大村,3,一般,5,4555,富永大一,33,福岡,54,B1,4.38,28.74,4.45,21.21,41,42.65,83,40.98
大村,3,一般,6,5210,藤井公人,24,福岡,56,B2,2.07,2.94,2.13,6.67,48,37.25,79,28.46
大村,4,一般,1,5192,中尾優香,21,福岡,48,B1,2.59,6.33,2.16,6.00,20,36.62,12,39.29
大村,4,一般,2,4244,鈴木成美,36,静岡,44,B1,4.40,26.37,4.47,23.53,60,40.97,54,31.01
大村,4,一般,3,5203,神里琴音,18,福岡,45,B1,2.68,11.11,2.57,3.33,70,25.71,30,26.28
大村,4,一般,4,3289,高橋淳美,59,大阪,46,B1,5.06,33.00,4.86,32.14,29,40.79,13,30.16
大村,4,一般,5,3604,武藤綾子,52,福岡,48,B1,4.73,24.24,4.43,16.22,49,35.62,45,32.52
大村,4,一般,6,4590,渡邉優美,30,福岡,49,A1,7.50,59.40,7.18,57.58,57,36.55,48,32.03
大村,5,一般,1,4311,岡村　仁,39,大阪,55,A1,7.30,51.69,6.63,50.00,56,23.20,74,23.53
大村,5,一般,2,4654,篠田優也,36,兵庫,53,A2,5.46,35.87,5.71,42.86,52,36.49,51,34.68
大村,5,一般,3,3949,今出晋二,46,岡山,56,B1,4.02,14.94,4.47,16.67,28,45.77,18,30.71
大村,5,一般,4,4674,池田剛規,35,福岡,52,B1,5.41,30.85,5.13,37.50,65,32.88,11,29.92
大村,5,一般,5,3151,落合敬一,58,長崎,54,B1,5.60,37.93,4.46,20.74,22,42.54,68,37.50
大村,5,一般,6,4357,田中和也,38,大阪,53,A1,6.81,55.75,7.42,66.67,51,47.55,55,31.01
大村,6,一般,1,3957,大谷直弘,45,愛知,54,A2,5.52,34.59,6.67,33.33,68,26.06,34,38.28
大村,6,一般,2,3550,都築正治,51,愛知,54,B1,4.39,26.25,4.22,22.22,15,37.59,60,36.80
大村,6,一般,3,3722,西村秀樹,52,福岡,52,B1,3.90,13.10,4.07,17.24,61,28.37,52,34.15
大村,6,一般,4,4374,永田義紘,38,広島,50,B1,4.73,25.27,5.00,22.22,63,39.07,37,34.09
大村,6,一般,5,3919,村上　純,48,岡山,55,A2,6.00,49.59,5.50,41.67,18,38.46,70,26.83
大村,6,一般,6,4189,川上　剛,41,福岡,56,A1,5.68,33.33,6.67,50.63,45,26.39,16,32.61
大村,7,一般,1,4287,今井貴士,38,福岡,56,A1,6.46,44.60,6.65,55.56,31,37.25,75,35.83
大村,7,一般,2,3895,堀本裕也,46,愛知,49,B1,4.44,26.26,4.87,20.00,11,43.71,23,34.45
大村,7,一般,3,4588,田中京介,32,福岡,55,A2,5.57,34.88,5.38,38.33,16,32.12,59,18.80
大村,7,一般,4,3442,宮武英司,53,香川,55,A2,5.48,32.67,5.58,38.46,21,35.21,73,37.40
大村,7,一般,5,4406,幸野史明,37,福岡,51,B1,4.74,25.89,5.16,26.32,25,36.55,78,24.43
大村,7,一般,6,3809,吉田　光,47,佐賀,49,B1,5.82,43.40,4.20,20.00,55,37.66,84,30.16
大村,8,一般,1,4027,松江秀徳,45,佐賀,53,A2,5.31,33.04,5.49,31.71,76,36.36,67,36.07
大村,8,一般,2,4368,山口隆史,37,福岡,53,B1,4.49,20.87,5.30,33.93,58,38.67,82,23.08
大村,8,一般,3,3986,沖島広和,45,福岡,56,A2,5.47,33.33,5.86,42.86,44,37.84,22,31.06
大村,8,一般,4,5055,眞鳥章太,27,長崎,53,B1,4.64,25.51,4.79,27.91,23,34.53,40,31.62
大村,8,一般,5,3933,山地正樹,46,岡山,56,A2,6.20,47.73,6.56,49.15,69,34.01,20,35.00
