レース場,レース番号,レース種別,艇番,登録番号,選手名,年齢,支部,体重,級別,全国勝率,全国2連対率,当地勝率,当地2連対率,モーター番号,モーター2連対率,ボート番号,ボート2連対率
唐津,1,朝１戦一般,1,4852,川原祐明,26,香川,52,A2,6.00,39.72,6.33,33.33,56,0.00,72,46.79
唐津,1,朝１戦一般,2,3851,森田昭彦,49,福岡,57,B1,4.34,24.05,3.68,17.07,23,71.43,80,36.29
唐津,1,朝１戦一般,3,4336,松田竜馬,37,福岡,54,B1,4.26,22.64,5.98,47.17,63,0.00,76,30.25
唐津,1,朝１戦一般,4,4185,藤原真也,41,香川,52,B2,2.45,5.26,0.00,0.00,22,40.00,74,34.86
唐津,1,朝１戦一般,5,5076,石原　光,25,静岡,48,B1,3.17,13.54,0.00,0.00,15,16.67,33,24.11
唐津,1,朝１戦一般,6,4380,鈴木峻佑,37,静岡,52,B1,4.65,23.61,5.24,31.03,31,0.00,88,34.48
唐津,2,モー２ング一,1,3968,茶谷信次,45,滋賀,55,A2,5.00,30.00,6.65,51.35,37,33.33,40,36.97
唐津,2,モー２ング一,2,4761,山田晃大,31,滋賀,52,A2,5.10,30.00,4.79,21.05,59,0.00,39,33.71
唐津,2,モー２ング一,3,4438,森作雄大,35,東京,53,B1,5.08,32.22,4.96,33.33,68,0.00,79,25.00
唐津,2,モー２ング一,4,5001,坂本雅佳,26,岡山,59,B1,4.19,20.22,2.55,7.50,12,42.86,38,28.87
唐津,2,モー２ング一,5,5063,大塚雅治,23,東京,51,B1,3.34,8.75,0.00,0.00,13,57.14,57,35.83
唐津,2,モー２ング一,6,5107,松本真広,22,福岡,49,B2,2.37,3.33,1.50,0.00,62,0.00,48,43.81
唐津,3,３ライズ戦一,1,4128,川口貴久,41,東京,56,A2,4.87,29.03,5.45,27.27,65,0.00,56,35.04
唐津,3,３ライズ戦一,2,4778,堤　啓輔,35,佐賀,50,B1,4.71,27.72,5.09,33.33,32,33.33,82,18.18
唐津,3,３ライズ戦一,3,4114,深澤達徳,40,東京,54,A2,5.66,35.78,0.00,0.00,64,0.00,90,21.21
唐津,3,３ライズ戦一,4,3081,岡本慎治,58,山口,52,B1,5.23,31.88,5.75,40.00,14,50.00,87,31.36
唐津,3,３ライズ戦一,5,5073,上原健次,26,福岡,53,B1,3.25,8.45,3.44,6.25,28,57.14,86,35.40
唐津,3,３ライズ戦一,6,4780,マイケ田,35,東京,53,B1,4.42,28.81,3.35,17.65,40,0.00,46,33.63
唐津,4,おは４戦一般,1,3882,新田智彰,48,大阪,55,A2,5.26,34.95,5.11,31.58,16,50.00,42,32.77
唐津,4,おは４戦一般,2,4672,守屋大地,35,岡山,52,B1,3.91,14.29,4.43,19.15,29,28.57,49,29.31
唐津,4,おは４戦一般,3,4723,寺島吉彦,35,東京,49,B1,4.43,26.47,4.89,22.22,24,28.57,70,39.29
唐津,4,おは４戦一般,4,3284,渡邊伸太,53,佐賀,53,A2,6.08,45.83,6.63,48.85,61,0.00,77,23.58
唐津,4,おは４戦一般,5,4759,今泉友吾,31,東京,52,A1,6.38,42.31,6.86,42.86,70,0.00,89,31.58
唐津,4,おは４戦一般,6,3982,福田　理,43,岡山,55,B1,4.62,23.47,3.57,16.67,26,14.29,60,36.94
唐津,5,一般,1,4327,加藤　翔,38,静岡,52,B1,4.44,26.32,5.24,17.65,53,0.00,47,36.67
唐津,5,一般,2,4393,田中孝明,35,福岡,56,B1,4.34,20.88,5.22,29.41,35,42.86,34,32.50
唐津,5,一般,3,4380,鈴木峻佑,37,静岡,52,B1,4.65,23.61,5.24,31.03,31,0.00,88,34.48
唐津,5,一般,4,3123,中西宏文,59,滋賀,50,B1,4.28,15.29,5.50,30.00,67,0.00,81,35.83
唐津,5,一般,5,3995,重野哲之,42,静岡,52,A1,6.72,52.94,6.20,40.00,57,0.00,71,34.51
唐津,5,一般,6,4020,川上清人,41,香川,62,A2,3.57,13.68,5.44,43.75,19,12.50,50,24.51
唐津,6,一般,1,4817,渡邉　翼,30,山口,50,B1,5.68,40.32,6.11,50.00,17,28.57,36,36.21
唐津,6,一般,2,3715,倉尾大介,46,福岡,54,B1,4.88,20.69,4.29,14.29,25,28.57,51,47.17
唐津,6,一般,3,4167,片岡秀樹,39,徳島,57,B1,4.42,22.73,4.76,23.53,55,0.00,73,34.58
唐津,6,一般,4,4788,小池哲也,32,大阪,54,A2,5.58,36.89,5.41,37.84,69,0.00,68,35.14
唐津,6,一般,5,3851,森田昭彦,49,福岡,57,B1,4.34,24.05,3.68,17.07,23,71.43,80,36.29
唐津,6,一般,6,4653,小野達哉,35,大阪,51,A1,5.98,46.24,6.18,50.00,20,0.00,84,19.39
唐津,7,一般,1,4325,新出浩司,38,大阪,53,A2,5.07,27.84,5.82,44.00,66,0.00,67,38.14
唐津,7,一般,2,4780,マイケ田,35,東京,53,B1,4.42,28.81,3.35,17.65,40,0.00,46,33.63
唐津,7,一般,3,4128,川口貴久,41,東京,56,A2,4.87,29.03,5.45,27.27,65,0.00,56,35.04
唐津,7,一般,4,5063,大塚雅治,23,東京,51,B1,3.34,8.75,0.00,0.00,13,57.14,57,35.83
唐津,7,一般,5,4761,山田晃大,31,滋賀,52,A2,5.10,30.00,4.79,21.05,59,0.00,39,33.71
唐津,7,一般,6,5177,松井貫太,25,福岡,51,B2,1.30,0.00,1.78,0.00,30,16.67,64,29.66
唐津,8,一般,1,4185,藤原真也,41,香川,52,B2,2.45,5.26,0.00,0.00,22,40.00,74,34.86
唐津,8,一般,2,4438,森作雄大,35,東京,53,B1,5.08,32.22,4.96,33.33,68,0.00,79,25.00
唐津,8,一般,3,3974,深山祐二,44,佐賀,53,B1,4.10,22.89,4.24,19.81,33,71.43,85,31.86
唐津,8,一般,4,3855,大熊辰弥,48,香川,52,B1,4.06,13.64,4.70,25.93,34,28.57,43,43.36
唐津,8,一般,5,5107,松本真広,22,福岡,49,B2,2.37,3.33,1.50,0.00,62,0.00,48,43.81
唐津,8,一般,6,4336,松田竜馬,37,福岡,54,B1,4.26,22.64,5.98,47.17,63,0.00,76,30.25
唐津,9,からっキー特,1,5073,上原健次,26,福岡,53,B1,3.25,8.45,3.44,6.25,28,57.14,86,35.40
唐津,9,からっキー特,2,4759,今泉友吾,31,東京,52,A1,6.38,42.31,6.86,42.86,70,0.00,89,31.58
唐津,9,からっキー特,3,5076,石原　光,25,静岡,48,B1,3.17,13.54,0.00,0.00,15,16.67,33,24.11
唐津,9,からっキー特,4,4778,堤　啓輔,35,佐賀,50,B1,4.71,27.72,5.09,33.33,32,33.33,82,18.18
唐津,9,からっキー特,5,4393,田中孝明,35,福岡,56,B1,4.34,20.88,5.22,29.41,35,42.86,34,32.50
唐津,9,からっキー特,6,4723,寺島吉彦,35,東京,49,B1,4.43,26.47,4.89,22.22,24,28.57,70,39.29
唐津,10,選抜戦,1,3081,岡本慎治,58,山口,52,B1,5.23,31.88,5.75,40.00,14,50.00,87,31.36
唐津,10,選抜戦,2,4817,渡邉　翼,30,山口,50,B1,5.68,40.32,6.11,50.00,17,28.57,36,36.21
唐津,10,選抜戦,3,3968,茶谷信次,45,滋賀,55,A2,5.00,30.00,6.65,51.35,37,33.33,40,36.97
