レース場,レース番号,レース種別,艇番,登録番号,選手名,年齢,支部,体重,級別,全国勝率,全国2連対率,当地勝率,当地2連対率,モーター番号,モーター2連対率,ボート番号,ボート2連対率
唐津,1,朝１戦一般,1,3297,藤丸光一,55,福岡,51,A2,5.73,39.29,5.74,38.95,13,28.71,78,0.00
唐津,1,朝１戦一般,2,4499,滝川真由,34,長崎,45,B1,5.73,38.74,6.05,42.11,39,36.56,56,0.00
唐津,1,朝１戦一般,3,3742,宮地秀祈,47,福岡,52,B1,5.35,32.74,5.63,37.50,11,45.28,86,0.00
唐津,1,朝１戦一般,4,4406,幸野史明,36,福岡,50,B1,4.46,20.37,4.77,28.57,42,39.42,65,0.00
唐津,1,朝１戦一般,5,4879,山崎鉄平,27,佐賀,53,B1,4.86,24.36,5.11,33.01,28,36.63,83,0.00
唐津,1,朝１戦一般,6,5200,筒井美琴,20,福岡,53,B2,1.37,1.67,0.00,0.00,33,40.19,68,0.00
唐津,2,モー２ング一,1,3975,小野寺智,45,香川,52,A2,5.41,34.51,5.23,31.91,63,18.87,71,0.00
唐津,2,モー２ング一,2,3737,上平真二,48,広島,53,A1,7.36,54.89,8.02,74.07,57,22.86,54,0.00
唐津,2,モー２ング一,3,4871,菊池宏志,29,山口,54,B1,3.68,13.04,3.00,0.00,31,32.73,57,0.00
唐津,2,モー２ング一,4,3224,栗山繁洋,56,佐賀,52,B1,5.00,30.83,4.54,26.13,51,26.67,60,0.00
唐津,2,モー２ング一,5,3709,田中浩之,47,山口,52,B1,3.66,17.89,2.81,6.25,21,30.19,66,0.00
唐津,2,モー２ング一,6,3820,樫葉次郎,50,徳島,58,B1,4.23,16.67,3.93,10.71,19,20.79,87,0.00
唐津,3,３ライズ戦一,1,4424,松尾昂明,36,福岡,52,A1,6.64,52.86,6.22,47.46,65,19.57,51,0.00
唐津,3,３ライズ戦一,2,3773,津留浩一,47,長崎,56,B1,4.97,28.44,4.00,19.70,66,25.77,84,0.00
唐津,3,３ライズ戦一,3,4564,山本景士,34,広島,53,A2,5.63,33.10,5.51,34.92,47,36.36,91,0.00
唐津,3,３ライズ戦一,4,5018,竹下大樹,23,福岡,53,B1,5.16,27.71,4.76,20.69,26,26.92,63,0.00
唐津,3,３ライズ戦一,5,5072,吉田杏美,27,埼玉,49,B1,2.69,3.85,2.29,4.76,14,35.45,79,0.00
唐津,3,３ライズ戦一,6,3953,志道吉和,45,福岡,52,B1,4.59,23.53,4.58,25.58,60,32.35,76,0.00
唐津,4,おは４戦一般,1,3284,渡邊伸太,54,佐賀,54,A2,6.02,39.53,6.63,48.28,58,36.97,52,0.00
唐津,4,おは４戦一般,2,4349,犬童千秋,36,福岡,49,B1,5.59,38.61,5.55,38.82,25,36.08,95,0.00
唐津,4,おは４戦一般,3,3151,落合敬一,57,長崎,57,B1,4.03,14.94,4.29,17.14,50,24.74,59,0.00
唐津,4,おは４戦一般,4,3568,木村光宏,51,香川,53,A2,5.62,38.52,6.03,51.61,55,29.63,61,0.00
唐津,4,おは４戦一般,5,4587,木田峰由,31,福井,52,A2,5.48,35.25,5.92,46.15,45,17.78,72,0.00
唐津,4,おは４戦一般,6,3025,山口哲治,60,長崎,51,B1,3.76,12.68,3.90,11.76,23,41.49,85,0.00
唐津,5,一般,1,4241,大串重幸,37,長崎,54,B1,5.22,32.50,4.88,25.00,44,25.49,53,0.00
唐津,5,一般,2,4116,川田正人,41,徳島,52,A2,5.91,39.62,5.25,34.38,20,27.27,62,0.00
唐津,5,一般,3,4732,堀本和也,32,徳島,54,A1,6.02,37.17,5.21,35.71,61,20.37,74,0.00
唐津,5,一般,4,4260,中越博紀,38,香川,53,A2,5.10,33.93,6.36,48.94,18,46.67,94,0.00
唐津,5,一般,5,3881,浦上拓也,49,大阪,55,A2,5.28,30.92,6.82,45.45,56,43.81,58,0.00
唐津,5,一般,6,3024,西島義則,60,広島,56,A1,6.31,50.81,6.87,55.26,46,43.27,88,0.00
唐津,6,一般,1,4408,仁科さや,36,長崎,48,B2,5.27,30.91,3.88,23.53,12,27.00,92,0.00
唐津,6,一般,2,4195,前川守嗣,40,福岡,57,A2,5.12,29.52,6.10,44.00,24,25.86,73,0.00
唐津,6,一般,3,3350,藤本佳史,53,山口,53,A2,5.80,35.97,5.28,30.43,59,32.38,89,0.00
唐津,6,一般,4,4601,森野正弘,37,山口,55,A1,6.24,38.46,6.94,56.25,75,16.90,31,0.00
唐津,6,一般,5,4469,土山卓也,35,福井,53,B1,5.24,32.98,5.76,40.00,49,43.27,50,0.00
唐津,6,一般,6,4304,藤崎小百,38,福岡,48,A2,6.62,51.06,5.36,27.27,70,33.03,82,0.00
唐津,7,一般,1,5072,吉田杏美,27,埼玉,49,B1,2.69,3.85,2.29,4.76,14,35.45,79,0.00
唐津,7,一般,2,3388,今垣光太,52,福井,52,A1,7.66,54.00,7.86,71.43,43,33.33,55,0.00
