レース場,レース番号,レース種別,艇番,登録番号,選手名,年齢,支部,体重,級別,全国勝率,全国2連対率,当地勝率,当地2連対率,モーター番号,モーター2連対率,ボート番号,ボート2連対率
大村,1,予選,1,3025,山口哲治,59,長崎,51,B1,3.79,9.68,4.94,25.40,18,39.02,27,19.23
大村,1,予選,2,4126,吉本玲緒,42,広島,60,B1,3.70,16.05,3.07,13.33,68,34.78,71,33.33
大村,1,予選,3,4695,尾崎雄二,35,長崎,53,B1,4.43,25.00,4.74,28.00,51,30.77,11,37.04
大村,1,予選,4,4198,沼田克彦,39,徳島,53,B2,2.97,2.70,3.97,18.18,14,32.26,76,48.15
大村,1,予選,5,4747,山戸信二,36,長崎,51,B1,4.20,20.37,4.04,19.30,65,29.63,19,42.86
大村,1,予選,6,5101,表　健太,24,福岡,54,B2,1.50,0.00,1.26,0.00,54,12.50,16,23.81
大村,2,予選,1,3361,岡部　浩,52,徳島,52,B1,4.30,23.08,0.00,0.00,56,40.00,64,44.00
大村,2,予選,2,4697,國弘翔平,35,福岡,50,B1,4.23,22.50,3.79,17.24,52,11.54,23,40.74
大村,2,予選,3,4239,竹田辰也,37,山口,54,A1,6.85,51.67,6.32,43.24,58,30.43,57,29.73
大村,2,予選,4,4257,古川　健,37,広島,52,A2,6.04,45.45,5.38,37.84,49,34.62,63,18.18
大村,2,予選,5,4251,川崎誠志,38,山口,53,B1,4.80,29.03,4.08,20.00,44,33.33,12,16.67
大村,2,予選,6,4508,野間大樹,32,大阪,50,B1,5.20,31.88,5.60,30.00,12,40.00,62,27.27
大村,3,予選,1,3815,森岡満郎,45,岡山,55,B1,4.18,21.88,6.00,34.78,57,56.00,53,31.43
大村,3,予選,2,4739,中村晃朋,29,香川,52,A1,6.55,48.91,6.43,50.00,17,28.95,59,56.41
大村,3,予選,3,4000,松本博昭,44,広島,56,A2,5.77,35.94,6.40,50.00,59,46.15,58,32.26
大村,3,予選,4,4143,浦田晃嗣,40,佐賀,57,B1,5.15,27.16,4.30,17.54,43,30.43,28,12.00
大村,3,予選,5,4771,下寺秀和,28,広島,54,B1,6.23,45.59,6.24,42.86,61,35.71,54,51.35
大村,3,予選,6,3427,大賀広幸,54,山口,52,A2,5.73,37.50,5.91,40.91,75,32.00,21,50.00
大村,4,予選,1,4041,小林基樹,42,山口,55,B1,4.35,25.00,5.23,40.00,50,44.44,25,29.03
大村,4,予選,2,3567,吉岡　誠,51,山口,56,B1,3.30,7.55,4.35,19.35,70,33.33,69,36.36
大村,4,予選,3,4174,赤坂俊輔,38,長崎,52,A1,7.38,60.29,7.40,55.92,76,21.74,24,51.35
大村,4,予選,4,3708,岡部貴司,47,岡山,56,B1,5.41,35.09,5.35,29.73,74,24.00,17,37.14
大村,4,予選,5,4969,町田洸希,30,長崎,54,B1,4.53,20.00,3.95,20.19,32,43.24,70,27.78
大村,4,予選,6,5131,江藤敦宏,22,福岡,53,B2,1.97,2.60,1.47,0.00,67,33.33,26,16.67
大村,5,予選,1,4557,松尾光広,31,岡山,56,B1,3.64,18.07,4.43,26.09,72,16.67,73,25.00
大村,5,予選,2,4821,妻鳥晋也,29,香川,55,A2,5.66,38.24,3.60,20.00,21,45.00,22,30.43
