レース場,レース番号,レース種別,艇番,登録番号,選手名,年齢,支部,体重,級別,全国勝率,全国2連対率,当地勝率,当地2連対率,モーター番号,モーター2連対率,ボート番号,ボート2連対率
大村,1,一般,1,3307,上瀧和則,54,佐賀,53,B1,5.76,46.34,6.31,45.24,49,36.43,82,25.96
大村,1,一般,2,4592,小林孝弘,42,山口,51,B1,4.56,23.26,4.63,31.58,43,41.32,28,34.26
大村,1,一般,3,4896,花本　剛,31,山口,58,B1,4.56,21.43,4.07,21.43,23,34.19,73,37.27
大村,1,一般,4,5200,筒井美琴,20,福岡,50,B2,1.68,0.00,1.50,0.00,35,35.83,11,30.56
大村,1,一般,5,4811,向井田佑,33,広島,50,B1,5.17,32.74,5.38,35.00,14,19.81,83,41.28
大村,1,一般,6,5048,眞鳥康太,28,長崎,56,B1,4.17,14.29,4.29,18.49,81,34.48,30,29.20
大村,2,一般,1,4633,森　智也,33,兵庫,50,B1,5.32,36.36,4.89,28.57,45,27.50,80,28.30
大村,2,一般,2,4927,関野　文,29,大阪,44,B2,5.22,34.57,4.00,20.00,50,45.08,50,27.45
大村,2,一般,3,4567,上村慎太,35,山口,51,B1,4.49,22.86,3.32,10.71,65,35.61,43,28.18
大村,2,一般,4,5126,山下大輝,26,兵庫,51,B1,4.26,20.43,0.00,0.00,33,35.38,53,42.86
大村,2,一般,5,3444,香月大介,53,福岡,53,B1,4.15,20.51,4.25,25.49,18,38.33,27,44.34
大村,2,一般,6,5067,山田真聖,24,山口,55,B1,4.66,29.70,2.18,9.09,62,35.25,75,36.36
大村,3,一般,1,4179,広次　修,39,山口,52,B1,5.41,33.33,5.19,35.48,56,21.57,17,38.18
大村,3,一般,2,3571,寺本武司,51,長崎,53,B1,4.14,16.25,4.13,20.66,47,34.82,48,32.04
大村,3,一般,3,4105,松下直也,43,兵庫,53,B1,5.62,39.62,5.11,24.53,68,25.66,21,38.24
大村,3,一般,4,4071,古賀千晶,42,兵庫,46,B1,5.05,24.73,3.38,12.50,37,28.57,74,23.58
大村,3,一般,5,3797,岩井　繁,49,広島,60,B1,3.81,12.09,3.58,15.38,29,38.66,84,28.95
大村,3,一般,6,4323,山田佑樹,36,岡山,56,B1,4.93,26.67,4.89,34.21,44,37.07,32,24.30
大村,4,一般,1,4553,坪口竜也,33,長崎,52,A2,5.75,39.76,6.11,38.73,69,34.62,41,36.36
大村,4,一般,2,3775,泉　啓文,48,岡山,60,B1,4.52,25.88,4.96,33.33,36,36.59,70,27.93
大村,4,一般,3,3871,池田紫乃,47,長崎,44,B1,4.87,32.94,5.86,37.66,31,38.89,76,28.95
大村,4,一般,4,3362,間嶋仁志,53,三重,54,A2,6.58,52.48,6.71,58.82,53,29.09,79,26.47
大村,4,一般,5,4630,岩永雅人,36,愛知,51,A2,5.25,33.33,4.94,31.25,15,38.14,85,37.04
大村,4,一般,6,5192,中尾優香,21,福岡,48,B1,2.89,9.38,2.07,4.55,40,21.62,16,30.19
大村,5,一般,1,4788,小池哲也,33,大阪,53,A2,5.34,31.11,5.96,43.48,61,30.25,23,33.64
大村,5,一般,2,4516,野口勝弘,36,愛知,51,A2,5.78,39.82,0.00,0.00,17,28.80,26,40.74
大村,5,一般,3,4389,伊藤喜智,37,大阪,52,B1,4.20,16.92,3.71,11.76,48,38.58,72,31.19
大村,5,一般,4,4896,花本　剛,31,山口,58,B1,4.56,21.43,4.07,21.43,23,34.19,73,37.27
大村,5,一般,5,4592,小林孝弘,42,山口,51,B1,4.56,23.26,4.63,31.58,43,41.32,28,34.26
大村,5,一般,6,4949,横田貴満,30,佐賀,51,A2,5.31,30.59,5.28,29.82,38,38.40,18,29.36
大村,6,一般,1,4808,松尾　拓,34,三重,48,A2,6.23,43.30,6.78,55.56,46,28.57,39,37.74
大村,6,一般,2,4811,向井田佑,33,広島,50,B1,5.17,32.74,5.38,35.00,14,19.81,83,41.28
大村,6,一般,3,3444,香月大介,53,福岡,53,B1,4.15,20.51,4.25,25.49,18,38.33,27,44.34
大村,6,一般,4,5051,松本純平,27,埼玉,55,A2,6.33,47.42,0.00,0.00,59,43.70,45,34.55
大村,6,一般,5,4239,竹田辰也,38,山口,53,A2,6.55,49.55,6.49,42.37,73,30.36,36,27.83
大村,6,一般,6,3352,小川晃司,54,福岡,50,B1,4.59,18.35,4.72,24.00,66,34.96,60,38.39
