レース場,レース番号,レース種別,艇番,登録番号,選手名,年齢,支部,体重,級別,全国勝率,全国2連対率,当地勝率,当地2連対率,モーター番号,モーター2連対率,ボート番号,ボート2連対率
大村,1,一般,1,4164,岩永節也,43,長崎,53,B1,3.86,14.47,4.00,17.04,70,33.33,53,36.77
大村,1,一般,2,3681,山谷　央,51,東京,51,B1,4.70,18.92,4.13,12.50,59,24.00,15,25.17
大村,1,一般,3,5093,浦野　海,22,福岡,52,B1,5.55,32.58,1.25,0.00,53,38.27,36,38.89
大村,1,一般,4,4562,阪本勇介,37,岡山,55,B1,4.38,20.00,4.19,16.28,31,35.37,34,23.53
大村,1,一般,5,4623,中北将史,40,三重,54,B1,4.34,18.87,5.67,33.33,61,30.91,54,29.01
大村,1,一般,6,5389,恵良琴美,17,福岡,43,B2,1.02,0.00,0.00,0.00,20,38.32,30,34.57
大村,2,一般,1,3981,今坂晃広,47,静岡,54,B1,3.11,12.50,4.80,20.00,39,27.95,70,37.11
大村,2,一般,2,4919,吉田翔悟,34,長崎,53,B1,4.42,22.78,5.01,31.40,35,20.27,63,33.13
大村,2,一般,3,3814,金子貴志,49,福井,49,B1,4.52,25.88,5.17,27.78,16,36.25,56,30.95
大村,2,一般,4,5297,南　彩寧,22,兵庫,53,B2,1.55,0.00,0.00,0.00,58,27.63,69,29.01
大村,2,一般,5,4220,深川和仁,43,香川,56,B1,5.22,32.63,5.19,43.75,41,32.73,73,29.27
大村,2,一般,6,3188,日高逸子,63,福岡,44,A2,6.13,46.39,6.00,25.00,52,40.85,33,28.67
大村,3,一般,1,4988,牟田奨太,27,静岡,55,B1,3.70,20.99,5.20,33.33,54,34.36,29,36.36
大村,3,一般,2,4425,大井清貴,39,山口,55,B1,4.46,25.93,5.23,40.91,43,28.40,23,32.73
大村,3,一般,3,5153,佐藤ほの,28,東京,46,B1,3.92,14.67,3.18,0.00,17,31.74,25,31.41
大村,3,一般,4,4196,田中太一,43,佐賀,52,B1,5.03,33.78,4.33,21.57,18,43.67,12,26.49
大村,3,一般,5,5184,飯塚　響,25,群馬,45,B2,3.49,13.51,0.00,0.00,40,24.00,72,30.67
大村,3,一般,6,3802,森岡まき,51,岡山,47,B1,4.61,30.00,5.25,25.00,46,27.85,46,39.75
大村,4,一般,1,4252,松下哲也,41,福岡,51,B1,4.40,25.93,3.94,17.65,38,34.34,14,39.88
大村,4,一般,2,4298,宮下元胤,42,愛知,53,A2,5.80,38.28,4.40,20.00,11,39.39,52,33.13
大村,4,一般,3,3392,小森信雄,59,三重,54,B1,4.14,12.86,4.86,14.29,24,25.81,45,36.36
大村,4,一般,4,4930,佐藤　悠,29,福井,54,A2,6.02,40.74,6.33,55.56,34,30.67,55,21.12
大村,4,一般,5,3562,山下和彦,55,広島,52,A1,5.73,41.03,5.20,31.88,26,25.00,74,32.10
大村,4,一般,6,4004,山本浩輔,47,長崎,53,B1,4.31,23.58,4.77,25.85,50,26.75,41,33.54
大村,5,一般,1,4709,岡村将也,35,福岡,55,A2,5.94,37.14,6.52,51.52,21,37.65,76,34.36
大村,5,一般,2,4501,樋口由加,37,岡山,45,B1,5.86,38.83,5.33,38.46,51,30.91,58,34.39
