日付,レース場,レース番号,舟券種,組合せ,払戻金
2020-11-22,大村,1,単勝,5,670
2020-11-22,大村,1,複勝,5,770
2020-11-22,大村,1,複勝,4,1230
2020-11-22,大村,1,２連単,5-4,7000
2020-11-22,大村,1,２連複,4-5,2520
2020-11-22,大村,1,拡連複,4-5,560
2020-11-22,大村,1,３連単,5-4-1,32660
2020-11-22,大村,1,３連複,1-4-5,2540
2020-11-22,大村,2,単勝,4,240
2020-11-22,大村,2,複勝,4,120
2020-11-22,大村,2,複勝,2,150
2020-11-22,大村,2,２連単,4-2,1230
2020-11-22,大村,2,２連複,2-4,350
2020-11-22,大村,2,拡連複,2-4,110
2020-11-22,大村,2,３連単,4-2-1,2480
2020-11-22,大村,2,３連複,1-2-4,250
2020-11-22,大村,3,単勝,2,460
2020-11-22,大村,3,複勝,2,300
2020-11-22,大村,3,複勝,1,140
2020-11-22,大村,3,２連単,2-1,1680
2020-11-22,大村,3,２連複,1-2,460
2020-11-22,大村,3,拡連複,1-2,150
2020-11-22,大村,3,３連単,2-1-4,6730
2020-11-22,大村,3,３連複,1-2-4,890
2020-11-22,大村,4,単勝,1,140
2020-11-22,大村,4,複勝,1,370
2020-11-22,大村,4,複勝,6,790
2020-11-22,大村,4,２連単,1-6,720
2020-11-22,大村,4,２連複,1-6,500
2020-11-22,大村,4,拡連複,1-6,170
2020-11-22,大村,4,３連単,1-6-5,6180
2020-11-22,大村,4,３連複,1-5-6,2140
2020-11-22,大村,5,単勝,1,130
2020-11-22,大村,5,複勝,1,410
2020-11-22,大村,5,複勝,6,1280
2020-11-22,大村,5,２連単,1-6,840
2020-11-22,大村,5,２連複,1-6,710
2020-11-22,大村,5,拡連複,1-6,190
2020-11-22,大村,5,３連単,1-6-2,2880
2020-11-22,大村,5,３連複,1-2-6,970
2020-11-22,大村,6,単勝,1,100
2020-11-22,大村,6,複勝,1,100
2020-11-22,大村,6,複勝,3,100
2020-11-22,大村,6,２連単,1-3,270
2020-11-22,大村,6,２連複,1-3,240
2020-11-22,大村,6,拡連複,1-3,160
2020-11-22,大村,6,３連単,1-3-2,1090
2020-11-22,大村,6,３連複,1-2-3,380
2020-11-22,大村,7,単勝,4,230
2020-11-22,大村,7,複勝,4,130
2020-11-22,大村,7,複勝,1,120
2020-11-22,大村,7,２連単,4-1,560
2020-11-22,大村,7,２連複,1-4,150
2020-11-22,大村,7,拡連複,1-4,110
2020-11-22,大村,7,３連単,4-1-2,1420
2020-11-22,大村,7,３連複,1-2-4,170
2020-11-22,大村,8,単勝,1,150
2020-11-22,大村,8,複勝,1,100
2020-11-22,大村,8,複勝,3,110
2020-11-22,大村,8,２連単,1-3,280
2020-11-22,大村,8,２連複,1-3,200
2020-11-22,大村,8,拡連複,1-3,140
2020-11-22,大村,8,３連単,1-3-2,820
2020-11-22,大村,8,３連複,1-2-3,340
2020-11-22,大村,9,単勝,1,160
2020-11-22,大村,9,複勝,1,100
2020-11-22,大村,9,複勝,4,210
2020-11-22,大村,9,２連単,1-4,450
2020-11-22,大村,9,２連複,1-4,290
2020-11-22,大村,9,拡連複,1-4,140
2020-11-22,大村,9,３連単,1-4-3,860
2020-11-22,大村,9,３連複,1-3-4,320
2020-11-22,大村,10,単勝,1,100
2020-11-22,大村,10,複勝,1,110
2020-11-22,大村,10,複勝,2,270
2020-11-22,大村,10,２連単,1-2,240
2020-11-22,大村,10,２連複,1-2,160
2020-11-22,大村,10,拡連複,1-2,140
2020-11-22,大村,10,３連単,1-2-4,420
2020-11-22,大村,10,３連複,1-2-4,190
2020-11-22,大村,11,単勝,5,2670
2020-11-22,大村,11,複勝,5,430
2020-11-22,大村,11,複勝,1,110
2020-11-22,大村,11,２連単,5-1,5660
2020-11-22,大村,11,２連複,1-5,1280
2020-11-22,大村,11,拡連複,1-5,210
2020-11-22,大村,11,３連単,5-1-3,14770
2020-11-22,大村,11,３連複,1-3-5,670
2020-11-22,大村,12,単勝,1,100
2020-11-22,大村,12,複勝,1,100
2020-11-22,大村,12,複勝,6,480
2020-11-22,大村,12,２連単,1-6,5020
2020-11-22,大村,12,２連複,1-6,3480
2020-11-22,大村,12,拡連複,1-6,590
2020-11-22,大村,12,３連単,1-6-4,13320
2020-11-22,大村,12,３連複,1-4-6,2440
2020-11-22,福岡,1,単勝,1,110
2020-11-22,福岡,1,複勝,1,140
