日付,レース場,レース番号,舟券種,組合せ,払戻金
2020-06-11,福岡,1,単勝,2,570
2020-06-11,福岡,1,複勝,2,350
2020-06-11,福岡,1,複勝,5,490
2020-06-11,福岡,1,２連単,2-5,13840
2020-06-11,福岡,1,２連複,2-5,5990
2020-06-11,福岡,1,拡連複,2-5,420
2020-06-11,福岡,1,３連単,2-5-1,33350
2020-06-11,福岡,1,３連複,1-2-5,1020
2020-06-11,福岡,2,単勝,1,100
2020-06-11,福岡,2,複勝,1,120
2020-06-11,福岡,2,複勝,4,100
2020-06-11,福岡,2,２連単,1-4,490
2020-06-11,福岡,2,２連複,1-4,380
2020-06-11,福岡,2,拡連複,1-4,220
2020-06-11,福岡,2,３連単,1-4-5,4570
2020-06-11,福岡,2,３連複,1-4-5,1450
2020-06-11,福岡,3,単勝,1,120
2020-06-11,福岡,3,複勝,1,140
2020-06-11,福岡,3,複勝,3,140
2020-06-11,福岡,3,２連単,1-3,400
2020-06-11,福岡,3,２連複,1-3,480
2020-06-11,福岡,3,拡連複,1-3,130
2020-06-11,福岡,3,３連単,1-3-2,1860
2020-06-11,福岡,3,３連複,1-2-3,750
2020-06-11,福岡,4,単勝,4,200
2020-06-11,福岡,4,複勝,4,120
2020-06-11,福岡,4,複勝,3,300
2020-06-11,福岡,4,２連単,4-3,1260
2020-06-11,福岡,4,２連複,3-4,340
2020-06-11,福岡,4,拡連複,3-4,190
2020-06-11,福岡,4,３連単,4-3-2,1630
2020-06-11,福岡,4,３連複,2-3-4,400
2020-06-11,福岡,5,単勝,2,680
2020-06-11,福岡,5,複勝,2,100
2020-06-11,福岡,5,複勝,6,150
2020-06-11,福岡,5,２連単,2-6,1860
2020-06-11,福岡,5,２連複,2-6,1640
2020-06-11,福岡,5,拡連複,2-6,280
2020-06-11,福岡,5,３連単,2-6-3,4170
2020-06-11,福岡,5,３連複,2-3-6,360
2020-06-11,福岡,6,単勝,4,250
2020-06-11,福岡,6,複勝,4,210
