日付,レース場,レース番号,舟券種,組合せ,払戻金
2024-08-29,宮島,1,単勝,1,120
2024-08-29,宮島,1,複勝,1,120
2024-08-29,宮島,1,複勝,3,170
2024-08-29,宮島,1,２連単,1-3,310
2024-08-29,宮島,1,２連複,1-3,210
2024-08-29,宮島,1,拡連複,1-3,160
2024-08-29,宮島,1,３連単,1-3-4,950
2024-08-29,宮島,1,３連複,1-3-4,640
2024-08-29,宮島,2,単勝,2,380
2024-08-29,宮島,2,複勝,2,170
2024-08-29,宮島,2,複勝,5,160
2024-08-29,宮島,2,２連単,2-5,2330
2024-08-29,宮島,2,２連複,2-5,710
2024-08-29,宮島,2,拡連複,2-5,230
2024-08-29,宮島,2,３連単,2-5-4,11390
2024-08-29,宮島,2,３連複,2-4-5,2230
2024-08-29,宮島,3,単勝,4,370
2024-08-29,宮島,3,複勝,4,190
2024-08-29,宮島,3,複勝,1,140
2024-08-29,宮島,3,２連単,4-1,950
2024-08-29,宮島,3,２連複,1-4,380
2024-08-29,宮島,3,拡連複,1-4,140
2024-08-29,宮島,3,３連単,4-1-2,5800
2024-08-29,宮島,3,３連複,1-2-4,750
2024-08-29,宮島,4,単勝,3,950
2024-08-29,宮島,4,複勝,3,230
2024-08-29,宮島,4,複勝,2,140
2024-08-29,宮島,4,２連単,3-2,5150
2024-08-29,宮島,4,２連複,2-3,1170
2024-08-29,宮島,4,拡連複,2-3,370
2024-08-29,宮島,4,３連単,3-2-6,16860
2024-08-29,宮島,4,３連複,2-3-6,2110
2024-08-29,宮島,5,単勝,1,140
2024-08-29,宮島,5,複勝,1,100
2024-08-29,宮島,5,複勝,3,190
2024-08-29,宮島,5,２連単,1-3,300
2024-08-29,宮島,5,２連複,1-3,300
2024-08-29,宮島,5,拡連複,1-3,120
2024-08-29,宮島,5,３連単,1-3-2,990
2024-08-29,宮島,5,３連複,1-2-3,290
2024-08-29,宮島,6,単勝,2,320
2024-08-29,宮島,6,複勝,2,130
2024-08-29,宮島,6,複勝,1,140
2024-08-29,宮島,6,２連単,2-1,530
2024-08-29,宮島,6,２連複,1-2,210
2024-08-29,宮島,6,拡連複,1-2,140
2024-08-29,宮島,6,３連単,2-1-4,1140
2024-08-29,宮島,6,３連複,1-2-4,260
2024-08-29,宮島,7,単勝,2,140
2024-08-29,宮島,7,複勝,2,140
2024-08-29,宮島,7,複勝,4,370
2024-08-29,宮島,7,２連単,2-4,1200
2024-08-29,宮島,7,２連複,2-4,1120
2024-08-29,宮島,7,拡連複,2-4,270
2024-08-29,宮島,7,３連単,2-4-3,5270
2024-08-29,宮島,7,３連複,2-3-4,1350
2024-08-29,宮島,8,単勝,3,4430
2024-08-29,宮島,8,複勝,3,1140
2024-08-29,宮島,8,複勝,4,380
2024-08-29,宮島,8,２連単,3-4,23020
2024-08-29,宮島,8,２連複,3-4,6060
2024-08-29,宮島,8,拡連複,3-4,680
2024-08-29,宮島,8,３連単,3-4-1,72950
2024-08-29,宮島,8,３連複,1-3-4,1460
2024-08-29,宮島,9,単勝,3,1100
2024-08-29,宮島,9,複勝,3,130
2024-08-29,宮島,9,複勝,1,100
2024-08-29,宮島,9,２連単,3-1,2550
2024-08-29,宮島,9,２連複,1-3,650
2024-08-29,宮島,9,拡連複,1-3,170
2024-08-29,宮島,9,３連単,3-1-5,9170
2024-08-29,宮島,9,３連複,1-3-5,440
2024-08-29,宮島,10,単勝,2,320
2024-08-29,宮島,10,複勝,2,140
