日付,レース場,レース番号,舟券種,組合せ,払戻金
2021-06-15,大村,1,単勝,6,1950
2021-06-15,大村,1,複勝,6,1130
2021-06-15,大村,1,複勝,4,510
2021-06-15,大村,1,２連単,6-4,9330
2021-06-15,大村,1,２連複,4-6,2190
2021-06-15,大村,1,拡連複,4-6,770
2021-06-15,大村,1,３連単,6-4-3,83010
2021-06-15,大村,1,３連複,3-4-6,6000
2021-06-15,大村,2,単勝,1,180
2021-06-15,大村,2,複勝,1,120
2021-06-15,大村,2,複勝,2,300
2021-06-15,大村,2,２連単,1-2,700
2021-06-15,大村,2,２連複,1-2,690
2021-06-15,大村,2,拡連複,1-2,200
2021-06-15,大村,2,３連単,1-2-5,6620
2021-06-15,大村,2,３連複,1-2-5,1950
2021-06-15,大村,3,単勝,2,230
2021-06-15,大村,3,複勝,2,170
2021-06-15,大村,3,複勝,1,300
2021-06-15,大村,3,２連単,2-1,510
2021-06-15,大村,3,２連複,1-2,160
2021-06-15,大村,3,拡連複,1-2,130
2021-06-15,大村,3,３連単,2-1-3,3750
2021-06-15,大村,3,３連複,1-2-3,1710
2021-06-15,大村,4,単勝,1,420
2021-06-15,大村,4,複勝,1,150
2021-06-15,大村,4,複勝,2,140
2021-06-15,大村,4,２連単,1-2,1640
2021-06-15,大村,4,２連複,1-2,640
2021-06-15,大村,4,拡連複,1-2,390
2021-06-15,大村,4,３連単,1-2-6,3190
2021-06-15,大村,4,３連複,1-2-6,580
2021-06-15,大村,5,単勝,2,120
2021-06-15,大村,5,複勝,2,120
2021-06-15,大村,5,複勝,1,100
2021-06-15,大村,5,２連単,2-1,310
2021-06-15,大村,5,２連複,1-2,210
2021-06-15,大村,5,拡連複,1-2,100
2021-06-15,大村,5,３連単,2-1-6,750
2021-06-15,大村,5,３連複,1-2-6,220
2021-06-15,大村,6,単勝,1,120
2021-06-15,大村,6,複勝,1,190
2021-06-15,大村,6,複勝,2,260
2021-06-15,大村,6,２連単,1-2,220
2021-06-15,大村,6,２連複,1-2,110
2021-06-15,大村,6,拡連複,1-2,170
2021-06-15,大村,6,３連単,1-2-5,1830
2021-06-15,大村,6,３連複,1-2-5,1190
2021-06-15,大村,7,単勝,3,340
2021-06-15,大村,7,複勝,3,250
2021-06-15,大村,7,複勝,4,170
2021-06-15,大村,7,２連単,3-4,1540
2021-06-15,大村,7,２連複,3-4,550
2021-06-15,大村,7,拡連複,3-4,250
2021-06-15,大村,7,３連単,3-4-5,2460
2021-06-15,大村,7,３連複,3-4-5,1050
2021-06-15,大村,8,単勝,1,150
2021-06-15,大村,8,複勝,1,100
2021-06-15,大村,8,複勝,4,150
2021-06-15,大村,8,２連単,1-4,240
2021-06-15,大村,8,２連複,1-4,250
2021-06-15,大村,8,拡連複,1-4,120
2021-06-15,大村,8,３連単,1-4-6,2310
2021-06-15,大村,8,３連複,1-4-6,1010
2021-06-15,大村,9,単勝,1,140
2021-06-15,大村,9,複勝,1,100
2021-06-15,大村,9,複勝,2,150
2021-06-15,大村,9,２連単,1-2,380
2021-06-15,大村,9,２連複,1-2,250
2021-06-15,大村,9,拡連複,1-2,130
2021-06-15,大村,9,３連単,1-2-4,700
2021-06-15,大村,9,３連複,1-2-4,220
2021-06-15,大村,10,単勝,2,1540
2021-06-15,大村,10,複勝,2,210
2021-06-15,大村,10,複勝,1,110
2021-06-15,大村,10,２連単,2-1,1410
2021-06-15,大村,10,２連複,1-2,240
2021-06-15,大村,10,拡連複,1-2,130
2021-06-15,大村,10,３連単,2-1-5,8820
2021-06-15,大村,10,３連複,1-2-5,1330
2021-06-15,大村,11,単勝,1,120
2021-06-15,大村,11,複勝,1,200
2021-06-15,大村,11,複勝,4,460
2021-06-15,大村,11,２連単,1-4,430
