日付,レース場,レース番号,舟券種,組合せ,払戻金
2021-04-25,大村,1,単勝,1,150
2021-04-25,大村,1,複勝,1,160
2021-04-25,大村,1,複勝,3,360
2021-04-25,大村,1,２連単,1-3,820
2021-04-25,大村,1,２連複,1-3,600
2021-04-25,大村,1,拡連複,1-3,330
2021-04-25,大村,1,３連単,1-3-4,5560
2021-04-25,大村,1,３連複,1-3-4,1890
2021-04-25,大村,2,単勝,3,360
2021-04-25,大村,2,複勝,3,130
2021-04-25,大村,2,複勝,6,580
2021-04-25,大村,2,２連単,3-6,10100
2021-04-25,大村,2,２連複,3-6,4180
2021-04-25,大村,2,拡連複,3-6,1680
2021-04-25,大村,2,３連単,3-6-4,42550
2021-04-25,大村,2,３連複,3-4-6,6780
2021-04-25,大村,3,単勝,1,270
2021-04-25,大村,3,複勝,1,120
2021-04-25,大村,3,複勝,2,450
2021-04-25,大村,3,２連単,1-2,1150
2021-04-25,大村,3,２連複,1-2,740
2021-04-25,大村,3,拡連複,1-2,580
2021-04-25,大村,3,３連単,1-2-3,4290
2021-04-25,大村,3,３連複,1-2-3,1500
2021-04-25,大村,4,単勝,1,110
2021-04-25,大村,4,複勝,1,100
2021-04-25,大村,4,複勝,3,130
2021-04-25,大村,4,２連単,1-3,310
2021-04-25,大村,4,２連複,1-3,380
2021-04-25,大村,4,拡連複,1-3,160
2021-04-25,大村,4,３連単,1-3-6,1190
2021-04-25,大村,4,３連複,1-3-6,720
2021-04-25,大村,5,単勝,6,600
2021-04-25,大村,5,複勝,6,920
2021-04-25,大村,5,複勝,3,600
2021-04-25,大村,5,２連単,6-3,4550
2021-04-25,大村,5,２連複,3-6,1450
2021-04-25,大村,5,拡連複,3-6,360
2021-04-25,大村,5,３連単,6-3-4,7840
2021-04-25,大村,5,３連複,3-4-6,610
2021-04-25,大村,6,単勝,6,640
2021-04-25,大村,6,複勝,6,140
2021-04-25,大村,6,複勝,2,100
2021-04-25,大村,6,２連単,6-2,1060
2021-04-25,大村,6,２連複,2-6,540
2021-04-25,大村,6,拡連複,2-6,120
2021-04-25,大村,6,３連単,6-2-1,2100
2021-04-25,大村,6,３連複,1-2-6,160
2021-04-25,大村,7,単勝,1,130
2021-04-25,大村,7,複勝,1,120
2021-04-25,大村,7,複勝,3,1020
2021-04-25,大村,7,２連単,1-3,600
2021-04-25,大村,7,２連複,1-3,490
2021-04-25,大村,7,拡連複,1-3,190
2021-04-25,大村,7,３連単,1-3-6,1530
2021-04-25,大村,7,３連複,1-3-6,590
2021-04-25,大村,8,単勝,1,120
2021-04-25,大村,8,複勝,1,110
2021-04-25,大村,8,複勝,5,110
2021-04-25,大村,8,２連単,1-5,240
2021-04-25,大村,8,２連複,1-5,190
2021-04-25,大村,8,拡連複,1-5,120
2021-04-25,大村,8,３連単,1-5-4,3630
2021-04-25,大村,8,３連複,1-4-5,1360
2021-04-25,大村,9,単勝,1,140
2021-04-25,大村,9,複勝,1,100
2021-04-25,大村,9,複勝,5,110
2021-04-25,大村,9,２連単,1-5,370
2021-04-25,大村,9,２連複,1-5,360
2021-04-25,大村,9,拡連複,1-5,220
2021-04-25,大村,9,３連単,1-5-4,990
2021-04-25,大村,9,３連複,1-4-5,330
2021-04-25,大村,10,単勝,1,170
2021-04-25,大村,10,複勝,1,170
2021-04-25,大村,10,複勝,2,310
2021-04-25,大村,10,２連単,1-2,280
2021-04-25,大村,10,２連複,1-2,270
2021-04-25,大村,10,拡連複,1-2,130
2021-04-25,大村,10,３連単,1-2-4,760
2021-04-25,大村,10,３連複,1-2-4,310
2021-04-25,大村,11,単勝,1,110
2021-04-25,大村,11,複勝,1,100
2021-04-25,大村,11,複勝,4,140
2021-04-25,大村,11,２連単,1-4,270
2021-04-25,大村,11,２連複,1-4,270
2021-04-25,大村,11,拡連複,1-4,130
2021-04-25,大村,11,３連単,1-4-5,1150
2021-04-25,大村,11,３連複,1-4-5,710
2021-04-25,大村,12,単勝,1,110
2021-04-25,大村,12,複勝,1,100
2021-04-25,大村,12,複勝,4,640
2021-04-25,大村,12,２連単,1-4,1590
2021-04-25,大村,12,２連複,1-4,770
2021-04-25,大村,12,拡連複,1-4,590
2021-04-25,大村,12,３連単,1-4-5,5150
2021-04-25,大村,12,３連複,1-4-5,1830
2021-04-25,唐津,1,単勝,3,670
2021-04-25,唐津,1,複勝,3,260
2021-04-25,唐津,1,複勝,1,100
2021-04-25,唐津,1,２連単,3-1,2890
2021-04-25,唐津,1,２連複,1-3,340
2021-04-25,唐津,1,拡連複,1-3,120
2021-04-25,唐津,1,３連単,3-1-4,8160
2021-04-25,唐津,1,３連複,1-3-4,540
2021-04-25,唐津,2,単勝,4,450
2021-04-25,唐津,2,複勝,4,180
2021-04-25,唐津,2,複勝,5,360
2021-04-25,唐津,2,２連単,4-5,2030
2021-04-25,唐津,2,２連複,4-5,1540
2021-04-25,唐津,2,拡連複,4-5,770
2021-04-25,唐津,2,３連単,4-5-6,12630
2021-04-25,唐津,2,３連複,4-5-6,6060
2021-04-25,唐津,3,単勝,2,1580
2021-04-25,唐津,3,複勝,2,260
2021-04-25,唐津,3,複勝,1,100
2021-04-25,唐津,3,２連単,2-1,4980
2021-04-25,唐津,3,２連複,1-2,620
2021-04-25,唐津,3,拡連複,1-2,170
2021-04-25,唐津,3,３連単,2-1-3,8000
2021-04-25,唐津,3,３連複,1-2-3,310
2021-04-25,唐津,4,単勝,2,280
2021-04-25,唐津,4,複勝,2,260
2021-04-25,唐津,4,複勝,6,820
2021-04-25,唐津,4,２連単,2-6,1390
2021-04-25,唐津,4,２連複,2-6,1200
2021-04-25,唐津,4,拡連複,2-6,320
2021-04-25,唐津,4,３連単,2-6-1,5820
2021-04-25,唐津,4,３連複,1-2-6,950
2021-04-25,唐津,5,単勝,4,370
2021-04-25,唐津,5,複勝,4,130
2021-04-25,唐津,5,複勝,2,350
