日付,レース場,レース番号,舟券種,組合せ,払戻金
2022-03-07,福岡,1,単勝,1,120
2022-03-07,福岡,1,複勝,1,100
2022-03-07,福岡,1,複勝,4,230
2022-03-07,福岡,1,２連単,1-4,810
2022-03-07,福岡,1,２連複,1-4,830
2022-03-07,福岡,1,拡連複,1-4,240
2022-03-07,福岡,1,３連単,1-4-3,2600
2022-03-07,福岡,1,３連複,1-3-4,900
2022-03-07,福岡,2,単勝,4,120
2022-03-07,福岡,2,複勝,4,100
2022-03-07,福岡,2,複勝,1,150
2022-03-07,福岡,2,２連単,4-1,820
2022-03-07,福岡,2,２連複,1-4,410
2022-03-07,福岡,2,拡連複,1-4,440
2022-03-07,福岡,2,３連単,4-1-3,7400
2022-03-07,福岡,2,３連複,1-3-4,1290
2022-03-07,福岡,3,単勝,3,350
2022-03-07,福岡,3,複勝,3,140
2022-03-07,福岡,3,複勝,4,770
2022-03-07,福岡,3,２連単,3-4,1200
2022-03-07,福岡,3,２連複,3-4,870
2022-03-07,福岡,3,拡連複,3-4,360
2022-03-07,福岡,3,３連単,3-4-2,9520
2022-03-07,福岡,3,３連複,2-3-4,2440
2022-03-07,福岡,4,単勝,3,460
2022-03-07,福岡,4,複勝,3,250
2022-03-07,福岡,4,複勝,2,110
2022-03-07,福岡,4,２連単,3-2,1410
2022-03-07,福岡,4,２連複,2-3,530
2022-03-07,福岡,4,拡連複,2-3,250
2022-03-07,福岡,4,３連単,3-2-1,4440
2022-03-07,福岡,4,３連複,1-2-3,370
2022-03-07,福岡,5,単勝,1,140
2022-03-07,福岡,5,複勝,1,110
2022-03-07,福岡,5,複勝,3,100
2022-03-07,福岡,5,２連単,1-3,370
2022-03-07,福岡,5,２連複,1-3,220
2022-03-07,福岡,5,拡連複,1-3,150
2022-03-07,福岡,5,３連単,1-3-2,900
2022-03-07,福岡,5,３連複,1-2-3,260
2022-03-07,福岡,6,単勝,2,300
2022-03-07,福岡,6,複勝,2,280
2022-03-07,福岡,6,複勝,3,220
2022-03-07,福岡,6,２連単,2-3,570
