日付,レース場,レース番号,舟券種,組合せ,払戻金
2021-07-15,大村,1,単勝,4,520
2021-07-15,大村,1,複勝,4,190
2021-07-15,大村,1,複勝,6,560
2021-07-15,大村,1,２連単,4-6,4360
2021-07-15,大村,1,２連複,4-6,4400
2021-07-15,大村,1,拡連複,4-6,940
2021-07-15,大村,1,３連単,4-6-1,8460
2021-07-15,大村,1,３連複,1-4-6,1390
2021-07-15,大村,2,単勝,1,140
2021-07-15,大村,2,複勝,1,100
2021-07-15,大村,2,複勝,4,180
2021-07-15,大村,2,２連単,1-4,430
2021-07-15,大村,2,２連複,1-4,360
2021-07-15,大村,2,拡連複,1-4,110
2021-07-15,大村,2,３連単,1-4-2,1450
2021-07-15,大村,2,３連複,1-2-4,490
2021-07-15,大村,3,単勝,2,780
2021-07-15,大村,3,複勝,2,170
2021-07-15,大村,3,複勝,4,250
2021-07-15,大村,3,２連単,2-4,1890
2021-07-15,大村,3,２連複,2-4,1460
2021-07-15,大村,3,拡連複,2-4,160
2021-07-15,大村,3,３連単,2-4-1,3290
2021-07-15,大村,3,３連複,1-2-4,210
2021-07-15,大村,4,単勝,1,180
2021-07-15,大村,4,複勝,1,100
2021-07-15,大村,4,複勝,3,150
2021-07-15,大村,4,２連単,1-3,230
2021-07-15,大村,4,２連複,1-3,250
2021-07-15,大村,4,拡連複,1-3,180
2021-07-15,大村,4,３連単,1-3-4,520
2021-07-15,大村,4,３連複,1-3-4,220
2021-07-15,大村,5,単勝,1,120
2021-07-15,大村,5,複勝,1,130
2021-07-15,大村,5,複勝,4,160
2021-07-15,大村,5,２連単,1-4,240
2021-07-15,大村,5,２連複,1-4,220
2021-07-15,大村,5,拡連複,1-4,120
2021-07-15,大村,5,３連単,1-4-3,520
2021-07-15,大村,5,３連複,1-3-4,240
2021-07-15,大村,6,単勝,5,500
2021-07-15,大村,6,複勝,5,130
2021-07-15,大村,6,複勝,1,100
2021-07-15,大村,6,２連単,5-1,970
2021-07-15,大村,6,２連複,1-5,230
2021-07-15,大村,6,拡連複,1-5,110
2021-07-15,大村,6,３連単,5-1-2,2510
2021-07-15,大村,6,３連複,1-2-5,210
2021-07-15,大村,7,単勝,1,100
2021-07-15,大村,7,複勝,1,100
2021-07-15,大村,7,複勝,2,170
2021-07-15,大村,7,２連単,1-2,220
2021-07-15,大村,7,２連複,1-2,200
2021-07-15,大村,7,拡連複,1-2,150
2021-07-15,大村,7,３連単,1-2-3,670
2021-07-15,大村,7,３連複,1-2-3,350
2021-07-15,大村,8,単勝,1,130
2021-07-15,大村,8,複勝,1,110
2021-07-15,大村,8,複勝,5,100
2021-07-15,大村,8,２連単,1-5,910
2021-07-15,大村,8,２連複,1-5,770
2021-07-15,大村,8,拡連複,1-5,160
2021-07-15,大村,8,３連単,1-5-3,2450
2021-07-15,大村,8,３連複,1-3-5,640
2021-07-15,大村,9,単勝,1,120
2021-07-15,大村,9,複勝,1,100
2021-07-15,大村,9,複勝,5,340
2021-07-15,大村,9,２連単,1-5,1510
2021-07-15,大村,9,２連複,1-5,1100
2021-07-15,大村,9,拡連複,1-5,320
2021-07-15,大村,9,３連単,1-5-2,4730
2021-07-15,大村,9,３連複,1-2-5,1170
2021-07-15,大村,10,単勝,1,100
2021-07-15,大村,10,複勝,1,100
2021-07-15,大村,10,複勝,2,160
2021-07-15,大村,10,２連単,1-2,210
2021-07-15,大村,10,２連複,1-2,230
2021-07-15,大村,10,拡連複,1-2,110
2021-07-15,大村,10,３連単,1-2-3,340
2021-07-15,大村,10,３連複,1-2-3,170
2021-07-15,大村,11,単勝,1,100
2021-07-15,大村,11,複勝,1,120
2021-07-15,大村,11,複勝,5,390
2021-07-15,大村,11,２連単,1-5,1520
2021-07-15,大村,11,２連複,1-5,1140
2021-07-15,大村,11,拡連複,1-5,290
2021-07-15,大村,11,３連単,1-5-3,5220
2021-07-15,大村,11,３連複,1-3-5,1060
2021-07-15,大村,12,単勝,1,100
2021-07-15,大村,12,複勝,1,100
2021-07-15,大村,12,複勝,3,100
2021-07-15,大村,12,２連単,1-3,360
2021-07-15,大村,12,２連複,1-3,280
2021-07-15,大村,12,拡連複,1-3,160
2021-07-15,大村,12,３連単,1-3-2,1090
2021-07-15,大村,12,３連複,1-2-3,360
2021-07-15,唐津,1,単勝,3,1720
2021-07-15,唐津,1,複勝,3,250
2021-07-15,唐津,1,複勝,1,120
2021-07-15,唐津,1,２連単,3-1,10310
2021-07-15,唐津,1,２連複,1-3,1310
2021-07-15,唐津,1,拡連複,1-3,640
2021-07-15,唐津,1,３連単,3-1-2,49920
2021-07-15,唐津,1,３連複,1-2-3,1130
2021-07-15,唐津,2,単勝,1,280
2021-07-15,唐津,2,複勝,1,110
2021-07-15,唐津,2,複勝,2,100
2021-07-15,唐津,2,２連単,1-2,270
2021-07-15,唐津,2,２連複,1-2,150
2021-07-15,唐津,2,拡連複,1-2,110
2021-07-15,唐津,2,３連単,1-2-5,730
2021-07-15,唐津,2,３連複,1-2-5,230
2021-07-15,唐津,3,単勝,1,100
2021-07-15,唐津,3,複勝,1,100
2021-07-15,唐津,3,複勝,3,110
2021-07-15,唐津,3,２連単,1-3,210
2021-07-15,唐津,3,２連複,1-3,120
2021-07-15,唐津,3,拡連複,1-3,120
2021-07-15,唐津,3,３連単,1-3-4,660
2021-07-15,唐津,3,３連複,1-3-4,370
2021-07-15,唐津,4,単勝,1,100
2021-07-15,唐津,4,複勝,1,100
2021-07-15,唐津,4,複勝,2,160
2021-07-15,唐津,4,２連単,1-2,360
2021-07-15,唐津,4,２連複,1-2,330
2021-07-15,唐津,4,拡連複,1-2,160
2021-07-15,唐津,4,３連単,1-2-3,680
2021-07-15,唐津,4,３連複,1-2-3,360
2021-07-15,唐津,5,単勝,1,190
2021-07-15,唐津,5,複勝,1,120
2021-07-15,唐津,5,複勝,2,120
2021-07-15,唐津,5,２連単,1-2,280
2021-07-15,唐津,5,２連複,1-2,160
2021-07-15,唐津,5,拡連複,1-2,130
2021-07-15,唐津,5,３連単,1-2-3,1060
2021-07-15,唐津,5,３連複,1-2-3,450
2021-07-15,唐津,6,単勝,1,180
2021-07-15,唐津,6,複勝,1,100
2021-07-15,唐津,6,複勝,6,860
2021-07-15,唐津,6,２連単,1-6,4600
2021-07-15,唐津,6,２連複,1-6,4140
2021-07-15,唐津,6,拡連複,1-6,860
2021-07-15,唐津,6,３連単,1-6-4,36870
2021-07-15,唐津,6,３連複,1-4-6,10250
2021-07-15,唐津,7,単勝,4,750
2021-07-15,唐津,7,複勝,4,330
2021-07-15,唐津,7,複勝,6,330
2021-07-15,唐津,7,２連単,4-6,1090
2021-07-15,唐津,7,２連複,4-6,1470
2021-07-15,唐津,7,拡連複,4-6,570
2021-07-15,唐津,7,３連単,4-6-5,12420
2021-07-15,唐津,7,３連複,4-5-6,6620
