日付,レース場,レース番号,舟券種,組合せ,払戻金
2020-04-22,大村,1,単勝,3,740
2020-04-22,大村,1,複勝,3,300
2020-04-22,大村,1,複勝,2,300
2020-04-22,大村,1,２連単,3-2,4780
2020-04-22,大村,1,２連複,2-3,4430
2020-04-22,大村,1,拡連複,2-3,310
2020-04-22,大村,1,３連単,3-2-4,23760
2020-04-22,大村,1,３連複,2-3-4,3510
2020-04-22,大村,2,単勝,4,570
2020-04-22,大村,2,複勝,4,180
2020-04-22,大村,2,複勝,2,130
2020-04-22,大村,2,２連単,4-2,2890
2020-04-22,大村,2,２連複,2-4,1660
2020-04-22,大村,2,拡連複,2-4,260
2020-04-22,大村,2,３連単,4-2-1,7880
2020-04-22,大村,2,３連複,1-2-4,360
2020-04-22,大村,3,単勝,1,170
2020-04-22,大村,3,複勝,1,100
2020-04-22,大村,3,複勝,4,200
2020-04-22,大村,3,２連単,1-4,360
2020-04-22,大村,3,２連複,1-4,330
2020-04-22,大村,3,拡連複,1-4,220
2020-04-22,大村,3,３連単,1-4-6,6310
2020-04-22,大村,3,３連複,1-4-6,2580
2020-04-22,大村,4,単勝,4,310
2020-04-22,大村,4,複勝,4,140
2020-04-22,大村,4,複勝,6,140
2020-04-22,大村,4,２連単,4-6,1700
2020-04-22,大村,4,２連複,4-6,780
2020-04-22,大村,4,拡連複,4-6,360
2020-04-22,大村,4,３連単,4-6-1,3290
2020-04-22,大村,4,３連複,1-4-6,590
2020-04-22,大村,5,単勝,1,120
2020-04-22,大村,5,複勝,1,110
2020-04-22,大村,5,複勝,3,480
2020-04-22,大村,5,２連単,1-3,530
2020-04-22,大村,5,２連複,1-3,380
2020-04-22,大村,5,拡連複,1-3,210
2020-04-22,大村,5,３連単,1-3-6,1730
2020-04-22,大村,5,３連複,1-3-6,740
2020-04-22,大村,6,単勝,1,140
2020-04-22,大村,6,複勝,1,120
2020-04-22,大村,6,複勝,4,130
2020-04-22,大村,6,２連単,1-4,260
2020-04-22,大村,6,２連複,1-4,240
2020-04-22,大村,6,拡連複,1-4,100
2020-04-22,大村,6,３連単,1-4-3,940
2020-04-22,大村,6,３連複,1-3-4,540
2020-04-22,大村,7,単勝,1,120
2020-04-22,大村,7,複勝,1,110
2020-04-22,大村,7,複勝,3,200
2020-04-22,大村,7,２連単,1-3,250
